W|tempera 101|karbon alu tuba kartonska kutija|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh magic|masala chips 100g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh kologisk|tempeh kologisk|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh king|vegan tempeh rendang 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh king|tempeh sisig 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh king|tempeh caldereta 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh king|sambal 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh fresh|chickpea 200g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh fermaterede|sojabnner obs bedst fr 22032026|??|r|??|??|??|2032|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh eco|specialitate vegetariana natur 200g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh eco|specialitate vegetariana cu usturoi si coriandru 200g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh dried|lemon with chilly balado chips 100g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh de soya|tentempeh|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh de garbanzos|tempeh de garbanzos|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh clasico|200 grs|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh chips|garlic 70g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh chips|classic 70g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh burrito|platter set of 12 gfv|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh burgers|250 g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh balado|chips 120g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempeh aminoteka|200g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempe marc|2017 alsace zellenberg pinot gris|fr|w|pinot gris|??|??|2017|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2017 alsace grand cru schoenenbourg riesling|fr|w|riesling|??|??|2017|12.5|grand cru|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2017 alsace grand cru furstentum pinot gris|fr|w|pinot gris|??|??|2017|12.5|grand cru|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2016 alsace zellenberg pinot gris|fr|w|pinot gris|??|??|2016|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2016 alsace haut lieu rimelsberg pinot gris|fr|w|pinot gris|??|??|2016|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2015 alsace haut lieu grefenreben riesling|fr|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2011 alsace grefenreben riesling|fr|w|riesling|??|??|2011|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2009 alsace grand cru furstentum gewurztraminer|fr|w|gewurztraminer|??|??|2009|12.5|grand cru|medio|peixes; frutos do mar; saladas|seco
W|tempe marc|2007 alsace grand cru schoenenbourg gewurztraminer|fr|w|gewurztraminer|??|??|2007|12.5|grand cru|medio|peixes; frutos do mar; saladas|seco
W|tempe de soja|organica mun 275g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempe de soja|organica mun 275 g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempak 2|16|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempak 2|10|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa ophelia|4pc cocktail set|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa modern|bee cocktail shaker|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa harvey|black shot tasting flight|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa esme|ribbed glasses x 4|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa di zoe|zero aglianico igt 2017|??|r|aglianico|??|??|2017|14|igt|encorpado|carne vermelha; massas; queijo|seco
W|tempa di zoe|zero aglianico 2020|??|r|aglianico|??|??|2020|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tempa di zoe|fiano paestum xa 2023|??|w|fiano|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempa di zoe|fiano paestum asterias 2024|??|w|fiano|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempa di zoe|diciotto supercampano semplice aglianico campania igt italy 2021|it|r|aglianico|??|??|2021|14|igt|encorpado|carne vermelha; massas; queijo|seco
W|tempa di zoe|diciotto aglianico 2022|??|r|aglianico|??|??|2022|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tempa di zoe|asterias fiano 2024|??|w|fiano|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tempa di zoe|aglianico zero 2020|??|r|aglianico|??|??|2020|14|??|encorpado|carne vermelha; massas; queijo|seco
=91
W|tempa di zoe|aglianico paestum diciotto 2022|??|r|aglianico|??|??|2022|14|??|encorpado|carne vermelha; massas; queijo|seco
=93
=93
W|tempa aurora|wine glasses x 2|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa aurora|recipe cocktail shaker|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tempa 5|piece cocktail set|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temp short|black|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temp control|pump kit|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temp|temp|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temos a solucao|perfeita clique aqui|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temole cauliflower|puffs chili lime 56g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temole broccoli|sweet chilli 56g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temole avocado|chips tomato salsa|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temole almond|chips barbeque 40g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temoin du|marie verre personnalise champagne|??|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|temoignage jean|velut 2015 champagne france|??|s|??|??|??|2015|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|temne zelena|temne zelena|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temjanika luda|mara|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temisto merlot|temisto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|teministeriet termoglas|teministeriet termoglas|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=112
=112
W|teministeriet tebrygger|i glas|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=115
W|teministeriet ayurveda|calm|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|teministeriet 6|x termoglas|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temetum pink|friz perlive moravske zemske vino 2025 polosladke|??|r|??|??|??|2025|13|??|medio|carne vermelha; massas; queijo|seco
W|temetum pink|friz perlive moravske zemske vino 2024 polosladke|??|r|??|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|temetum friz|moravske zemske perlive vino 2024 polosuche|??|r|??|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|temetum friz|moravske zemske perlive vino 2023 polosuche|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave white sparkling extra brut 2021|??|s|??|??|??|2021|12|??|leve|aperitivos; canapes; frutos do mar|extra brut
W|temet tri|morave white rezerva 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave white 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave roze 075|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave rose 075|??|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|temet tri|morave reserva white 2019|??|r|??|??|??|2019|13|reserva|encorpado|carne vermelha; massas; queijo|seco
W|temet tri|morave red reserve 2019|??|r|??|??|??|2019|13|reserve|encorpado|carne vermelha; massas; queijo|seco
W|temet tri|morave red 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave crveno 075|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temet tri|morave belo 075|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temet ergo|white 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|temet ergo|crveni 075|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temerario blanco|viura de parcela en alfaro|??|w|??|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|temer hotovo|temer hotovo|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temento green|weingut tement 2021 oostenrijk steiermark wit|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tement zieregg|xt sauvignon blanc stk grand cru gstk 2015|??|w|sauvignon blanc|??|??|2015|12.5|grand cru|medio|peixes; frutos do mar; saladas|seco
W|tement zieregg|sauvignon blanc grosse lage 2017|??|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement zieregg|sauvignon blanc 2019|??|w|sauvignon blanc|??|??|2019|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement zieregg|sauvignon blanc 2015 mg|??|w|sauvignon blanc|??|??|2015|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement zieregg|sauvignon blanc 2015 dbmg|??|w|sauvignon blanc|??|??|2015|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement zieregg|morillon 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tement zieregg|kapelle sauvignon blanc groe stk lage gstk 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement zeitspiel|3 sauvignon blanc spatfullung 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement welschriesling|opok sudsteiermark dac 2024|??|w|??|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement welschriesling|dac suedsteiermark dv bio 2020|??|w|??|??|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement welschriesling|dac suedsteiermark dv 2019|??|w|??|??|??|2019|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement weissburgunder|ton mergel sudsteiermark dac 2024|??|r|??|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|tement weissburgunder|ton mergel sudsteiermark dac 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tement weissburgunder|dac suedsteiermark ton und mergel bio 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement verjus|rosso|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement verjus|peti fizz|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement verjus|apero 2024|??|r|??|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|tement verjus|apero|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sulz|morillon 1 stk 2013 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sulz|morillon 1 stk 2013|??|r|??|??|??|2013|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sudsteirischer|verjus apero bio|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement steinbach|gelber muskateller 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sauvignon|zieregg groe lage stk bio 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sauvignon|granitzberg erste lage stk bio 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sauvignon|granitzberg erste lage stk bio 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tement sauvignon|blanc sudsteiermark kalk kreide 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc steirische klassik|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc ried zieregg 2020|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc ried sernau konig gstk lage biodyn 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc kalk kreide sudsteiermark dac 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc kalk kreide bio sudsteiermark dac|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc kalk kreide 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement sauvignon|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
=170
W|tement sand|schiefer gelber muskateller 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tement rt|alte reben 2015|??|r|??|??|??|2015|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ried|zieregg sauvignon blanc gstk 2019|??|w|sauvignon blanc|??|??|2019|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ried|zieregg sauvignon blanc gstk 2018|??|w|sauvignon blanc|??|??|2018|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ried|zieregg sauvignon blanc groe stk lage 2019|??|w|sauvignon blanc|??|??|2019|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ried|zieregg kapelle sauvignon blanc sudsteiermark dac 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ried|zieregg kapelle sauvignon blanc sudsteiermark dac 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ried|zieregg iz reserve sauvignon blanc 2012|??|w|sauvignon blanc|??|??|2012|12.5|reserve|encorpado|peixes; frutos do mar; saladas|seco
W|tement ried|sulz weiburgunder 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ried|sulz morillon erste stk lage 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ried|rossberg morillon stk 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ried|hochkittenberg gelber muskateller 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ried|grassnitzberg riff sauvignon blanc 1 stk 2020|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
=184
W|tement opok|welschriesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement muschelkalk|morillon|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement moscatel|tement moscatel|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tement morillon|zieregg steilriegel gstk bio 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement morillon|zieregg steilriegel grosse lage sudsteiermark 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tement morillon|sulz 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement morillon|ried sulz erste stk lage sudsteiermark dac 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tement morillon|muschelkalk 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tement kalk|und kreide sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement kalk|kreide sauvignon blanc sudsteirmark austria 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement kalk|kreide sauvignon blanc austria 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement kalk|kreide sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement grassnitzberg|sauvignon blanc reserve 2011|??|w|sauvignon blanc|??|??|2011|12.5|reserve|encorpado|peixes; frutos do mar; saladas|seco
W|tement gewurztraminer|ried wielitschberg 1stk sudsteiermark dac bio 2020|??|w|gewurztraminer|??|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement gelber|muskateller sand schiefer sudsteiermark dac 2024|??|r|??|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|tement ehrenhausen|sauvignon blanc muschelkalk 2017|??|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ehrenhausen|sauvignon blanc muschelkalk|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ehrenhausen|muschelkalk sauvignon blanc 2017|??|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement ehrenhausen|korallenkalk sauvignon blanc sudsteiermark 2022 white dry 13 075|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement domaine|ciringa stajerska sauvignon blanc foslini breg 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tement 2022|sudsteiermark morillon muschelkalk|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tement 2021|sudsteiermark morillon muschelkalk|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tement 2019|sudsteiermark morillon sulz erste lage|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|temenos|temenos|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|temelion zero|dosage roze cuban 2020 rose brut 12 075|??|s|??|??|??|2020|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|temelion cuban|2019 white brut 12 15|??|s|??|??|??|2019|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|temecula abaca|tote with rope handle|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|teme valley|hearth warmer 60|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tembo pinot|noir california 2024|??|r|pinot noir|??|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
W|tembo pinot|noir|??|r|pinot noir|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=215
W|tembela wines|tembela syrah x 6|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tembela wines|syrah 2024|??|r|syrah|??|??|2024|14|??|encorpado|carne vermelha; massas; queijo|seco
=218
W|tembela wines|syrah 2022|??|r|syrah|??|??|2022|14|??|encorpado|carne vermelha; massas; queijo|seco
=220
W|tembela wines|chenin blanc 2024|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
=222
W|tembela wines|chenin blanc 2023|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tembela verdelho|2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tembela syrah|24|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tembela syrah|2024|??|r|syrah|??|??|2024|14|??|encorpado|carne vermelha; massas; queijo|seco
=227
W|tembela syrah|2022|??|r|syrah|??|??|2022|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tembela syrah|tembela syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tembela rondavel|hills chenin blanc 2025|??|w|chenin blanc|??|??|2025|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tembela duo|tembela duo|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=232
W|tembela chenin|blanc 2024|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tembela chenin|blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
=235
W|tembela chenin|24|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tembela|tembela|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tembel pazar|tembel pazar|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tematu syrah|maturana wines 6 unidades|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tematu syrah|maturana wines 12 unidades|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tematu malbec|maturana wines 6 unidades|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tematu malbec|maturana wines 12 unidades|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tematu malbec|carignan garnacha maturana wines 6 unidades|??|r|malbec, carignan|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tematu malbec|carignan garnacha maturana wines 12 unidades|??|r|malbec, carignan|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
