W|gucci|guilty pour homme edt spray ref924922bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|cerasa bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guccione|g grecanico vino bianco|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guccione|nm|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|nm|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|guccione|nm|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|p|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|p|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|guccione|perpetuo di cerasa sicilia igt|it|r|??|sicily|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|rc|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|rc|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=39
W|guccione|t 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|t|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guccione|vino bianco bc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guccione|vino bianco bc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=43
W|guccione|vino bianco t|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guccione|vino bianco t|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=45
W|gucio|zaczarowany zofia urbanowska|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum british strawberry 21g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum charcoal mint 21g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum lemon 21g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum raspberry 21g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum sicilian lemon 21g|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|gum strawberry 21g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gud|jus riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gud|kaju katli 250g the sweet blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gud|kaju katli 250g the sweet blend corporate gifts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gud|nait 90 gomitas sin gluten yumi gumi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudafigurin|freyr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudafigurin|oden|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudafigurin|thor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudang|garam signature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|freja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|freyr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|frigg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|hel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|oden|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|ormkvinna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|tor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudastatyett|tyr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gude|cuvee ideal rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gudi|universal fast charger red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudo|merlot ticino doc|??|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gudrun|250gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudrun|collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudrun|collection by claudia schiffer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudrun|lheritage chocolates truffles original 250gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudrun|lheritage chocolates truffles salted caramel 200gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gudwill|zopfkase 150g 35 fat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gue|gumus yuzuk|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guedes|vintage port|??|r|??|??|??|1937|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guedes|vintage port|??|r|??|??|??|1960|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guedes|vintage port|??|r|??|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueguen|bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gueguen|celine frederic chablis halfbottle|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueguen|chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueguen|la vigne demile bourgogne rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueguen|petit chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|bandol red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|bandol rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|bandol rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|bandol rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=90
W|gueissard|bandol rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|bandol rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|cote de provence cuvee g|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|cote de provence cuvee g san valentin|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|cote de provence rose cuvee g|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|cote de provence rose cuvee papilles|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|cote de provence rose cuvee papilles|fr|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|cote de provence rouge cuvee g|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|cote de provence rouge cuvee g|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|cuvee g bandol red|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueissard|igp mediterranee rose petit g|??|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|igp mediterranee rose petit g|??|p|??|??|??|2024|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|le petit g igp mediterranee rose|??|p|??|??|??|2021|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|le petit g rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|le petit g rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|le petit g rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|les papilles cotes de provence rose|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|les papilles rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|les papilles rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=109
W|gueissard|petit g rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gueissard|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=112
W|gueissard|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=112
W|gueissard|rose petit g igp mediterranee france|fr|p|??|??|??|2024|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guelbenzu|azul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guelbenzu|azul|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul vino de la tierra ribera del queiles spain|es|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul 1 botella|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul 750 mlt 145|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul finca la lombana vino de la tierra de ribera del queiles spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|azul finca la lombana vino de la tierra de ribera del queiles spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=127
W|guelbenzu|azul ribera del queiles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|guelbenzu|evo navarra tinto|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo 1 botella de|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo vino de la tierra ribera del queiles spain|es|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo cabernet crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|evo ribera del queiles espana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|laut vino de la tierra ribera del queiles spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|lautus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|lautus reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|lautus riberia del queiles espana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|guelbenzu|vierlas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|guelbenzu|vierlas|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas vino de la tierra ribera del queiles closeout|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas vino de la tierra ribera del queiles spain|es|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas finca|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelbenzu|vierlas syrah merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guelfo|super tuscan rosso toscano igt safra|??|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guelfo|verde|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenard|baumnussol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenard|haselnussol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenin|champagne effloraison base|fr|s|??|champagne|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guenin|champagne extra brut effloraison|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guenin|effloraison|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenin|efforaison|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenin|envers de val desseaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenin|vers le bois|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|napa beckstoffer cabernet sauvignon|us|r|cabernet sauvignon|california|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=167
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|guenoc|cabernet sauvignon california|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|cabernet sauvignon lake county|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|calif cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|calif chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|calif petite sirah|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|california cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|california chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|california petite sirah|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|california pinot grigio|us|w|pinot grigio|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|california pinot grigio|us|w|pinot grigio|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=179
W|guenoc|california pinot noir|us|r|pinot noir|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|california sauvignon blanc|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=183
W|guenoc|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
W|guenoc|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=188
W|guenoc|chardonnay california|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|langtry estate meritage|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|lc cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=193
W|guenoc|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=193
W|guenoc|merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|merlot california|us|r|merlot|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|merlot california|us|r|merlot|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|guenoc|merlot california|us|r|merlot|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|guenoc|petite sirah|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|petite sirah california|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|petite sirah california|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|guenoc|petite sirah california|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|guenoc|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|pinot grigio|??|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|pinot grigio california|us|w|pinot grigio|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|pinot grigio california|us|w|pinot grigio|california|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=209
W|guenoc|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=209
W|guenoc|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|pinot noir california|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|pinot noir california|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|guenoc|pinot noir california|us|r|pinot noir|california|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|pinot noir california|us|r|pinot noir|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=217
W|guenoc|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|sauvignon blanc california|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guenoc|sauvignon blanc california|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=220
W|guenoc|sauvignon blanc california|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=220
W|guenoc|victorian claret|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guenoc|zinfandel californien usa|us|r|zinfandel|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|fint salt moulu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|fleur de sel 44oz 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|fleur de sel fint gourmetsalt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|fleur de sel salt bag 88oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|fleur de sel standup pouch 88 oz 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
