1. W|cap|maritime south coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|cap|sur le blanc 2021 famille dutraive|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
53. W|cap|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|cap|vinho verde rose meio seco|pt|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
55. W|cap|weinhandlung suff grun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|cap|weinhandlung suff weiss|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|cap|with drinking spout|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|cap1|enfasis 100 marsanne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|cap2|evolucion blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|cap3|eterno 100 carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|capa|com teclado sem fio joog ipad 13 2024 ipk169s|??|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
62. W|capa|com teclado sem fio joog ipad pro 11 2024 ipk168m24|??|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
63. W|capa|com teclado sem fio joog ipad pro 13 2024ipk169s24|??|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
64. W|capa|com teclado sem fio joog ipk168bs|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
65. X
66. W|capa|de assento medisana para massagem de acupressao shiatsu mcn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|capa|de chuva pantaneiro nylon com gola preto g mp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|capa|de chuva pantaneiro nylon com gola preto gg mp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|capa|de chuva pantaneiro nylon com gola preto m mp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|capa|de engomar universal vileda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|capa|de file bov peca 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|capa|de file bovino a vacuo peca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|capa|de vampiro halloween|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|capa|do coxao mole 16kg|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
75. X
76. W|capa|hoja de palma|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|capa|massageadora medisana com vibracao e funcao de calor mch 88935|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|capa|moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
79. W|capa|para maquina de lavar adomes 12 a 18kg cinza mp|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
80. W|capa|para maquina de lavar electrolux de 09 a 14kg grafite|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
81. W|capa|para tabua de passar a ferro 140cm52cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|capa|single vineyard tempranillo 2017 spain|es|r|tempranillo|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
83. W|capa|single vineyard tempranillo 2018 spain|es|r|tempranillo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
84. W|capa|tejida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|capa|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
86. W|capa|tempranillo 2019 spain|es|r|tempranillo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|capa|temprenillo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|capa|vendimia seleccionada tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
89. W|capa|vt castilla single vineyard tempranillo|??|r|tempranillo|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
90. W|capabunga|bottle cap safe emergency|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|capabunga|bottle cap where slogans 2 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|capabunga|natural large utility tote|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|capabunga|reusable natural market tote|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|capabunga|wine sealer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|capac|din inox cu garnitura siliconica pentru tava gn|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
96. W|capac|din inox pentru tava gn|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
97. W|capac|din policarbonat negru pentru tava gn|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
98. W|capac|din policarbonat pentru tava gn11|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
99. W|capac|din policarbonat pentru tava gn12|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
100. W|capac|din policarbonat pentru tava gn13|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
101. W|capac|din policarbonat pentru tava gn14|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
102. W|capac|din policarbonat pentru tava gn16|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
103. W|capac|din policarbonat pentru tava gn19|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
104. W|capac|pentru caseta aluatpaline pizza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|capac|pentru caseta aluatpaline pizza 40x30cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|capac|pentru pahar glencairn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|capac|profesional din inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|capac|pu wc pu copii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|capac|pu wc pvc cu desene|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|capaceala|gramador|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|capacete|fly drive 2 hg atitude preto fosco e rosa 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|capacete|fly drive 2 hg flex preto e azul 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|capacete|fly drive 2 hg flex preto e pink 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|capacete|fly drive 2 hg flex preto fosco e grafite 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|capacete|fly drive 2 hg flex preto fosco e grafite 60|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|capacete|fly drive 2 hg pulse preto e vermelho 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|capacete|infantil gow interlagos sweet rosa 54 mp|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
118. W|capacete|pro tork new atomic elite brilhante cap716db tamanho 60|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|capacete|pro tork new liberty three preto 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|capachito|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
121. W|capachito|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
122. W|capachito|reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
123. W|capacillos|capacillos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|capacitacion|y montaje de sistemas hidroponicos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|capaia|capaia|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|capaia|capaia|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=125
127. W|capaia|blue grove hill range|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|capaia|mariellas|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|capaia|mariellas|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|capaia|mariellas|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
131. W|capaia|one|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|capaia|range|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|capaia|range|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
134. W|capaia|rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
135. W|capaia|rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco|=134
136. W|capaia|sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
137. W|capaia|sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco|=136
138. W|capaia|shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
139. W|capairou|tempranillo tinto|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
140. W|capall|ban 2018 coupage|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|capalot|capalot|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|capalot|vecchie viti 2016 barolo|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|capalot|vecchie viti 2019 barolo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|capalot|vecchie viti 2021 barolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|capanelle|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
146. W|capanelle|chianti classico riserva|it|r|??|chianti classico|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
147. W|capanna|capanna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|capanna|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|capanna|rosso di montalcino|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|capanna|sangiobi sangiovese blanc|??|w|sangiovese|??|??|2022|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
151. W|capanna|sangiobi sangiovese blanc|??|w|sangiovese|??|??|2023|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
152. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
154. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
155. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
156. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
157. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
158. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
159. W|capanna|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
160. W|capanna|brunello di montalcino 075|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|capanna|brunello di montalcino 20|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|capanna|brunello di montalcino|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|capanna|brunello di montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|capanna|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|capanna|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|capanna|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|capanna|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|capanna|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
169. W|capanna|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
170. W|capanna|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
171. W|capanna|brunello di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|capanna|brunello di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=171
173. W|capanna|brunello di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=171
174. W|capanna|brunello di montalcino 75|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|capanna|brunello di montalcino 75|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=174
176. W|capanna|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
177. W|capanna|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=176
178. W|capanna|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=176
179. W|capanna|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=176
180. W|capanna|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=176
181. W|capanna|brunello di montalcino docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
182. W|capanna|brunello di montalcino docg riserva|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
183. W|capanna|brunello di montalcino docg riserva|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=182
184. W|capanna|brunello di montalcino nicco|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|capanna|brunello di montalcino riserva 17|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
186. W|capanna|brunello di montalcino riserva|it|r|??|??|??|1997|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
187. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
188. W|capanna|brunello di montalcino riserva 2016 net|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
189. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
190. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
191. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=190
192. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=190
193. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=190
194. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
195. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=194
196. W|capanna|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=194
197. W|capanna|brunello di montalcino riserva docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
198. W|capanna|brunello di montalcino riserva docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
199. W|capanna|brunello di montalcino riserva docg tuscany italy|it|r|??|tuscany|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
200. W|capanna|brunello di montalcino riserva docg tuscany italy|it|r|??|tuscany|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=199
201. W|capanna|brunello montalcino riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
202. W|capanna|brunello riserva|??|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
203. W|capanna|olio extravergine di oliva|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|capanna|rosso del cerro|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|capanna|rosso del cerro 23|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|capanna|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|capanna|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=206
208. W|capanna|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=206
209. W|capanna|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=206
210. W|capanna|rosso di montalcino 075|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|capanna|rosso di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|capanna|rosso di montalcino|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
213. W|capanna|rosso di montalcino|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
214. W|capanna|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|capanna|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=214
216. W|capanna|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=214
217. W|capanna|rosso di montalcino 21|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|capanna|rosso di montalcino 75|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|capanna|sangiobi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|capanna|sangiobi bianco toscana igt|it|w|??|toscana|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
221. W|capanna|sangiobi bianco toscana igt|it|w|??|toscana|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
222. W|capanna|sangiobi white sangiovese 24|??|w|sangiovese|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
223. W|capanna|santantimo doc pinot grigio|??|w|pinot grigio|??|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco
224. W|capanna|santantimo doc pinot grigio|??|w|pinot grigio|??|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco|=223
225. W|capannelle|toscana rosso|it|r|??|toscana|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|capannelle|capannelle|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|capannelle|50 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|capannelle|capannelle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|capannelle|avignonesi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|capannelle|avignonesi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=229
