W|vernaiolo|chianti|it|r|sangiovese|toscana|chianti|2024|13.5|docg|medio|massas; carnes vermelhas; queijos curados|seco
W|panizzi|vernaccia di san gimignano vigna santa margherita|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano vigna santa margherita organic|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano vigna santa margherita|it|w|vernaccia|toscana|san gimignano|2023|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|guicciardini strozzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|tenuta le calcinaie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano santa margherita|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|san benedetto|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva vigna sassi|it|w|vernaccia|toscana|san gimignano|2022|13|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva vigna sassi|it|w|vernaccia|toscana|san gimignano|2021|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva organic|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2022|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2022|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2022|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2022|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva lalbereta|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|la lastra|vernaccia di san gimignano riserva bio|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|la lastra|vernaccia di san gimignano riserva bio|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva bio|it|w|vernaccia|toscana|san gimignano|2021|13|docg|medio|??|seco
W|terre di sovernaja|vernaccia di san gimignano riserva assola|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2014|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2012|13|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2011|13|docg|medio|??|seco
W|cappella santandrea|vernaccia di san gimignano rialto|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|cappella santandrea|vernaccia di san gimignano rialto|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|cappella santandrea|vernaccia di san gimignano rialto|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano organic|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano notte di luna|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|tenuta le calcinaie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|tenuta le calcinaie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2021|12.5|docg|medio|??|seco
W|colombaio di santa chiara|vernaccia di san gimignano lalbereta|it|w|vernaccia|toscana|san gimignano|2020|13|docg|medio|??|seco
W|campochiarenti|vernaccia di san gimignano kalos kai agathos|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|casa alle vacche|vernaccia di san gimignano i macchioni|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2021|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|fugnano|vernaccia di san gimignano donna gina|it|w|vernaccia|toscana|san gimignano|2019|12.5|docg|medio|??|seco
W|villa cusona|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|trambusti|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|colombaio di santa chiara|vernaccia di san gimignano selvabianca|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2018|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2018|13|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano riserva santelena|it|w|vernaccia|toscana|san gimignano|2018|13|docg|medio|??|seco
W|rocca delle macie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano riserva|it|w|vernaccia|toscana|san gimignano|2019|13|docg|medio|??|seco
W|melini|vernaccia di san gimignano le grillaie|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|le ginestrelle|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|sorelli|vernaccia di san gimignano le botteghe|it|w|vernaccia|toscana|san gimignano|2019|12.5|docg|medio|??|seco
W|colombaio di santa chiara|vernaccia di san gimignano lalbereta|it|w|vernaccia|toscana|san gimignano|NV|13|docg|medio|??|seco
W|la lastra|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano isola bianca|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano isola bianca|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano isola bianca|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|il lebbio|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|i colombi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|i colombi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano fiore|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|collegiata|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|cappella santandrea|vernaccia di san gimignano clara stella|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano casanuova|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano casanuova|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano casanuova|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano casanuova|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano casanuova|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|montenidoli|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|cantine guidi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|colombaio di santa chiara|vernaccia di san gimignano campo della pieve|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2025|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2025|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2025|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2025|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2025|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|geografico|vernaccia di san gimignano borgo alla terra|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|la lastra|vernaccia di san gimignano bio|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|fontaleoni|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2021|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2021|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2019|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2016|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|le grillaie|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|doc|medio|??|seco
W|casa alle vacche|vernaccia di san gimignano crocus|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|coli|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|cappella santandrea|vernaccia di san gimignano clara stella|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|castello di querceto|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|castellani|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|castellani|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|fattoria la torre|vernaccia di san gimignano carrobacco|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2020|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2020|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2018|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano carato|it|w|vernaccia|toscana|san gimignano|2018|12.5|docg|medio|??|seco
W|borghi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|fattoria san donato|vernaccia di san gimignano bio|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|fattoria san donato|vernaccia di san gimignano bio|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano bio|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|santa lucia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|panizzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2024|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2023|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2022|12.5|docg|medio|??|seco
W|teruzzi|vernaccia di san gimignano isola bianca|it|w|vernaccia|toscana|san gimignano|2020|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2013|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2007|??|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2007|??|docg|medio|??|seco
W|guicciardini strozzi|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|2003|??|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|1979|??|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|1957|??|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|vernaccia|vernaccia di san gimignano|it|w|vernaccia|toscana|san gimignano|NV|12.5|docg|medio|??|seco
W|contini|vernaccia di oristano|it|w|vernaccia|sardegna|oristano|NV|15.5|doc|encorpado|??|seco
W|vernaccia|vernaccia di oristano superiore|it|w|vernaccia|sardegna|oristano|1970|16|doc|encorpado|??|seco
W|vernaccia|vernaccia di oristano sardinian gold|it|w|vernaccia|sardegna|oristano|1973|16|doc|encorpado|??|seco
W|contini|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|NV|16|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|2006|16|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|2002|16|doc|encorpado|??|seco
W|contini|vernaccia di oristano flor|it|w|vernaccia|sardegna|oristano|2021|15.5|doc|encorpado|??|seco
W|contini|vernaccia di oristano flor|it|w|vernaccia|sardegna|oristano|2021|15.5|doc|encorpado|??|seco
W|contini|vernaccia di oristano flor|it|w|vernaccia|sardegna|oristano|2020|15.5|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|2006|16|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|2006|21|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|2002|16|doc|encorpado|??|seco
W|contini|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|1995|16|doc|encorpado|??|seco
W|silvio carta|vernaccia di oristano riserva|it|w|vernaccia|sardegna|oristano|1968|19|doc|encorpado|??|seco
