W|giochessa|giochessa|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|giodo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|giodo|brunello di montalcino legendarisk vin tilbud|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|giodo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
W|giodo|brunello di montalcino eksklusiv vinoplevelse|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|giodo|brunello di montalcino udsalg til 1595 dkk|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|giodo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=25
W|giodo|brunello di montalcino legendarisk vinoplevelse|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino mg|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino podere giodo|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|giodo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|giodo|brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giodo|brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|giodo|brunello di montalcino 75|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino brunello di montalcino docg vino rosso|it|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino docg|it|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino docg|it|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|brunello di montalcino owc|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|giodo|la quinta|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|giodo|la quinta|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|giodo|la quinta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|giodo|la quinta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|giodo|la quinta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|giodo|la quinta|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta igt toscana carlo ferrini|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta igt toscana rosso vino rosso|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta rosso toscana|it|r|??|tuscany|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta rosso toscana igt|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta rosso toscano igt|??|r|??|??|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta sangiovese|??|r|sangiovese|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta sangiovese|??|r|sangiovese|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|giodo|la quinta sangiovese toscana|it|r|sangiovese|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta toscana igt|it|r|??|tuscany|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|la quinta toscana igt|it|r|??|tuscany|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|giodo|la quinta toscana igt|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|nerello mascalese alberelli di giodo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|rosso toscana igt|it|r|??|tuscany|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|sicilia carricante|it|r|??|sicily|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|terre siciliane nerello mascalese|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|toscana rosso igt|it|r|??|tuscany|??|2013|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giodo|toscana rosso la quinta|it|r|??|tuscany|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioe|amarone della valpolicella classico docg santa sofia|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giogalto|giogalto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogalto|giogalto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogantinu|arveskida vermentino sup docg bw|??|w|??|??|??|2024|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|giogantinu|cannonau sardegna doc rr|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giogantinu|lugheluna vermentino sup docg bw|??|w|??|??|??|2021|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|giogantinu|manzanu vermentino docg bw|??|w|??|??|??|2024|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|giogantinu|nottechelu isola nuraghi igt rr|??|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giogantinu|vermentino di gallura docg giogantinu|??|w|??|??|??|2024|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|giogio|freisa vino rosso summer wolff|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogio|sangiovese igp|??|r|sangiovese|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|giogio|sangiovese pgi|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogio|sangiovese pgi box|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogio|summer wolff cerrina al|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giogiosangiovese|igp scatola|??|r|sangiovese|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|giogu|cannonau di sardegna doc famiglia demelas|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giogu|famiglia demelas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioi|san salvatore rose millesimato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gioia|gioia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|tenuta larmonia|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|tenuta larmonia|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|gioia|aurora merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|dautunno classico merlot ticino doc|??|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|dautunno rosato spumante igt|??|s|??|??|??|nv|12|igt|leve|aperitivos, frutos do mar, canapes|seco
W|gioia|del colle doc fatalone|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle doc primitivo fatalone|??|r|primitivo|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle doc primitivo fatalone|??|r|primitivo|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gioia|del colle doc primitivo fatalone|??|r|primitivo|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gioia|del colle doc primitivo fatalone|??|r|primitivo|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gioia|del colle doc primitivo riserva fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle doc primitivo riserva fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gioia|del colle doc primitivo riserva fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gioia|del colle doc primitivo riserva fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gioia|del colle doc primitivo riserva fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gioia|del colle dop primitivo adelphos angiuli donato|??|r|primitivo|??|??|2015|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gioia|del colle primitivo doc 14 polvanera|??|r|primitivo|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gioia|del colle primitivo doc 17 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo doc 17 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gioia|del colle primitivo doc 17 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gioia|del colle primitivo doc 17 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gioia|del colle primitivo doc 17 polvanera|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gioia|del colle primitivo doc senatore coppi|??|r|primitivo|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo doc senatore coppi|??|r|primitivo|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gioia|del colle primitivo doc senatore coppi|??|r|primitivo|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gioia|del colle primitivo doc senatore coppi|??|r|primitivo|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gioia|del colle primitivo dop adelphos angiuli donato|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo dop adelphos angiuli donato|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|gioia|del colle primitivo dop adelphos angiuli donato|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|gioia|del colle primitivo dop adelphos angiuli donato|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|gioia|del colle primitivo dop adelphos angiuli donato|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|gioia|del colle primitivo riserva doc fatalone|??|r|primitivo|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|del colle primitivo riserva doc fatalone|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|fiano igp puglia|it|w|??|??|??|2024|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gioia|fior di latte lbs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|flats latteblack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|luisa lemoncello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|luisa lemoncello creme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|luisa lemoncello creme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|gioia|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|merlot do|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|merlot do|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|gioia|merlot do|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|gioia|merlot do 6un|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|merlot do 750 mladicionar|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|mia piemonte doc dolcetto 13|it|r|??|??|??|2025|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gioia|mia piemonte doc dolcetto 13|it|r|??|??|??|2025|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=191
W|gioia|mozzarella curd|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|rosa murgia igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|rosa rosato puglia igt|it|p|??|??|??|2023|12.5|igt|leve|aperitivos, frutos do mar, saladas|seco
W|gioia|sur lie nature do 6un|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioia|vermentino villa santo stefano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gioia|whey for ricotta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiamia|gioiamia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioias|gioias|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioias|gioias|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=200
W|gioias|cantina puddu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioias|igp|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gioias|isola dei nuraghi bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gioie|of cofanetto taste mignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioie|of cofanetto taste mignon bonollo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioie|pesci lakridsfisk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiella|burrata igp 230g|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiella|cuor di burrata stracciatella 140g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiella|mini burrata 320g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiella|organic burrata 225g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiello|distillato di miele di acacia ml 350 nonino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioiello|distillato di miele di castagno ml 350 nonino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gioiosa|prosecco frizzante nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gioiosa|rose bezalkoholowy|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gioioso|frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gioja|romagna albana docg dry|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioja|romagna albana docg dry box|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioja|romagna albana docg secco|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioja|romagna albana docg secco scatola|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|cabernet sauvignon kologisk rdvin uden tilsatte sulfitter veneto italien|it|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
