W|grillo|giardinello doc sicilia|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grillo|viognier|??|w|viognier|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grillo|y la luna cri cri canto grillo somontano spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|zagra valle dellacate|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillo|zagra valle dellacate|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillocatarratto|giato bianco centopassi|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grillocatarratto|giato bianco organic|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grilloiole|refosco dal peduncolo rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilloiole|sauvignon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilloiole|schioppettino|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillon|charentais conserverie maison marthe ile doleron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos des|grillons blanc vin de france le grillons|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grillons|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillons|rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillons|rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=153
W|clos des|grillons rouge vin de france le grillons|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillos|reposado reserva especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grillowane|filety z makreli w sosie wasnym|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillowane|mieso drobiowe z kurczaka gyros 1kg bikre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillowane|mieso wieprzowe gyros 1kg bikre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillpaket|grillpaket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillpaket|grillpaket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grillpaket|prime|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillpanne|325 cm hot wok|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillrostschrubber|mit langem griff fur big green egg kaufen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillsalt|grillsalt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillsalt|med kvrn hr skov|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillsaucen|set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillset|no 1 bbq klassiker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillset|no 2 bavarians best|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillset|no 3 international cuts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillset|no 4 kalbsgenuss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillset|no 5 viva espana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillsoesuutaja|eco 32tk kuubikud|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillspyd|i rustfritt stal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilltang|i rustfritt stal med trehandtak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilltang|med navn kkkenudstyr til 19900 dkk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillviner|fran languedoc 32 flaskor|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillworst|grillworst|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillworst|grillworst|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|grillworst|zaanlander kaas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillz|dorados|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grillz|plata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilos|branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilos|bruto branco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grilos|dao red reserva 2022case only|pt|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grilos|reserva tinto|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovaci|jehla sampur na maso a zeleninu 1 kus 50 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovaci|jehla sampur na maso a zeleninu 1 kus 50 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|grilovana|kridelka|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovana|ryba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovana|susena rajcata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovana|zelenina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovane|kure|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovane|lilky|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovane|papriky nalozene 280g 950g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grilovane|zampiony|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimalda|bijelo matosevic|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimalda|crno|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimalda|matosevic istria cro|hr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimalda|plava eko matosevic|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barbara dalba pistin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barbera dalba superiore scassa|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=203
W|grimaldi|barolo bricco ambrogio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barolo camilla|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|barolo wine|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|bricco san biagio barolo docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|diano dalba barolo|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|giacomo barolo sotto castello di novello|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|langhe sauvignon|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|manzola barbaresco docg|it|r|??|barbaresco|barbaresco|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|moscato dasti docg|??|r|moscato|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo bonurei|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo d alba|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo dalba|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo dalba bonurei|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo dalba bonurei|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|nebbiolo dalba doc bonurei|??|r|nebbiolo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaldi|verdicchio di matelica doc marche italy|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grimalt|caballero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimaltcaballero|callet|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grimard|19 ch bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
