W|pinot noir|2024|??|r|pinot noir|??|??|2024|??|??|??|??|??
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2023|??|r|pinot noir|??|??|2023|??|??|??|??|??|=28
W|pinot noir|2022 zum sonnengut|??|r|pinot noir|??|??|2022|??|??|??|??|??
W|pinot noir|2022 yarra valley|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 wino ekologiczne|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 vin de france|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 vin dalsace|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 suche|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 strangenberg|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 selektion p reserve 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 sandridge barton|us|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 rouge|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 ray monde vineyard|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 pasji rep demeter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 our flagship wine|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 mercurey|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 langenlois 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 im eichenfass gereift|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 gumpoldskirchen 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 frejunky|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 doc venizia italien|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 coeur de tri|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 coco toaru series|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 brut nature|??|s|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 brand pur|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 bodega headlands cuvee elizabeth catherineelizabeth inc occid|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 blanc de noirs barrique moyenne|??|w|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 bio|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 aoc alsace cur de cru|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 ancestral 750mlde porcomprar|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 ancestral|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 alsace wine|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 adulation|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 075 liter|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 075|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022 0|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2022|??|r|pinot noir|??|??|2022|??|??|??|??|??|=128
W|pinot noir|2021case only|??|r|pinot noir|??|??|NV|??|??|??|??|??|=25
W|pinot noir|2021case only|??|r|pinot noir|??|??|NV|??|??|??|??|??|=25
W|pinot noir|20212022 suche bio family reserve|??|r|pinot noir|??|??|NV|??|??|??|??|??|=25
W|pinot noir|2021 wagram 075 liter|??|r|pinot noir|??|??|2021|??|??|??|??|??
W|pinot noir|2021 vigneti delle dolomiti igt|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 scherpenheuvel ul|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 scherpenheuvel|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 rulandske modre|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 roganto|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 ried satzen maurerberg dolomitkalk 075 liter|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 reserve 075 liter|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 piri naturel|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 north canterbury|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 library wine|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 library wine|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 keller am see|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 jakostni suche ra|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 coco toaru series|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 bourgogne vr|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 bannockburn|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 750m|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 11|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 075 liter|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021 0 bio|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2021|??|r|pinot noir|??|??|2021|??|??|??|??|??|=213
W|pinot noir|2020case only|??|r|pinot noir|??|??|NV|??|??|??|??|??|=25
W|pinot noir|2020 vigne juste|??|r|pinot noir|??|??|2020|??|??|??|??|??
W|pinot noir|2020 vaso ramazashvili georgia|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 ried satzen maurerberg dolomitkalk 075 liter|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 pierre ponnelle|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 north canterbury|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 lyme bay|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 la cabane|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 juliet romeo|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 juliet and romeo|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot noir|2020 groes gewachs 075 liter|??|r|pinot noir|??|??|2020|??|??|??|??|??|=265
W|pinot nero|tre venezie la magnolia|??|r|??|??|??|NV|??|??|??|??|??
W|pinot nero|tramin|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|tiefenbrunner turmhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|bottega vinai cavit 2019|??|r|??|??|??|2019|??|??|??|??|??
W|pinot nero|blauburgunder vigna hausmannhof haderburg|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|blauburgunder plonerhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|blauburgunder elena walch 2023|??|r|??|??|??|2023|??|??|??|??|??
W|pinot nero|blauburgunder doc desilva 2021 peter solva|??|r|??|??|??|2021|??|??|??|??|??
W|pinot nero|blauburgunder doc alto adige rottensteiner|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|blauburgunder doc alto adige 2023 kellerei kurtatsch|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|blauburgunder doc 2021 brunnenhof|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|blauburgunder alto adige doc 2024 muri gries|??|r|??|??|??|2024|??|??|??|??|??
W|pinot nero|blauburgunder alto adige doc 2023 k martini sohn|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|blauburgunder alto adige doc|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|blauburgunder 2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|blauburgunder 2023 cantina tramin|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|blauburgunder 2021|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|blauburgunder|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|blauburgunder|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|bio tili 2019|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|bio sfusobuono|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|bio sfusobuono|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|bianco matteo piccinini|??|w|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|bertone 2019 conte vistarino|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|barthenau hofstatter vigna surbano|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|barthenau hofstatter vigna surbano|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|barthenau 2015 vigna s urbano hofstatter|??|r|??|??|??|2015|??|??|??|??|??
W|pinot nero|barda 2023 bodega chacra|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|barda 2021 magnum bodega chacra|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|bachmann 2020 alto adige doc|??|r|??|??|??|2020|??|??|??|??|??
W|pinot nero|apertura doc 2020 cascina pastori colombo|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|apertura doc 2016 cascina pastori colombo|??|r|??|??|??|2016|??|??|??|??|??
W|pinot nero|apertura 2021 colombo piemonte doc|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|antonutti|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|antonutti|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|antinori|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|antinori|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|andrian 2022|??|r|??|??|??|2022|??|??|??|??|??
W|pinot nero|andrea formilli fendi 2020|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|alturis|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alturis|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|altoadige doc 2022 hartmann dona|??|r|??|??|??|2022|??|??|??|??|??|=312
