1. W|cantine colosi|nero davola terre siciliane igp|it|r|nero davola|sicilia|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
21. W|cantine curti|gattinara|it|r|??|??|??|1969|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cantine da|vinci i capolavori brunello di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
23. W|cantine da|vinci i capolavori chianti riserva vergine delle rocce|it|r|??|chianti|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
24. W|cantine da|vinci leonardo chianti classico riserva docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
25. W|cantine damilano|barolo cannubi 2008 piemonte italy|it|r|??|piemonte|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cantine damilano|barolo riserva cannubi 1752 2008 piemonte italy|it|r|??|piemonte|??|2008|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
27. W|cantine de|falco artiglio|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cantine de|falco artiglio susumaniello igp salento rich italian red wine|it|r|susumaniello|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
29. W|cantine de|falco bocca della verita|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|cantine de|falco bocca della verita|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=29
31. W|cantine de|falco bocca della verita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|cantine de|falco bocca della verita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|cantine de|falco bocca della verita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|cantine de|falco bocca della verita salento italy primitivo|it|r|primitivo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
35. W|cantine de|falco caolino fiano|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
36. W|cantine de|falco falco nero riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
37. W|cantine de|falco falco nero riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=36
38. W|cantine de|falco nero riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
39. W|cantine de|falco p primitivo de salento|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
40. W|cantine de|falco passione passito salento|it|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
41. W|cantine de|falco primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
42. W|cantine de|falco primitivo bocca della verita|it|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
43. W|cantine de|falco primitivo bocca dverita salento|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
44. W|cantine de|falco primitivo di manduria ottante|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
45. W|cantine de|falco primitivo di manduria ottante|it|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
46. W|cantine de|falco primitivo p|it|r|primitivo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
47. W|cantine de|falco rosato salento igp dry puglia rose wine uk|it|p|??|puglia|??|NV|12|igp|leve|carne vermelha, massas, queijos curados|seco
48. W|cantine de|falco salice salentino salore|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|cantine de|falco serre di sant elia squinzano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|cantine de|falco stelle di lorenzo rosato|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
51. W|cantine de|falco verdeca|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|cantine de|fermo concrete|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|cantine de|fermo don carlino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|cantine de|fermo launegild|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|cantine de|fermo prologo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|cantine de|luca nettare di abramo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|cantine dei|bossona riserva vino nobile di montepulciano docg|it|r|montepulciano|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
58. W|cantine dei|marchesi barolo barbera|it|r|barbera|??|??|1983|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
59. W|cantine dei|marchesi cortese|it|w|??|??|??|1978|12.5|??|medio|peixes, frutos do mar, saladas|seco
60. W|cantine dei|marchesi di barolo barbera delle langhe|it|r|barbera|??|??|1979|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|cantine dei|marchesi di incisa della rocchetta roero arneis docg piedmont italy|it|r|??|piedmont|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
62. W|cantine dei|marchesi di incisa della rocchetta sant emiliano barbera dasti superiore docg italy|it|r|barbera|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
63. W|cantine dei|marchesi incisa della rocchetta santemiliano barbera dasti docg|it|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
64. W|cantine dei|marchesi incisa della rocchetta valmorena barbera dasti docg|it|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
65. W|cantine dei|martiena igt bianco toscana|it|w|??|toscana|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
66. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
67. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
68. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=67
69. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
70. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
71. W|cantine dei|rosso di montepulciano|it|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=70
72. W|cantine dei|toscana martiena white wine|it|w|??|toscana|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
73. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
74. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
75. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=74
76. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=74
77. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
78. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=77
79. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=77
80. W|cantine dei|vino nobile di montepulciano|it|r|montepulciano|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
81. W|cantine dei|vino nobile di montepulciano bossona riserva 2016 fadobozban|it|r|montepulciano|??|??|2016|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
82. W|cantine dei|vino nobile di montepulciano bossona riserva 2016 fadobozban|it|r|montepulciano|??|??|2016|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco|=81
83. W|cantine dei|vino nobile di montepulciano bossona riserva|it|r|montepulciano|??|??|2017|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
84. W|cantine dei|vino nobile di montepulciano bossona riserva|it|r|montepulciano|??|??|2018|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
85. W|cantine dei|vino nobile di montepulciano docg|it|r|montepulciano|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
86. W|cantine dei|vino nobile di montepulciano docg|it|r|montepulciano|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco|=85
87. W|cantine dei|vino nobile di montepulciano docg|it|r|montepulciano|??|??|2018|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
88. W|cantine dei|vino nobile di montepulciano docg owc|it|r|montepulciano|??|??|2018|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
89. W|cantine dei|vino nobile di montepulciano docg riserva bossona|it|r|montepulciano|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
90. W|cantine dei|vino nobile di montepulciano madonna della querce|it|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
91. W|cantine dei|vino nobile di montepulciano madonna della querce|it|r|montepulciano|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=90
92. W|cantine dei|vino nobile di montepulciano madonna della querce docg|it|r|montepulciano|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
93. W|cantine dei|vino nobile di montepulciano riserva bossona|it|r|montepulciano|??|??|2015|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
94. W|cantine dei|vino nobile di montepulciano riserva bossona docg|it|r|montepulciano|??|??|2008|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
95. W|cantine dei|vino nobile di montepulciano riserva bossona docg|it|r|montepulciano|??|??|2015|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
96. W|cantine dei|vino nobile di montepulciano riserva bossona docg|it|r|montepulciano|??|??|2016|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
97. W|cantine dei|vino nobile di montepulciano riserva bossona docg|it|r|montepulciano|??|??|2016|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco|=96
98. W|cantine dei|vino nobile di montepulciano riserva bossona docg|it|r|montepulciano|??|??|2016|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco|=96
99. W|cantine del|borgo reale barbera dasti docg|it|r|barbera|??|??|2019|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
100. W|cantine del|borgo reale barolo docg|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
101. W|cantine del|borgo reale langhe nebbiolo doc|it|r|nebbiolo|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
102. W|cantine del|castello conti boca doc rosso delle donne|it|r|??|??|??|2005|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
103. W|cantine del|castello conti boca doc rosso delle donne|it|r|??|??|??|2014|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
104. W|cantine del|castello conti boca il rosso delle donne|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|cantine del|castello di conti boca|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cantine del|castello di conti il rosso delle donne boca piedmont italy|it|r|??|piedmont|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|cantine del|conte primitivo di manduria|it|r|primitivo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
108. W|cantine del|funaro cala zagaro primitivo puglia igp|it|r|primitivo|puglia|??|2025|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
109. W|cantine del|glicine barbaresco vigna cura|it|r|??|??|??|1978|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|cantine del|indie cerasuolo dabruzzo rose|it|p|??|??|??|2017|12|??|leve|carne vermelha, massas, queijos curados|seco
111. W|cantine del|mare campi flegrei falanghina torrefumo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|cantine del|mare falanghina luce flegrea|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|cantine del|mare piedirosso riserva campi flegrei sorbo rosso|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
114. W|cantine del|mare piedirosso riserva campi flegrei terre del padre|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
115. W|cantine del|notaio aglianico del vulture|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|cantine del|notaio aglianico del vulture il repertorio|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|cantine del|notaio aglianico del vulture il repertorio|it|r|aglianico|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cantine del|notaio aglianico del vulture la firma|it|r|aglianico|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cantine del|notaio aglianico del vulture latto|it|r|aglianico|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. X
121. W|cantine del|notaio aglianico del vulture notaio il sigillo|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cantine del|notaio basilicata igt aglianico latto|it|r|aglianico|basilicata|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
123. W|cantine del|notaio il preliminare|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cantine del|notaio il preliminare|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|cantine del|notaio il preliminare|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|cantine del|notaio il preliminare bianco secco igt basilicata italy|it|w|??|basilicata|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
127. W|cantine del|notaio il repertorio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|cantine del|notaio il repertorio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
129. W|cantine del|notaio il repertorio|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|cantine del|notaio il repertorio aglianico del vulture doc|it|r|aglianico|??|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
131. W|cantine del|notaio il rogito|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|cantine del|notaio il sigillo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|cantine del|notaio il sigillo aglianico del vulture doc|it|r|aglianico|??|??|2013|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
134. W|cantine del|notaio la firma|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|cantine del|notaio la firma|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=134
136. W|cantine del|notaio la firma aglianico del vulture|it|r|aglianico|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|cantine del|notaio la parcella|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|cantine del|notaio la scrittura|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|cantine del|notaio la scrittura rosato|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
140. W|cantine del|notaio latto|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|cantine del|notaio latto|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
142. W|cantine del|notaio latto|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cantine del|notaio latto aglianico igt basilicata italy|it|r|aglianico|basilicata|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
144. W|cantine del|notaio latto aglianico igt basilicata italy|it|r|aglianico|basilicata|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=143
145. W|cantine del|notaio latto basilicata red wine|it|r|??|basilicata|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|cantine del|notaio latto basilicata rosso igt italy|it|r|??|basilicata|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
147. W|cantine del|notaio latto basilicata rosso igt italy|it|r|??|basilicata|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|cantine del|notaio latto rosso|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|cantine del|notaio lautentica|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|cantine del|tramin pinot nero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cantine del|vermentino kiri|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
152. W|cantine delibori|villa cordevigo bardolino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|cantine delibori|villa cordevigo fiordilej passito|it|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
154. S
155. S
156. W|cantine delibori|villabella chiaretto di bardolino classico|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
157. W|cantine delibori|villabella corvina montemazzano|it|r|corvina|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|cantine dellangelo|coda di volpe|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|cantine dellangelo|del nonno coda di volpe dop|it|r|??|??|??|2022|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
160. W|cantine dellangelo|del nonno coda di volpe dop|it|r|??|??|??|2022|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|cantine dellangelo|irpinia coda di volpe del nonno|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|cantine dellangelo|irpinia coda di volpe del nonno|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|cantine dellangelo|irpinia dop coda di volpe del nonno|it|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
164. W|cantine dellangelo|miniere greco di tufo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|cantine dellangelo|miniere greco di tufo|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|cantine dellangelo|miniere greco di tufo riserva docg|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
167. W|cantine dellangelo|miniere greco di tufo riserva dop|it|r|??|??|??|2021|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
168. W|cantine dellangelo|miniere greco di tufo riserva dop|it|r|??|??|??|2021|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=167
169. W|cantine dellangelo|torrefavle greco di tufo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|cantine delsignore|coste della sesia spanna|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|cantine di|barolo marchesi dolcetto|it|r|dolcetto|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|cantine di|barolo marchesi freisa|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|cantine di|carpi e sorbara lambrusco di modena dop amabile bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
174. W|cantine di|carpi e sorbara lambrusco di modena dop bio rosso secco bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
175. W|cantine di|carpi e sorbara lambrusco di sorbara dop emma amabile bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
176. W|cantine di|carpi e sorbara lambrusco di sorbara dop gino friedmann bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
177. W|cantine di|carpi e sorbara lambrusco grasparossa di castelvetro dop bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
178. W|cantine di|carpi e sorbara lambrusco mantovano dop rosso frizzante bot|it|s|lambrusco|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
179. W|cantine di|carpi e sorbara piazza grande spumante rosato dop bot|it|s|??|??|??|NV|12|dop|leve|frutos do mar, aperitivos, sushi|brut
180. W|cantine di|carpi e sorbara spumante pignoletto bot|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
181. W|cantine di|dolianova vermentino|it|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
182. W|cantine di|dolianova vermentino di sardegna in cantos|it|w|vermentino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|cantine di|indie lunedi 2016 montepulciano italy|it|r|montepulciano|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
184. W|cantine di|indie polpo nerello mascalese 2022 sicily italy|it|r|??|sicily|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|cantine di|indie popolo di indie 2019 italy|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|cantine di|indie popolo langhe rosso|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|cantine di|indie rosso polpo|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|cantine di|marzo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|cantine di|marzo colle serrone greco di tufo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|cantine di|marzo fiano di avellino classico|it|w|??|??|??|2022|12.5|classico|medio|peixes, frutos do mar, saladas|seco
191. W|cantine di|marzo fiano di avellino classico|it|w|??|??|??|2023|12.5|classico|medio|peixes, frutos do mar, saladas|seco
192. W|cantine di|marzo fiano di avellino docg|it|w|??|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
193. W|cantine di|marzo fiano di avellino docg|it|w|??|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco|=192
194. W|cantine di|marzo fiano di avellino docg|it|w|??|??|??|2019|12.5|docg|medio|peixes, frutos do mar, saladas|seco
195. W|cantine di|marzo fiano di avellino docg vin alb|it|w|??|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
196. W|cantine di|marzo greco di tufo|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|cantine di|marzo greco di tufo docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
198. W|cantine di|marzo greco di tufo docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=197
199. W|cantine di|marzo greco di tufo docg|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
200. W|cantine di|marzo irpinia aglianico|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|cantine di|marzo irpinia aglianico|it|r|aglianico|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|cantine di|marzo irpinia aglianico|it|r|aglianico|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|cantine di|marzo irpinia aglianico doc|it|r|aglianico|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
204. W|cantine di|marzo taurasi|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|cantine di|marzo taurasi docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
206. W|cantine di|marzo taurasi docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
207. W|cantine di|marzo vigna laure greco di tufo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cantine di|marzo vigna laure greco di tufo riserva docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
