W|gotas|amargas nativo bitters orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de mar godello barrica|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de mar godello barrica|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|gotas|de mar rias baixas albarino|??|w|albarino|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|de mar ribeiro godello spain|es|r|godello|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de nanokeratina liquida concentrada reparacion intensiva del cabello seco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de sicilia|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|de vida tomo 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|del mar albarino rias baixas 6 case|??|w|albarino|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotas|del mar godello ribeiro 6 case|??|r|godello|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|meio amargo harald 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|pediatricas mucosina oral alivia la tos naranja ml|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|top meio amargo harald 1010kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|top pistache 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotas|top pistache harald 1010kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotberg|ryzlink rynsky|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotcha|gotcha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotero|con miel melipona queenbee honey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goteros|craneo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotes|del montsant|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotes|del priorat|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotes|del priorat|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gotes|del priorat|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gotes|del priorat portal del priorat spanien|es|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotes|del priorat|es|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotes|priorat doq 104 z|es|r|??|??|??|2020|13.5|doq|encorpado|carnes vermelhas, massas, queijos|seco
W|goth|goth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goth|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goth|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|bitter allko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|dok 61 vermouth rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|dok 61 vermouth rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|gotha|drai vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|drai vermouth dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|nv vermouth rosso dok 61|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|settemezzo carte bolognesi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|vermouth rosso dok 61|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotha|vermouth rosso dok 61 bologna italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotham|langhorne creek cabernet sauvignon australia|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotham|langhorne creek shiraz australia|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|gotham|project elqui valley sauvignon blanc keg|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotham|project sicilian pinot grigio keg|it|w|pinot grigio|sicily|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotham|project the finger riesling keg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotham|shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gothic|cartoon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gothic|wine glasses by cristal darques france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotica|cosechero verdejo rueda|es|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotico|rosso piceno superiore dop bio ciu ciu|??|r|??|??|??|2018|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore dop bio ciu ciu|??|r|??|??|??|2019|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|ciu ciu rosso piceno superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore bio 6st|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore bio vegan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore bioveg dop|??|r|??|??|??|2018|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore dop bio vegan|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore dop bio vegan 1|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gotico|rosso piceno superiore dopciu ciu lt 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotim|blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
W|gotim|blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotim|blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=90
W|gotim|bru 050cl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru jeroboam|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gotim|bru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gotim|bru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gotim|bru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gotim|bru|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotim|bru crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotinsprun|dac bio|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotje|nuts art bar mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotje|smokehouse almonds|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotlandarmring|drake brons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotlands|bittar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goto|pien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goto|red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotoken|hakodate curry mild 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotomarumasu|plum udon noodle 240g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotonagasaki|goto wagyu beef bone stock soup for hot pot 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotoseika|organic ginger shot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowa|szwajcarska mieszanka do fondue kaltbach 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowana|piers z indyka z rozmarynem 200 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowy|drink chopin signature cocktails classic negroni rtd 29|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowy|drink chopin signature cocktails espresso martini rtd 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowy|drink chopin signature cocktails hawaii summer rtd 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowy|drink chopin signature cocktails potato manhattan rtd 33|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotowy|drink chopin signature cocktails potato martini rtd 32|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family chinuri petnat|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family kisi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wine chkhaveri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wines saperavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wines saperavi gotsa kvevri|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wines saperavi rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gotsa|family wines tavkveri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wines tavkveri gotsa kvevri|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|family wines tsitska gotsa kvevri|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|kartli piquette of saperavi conscious exit nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|narinji|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|saperavi reserve|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|saperavi reserve|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|tavkveri|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|tavkveri pet nat|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|tavkveri petnat|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|tsitska tsolikouri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotsa|tsitskatsolikouri|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|gottardi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder pinot noir|??|r|pinot noir|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|alto adige pinot nero|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder doc mazzon|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder mazzon pinot nero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder mazzon pinot nero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gottardi|blauburgunder mazzon pinot nero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gottardi|blauburgunder mazzon pinot nero|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|blauburgunder mazzon selection|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|mazzon pinot nero doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero mazzon cl150|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero mazzon 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero mazzon 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gottardi|pinot nero riserva|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero riserva|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero riserva|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gottardi|pinot nero riserva|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|gottardi|pinot nero riserva mazzon 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero selection alexander gottardi mazzon|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero selezione mazzon 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottardi|pinot nero sudtiroler blauburgunder doc vino rosso|??|r|??|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gottelmann|kapellenberg riesling spatlese|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|kapellenberg riesling vollmond dry|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|munsterer kapellenberg riesling auslese|??|d|riesling|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gottelmann|kapellenberg le mur riesling dry|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|kapellenberg riesling spatlese|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|chardonnay dry|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|black slate riesling dry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|chardonnay dry|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|dautenpflanzer riesling dry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|munsterer vom schiefer riesling offdry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelmann|red slate riesling dry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottelsbrunn|edles tal carnuntum|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottenheimer|kirchberg chardonnay kabinett|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottenheimer|kirchberg grauburgunder kabinett|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottenheimer|kirchberg weiburgunder kabinett|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotter|1500|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotter|brauerei osiris|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotter|waisse 1500|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottes|tier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottesfu|alte reben riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottesfu|alte reben riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=184
W|gottesfu|riesling alte reben|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottfried|lamprecht buchertberg rot blaufrankisch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottfried|lamprecht buchertberg wei gemischter satz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottfried|lamprecht furmint vom sandstein|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottfried|lamprecht pinot noir vom opok|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottfried|lamprecht sauvignon blanc silt kies|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottfried|lamprecht weiburgunder sand kalk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotthelf|emmentaler aop third of a pound|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlesbrunn|rot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlesbrunn|rot|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlesbrunn|wei dac bio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlesbrunn|weiss|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlesbrunn|weiss dac bio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlich|gottlich|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlich|chenin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlieben|und sunnehalde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlieber|huppen kartause ittingen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlieber|mini hueppen 1300 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlieber|tradition hueppen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottlieber|wafer rolls 150 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotto|d oro frascati doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gotto|doro castelli romani rosato sangiovese blend|??|p|sangiovese|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gotto|doro castelli romani sangiovese blend|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotto|doro frascati malvasia blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gottsacker|chardonnay gg vdp|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottsacker|chardonnay gg vdp|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gottwald|boraszat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotu|kola 100 kapsler solgar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotu|kola centella asiatica chopped plant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaj furmint szaraz|hu|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaj furmint szaraz|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaj sargamuskotaly|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji aszu 6 puttonyos|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji aszu 6 puttonyos|hu|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji aszu 6 puttonyos 05|hu|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji aszu 6 puttonyos 05|hu|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji aszu 6 puttonyos 05|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji cuvee edes kesoi szuret|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji cuvee keso szuretelesu edes bor 05|hu|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji eszencia|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gotz|tokaji furmint|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaji furmint feher feledes bor 075|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaji furmint feledes|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaji furmint feledes 075|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gotz|tokaji furmint szaraz|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
