W|hess|cabernet sauvignon mvrk retail 22|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection allomi cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection allomi cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection allomi cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection allomi chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection allomi chardonnay 2021|??|w|chardonnay|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco
W|hess|collection allomi napa valley chardonnay|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection allomi pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection allomi pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=18
W|hess|collection allomi vineyard cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection artezin zinfandel 2020|??|r|zinfandel|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection cabernet sauvignon allomi vineyard 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection cabernet sauvignon allomi vineyard 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection cabernet sauvignon allomi vineyard napa valley|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection cabernet sauvignon iron corral|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection cabernet sauvignon lion tamer 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection cabernet sauvignon mount veeder|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection cabernet sauvignon mount veeder|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection cabernet sauvignon mount veeder estate 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection cabernet sauvignon mount veeder napa valley estate grown 2018|us|r|cabernet sauvignon|napa valley|napa valley|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|collection cabernet sauvignon mt veeder 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|collection cabernet sauvignon the lion 2016|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection cabernet sauvignon the lion 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay 2021|??|w|chardonnay|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|collection chardonnay allomi vineyard napa valley|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay estate grown|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay mount veeder|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay napa valley|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay napa valley|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay napa valley 2022 hess persson|us|w|chardonnay|napa valley|napa valley|2022|13|??|medio|peixes, frango, queijos leves|seco
W|hess|collection chardonnay panthera|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection chardonnay suskol vineyard 2019|??|w|chardonnay|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco|=6
W|hess|collection chardonnay the lioness 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco
W|hess|collection estate grown 2019 mount veeder napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|collection estate napa valley cabernet sauvignon 2001|us|r|cabernet sauvignon|napa valley|napa valley|2001|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection iron corral cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection iron corral cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|collection iron corral napa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection iron corral napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection lion tamer 2022 napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection lion tamer 2022 napa valley red blend|us|r|??|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection lion tamer 2022 napa valley red blend|us|r|??|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=71
X
W|hess|collection lion tamer cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=49
W|hess|collection lion tamer cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|collection lion tamer cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection lion tamer cabernet sauvignon napa 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection lion tamer napa valley 2018|us|??|??|napa valley|napa valley|2018|??|??|??|??|seco
X
W|hess|collection lion tamer napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection lion tamer napa valley red blend|us|r|??|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection lion tamer napa valley red blend|us|r|??|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
X
X
W|hess|collection maverick ranches cabernet sauvignon 2022 usa|us|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection monterey shirtail creek vineyard chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection mount veeder cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection mount veeder cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|collection mount veeder cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection mount veeder cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection mount veeder cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection mount veeder napa valley estate grown 2018|us|??|??|napa valley|napa valley|2018|??|??|??|??|seco|=78
W|hess|collection mount veeder the lioness chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection mount veeder the lioness chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection mt veeder napa valley cabernet sauvignon allomi vineyard 2021|us|r|cabernet sauvignon|napa valley|napa valley|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection mt veeder napa valley cabernet sauvignon allomi vineyard 2022|us|r|cabernet sauvignon|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection mt veeder napa valley cabernet sauvignon allomi vineyard 2022|us|r|cabernet sauvignon|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection mt veeder the lion tamer red blend napa valley 2022|us|r|??|napa valley|napa valley|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=71
W|hess|collection mtveedernapa valley cabernet sauvignon mt veeder estate 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|collection napa cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection napa chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection napa chardonnay 2023|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|collection napa pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|collection napa the lion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection napa the lion cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|collection napa valley allomi vineyard cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection napa valley chardonnay|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection napa valley chardonnay|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection napa valley chardonnay 2017|us|w|chardonnay|napa valley|napa valley|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|collection napa valley chardonnay 2018|us|w|chardonnay|napa valley|napa valley|2018|13|??|medio|peixes, frango, queijos leves|seco|=11
W|hess|collection panthera 2017 russian river valley chardonnay|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|collection panthera 2018 russian river valley chardonnay|??|w|chardonnay|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco|=11
W|hess|collection panthera chardonnay 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|collection panthera sonoma coast pinot noir 2022|us|r|pinot noir|sonoma coast|sonoma coast|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|collection select cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|collection select chardonnay 2024|??|w|chardonnay|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco
W|hess|collection select pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=114
W|hess|collection select sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco
X
W|hess|collection shirtail cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection shirtail chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
X
W|hess|collection the lion cabernet napa 19|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection the lion cabernet napa 19|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|collection the lion cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|collection the lion cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|collection the lion cabernet sauvignon napa|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection the lion napa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|collection the lioness chardonnay 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|collection the lioness chardonnay 2023|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|collection the lioness chardonnay napa valley|us|w|chardonnay|napa valley|napa valley|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|collection the lioness estate chardonnay 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|collections chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|iron corral napa cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|select cabernet sauvignon wein|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select chardonnay wein|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|family wine estates artezin old vine zinfandel 2020|??|r|zinfandel|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=34
W|hess|family wine estates collection allomi 2019|??|??|??|??|??|2019|??|??|??|??|seco
W|hess|family wine estates collection chardonnay napa valley 2021|us|w|chardonnay|napa valley|napa valley|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|family wine estates select chardonnay 2024|??|w|chardonnay|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=116
W|hess|family wine estates the lion 2014|??|??|??|??|??|2014|??|??|??|??|seco
W|hess|gruner veltliner ried gaisrupp 2022|??|w|gruner veltliner|??|??|2022|13|??|medio|peixes, frango, queijos leves|seco
W|hess|icon series chardonnay the lioness napa valley 2018|us|w|chardonnay|napa valley|napa valley|2018|13|??|medio|peixes, frango, queijos leves|seco|=11
W|hess|iron corral cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|iron corral estate cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|iron corral napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|lion cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
X
X
W|hess|lion tamer cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|lion tamer napa cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|lion tamer napa valley red blend|us|r|??|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
X
X
W|hess|lions head collection panthera chardonnay 2021|??|w|chardonnay|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|lions head lion tamer red napa valley|us|r|??|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|lions head panthera chardonnay russian river valley|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|maverick cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|maverick mvrk ranches paso robles cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|maverick ranch cabernet sauvignon paso robles|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|maverick ranches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|maverick ranches cabernet sauvignon paso robles|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|maverick ranches mvrk sauvignon blanc 24 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco
W|hess|maverick ranches sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hess|maverick ranches sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|maverick sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|monterey chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
X
W|hess|mount veeder cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|mount veeder cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|mt veeder cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|mvrk cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|mvrk cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|mvrk maverick ranches 2023 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|mvrk maverick ranches 2023 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|mvrk maverick ranches 2024 sauvignon blanc|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|mvrk maverick ranches 2024 sauvignon blanc|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|mvrk maverick ranches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|mvrk maverick ranches cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|mvrk maverick ranches cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=22
W|hess|mvrk maverick ranches sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|mvrk maverick ranches sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|mvrk paso robles cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|mvrk ranches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|napa chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|napa chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|napa chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|napa valley allomi cabernet sauvignon 2019|us|r|cabernet sauvignon|napa valley|napa valley|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|napa valley suskol estate chardonnay 2021|us|w|chardonnay|napa valley|napa valley|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|panthera chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|panthera chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|panthera chardonnay russian river valley 2021|??|w|chardonnay|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|panthera russian river chardonnay 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|panthera sonoma coast pinot noir|us|r|pinot noir|sonoma coast|sonoma coast|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|persson estates iron corral cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|persson estates lion tamer cabernet sauvignon napa valley usa 2019|us|r|cabernet sauvignon|napa valley|napa valley|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|persson estates shirtail ranches cabernet sauvignon lake county usa 2019|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hess|pinot gris select 2023|??|w|pinot gris|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco
