1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
28. W|jean|fournier marsannay rouge les longeroies|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
29. W|jean|fournier marsannay rouge les longeroies|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=28
30. W|jean|fournier marsannay rouge trois terres vielles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
31. W|jean|fournier marsannay rouge trois terres vielles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=30
32. W|jean|fournier marsannay rouge trois terres vielles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
33. W|jean|fournier marsannay trois terres vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
34. W|jean|fournier marsannay trois terres vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
35. X
36. W|jean|fournier saint urbain bourgogne aligote|fr|r|??|bourgogne|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
37. W|jean|francois de grand mouton muscadet serve et maine sur lie|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
38. W|jean|francois ganevat antide blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|jean|francois ganevat chamois du paradis|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
40. W|jean|francois ganevat chamois du paradis|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
41. W|jean|francois ganevat chardonnay grusse en billat|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
42. W|jean|francois ganevat cotes du jura blanc chalasses vieilles|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
43. W|jean|francois ganevat cuvee de lenfant terrible magnum|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
44. X
45. W|jean|francois ganevat cuvee florine blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
46. W|jean|francois ganevat cuvee marguerite vv|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
47. X
48. X
49. W|jean|francois ganevat les devoiles|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
50. W|jean|francois ganevat les grandes teppe|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
51. W|jean|francois ganevat les grandes teppes magnum|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
52. W|jean|francois ganevat les grands teppes rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
53. W|jean|francois ganevat les grands teppes rouge|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=52
54. W|jean|francois ganevat les grands teppes vieilles vignes|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
55. W|jean|francois ganevat les rescapes savagnin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
56. W|jean|francois ganevat les varrons|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
57. W|jean|francois ganevat les vignes de mon pere 2002 jura|fr|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
58. W|jean|francois ganevat pinot noir en billat 2023 cotes du jura france|fr|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
59. W|jean|francois ganevat plein sud|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
60. W|jean|francois ganevat plein sud|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=59
61. W|jean|francois ganevat poulsard chalasses vv|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
62. X
63. X
64. W|jean|francois ganevat trousseau plein sud 2023 cotes du jura france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
65. X
66. W|jean|francois ginglinger gewurtzraminer|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
67. W|jean|francois ginglinger lerchenberg riesling|??|w|riesling|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
68. W|jean|francois ginglinger pinot blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
69. W|jean|francois ginglinger pinot blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
70. W|jean|francois ginglinger pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
71. W|jean|francois jacouton sortilege st joseph rouge 2019 rhone valley france|fr|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
72. X
73. W|jean|francois malsert syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
74. W|jean|francois merieau bulles brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
75. W|jean|francois merieau cent visages cot|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
76. W|jean|francois merieau cent visages malbec aoc touraine loire valley france|fr|r|malbec|??|??|NV|13.5|aoc|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
77. W|jean|francois merieau chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
78. W|jean|francois merieau larpent des vaudons sauvignon blanc 2022 loire valley france|fr|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
79. W|jean|francois merieau sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
80. W|jean|francois merieau souris et boa pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
81. X
82. X
83. X
84. X
85. W|jean|francois quenard vers les alpes|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
86. W|jean|gagnerot bourgogne aligote|fr|r|??|bourgogne|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
87. W|jean|gagnerot bourgogne aligote|fr|r|??|bourgogne|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=86
88. W|jean|gagnerot bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
89. W|jean|gagnerot bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
90. W|jean|gagnerot bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
91. W|jean|gagnerot bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
92. W|jean|gagnerot bourgogne hautes cotes de nuits rouge|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
93. W|jean|gagnerot bourgogne hautes cotes de nuits rouge|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=92
94. W|jean|gagnerot bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
95. W|jean|gagnerot bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=94
96. W|jean|gagnerot chablis 1er cru|fr|r|??|chablis|chablis|2024|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
97. W|jean|gagnerot chablis 1er cru|fr|r|??|chablis|chablis|2024|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=96
98. W|jean|gagnerot chablis 1er cru|fr|r|??|chablis|chablis|2024|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=96
99. W|jean|gagnerot chablis 1er cru|fr|r|??|chablis|chablis|2024|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=96
100. W|jean|gagnerot chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
101. W|jean|gagnerot chablis|fr|r|??|chablis|chablis|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
102. W|jean|gagnerot chablis|fr|r|??|chablis|chablis|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=101
103. W|jean|gagnerot chablis|fr|r|??|chablis|chablis|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=101
104. W|jean|gagnerot chablis|fr|r|??|chablis|chablis|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=101
105. W|jean|gagnerot corton blanc grand cru|??|w|??|??|??|2008|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
106. W|jean|gagnerot corton blanc grand cru|??|w|??|??|??|2011|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
107. W|jean|gagnerot corton blanc grand cru|??|w|??|??|??|2013|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
108. W|jean|gagnerot corton charlemagne grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
109. W|jean|gagnerot corton charlemagne grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=108
110. W|jean|gagnerot corton grand cru grandes lolieres|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
111. W|jean|gagnerot gevrey chambertin 1er cru craipillot|??|r|??|??|??|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
112. W|jean|gagnerot gevrey chambertin 1er cru craipillot|??|r|??|??|??|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=111
113. W|jean|gagnerot gevrey chambertin 1er cru craipillot|??|r|??|??|??|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=111
114. W|jean|gagnerot gevrey chambertin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
115. W|jean|gagnerot gevrey chambertin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=114
116. W|jean|gagnerot gevrey chambertin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=114
117. W|jean|gagnerot gevreychambertin 1er cru les corbeaux|??|r|??|??|??|2014|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
118. W|jean|gagnerot meursault|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
119. W|jean|gagnerot morey saint denis|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
120. W|jean|gagnerot morey saint denis|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=119
121. W|jean|gagnerot nuits saint georges 1er cru les damodes|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
122. W|jean|gagnerot nuits saint georges 1er cru les damodes|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=121
123. W|jean|gagnerot nuits saint georges|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
124. W|jean|gagnerot nuits saint georges|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
125. W|jean|gagnerot nuits saint georges|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=124
126. W|jean|gagnerot nuits saint georges|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=124
127. W|jean|gagnerot pommard 1er cru la platiere|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
128. W|jean|gagnerot pommard 1er cru la platiere|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=127
129. W|jean|gagnerot pommard 1er cru les arvelets|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
130. W|jean|gagnerot pommard 1er cru les grands epenots|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
131. W|jean|gagnerot pommard 1er cru les grands epenots|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=130
132. W|jean|gagnerot pommard 1er cru les grands epenots|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
133. W|jean|gagnerot pommard|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
134. W|jean|gagnerot pommard|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=133
135. W|jean|gagnerot pommard|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=133
136. W|jean|gagnerot pommard|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
137. W|jean|gagnerot pommard|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
138. W|jean|gagnerot pommard|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=137
139. W|jean|gagnerot pommard premier cru la platiere|??|r|??|??|??|2017|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
140. W|jean|gagnerot pouilly fuisse|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
141. W|jean|gagnerot pouilly fuisse|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
142. W|jean|gagnerot pouilly fuisse|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=141
143. W|jean|gagnerot pouilly fuisse|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=141
144. W|jean|gagnerot savignylesbeaune 1er cru gravains|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
145. W|jean|gagnerot vireclesse|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
146. W|jean|gagnerot vosne romanee 1er cru les suchots|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
147. W|jean|gagnerot vosne romanee|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
148. W|jean|gamay noir|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
149. W|jean|gamay noir|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=148
150. W|jean|gamay noir|??|r|gamay|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
151. W|jean|gamay noir|??|r|gamay|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
152. W|jean|gamay rose|??|p|gamay|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
153. W|jean|gamay rose|??|p|gamay|??|??|2022|12.5|??|leve|carnes brancas, saladas, antepastos|seco
154. W|jean|garaudet pommard les noizons|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
155. S
156. X
157. S
158. S
159. W|jean|geiler alsace pinot blanc|fr|w|??|alsace|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
160. W|jean|geiler alsace riesling|fr|w|riesling|alsace|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
161. X
162. W|jean|geiler brut cremant de alsace white brut|fr|s|??|alsace|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
163. W|jean|geiler cremant dalsace brut blanc de noirs|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
164. X
165. W|jean|geiler particuliere pinot noir reserve|??|r|pinot noir|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
166. W|jean|geiler riesling alsace 2024 white semidry|fr|w|riesling|alsace|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
167. W|jean|geiler vin orange pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
168. X
169. W|jean|gilles lafouge auxeyduresses 1er cru les duresses|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
170. W|jean|gimonnet 1er cru blanc de blancs champagne la guette|fr|s|champagne|champagne|??|2008|12|1er cru|medio|aperitivos, frutos do mar, sushi|brut
171. W|jean|gimonnet cuvee origine 1er cru|??|r|??|??|??|2012|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
172. W|jean|gimonnet la guette 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
173. W|jean|gimonnet millesime 1er cru|??|r|??|??|??|2004|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
174. W|jean|gimonnet premier cru millesime disgorged feb|??|r|??|??|??|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
175. W|jean|gimonnet premier cru millesime disgorged nov|??|r|??|??|??|2024|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
176. W|jean|gimonnet premier cru millesime disgorged nov|??|r|??|??|??|2024|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
177. W|jean|ginglinger auxerrois|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
178. W|jean|ginglinger auxerrois|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=177
179. W|jean|ginglinger gewurztraminer|??|w|gewurztraminer|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
180. W|jean|ginglinger gewurztraminer steiner|??|w|gewurztraminer|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
181. W|jean|ginglinger lerchenberg|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
182. W|jean|ginglinger pinot blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|jean|ginglinger pinot blanc alsace aoc|fr|w|??|alsace|??|2024|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
184. W|jean|ginglinger pinot blanc glou glou|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
185. W|jean|ginglinger pinot blanc glou glou|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=184
186. W|jean|ginglinger pinot blanc reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
187. W|jean|ginglinger pinot gris|??|w|pinot gris|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
188. W|jean|ginglinger pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
189. W|jean|ginglinger pinot noir baumgarten alsace aoc|fr|r|pinot noir|alsace|??|2024|13.5|aoc|medio|carnes vermelhas, cordeiro, queijos curados|seco
190. W|jean|ginglinger pinot noir reserve|??|r|pinot noir|??|??|2022|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
191. W|jean|ginglinger riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
192. W|jean|ginglinger riesling|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=191
193. W|jean|ginglinger riesling alsace aoc|fr|w|riesling|alsace|??|2024|12.5|aoc|leve|peixes, frutos do mar, saladas|seco
194. W|jean|ginglinger riesling reserve alsace aoc|fr|w|riesling|alsace|??|2024|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
195. W|jean|ginglinger ruest alsace white wine|fr|w|??|alsace|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
196. W|jean|ginglinger sandstein pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
197. X
198. W|jean|ginglinger sylvaner bihl alsace aoc|fr|r|??|alsace|??|2024|13.5|aoc|medio|carnes vermelhas, cordeiro, queijos curados|seco
199. W|jean|goulley fils chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
200. W|jean|goulley fils chablis premier cru fourchaume|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
201. W|jean|goulley fils chablis premier cru montmains|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
202. W|jean|goulley fils mont de milieu chablis 1er cru france chardonnay|fr|w|chardonnay|chablis|chablis|2022|12.5|1er cru|medio|peixes, frutos do mar, saladas|seco
203. W|jean|grivot 2021 clos de vougeot grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
204. W|jean|grivot aux boudots nuitssaintgeorges 1er cru|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
205. W|jean|grivot bonnes mares grand cru|??|r|??|??|??|2013|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
206. W|jean|grivot bonnes mares grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
207. W|jean|grivot bossieres vosne romanee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
208. X
209. W|jean|grivot chambolle musigny la combe dorveau|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
210. W|jean|grivot chambolle musigny la combe dorveau|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
211. W|jean|grivot chambolle musigny la combe dorveau|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
212. W|jean|grivot chambolle musigny premier cru la combe dorveaux france|??|r|??|??|??|2011|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
213. X
214. W|jean|grivot clos de vougeot|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
215. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
216. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=215
217. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|1985|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
218. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|1990|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
219. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|1999|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
220. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
221. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2002|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
