W|gerler|sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|henri meursault limozin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|henri meursault rouge clos des mouches|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|la foulee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere et fils beaune cru|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere et fils bourgogne hautes cotes de beaune rouge|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere et fils saint romain blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|pere et fils saint romain sous le chateau rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere fils hautes cotes de beaune rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere fils pommard la chaniere cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|pere fils st romain rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|philippe givrey 1c aoc rouge|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|philippe givry blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|philippe nuits st georges aoc rouge|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|philippe santenay aoc blanc|??|w|??|??|??|2020|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|germain|pidansat cuvee prestige brut released in 1990s nv 1mag|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germain|robin 7 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|robin craft method 750|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|robin old havana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|robin xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|robin xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|germain|robin xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|germain|roches neuves cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germain|t saumur blanc clos de l echelier|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc clos du moulin|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc clos du moulin|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc clos romans|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc terres amphore|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc terres amphore|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|t saumur blanc terres amphore|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germain|triple creme germain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germaine|rubin xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|german|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|and australian riesling with erni loosen and sam barry monday 30th march|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|black caviar 50g chilled 04c parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|black caviar 50g chilled 04c parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|german|bratwurst beef sausage|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|butchery continental frankfurter 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|butchery gold liverwurst fine 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|butchery mini german bratwurst 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|butchery veal frankfurter 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|corned beef 100g chilled 04c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|franks 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|franks 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|fried potatoes 400g parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|fried potatoes with bacon and egg 400g parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|gg riesling tasting|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|gilabert brut nature cava nv|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|german|gilabert cava brut nv|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|german|gilabert cava rosado|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|german|gilabert cava rosat brut nv|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|german|gilabert reserve brut nature cava nv|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|german|job riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|liver dumplings knoedel soup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|nonalcoholic craft collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|palmier cookies 220g parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pickled herring bismarckheringe 54kg chilled 04c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pinot noir 075|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pork jelly 250g parallel import|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|port wine dinner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|premium pork lard with cracklings onions 150g chilled 04c parallel import best before date 17092026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pride liebfraumilch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pride liebfraumilch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|german|pride muscato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|pride muscato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=109
W|german|pride riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|pride riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=111
W|german|pride riesling auslese|??|d|riesling|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|german|pride riesling auslese|??|d|riesling|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=113
W|german|pride riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|pride riesling spatlese|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|pride riesling spatlese|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=116
W|german|pride sweet red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|german|pride sweet red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=118
W|german|r blanco la bicicleta voladora|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|smoked bacon schinkenspeck 100g chilled 04c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|sparkling wine henkell trocken germany dry sec wine delivered in a wine gift bag|de|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|german|white selection|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|german|wine its that big|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|wine dinner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|wine pair|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|wineries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|german|wines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germana|caetanos aged in sherry wood cask 40|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|germana|heritage 10 yrs 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germana|soul 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germana|style tof coupler|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germana|traditional 2 yrs french oak cask 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germanaustrian|grower takeover|at|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|3 bottiglie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|3 bottiglie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|germania|bier oktoberfest pack 4x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|bier pack 4x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|martin wassmer castellberg pinot noir 135 sgr|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|oktoberfest mixed pack 4x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germania|riesling dr loosen blue slate|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germania|riesling dr loosen blue slate|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=142
W|germania|wittmann riesling kirchspiel 125 sgr|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germanier|humagne rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germanier|petite arvine|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo anin rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|germano|angelo la soleggiata barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo nebbiolo visette langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo nebbiolo visette langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=150
W|germano|angelo trevigneti barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo vigna mondoca di bussia barolo riserva|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo vigna mondoca di bussia barolo riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo vigna rue barolo|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo vigna rue barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo visette langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|angelo zoi langhe chardonnay|it|w|chardonnay|langhe|langhe|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germano|ettore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo cerretta|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo cerretta|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore alta langa metodo classico extra brut piedmont italy case|it|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|germano|ettore alta langa riserva blanc de noir pas dose|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germano|ettore barolo cerretta docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo barolo docg italy case|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo barolo docg italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo barolo docg italy case|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo docg|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo prapo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo serralunga|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo serralunga barolo docg italy case|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo serralunga docg|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo serralunga docg|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore barolo serralunga docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore herzu riesling langhe piedmont italy case|it|w|riesling|langhe|langhe|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germano|ettore herzu riesling langhe piedmont italy case|it|w|riesling|langhe|langhe|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germano|ettore langhe nebbiolo piedmont italy case|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore lazzarito riserva barolo docg italy case|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|ettore vr vigna rionda docg|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germano|langhe doc nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|germany|germany|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|germany|euro case|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germany|germany riesling|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germany|kufertrunk|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germany|mixed pinot|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germany|winestore|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|germar|breton blanc de noirs champagne brut nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=199
W|germar|breton champagne brut nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton cuvee blanc de noirs brut case|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton cuvee brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton cuvee brut half|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton cuvee brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=203
W|germar|breton cuvee brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton fut de chene nv bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton fut de chene nv case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton millesime bottle|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton millesime case|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton millesime|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton millesime champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|germar|breton millesime extra brut champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|germar|breton nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germar|breton tradition brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|germar|breton tradition brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=215
W|germar|breton tradition brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=215
W|germe|trigo kodilar 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germen|de trigo 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germen|de trigo 400 gr nutrimix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germen|de trigo 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germen|de trigo quiero natural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germeni|de grau bio stabilizati 200g antersdoefer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germes|dumplings with turkey premium quality deep frozen made in bavaria 450g best before 28092026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germile|morellino di scansano docg bio fattoria pietramora ml 750 cod fp002|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|germinado|de alfalfa age bandeja 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germinal|blanco|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|germination|box seedling tray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germisdin|gel de bano de aloe vera koz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germogli|monsupello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|germogli|monsupello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=231
