1. W|casar de burbia|valdepineiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|casarena|505 malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
45. W|casarena|505 malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=44
46. W|casarena|505 malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=44
47. W|casarena|505 malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=44
48. W|casarena|505 malbec 2022|pt|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
49. W|casarena|505 malbec 2022|pt|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=48
50. W|casarena|505 malbec 2023|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
51. W|casarena|505 malbec 2024|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
52. W|casarena|505 malbec red|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|casarena|505 malbec x|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|casarena|505 mendoza malbec 2021 argentina|ar|r|malbec|mendoza|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
55. W|casarena|505 mendoza malbec 2022 argentina|ar|r|malbec|mendoza|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|casarena|505 red blend 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|casarena|505 red blend 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=56
58. W|casarena|505 vineyard esencia 2014 red wine lujan de cuyo mendoza argentina|ar|r|??|mendoza|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casarena|505 vineyards malbec 2023 screw cap|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|casarena|505 vineyards malbec 2023 screw cap|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=59
61. W|casarena|505 vineyards malbec 2023 screw cap|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=59
62. W|casarena|505 vineyards malbec 2024|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|casarena|505 vineyards malbec 2024 screw cap|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
64. W|casarena|505 vineyards malbec 2024 screw cap|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=63
65. W|casarena|505 vineyards malbec 2024 screw cap|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=63
66. W|casarena|505 vineyards malbec pack of 3|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
67. W|casarena agrelo lauren|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
68. W|casarena appelation agrelo|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
69. W|casarena appellation agrelo|cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
70. W|casarena appellation agrelo|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
71. W|casarena appellation agrelo|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
72. W|casarena appellation agrelo|malbec 2022|pt|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
73. W|casarena appellation agrelo mendoza|malbec 2020 argentina|ar|r|malbec|mendoza|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
74. W|casarena appellation cab sauv|22|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|casarena appellation|malbec 2022|pt|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
76. W|casarena areyna|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
77. W|casarena bodega y vinedos lauren single vineyard|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
78. W|casarena|bodegas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casarena|brut nature|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
80. W|casarena|cabernet sauvignon estate lujan de cuyo|pt|r|cabernet sauvignon|lujan de cuyo|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
81. W|casarena|cabernet sauvignon owens single vineyard|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
82. W|casarena|cabernet sauvignon owens single vineyard|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=81
83. W|casarena|cabernet sauvignon owens single vineyard|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=81
84. W|casarena|cabernet sauvignon owens vineyard 2018 magnum|pt|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
85. W|casarena|cabernet sauvignon owens vineyard 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
86. W|casarena|cabernet sauvignon ramanegra suche 2015|pt|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|casarena|cabernet sauvignon reserve 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
88. W|casarena|chardonnay 505 suche|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
89. W|casarena dna|cabernet sauvignon 2012|pt|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
90. W|casarena dna|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
91. W|casarena dna|malbec 2012|pt|r|malbec|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
92. W|casarena dna|malbec 2019|pt|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
93. W|casarena dna|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
94. W|casarena esencia|505 malbec cabernet sauvignon merlot cuvee cervene suche|pt|r|cabernet sauvignon, malbec, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
95. W|casarena estate cab sauv|23|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|casarena estate|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
97. W|casarena estate|cabernet franc 2023|pt|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
98. W|casarena estate|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
99. W|casarena estate|cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
100. W|casarena estate|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
101. W|casarena estate|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=100
102. W|casarena estate|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=100
103. W|casarena estate|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=100
104. W|casarena estate|malbec 2023|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
105. W|casarena estate|malbec 2023|pt|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=104
106. W|casarena estate|malbec rose 2023|pt|p|malbec|??|??|2023|12.5|??|encorpado|saladas, aves, queijos leves|seco
107. W|casarena estate|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|casarena estate|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=107
109. W|casarena estate torrontes|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|casarena estate torrontes|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casarena icono|2012|pt|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|casarena ig mendoza|blanc 2019|ar|r|??|mendoza|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|casarena ig mendoza|blanc 2019|ar|r|??|mendoza|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|casarena ig mendoza|blanc 2019|ar|r|??|mendoza|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
115. W|casarena ig mendoza|blanc 2019|ar|r|??|mendoza|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
116. W|casarena jamillas single vineyard|malbec 2021|pt|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
117. W|casarena jamillas single vineyard perdriel|malbec 2018 magnum|pt|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
118. W|casarena jamillas single vineyard perdriel|malbec 2018 magnum|pt|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=117
119. W|casarena jamillas single vineyard perdriel|malbec 2018 magnum|pt|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=117
120. W|casarena jamillas single vineyard perdriel|malbec 2018 magnum|pt|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=117
121. W|casarena jamillas single vineyard perdriel|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
122. W|casarena jamillas single vineyard perdriel|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=121
123. W|casarena jamillas single vineyard perdriel|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=121
124. W|casarena lauren|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
125. W|casarena lauren single vineyard agrelo|cabernet fr|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
126. W|casarena lauren single vineyard agrelo|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
127. W|casarena lauren single vineyard|cabernet franc 2018|pt|r|cabernet franc|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
128. W|casarena lauren single vineyard|cabernet franc lujan de cuyo mendoza argentina|ar|r|cabernet franc|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
129. W|casarena laurens single vineyard agrelo|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
130. W|casarena laurens single vineyard agrelo|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=129
131. W|casarena laurens single vineyard agrelo|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=129
132. W|casarena laurens single vineyard agrelo|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=129
133. W|casarena laurens single vineyard agrelo|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
134. W|casarena laurens single vineyard agrelo|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=133
135. W|casarena laurens single vineyard agrelo|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=133
136. W|casarena laurens single vineyard agrelo|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=133
137. W|casarena laurens single vineyard agrelo|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
138. W|casarena laurens single vineyard agrelo|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=137
139. W|casarena laurens single vineyard agrelo|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=137
140. W|casarena laurens single vineyard agrelo|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=137
141. W|casarena laurens single vineyard|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
142. W|casarena laurens single vineyard|cabernet franc single vineyard uit mendoza|ar|r|cabernet franc|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
143. W|casarena laurens single vineyard|malbec 2015|pt|r|malbec|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
144. W|casarena laurens single vineyard|malbec single vineyard uit mendoza|ar|r|malbec|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
145. W|casarena laurens single vineyard|petit verdot 2019|pt|r|petit verdot|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casarena lujan de cuyo argentine|2019 winemarkers selection|pt|r|??|lujan de cuyo|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casarena|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
148. W|casarena|malbec 505 fruitige rode wijn uit mendoza|ar|r|malbec|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
149. W|casarena|malbec appellation agrelo suche 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
150. W|casarena|malbec estate suche 2021|pt|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
151. W|casarena|malbec estate volle rode wijn uit mendoza|ar|r|malbec|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
152. W|casarena|malbec laurens vineyard 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
153. W|casarena|malbec naoki vineyard 2021|pt|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
154. W|casarena|malbec naokis single vineyard|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
155. W|casarena|malbec naokis vineyard lujan de cuyo|pt|r|malbec|lujan de cuyo|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
156. W|casarena|malbec reserve 2022|pt|r|malbec|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
157. W|casarena|malbec rose 2022|pt|p|malbec|??|??|2022|12.5|??|encorpado|saladas, aves, queijos leves|seco
158. W|casarena|malbec single vineyard laurens suche|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
159. W|casarena mendoza owens vineyard|cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
160. W|casarena mendoza owens vineyard|cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=159
161. W|casarena naoki|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
162. W|casarena naoki|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=161
163. W|casarena naoki single vineyard agrelo|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
164. W|casarena naoki single vineyard|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
165. W|casarena naokis single vineyard|malbec 2021|pt|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
166. W|casarena noakis vineyard|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
167. W|casarena owen|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
168. W|casarena owens single vineyard agrelo cab|sauvignon 2018 magnum|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casarena owens single vineyard agrelo|cabernet sauvignon 2018 magnum|pt|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
170. W|casarena owens single vineyard agrelo|cabernet sauvignon 2018 magnum|pt|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=169
171. W|casarena owens single vineyard agrelo|cabernet sauvignon 2018 magnum|pt|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=169
172. W|casarena owens single vineyard agrelo|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
173. W|casarena owens single vineyard agrelo|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=172
174. W|casarena owens single vineyard agrelo|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=172
175. W|casarena owens single vineyard chadonnay|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casarena owens single vineyard|chardonnay 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
177. W|casarena|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|casarena|reserva blend 2020|pt|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
179. W|casarena|reserva malbec 2021|pt|r|malbec|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
180. W|casarena|reserva red blend 2022|pt|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
181. W|casarena|reservado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|casarena reservado|cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
183. W|casarena reservado|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
184. W|casarena reservado|malbec 2019|pt|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
185. W|casarena reservado|red blend cuvee suche 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|casarena reservado|red blend elegante rode blend uit mendoza|ar|r|??|mendoza|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|casarena|reserve cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
188. W|casarena|reserve cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=187
189. W|casarena|reserve cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=187
190. W|casarena|reserve cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
191. W|casarena|reserve cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=190
192. W|casarena|reserve cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=190
193. W|casarena|reserve malbec 2022|pt|r|malbec|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
194. W|casarena|reserve malbec 2022|pt|r|malbec|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=193
195. W|casarena|reserve malbec 2022|pt|r|malbec|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=193
196. W|casarena sinergy lauren agrelo vineyard blend|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casarena sinergy lauren vineyard|blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|casarena sinergy seleccion de barricas|blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|casarena single|cabernet sauvignon owens agrelo|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
200. W|casarena single vineyard agrelo owen|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
201. W|casarena single vineyard|jamilla|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
