1. W|capere|330gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|capetta|gran dessert|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
50. W|capetta|italia vino espumoso asti moscato|it|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
51. W|capewine|thats a wrap thank you to wosa|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|capewood|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|capewood|merlot|??|r|merlot|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|capewood|white zinfandel|??|w|zinfandel|??|??|2012|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
55. W|capezzana|carmignano villa di capezzana riserva|??|r|??|??|??|1979|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
56. W|capezzana|carmignano villa di capezzana riserva|??|r|??|??|??|1985|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
57. W|capezzana|vin santo carmignano r doch|??|d|??|??|??|2016|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
58. W|capezzana|ghiaie d furba toscana|it|r|??|toscana|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|capezzana|ghiaie d furba|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|capezzana|trefiano carmignano riserva docg|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
61. W|capezzana|v capezzana carmignano docg|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
62. W|capezzana|804|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|capezzana|bianchirosati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|capezzana|bianchirosati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=63
65. W|capezzana|carmigiano villa di capezzana|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|capezzana|carmigiano villa di capezzana|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=65
67. W|capezzana|carmigiano villa di capezzana|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=65
68. W|capezzana|carmigiano villa di capezzana|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=65
69. W|capezzana|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|capezzana|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=69
71. W|capezzana|carmignano 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|capezzana|carmignano 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=71
73. W|capezzana|carmignano docg|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
74. W|capezzana|carmignano trefiano riserva|??|w|??|??|??|2021|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
75. W|capezzana|carmignano trefiano riserva|??|w|??|??|??|2021|12.5|riserva|medio|peixes, frutos do mar, saladas|seco|=74
76. W|capezzana|carmignano trefiano riserva|??|w|??|??|??|2021|12.5|riserva|medio|peixes, frutos do mar, saladas|seco|=74
77. W|capezzana|carmignano villa di capezanna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|capezzana|carmignano villa di capezzana 10 anni|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|capezzana|carmignano villa di capezzana 10 anni|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|capezzana|carmignano villa di capezzana 10 anni|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=79
81. W|capezzana|carmignano villa di capezzana 10 anni|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=79
82. W|capezzana|carmignano villa di capezzana|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|capezzana|di carmigano docg 20|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
84. W|capezzana|ghiaie della furba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|capezzana|ghiaie della furba 1990 toscana igt|it|r|??|toscana|??|1990|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
86. W|capezzana|ghiaie della furba|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|capezzana|ghiaie della furba|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|capezzana|ghiaie della furba|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
89. W|capezzana|ghiaie della furba|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
90. W|capezzana|ghiaie della furba toscana igt|it|r|??|toscana|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
91. W|capezzana|ghiaie della furba toscana igt|it|r|??|toscana|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
92. W|capezzana|mixed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|capezzana|mixed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|capezzana|monna toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|capezzana|rossi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|capezzana|rossi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=95
97. W|capezzana|rossi 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|capezzana|rossi 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=97
99. W|capezzana|toscana rosso ghiaie della furba|it|r|??|toscana|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|capezzana|trebbiano|??|r|trebbiano|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|capezzana|trebbiano toscana igt|it|r|trebbiano|toscana|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
102. W|capezzana|trefiano carmignano docg|??|w|??|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
103. W|capezzana|villa capezzana carmignano docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
104. W|capezzana|villa de capezzana carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|capezzana|villa de capezzana carmignano|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|capezzana|villa di capezzana carmignano|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|capezzana|villa di capezzana carmignano|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|capezzana|villa di capezzana carmignano docg|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
109. W|capezzana|villa di carmignano|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|capezzana|villa di carmignano|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|capezzana|villa di trefiano riserva carmignano docg|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
112. W|capezzana|vin ruspo rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
113. W|capezzana|vin ruspo rosato di carmignano doc|??|p|??|??|??|2022|12|doc|leve|carne vermelha, massas, queijos curados|seco
114. W|capezzana|vin santo di carmignano|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
115. W|capezzana|vin santo di carmignano 2013 bottle|??|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
116. W|capezzana|vin santo di carmignano|??|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
117. W|capezzana|vin santo di carmignano 2016 case|??|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
118. W|capezzana|vin santo di carmignano riserva|??|d|??|??|??|NV|10.5|riserva|encorpado|sobremesas, frutas secas, queijos|doce
119. W|capezzana|vin santo di carmignano riserva|??|d|??|??|??|NV|10.5|riserva|encorpado|sobremesas, frutas secas, queijos|doce|=118
120. W|capezzana|vin santo di carmignano riserva|??|d|??|??|??|2011|10.5|riserva|encorpado|sobremesas, frutas secas, queijos|doce
121. W|capezzana|vin santo di carmignano riserva 2017 half bottle|??|d|??|??|??|2017|10.5|riserva|encorpado|sobremesas, frutas secas, queijos|doce
122. W|capezzana|vin santo riserva|??|d|??|??|??|NV|10.5|riserva|encorpado|sobremesas, frutas secas, queijos|doce
123. W|capezzanatrefiano|carmignano docg riserva|??|w|??|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
124. W|capficat|celler credo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|capfruit|blueberry frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|capfruit|blueberry fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|capfruit|lemon frozen fruit zest 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|capfruit|mandarin frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|capfruit|passion fruit frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|capfruit|passion fruit frozen fruit seeds 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|capfruit|passion fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|capfruit|passion fruit seeds 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|capfruit|pineapple frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|capfruit|pink guava frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
135. W|capfruit|raspberry fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|capfruit|roasted hazelnut frozen nut puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|capfruit|strawberry fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|capfruit|yuzu frozen fruit puree 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|capgun|capgun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|capharnaum|gutedelpinots|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|caphaus|dumbbell rack heavy duty aframe dumbbell stand steel dumbbell holder dumbbell weight storage rack for dumbbell storage solution rack only multiple sizes options|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|caphaus|olympic weight plate rack a frame weight plate tree for 2inch olympic weight plate storage home gym workout rack storage stand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|capi|500gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|capi|500gr choco balls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|capi|500gr choco rings|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|capi|500gr choco shells|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|capi|500gr corn flakes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|capi|500gr rings|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|capi|blood orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|capi|charred pineapple daiquiri cocktail mixer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|capi|charred pineapple daiquiri mixer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|capi|cola 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|capi|cranberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|capi|dry ginger carton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|capi|dry tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|capi|dry tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|capi|dry tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
158. W|capi|dry tonic 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|capi|dry tonic bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|capi|dry tonic bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|capi|dry tonic bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
162. W|capi|dry tonic bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
163. W|capi|dry tonic carton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|capi|dry tonic x 24|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|capi|grapefruit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|capi|grapefruit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=165
167. W|capi|lime agave|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. X
169. W|capi|sparkling charred pineapple|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
170. W|capi|sparkling cranberry|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
171. W|capi|sparkling grapefruit|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
172. X
173. X
174. X
175. X
176. X
177. X
178. X
179. W|capi|spicy cola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. X
181. X
182. X
183. X
184. X
185. X
186. X
187. X
188. W|capi|sunset tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|capi|tommys margarita cocktail mixer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|capi|tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|capi|tonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=190
192. W|capi|yuzu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|capiaux cellars|garys vineyard pinot noir santa lucia highlands california|us|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|capiaux|chimera pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|capiaux|chimera pinot noir|??|r|pinot noir|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|capiaux|chimera rrv pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|capiaux|chimera rrv pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=196
198. W|capiaux|garys vineyard pinot noir santa lucia highlands ca|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|capiaux|pinot noir chimera russian river valley|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|capiaux|pinot noir chimera russian river valley|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=199
201. W|capiaux|pinot noir wilson vineyard|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|capiaux|russian river valley pinot noir chimera|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|capiaux|widdoes vineyard pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|capichera|capichera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|capichera|capichera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
206. W|capichera|vermentino igt bianco di sardegna|??|w|vermentino|??|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
207. W|capichera|capichera|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|capichera|capichera|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=207
209. W|capichera|magnum with owc original wooden case|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|capichera|mezza|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|capichera|22 lianti 6p|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|capichera|23 vt vermentino 6pk|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
213. W|capichera|lintori 6p|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|capichera|assaje|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|capichera|assaje|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|capichera|assaje|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|capichera|assaje carignano isola dei nuraghi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|capichera|assaje isola dei nuraghi igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
219. W|capichera|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
220. W|capichera|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=219
221. W|capichera|capichera isola dei nuraghi igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
222. W|capichera|classico cantina capichera|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
223. W|capichera|igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
224. W|capichera|igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=223
225. W|capichera|igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=223
226. W|capichera|igt isola dei nuraghi|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
227. W|capichera|isola dei nuraghi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|capichera|isola dei nuraghi igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
229. W|capichera|isola dei nuraghi igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=228
230. W|capichera|isola dei nuraghi igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
231. W|capichera|isola dei nuraghi igt capichera|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
232. W|capichera|isola dei nuraghi igt santigaini|??|r|??|??|??|2014|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
233. W|capichera|isola dei nuraghi igt vt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
234. W|capichera|isola dei nuraghi rosso assaje|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|capichera|isola dei nuraghi rosso lianti|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|capichera|isola dei nuraghi rosso lianti|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|capichera|lianti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|capichera|lianti|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|capichera|lianti|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|capichera|lianti isola dei nuraghi igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
241. W|capichera|lianti sardegna red dry 14 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|capichera|lintori|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|capichera|lintori 2021 vermentino doc|??|w|vermentino|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
244. W|capichera|lintori 2024 vermentino di sardegna|??|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
245. W|capichera|lintori isola dei nuraghi 2022 white dry 12 075|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
