W|branco|finca rivadavia torrontes varietal|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|feudi di san gregorio greco di tufo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|feudi di san gregorio fiano di avelino|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|feudi di san gregorio fiano di avelino|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=23
W|branco|feudi di san gregorio falanghina del sannio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ferreira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ferraton la tournee|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ferradosa 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|fernao pires curtimenta 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fernao pires casa agricola|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fernao magalhaes reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|fernando pires reserva 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|felitche sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|felitche chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|feito de joa 2020 trasosmontes|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fausto marcelle pizzato|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fausto chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faustino rivero ulecia verdejo 2023|??|w|verdejo|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faustino rivero ulecia chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fat bastard sauvignon blanc igp pays doc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fat bastard sauvignon blanc igp cotes de gascogne|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fat bastard chardornnay igp pays doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fat bastard chardornnay igp pays doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=42
W|branco|fat baron souvigon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faroni lopez suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|faro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faria s wineyards|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fanal verdelho bio 2021 madeira|??|f|palomino|??|??|2021|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|familia margaca reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|familia margaca arinto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|familia gascon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|familia gascon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=51
W|branco|familia gascon chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=51
W|branco|familia deicas preludio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|familia deicas preludio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=54
W|branco|falua tamara|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|falua conde vimioso sommelier edition|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|falua conde vimioso reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|falua conde vimioso colheita selecionada|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|falua conde vimioso colheita selecionada|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=59
W|branco|falcoaria doc vinhas velhas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|falanghina igp masseria santa maria|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faisao crispy|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fagote reserva douro|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|fagote reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|fagote garrafa magnum 1|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faces lidio carraro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|faces do brasil lidio carraro chardonnay 2025|??|w|chardonnay|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fabelhaft riesling qualitatswein 2017|??|w|riesling|??|??|2017|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fabelhaft mosel riesling qualitatswein 2017|??|w|riesling|??|??|2017|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fabelhaft mosel riesling 2022|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fa brazilian collection alvarinho tenuta foppa ambrosi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ezimit pinot grigio 2023|??|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|exultate 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|expressoes alvarinho 2021 vinhos verdes|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|evidencia encruzado reserva 2024 dao|pt|w|??|dao|??|2024|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|evidencia colheita 2022 doc dao|pt|w|??|dao|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|evel 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|evel 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|evel|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|eureka wines blanco de la finca ugni blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|eugen muller forster mariengartenr riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|eugen muller charisma|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|eua columbia crest grand chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|etna superiore caselle vignadimilo bianco 2022|it|w|??|sicilia|etna|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|etna monteleone|it|w|??|sicilia|etna|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|etna bianco 2022|it|w|??|sicilia|etna|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|ethikos ethikos sauvignon blanc chile 2022|cl|w|sauvignon blanc|valle central|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estola verdejo vendimia nocturna ig do la mancha|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|sauvignon blanc de martino|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|rudesheim riesling 2021|??|w|riesling|??|??|2021|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|rudesheim riesling 2019|??|w|riesling|??|??|2019|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|rudesheim rheingau riesling 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|lorch riesling 2020|??|w|riesling|??|??|2020|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|lorch riesling 2019|??|w|riesling|??|??|2019|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argyros atlantis white|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argyros assyrtiko|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estancia do vino evolucione moscato|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estancia do vino evolucione chardonnay terroir|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estancia do vino amici niagara suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|estancia do vino amici niagara seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estampa inspiracion greco fiano vermentino|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|estadunidense delicato 1924 buttery chardonnay|??|w|chardonnay|??|??|1924|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
W|branco|espumoso platino|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espumante natural demisec moscatel la dorni|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante natural demisec fausto|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante fontana fredda asti docg dolce|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante brut rose no boleto no pix em ate 1x de sem juros adicionar|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante brut rose|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante brut rose|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=110
W|branco|espumante brut branco no boleto no pix em ate 1x de sem juros adicionar|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante brut branco|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espumante brut branco|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=113
W|branco|esporao reserva 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|esporao reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|esporao reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=116
W|branco|esporao reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=116
W|branco|esporao reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=116
W|branco|esporao private selection 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|esporao colheita 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esporao bico amarelo 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esporao bico amarelo 11 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esporao 2 castas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espinho noemi 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|esperanto pinot grigio igt|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esperanto pinot grigio igt|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=126
W|branco|esperanto pinot grigio 2022|??|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esperanto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espera curtimenta 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espera branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol viura taron|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol viura belo|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol vintae bardos verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol victorium iii|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol verdejo sauvignon blanc vina albali|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol verdejo rueda beronia|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol veiga da princesa albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol valencia palacio del conde|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres vina esmeralda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres pazo das bruxas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres milmanda chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres mas rabell parellada garnacha blanca 750ml|??|w|garnacha|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres mas rabell parellada garnacha blanca|??|w|garnacha|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres floralis moscatel oro|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol torres floralis moscatel oro|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=145
W|branco|espanhol tio pepe palomino fino gonzalez byass|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|espanhol tempranillo buen viaje|??|w|tempranillo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol sueo de espaa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol sueno de espana|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol soto del vicario godello|??|w|godello|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol sauvignon blanc utielraquena toro loco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol ramon bilbao albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol pescador|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol pazo baion albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol pata negra verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol pata negra oro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol particular chardonnay san valero 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol pago del vicario talva|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol organico pureza moscatel de alejandria anfora pepe mendoza finca de abargues alicante espanha|ar|w|moscatel|mendoza|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol nuestro verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol mustiguillo finca calvestra merseguera|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol monteabellon verdejo rueda do|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol monte ducay san valero 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol michelini i mufatto ma godello|??|w|godello|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol matsu la jefa malvasia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol matsu la jefa malvasia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=166
W|branco|espanhol marques del turia viura sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de tomares gran reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de tomares gran reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=169
W|branco|espanhol marques de tomares crianza 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de tomares crianza|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de tomares crianza|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=172
W|branco|espanhol marques de toledo verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de ardoza|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol marques de ardoza|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=175
W|branco|espanhol macabeo e chardonnay campo marin|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol luciente viura|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol los molinos airen verdejo valdepenas|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol las camelias|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol laderas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol lacrima purpura|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol la vache espagnole|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol jerez fino fernando de castilla sherry|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|espanhol inconfesable verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol icaro macabeo|??|w|macabeo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol i heart sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol i heart chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol high mountains viura|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol freixenet demisec mia white|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol finca manzanos blanco barrica|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol finca manzanos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol finca fella cala rey|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol fernando de castilla jerez classic dry fino sherry|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|espanhol fernando de castilla jerez classic dry fino sherry|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=194
W|branco|espanhol fernando de castilla classic dry manzanilla|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|espanhol faustino vii rioja doc|es|w|??|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol faustino vii|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol el miracle n3|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol el marques de espana verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol eguren verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol dominio de punctum 99 rosas viognier chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol dominio de punctum 99 rosas chardonnay viognier edicao especial|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol de andres sisters oh sister verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol condado de eguren viura|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol concilio leve 3 pague 2 kit 3 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol chan de rosas albarino classico|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol cava codorniu|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|espanhol castillo ducay san valero 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol carinena chardonnay macabeo esteban martin|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol bienbebido pulpo albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol benedictum iii|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol benedictum iii|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=212
W|branco|espanhol baron do sil godello|??|w|godello|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol avelino vegas condado real verdejoviura|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol aradon do rioja seco|es|w|??|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|branco|espanhol 3 buhis macabeo chardonnay kosher vegano|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanha torres esmeralda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanha oh sisters|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espanha benedictum iii blend de uvas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|espada a cinta|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|eskuadro kompassus|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|esculpido branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|escudo rojo gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|escudo rojo gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|escorihuela pequenas producciones sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|escorihuela pequenas producciones chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|escorihuela pequenas producciones chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=227
