W|gordon|macphail private collection speyburn 592 cask 6045101 refill sherry butt bottled in|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 42 year port ellen distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series 2 46 year banff distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series 2 49 year glen mhor distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series 2 connoisseurs choice glenesk 38 year old 505 cask 2636 refill sherry butt bottled in|??|f|??|??|??|1984|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 connoisseurs choice glenesk 38 year old 505 cask 2636 refill sherry butt bottled in|??|f|??|??|??|1984|20|??|encorpado|queijos, sobremesas, chocolate|doce|=26
W|gordon|macphail the recollection series 2 connoisseurs choice imperial 25 year old 521 cask 4961 refill sherry hogshead bottled in|??|f|??|??|??|1997|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 connoisseurs choice imperial 25 year old 521 cask 4961 refill sherry hogshead bottled in|??|f|??|??|??|1997|20|??|encorpado|queijos, sobremesas, chocolate|doce|=28
W|gordon|macphail the recollection series 2 private collection caperdonich 531 cask 1105 refill sherry butt bottled in|za|f|??|??|??|1979|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 private collection caperdonich 531 cask 1105 refill sherry butt bottled in|za|f|??|??|??|1979|20|??|encorpado|queijos, sobremesas, chocolate|doce|=30
W|gordon|macphail the recollection series 2 private collection glen albyn 564 cask 3857 refill sherry puncheon bottled in|??|f|??|??|??|1979|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 private collection glen albyn 564 cask 3857 refill sherry puncheon bottled in|??|f|??|??|??|1979|20|??|encorpado|queijos, sobremesas, chocolate|doce|=32
W|gordon|macphail the recollection series 2 private collection port ellen 525 cask 290 refill sherry butt bottled in|??|f|??|??|??|1981|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series 2 private collection port ellen 525 cask 290 refill sherry butt bottled in|??|f|??|??|??|1981|20|??|encorpado|queijos, sobremesas, chocolate|doce|=34
W|gordon|macphail the recollection series 2 private collection st magdalene 545 cask 2100 refill american hogshead bottled in|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series 2 private collection st magdalene 545 cask 2100 refill american hogshead bottled in|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|gordon|macphail the recollection series private collection banff 486 cask 3623 refill american hogshead bottled in|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series private collection banff 486 cask 3623 refill american hogshead bottled in|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|gordon|macphail the recollection series private collection convalmore 478 cask 2564 refill american hogshead bottled in|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail the recollection series private collection convalmore 478 cask 2564 refill american hogshead bottled in|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|gordon|macphail the recollection series private collection glen mhor 508 cask 72 refill sherry hogshead bottled in|??|f|??|??|??|1982|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gordon|macphail the recollection series private collection glen mhor 508 cask 72 refill sherry hogshead bottled in|??|f|??|??|??|1982|20|??|encorpado|queijos, sobremesas, chocolate|doce|=42
W|gordon|macphail tomatin|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail tomatin 30 year old connoisseurs choice cask 6812|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail tormore 26yo 19942021 577|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail tormore 29 year old connoisseurs choice cask 15384|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail tormore 29yo 19932022 545|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphail tullibardine 15yo 20082023 21603506 582|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|macphails caol ila connoisseurs choice|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|mcphail bladnoch connoisseurs choice|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gordon|mcphail mortlach 75 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|mignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay elegante rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordon|ramsay elegante rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=55
W|gordon|ramsay elegante rosato tuscany|it|p|??|tuscany|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordon|ramsay intenso rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay intenso rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|gordon|ramsay intenso rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|gordon|ramsay intenso rosso tuscany|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay maze collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay maze collection blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay maze collection denim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay maze collection white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordon|ramsay maze grill collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay pinot grigio doc delle venezie|??|w|pinot grigio|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gordon|ramsay pinot grigo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|ramsay vibrante bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordon|ramsay vibrante bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=69
W|gordon|ramsay vibrante bianco tuscany|it|w|??|tuscany|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordon|ramsay wines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|rhodes herb and chestnut stuffing|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|rhodes sage and red onion stuffing gluten free|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|rouge mumm brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gordon|s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gordon|s 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|s crisp cucumber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|s dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|s elderflower|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|s pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordon|s pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=82
W|gordon|s pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=82
W|gordon|s pink 375|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordon|s sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|sicilian lemon|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|gordon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|gordon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=88
W|gordon|xmas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|xmas 88|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordon|xmas 88|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|gordon|xmas 88|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|gordonmacphail|1 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordonne|les gravieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gordons|alkoholmentes parlat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|non alcohol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|00|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|00|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=153
X
X
X
X
S
S
W|gordons|00 alkoholfrei|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gordons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gordons|192|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|1ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|35 pink|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gordons|375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gordons|375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gordons|375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gordons|40o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|alc free 00|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
S
X
W|gordons|and slimline|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|bay 2night stay for two with breakfast at 4star krystal beach hotel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|bay merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|bay merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|gordons|bay rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gordons|bay sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gordons|bay sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=187
W|gordons|bay shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|christmas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|crisp cucumber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|cucumber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|deluxe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|gordons|dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|gordons|dry gin1l|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|elderflower|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|elderflower|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gordons|elderflower lime spritz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|elderflower lime spritz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=200
S
W|gordons|flavoured mixed trio bottles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gordons 40 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gordons37 40 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|green|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|green btl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt 7 12x250c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt 7 6x250c|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt 7 cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|gt 7 cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|gordons|gt bt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gordons|hip flask|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|lemon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gordons|lemon sicilian|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|lemon sicilian|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=219
W|gordons|litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|gordons|london dry 375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry 005|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|london dry 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=237
W|gordons|london dry 375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=233
W|gordons|london dry 375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=233
W|gordons|london dry 375|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=233
W|gordons|london dry litro pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|med orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|med orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|gordons|mediterranean orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
