W|geografico|pavonero bianco nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geografico|vernaccia di san gimignano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|geografico|vernaccia di san gimignano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|geografico|vernaccia di san gimignano|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geografico|vernaccia di san gimignano|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|geografico|vin santo del chianti|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|geografico|vin santo del chianti|??|d|??|??|??|2014|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|geografico|vin santo del chianti|??|d|??|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|geografico|vin santo del chianti|??|d|??|??|??|2020|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|geografico|vin santo del chianti|??|d|??|??|??|2020|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=28
W|geografico|vin santo del chianti doc edes feherbor toszkana olaszorszag|??|d|??|??|??|nv|10|doc|encorpado|sobremesas, queijos, frutas secas|doce
W|geographic|la volee baga rose brut nature espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|geographic|wines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographic|wines|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographic|wines|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographic|wines inospito touriga nacional|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographic|wines la volee baga rose brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|geographic|wines landcraft moscatel galego branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographic|wines lento vv branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographica|bonsai chenin blanc|??|w|chenin blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geographica|bonsai chenin blanc case of 6|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|geographica|thoreau cabernet franc|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographica|thoreau cabernet franc case of 6|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographico|chianti classico|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geographico|chianti classico|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geohunting|geohunting|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geol|geol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geol|geol|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geol|geol|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geol|geol|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geol|geol|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geolignocell|geolignocell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geolignocell|1000 literes ibc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|geometria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|geometria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|geometria|geometria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|geometria|geometria|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|agiorgitiko|??|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|agiorgitiko|??|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|geometria|agiorgitiko|??|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=57
W|geometria|agiorgitiko|??|r|agiorgitiko|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|assyrtiko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|assyrtiko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|geometria|assyrtiko|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|assyrtiko pgi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|malagouzia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|moschofilero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|moschofilero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|geometria|moschofilero|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometria|moschophilero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|geometric|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|paper structures kit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|peg board orchard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print capri pajamas purple|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print midi dress|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print midi sarong|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print polo blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print polo classic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print pyjama bottoms black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print swim shorts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|print triangle bikini top|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|sorting board orchard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometric|vase 25cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|geometry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|kitchen towels|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|not paper towels|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|parade dishcloth set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|pollen patchwork dishcloth set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geometry|positive vibes dishcloth set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geonczeol|attila|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geopark|odsherred brik for brik|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geopark|odsherred kalenderen|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geopark|odsherred plakat silva danica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geoponika|geoponika|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geoponika|geoponika|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georage|tstagg jr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geordie|muntons bitter 15kg2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geordie|muntons mild 15kg2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geordie|muntons scottish export 15kg2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geordie|muntons winter warmer 15kg2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geordie|muntons yorkshire bitter 15kg2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|fra stokkebye|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|albrecht schneider hipping berg riesling spatlese trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider niersteiner hummerthal riesling spatlese trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider niersteiner paterberg riesling kabinett|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider rheinhessen last night a riesling saved my life rheinhessen germany|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider riesling niersteiner hipping spatlese|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider vom kalk nierstein riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|albrecht schneider vom rotliegenden riesling trocken|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg roseneck rheingau|de|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer berg roseneck riesling|??|p|riesling|??|??|2016|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer berg rottland auslese riesling|??|d|riesling|??|??|2011|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|georg|breuer berg rottland riesling|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg rottland riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg rottland riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg rottland riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=114
W|georg|breuer berg rottland riesling rheingau|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg rottland rudesheim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer berg schlossberg gg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer berg schlossberg paket|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer berg schlossberg riesling|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg schlossberg riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg schlossberg riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer berg schlossberg rudesheim|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer berg shlossberg riesling rheingau|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|georg|breuer charm riesling rheingau|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer estate rudesheim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer estate rudesheim qualitatswein rheingau|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer gb rouge spatburgunder|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer gb rouge spatburgunder rheingau germany|de|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer gb sans riesling zero alcol|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer gb sans rose spatburgunder|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer gb sauvage riesling trocken rheingau germany case|de|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer gb spatburgunder rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer gris grauburgunder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer nonnenberg riesling gc|??|w|riesling|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer nonnenberg riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer orleans rudesheim|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer orleans rudesheim|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer orleans rudesheim|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer pfaffenwies grand cru riesling|??|w|riesling|??|??|2022|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer pfaffenwies riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer pfaffenwies riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer pfaffenwies riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer pfaffenwiess riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer pfaffewies lorch|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer praffenwies gg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer rauenthal nonnenberg riesling trocken|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rauenthal nonnenberg riesling trocken|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rauenthal riesling|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer raunthal riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rheingau auslese|de|d|??|??|??|2023|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|georg|breuer rheingau estate paket|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer riesling alkoholfrei sans|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling auslese rheingau|de|d|riesling|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|georg|breuer riesling berg lorch pfaffenwies|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling berg roseneck trocken|??|p|riesling|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer riesling estate rudesheimer|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling gb sauvage|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling lorch pfaffenwies|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling monopol rauenthaler nonnenberg|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling nonnenberg|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling rauenthal nonnenberg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling rudesheim berg roseneck|??|p|riesling|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer riesling rudesheim berg schlossberg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling rudesheim estate|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling rudesheimer berg roseneck|??|p|riesling|??|??|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer riesling rudesheimer berg rottland|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling sauvage|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling sauvage|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling sauvage rheingau|de|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling sekt brut|??|s|riesling|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|georg|breuer riesling terra montosa|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling trocken gb sauvage|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer riesling trocken sauvage|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer rudesheim berg roseneck riesling trocken|??|p|riesling|??|??|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling rheingau|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling rheingau germany|de|w|riesling|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling rheingau germany|de|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheim estate riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2007|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer rudesheimer berg schlossberg riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer salz der erde riesling rheingau germany|de|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer sans pinot noir rose|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer sans pinot noir rose nonalcoholic|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer sans riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer sans riesling alkoholfrei|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer sans rose spatburgunder alkoholfrei|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|georg|breuer sauvage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer spatburgunder rheingau|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer terra montosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|breuer terra montosa riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer terra montosa riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer terra montosa riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer terra montosa riesling rheingau|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|breuer venture riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|fogt cremant brut nature sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georg|fromm michel|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|fromm village|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|gustav huff holzfass spatburgunder trocken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|gustav huff niersteiner riesling kabinett white semisweet 105 075|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|georg|gustav huff niersteiner riesling roter hang rheinhessen 2023white semidry12075|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|gustav huff niersteiner weisser burgunder trocken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|gustav huff riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georg|gustav huff spatburgunder holzfass|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen by heemskerk hallmark cuvee nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen by heemskerk sparkling rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|georg|jensen champagnesabel|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|georg|jensen cobra tafelkandelaar groot set van 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen cobra vloerkandelaar 60cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen cobra wijn karaf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen cobra wijn of water karaf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen hallmark cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georg|jensen hallmark cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|georg|jensen hallmark cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|georg|jensen hallmark cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|georg|jensen hallmark cuvee heemskerk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
