1. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casa eva essencia|cabernet franc ip|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
38. W|casa eva essencia|cabernet franc ip|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=37
39. W|casa eva essencia|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
40. W|casa eva essencia|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=39
41. W|casa eva essencia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
42. W|casa eva essencia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=41
43. W|casa eva|gran chardonnay personas 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
44. W|casa eva|gran chardonnay personas 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=43
45. W|casa eva|marselan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|casa eva|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|casa eva|pinot noir 2025|pt|r|pinot noir|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|casa eva|pinot noir 2025|pt|r|pinot noir|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=47
49. W|casa eva sentidos|marselan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|casa eva sentidos|marselan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
51. W|casa eva sentidos|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casa eva sentidos|tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|casa eva sentidos|viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
54. W|casa eva sentidos|viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=53
55. W|casa eva|tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|casa eva|vinho branco essencia chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
57. W|casa eva|vinho branco sentidos viognier 2025|pt|w|viognier|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
58. W|casa eva|vinho rose essencia 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
59. W|casa eva|vinho tinto essencia cabernet franc 2025|pt|r|cabernet franc|??|??|2025|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|casa eva|vinho tinto sentidos marselan 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casa eva|vinho tinto sentidos pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|casa eva|vinho tinto sentidos tannat 2023|pt|r|tannat|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|casa eva|viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
64. W|casa famosa cocktails variety|pack 8pk12oz|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|casa famosa hard aqua fresca variety|8pk|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|casa famosa hard aqua fresca variety|8pk|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=65
67. W|casa farive|brut cuvee nv|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
68. W|casa farive cuvee veneto|glera|pt|r|??|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|casa farive cuvee vino spumante|brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
70. W|casa farive|docg valdobbiadene prosecco superiore extra dry|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
71. W|casa farive|frizzante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
72. W|casa farive|prosecco doc|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
73. W|casa farive|prosecco spumante doc brut|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
74. W|casa farive|prosecco superiore extra dry nv|it|s|??|??|??|NV|12|superiore|leve|aperitivos, frutos do mar, sushi|brut
75. W|casa farive|rose prosecco extra dry|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
76. W|casa farive valdobbiadene|prosecco superiore docg extra dry|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
77. W|casa|ferreirinha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|casa ferreirinha|2011 barcavelha 20th vintage|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casa ferreirinha|2014 reserva especial|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
80. W|casa ferreirinha|2018 douro quinta da leda|pt|r|??|douro|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casa ferreirinha|2020 quinta da leda 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|casa ferreirinha|2021 callabriga 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|casa ferreirinha|2022 papa figos vinho branco douro doc|pt|w|??|douro|??|2022|12.5|doc|leve|frutos do mar, peixes, saladas|seco
84. W|casa ferreirinha|2022 vinha grande|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casa ferreirinha|2023 vinha grande douro tinto douro valley portugal|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|casa ferreirinha antonia adelaide ferreira|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
87. W|casa ferreirinha antonia adelaide ferreira|branco 2016|pt|w|??|??|??|2016|12.5|??|leve|frutos do mar, peixes, saladas|seco
88. W|casa ferreirinha antonia adelaide ferreira edicao limitada|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casa ferreirinha antonia adelaide ferreira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|casa ferreirinha antonia adelaide ferreira|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|casa ferreirinha barca|velha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|casa ferreirinha barca|velha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=91
93. W|casa ferreirinha barca|velha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=91
94. W|casa ferreirinha barca|velha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=91
95. W|casa ferreirinha barca velha|2000|pt|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|casa ferreirinha barca velha|2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|casa ferreirinha barca velha|2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=96
98. W|casa ferreirinha barca velha|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casa ferreirinha barca velha|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|casa ferreirinha barca velha douro|2011|pt|r|??|douro|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casa ferreirinha barcavelha|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|casa ferreirinha barcavelha douro portugal|2011|pt|r|??|douro|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casa ferreirinha barcavelha douro portugal|2011|pt|r|??|douro|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|casa ferreirinha barcavelha douro|tinto 2015|pt|r|??|douro|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|casa ferreirinha callabria|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|casa ferreirinha|callabriga|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|casa ferreirinha|callabriga|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
108. W|casa ferreirinha callabriga|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casa ferreirinha callabriga|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|casa ferreirinha callabriga douro|2019|pt|r|??|douro|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casa ferreirinha callabriga douro|2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|casa ferreirinha callabriga douro|2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|casa ferreirinha callabriga douro|red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|casa ferreirinha callabriga douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casa ferreirinha callabriga douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=114
116. W|casa ferreirinha callabriga douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casa ferreirinha callabriga magnum|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|casa ferreirinha callabriga|red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|casa ferreirinha callabriga|red 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|casa ferreirinha callabriga|red 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=119
121. W|casa ferreirinha callabriga|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|casa ferreirinha callabriga|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=121
123. W|casa ferreirinha callabriga|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|casa ferreirinha callabriga|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|casa ferreirinha castas|escondidas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|casa ferreirinha castas escondidas|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|casa ferreirinha castas escondidas douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|casa ferreirinha castas escondidas|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|casa ferreirinha castas escondidas|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|casa ferreirinha castas escondidas|tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|casa ferreirinha castas escondidas|tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=130
132. W|casa ferreirinha castas escondidas|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|casa ferreirinha castas escondidas|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|casa ferreirinha douro|branco papa figos 2023|pt|w|??|douro|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
135. W|casa ferreirinha douro|branco reserva planalto 2022|pt|w|??|douro|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
136. W|casa ferreirinha douro esteva|red 2018|pt|r|??|douro|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casa ferreirinha douro quinta da leda|2015|pt|r|??|douro|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|casa ferreirinha douro quinta da leda|2017|pt|r|??|douro|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casa ferreirinha douro|reserva especial|pt|r|??|douro|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
140. W|casa ferreirinha douro|reserva especial 2007|pt|r|??|douro|??|2007|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
141. W|casa ferreirinha douro|tinto barca velha|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|casa ferreirinha douro|tinto callabriga|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|casa ferreirinha douro|tinto callabriga 2021|pt|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|casa ferreirinha douro|tinto papa figos 2019|pt|r|??|douro|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casa ferreirinha douro|tinto quinta da leda|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casa ferreirinha douro|tinto quinta da leda 2020|pt|r|??|douro|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casa ferreirinha douro|tinto reserva especial 2014|pt|r|??|douro|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
148. W|casa ferreirinha douro|tinto vinha grande 2022|pt|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa ferreirinha|esteva|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa ferreirinha|esteva|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
151. W|casa ferreirinha|esteva|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
152. W|casa ferreirinha|esteva|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
153. W|casa ferreirinha|esteva|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
154. W|casa ferreirinha esteva|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casa ferreirinha esteva|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|casa ferreirinha esteva|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|casa ferreirinha esteva|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
158. W|casa ferreirinha esteva|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
159. W|casa ferreirinha esteva douro|2019|pt|r|??|douro|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|casa ferreirinha esteva douro|2021|pt|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casa ferreirinha esteva douro|doc|pt|r|??|douro|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
162. W|casa ferreirinha esteva douro|red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|casa ferreirinha esteva douro|red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=162
164. W|casa ferreirinha esteva douro rotwein portugiesischer wein trocken|dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
165. W|casa ferreirinha esteva douro rotwein portugiesischer wein trocken|dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=164
166. W|casa ferreirinha esteva douro rotwein portugiesischer wein trocken|dop portugal|pt|r|??|douro|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco|=164
167. W|casa ferreirinha esteva douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|casa ferreirinha esteva douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=167
169. W|casa ferreirinha esteva douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=167
170. W|casa ferreirinha esteva douro|tinto 2021|pt|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|casa ferreirinha esteva douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|casa ferreirinha esteva|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|casa ferreirinha esteva|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
174. W|casa ferreirinha esteva|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
175. W|casa ferreirinha esteva|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casa ferreirinha esteva vino|red portugal douro 0|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casa ferreirinha i|reserva especial 2014|pt|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
178. W|casa ferreirinha meza|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
179. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
181. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
182. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
183. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
184. W|casa ferreirinha papa|figos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
185. W|casa ferreirinha papa figos|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|casa ferreirinha papa figos|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
187. W|casa ferreirinha papa figos|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=186
188. W|casa ferreirinha papa figos casa|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casa ferreirinha papa figos douro|2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|casa ferreirinha papa figos douro|blanco|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|casa ferreirinha papa figos douro|branco 125 abv|pt|w|??|douro|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
192. W|casa ferreirinha papa figos douro|branco 2023|pt|w|??|douro|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
193. W|casa ferreirinha papa figos douro|branco 2024|pt|w|??|douro|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
194. W|casa ferreirinha papa figos douro|branco 2024|pt|w|??|douro|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=193
195. W|casa ferreirinha papa figos douro|branco 2024|pt|w|??|douro|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=193
196. W|casa ferreirinha papa figos douro|red|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casa ferreirinha papa figos douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|casa ferreirinha papa figos douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
199. W|casa ferreirinha papa figos douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
200. W|casa ferreirinha papa figos douro|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
201. W|casa ferreirinha papa figos douro|tinto 13abv|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casa ferreirinha papa figos douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casa ferreirinha papa figos douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
204. W|casa ferreirinha papa figos douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
205. W|casa ferreirinha papa figos douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
206. W|casa ferreirinha papa figos douro|tinto 2023|pt|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
207. W|casa ferreirinha papa figos duoro|branco 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
208. W|casa ferreirinha papa figos duoro|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
