W|damoiseau arrange|mangue passion 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau|liqueur shrubb 0 40|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|1980 rhum vieux 18yo|fr|r|??|??|??|1980|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|2008|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau millesime|2009 vieux agricole guadeloupe ao|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau pas|loma can 125 c24|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau punch|fruits de la passion 0 18|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau punch|passion 18 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau punch|planteur 18 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau reserva|8 anos|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|10y 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|110 proof|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|12y 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|15y 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|69 experience 69|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|arrange ananasvanille 0 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|arrange coco 0 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|arrange goyavevanille 0 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|arrange manguepassion 0 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|arrange orange 0 30|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|blanc 0 40|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau rhum|blanc guadeloupe|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau rhum|blanc guadeloupe 50|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau rhum|hors dage 10 ans 2001 42|fr|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|hors dage 10 ans 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|hors dage 12 ans 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|hors dage 7 ans 2009 42|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|hors dage 8 ans 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|hors dage 9 ans 2007 42|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|millesime 2007 42|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|millesime 2008 479|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|millesime 2009 42|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|und montecristo zigarren|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux 10 jahre|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux 12 jahre|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux 15 ans dage 0 42 gb|gb|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux 2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux agricole milllesime 2009 guadeloupe|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux agricole vo guadeloupe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux dexeption 15 ans dage 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux millesime 1989|fr|r|??|??|??|1989|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux millesime 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux millesime 2007 0 42 gb|gb|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux millesime 2008 full proof 0 479 gb|gb|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vieux millesime 2009 0 42 gb|gb|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vsop|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|vsop 4 ans 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau rhum|xo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau shrubb|liquor 40 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau sirop|sirop|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau sirop|de canne 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau sirop|de canne c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau stratera|stratera|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vieux|vieux|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vo|vo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vo|42 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vo|42 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=77
W|damoiseau vsop|vsop|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vsop|42 2 glasses c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau vsop|42 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau white|guadeloupe ao|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau white|rhum 40 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau white|rhum 40 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=83
W|damoiseau white|rhum 50 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau white|rhum 50 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=85
W|damoiseau white|rhum 50 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=85
W|damoiseau white|rhum 55 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau white|rhum 55 c6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=88
W|damoiseau white|rhum bag in box 40|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau white|rhum bag in box 50|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damoiseau xo|xo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau xo|xo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=92
W|damoiseau xo|xo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=92
W|damoiseau xo|guadeloupe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau xo|rhum 42 c6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiseau xo|vieux agricole guadeloupe ao|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoiselle|damoiselle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoli checo|amarone della valpolicella classico docg 2018|it|r|??|??|??|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|damoli checo|amarone della valpolicella classico docg 2018|it|r|??|??|??|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=99
W|damoli checo|amarone della valpolicella riserva docg 2013|it|r|??|??|??|2013|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|damoli giago|valpolicella ripasso classico superiore doc 2020|it|r|??|??|??|2020|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damoli negrar|volavia valpolicella classico doc italy 2022|it|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damoli valpolicella|classico volavia 2022|it|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoli valpolicella|ripasso classico superiore giago 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoli vino|spumante di qualita corvina metodo classico avant garde 2023|fr|s|corvina|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut
W|damon baby|boys buttondown short sleeves white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damona dairyfree|cheeses bocconcini 240g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damona dairyfree|cheeses brie 180g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damona dairyfree|cheeses smoked mozzarella 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damond cin|cin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damonjaig|damonjaig|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy|2014 chambertin clos de beze grand cru|fr|r|??|??|??|2014|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|damoy bourgogne|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|chambertin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|clos de beze|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|clos de beze 1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|clos de beze 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|clos de beze grand cru 2020|fr|r|??|??|??|2020|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|clos de beze grand cru 2020|fr|r|??|??|??|2020|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco|=120
W|damoy chambertin|grand cru 2008|fr|r|??|??|??|2008|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|damoy chambertin|grand cru 2008|fr|r|??|??|??|2008|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco|=122
W|damoy chambertinclos|de beze grand cru vieilles vignes 2007|fr|r|??|??|??|2007|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|damoy chapelle|chambertin 2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy chapelle|chambertin 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy fixin|les mogottes 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damoy fixin|les mogottes 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dampbrste til|hunder katter og kjledyr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfbierbrauerei zwiesl|dampfbier 5|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfbierbrauerei zwiesl|festbier 56|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfwerk heide|herbal liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfwerk heide|herbal liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=132
W|dampfwerk helgolander|herbal liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfwerk helgolander|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfwerk orange|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampfwerk orange|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=136
W|dampfwerk rabbit|in rye herbal liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampkondensator til|brewtools|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampkondensator til|grainfather g30 i steam condenser ny versjon|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampkondensator til|grainfather g40 g70 i steam condenser|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampt|2011 chablis grand cru les clos|fr|w|chardonnay|??|??|2011|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt|2014 chablis grand cru les clos|fr|w|chardonnay|??|??|2014|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt beauroy|chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt blanchot|chablis grand cru|fr|w|chardonnay|??|??|NV|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt chablis|chablis|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dampt chablis|2023|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dampt cote|de lechet chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt daniel|2007 chablis 1er cru cote de lechet|fr|w|chardonnay|??|??|2007|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt fourchaume|chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|bourgogne tonnerre 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampt freres|chablis 1er cru montee de tonnerre 2022|fr|w|chardonnay|??|??|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis 1er cru vaucoupin 2022|fr|w|chardonnay|??|??|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis cote de lechet 1er cru kosher|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis grand cru blanchot 2022|fr|w|chardonnay|??|??|2022|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis grand cru les preuses 2022|fr|w|chardonnay|??|??|2022|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis grand cru vaudesir 2022|fr|w|chardonnay|??|??|2022|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis premier cru berdiot burgundy france|fr|w|chardonnay|??|??|NV|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis premier cru montee de tonnerre burgundy france|fr|w|chardonnay|??|??|NV|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis premier cru mt milieu burgundy france|fr|w|chardonnay|??|??|NV|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis premier cru vaucoupin burgundy france|fr|w|chardonnay|??|??|NV|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|dampt freres|chablis tradition burgundy france|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dampt freres|chablis vieilles vignes|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dampt freres|chablis vieilles vignes 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dampt freres|chablis vieilles vignes 2022 magnum|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dampt freres|le pare du chateau bourgogne pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampt freres|le pare du chateau bourgogne tonnerre|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dampt freres|petit chablis old vines aop petit chablis wei 2022|fr|w|chardonnay|??|??|2022|12.5|AOP|medio|peixe, frutos do mar|seco
W|dampt freres|petit chablis vieilles vignes aop petit chablis blanc 2022|fr|w|chardonnay|??|??|2022|12.5|AOP|medio|peixe, frutos do mar|seco
W|dampt freres|petit chablis vieilles vignes aop petit chablis blanc 2022|fr|w|chardonnay|??|??|2022|12.5|AOP|medio|peixe, frutos do mar|seco|=169
W|dampt freres|petit chablis vieilles vignes aop petit chablis blanc 2022|fr|w|chardonnay|??|??|2022|12.5|AOP|medio|peixe, frutos do mar|seco|=169
W|dampt freres|petit chablis vieilles vignes aop petit chablis branco 2022|fr|w|chardonnay|??|??|2022|12.5|AOP|medio|peixe, frutos do mar|seco
W|dampt les lys|chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt petit|chablis|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dampt sebastien|2014 chablis 1er cru les beugnons|fr|w|chardonnay|??|??|2014|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt sebastien|2015 chablis 1er cru les beugnons|fr|w|chardonnay|??|??|2015|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt sebastien|2021 chablis 1er cru cote de lechet|fr|w|chardonnay|??|??|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt vaillons|chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|dampt vincent|2014 chablis 1er cru cote de lechet|fr|w|chardonnay|??|??|2014|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|damrak|damrak|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damrak|damrak|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=180
W|damrak|00|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damrak amsterdam|amsterdam|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsel cellars|cab franc 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsel cellars|cinsault knox road vyd somlyay 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsel cellars|marsanne 2021|fr|w|marsanne|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|damsel cellars|marsanne boushey vyd somlyay 2023|fr|w|marsanne|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|damska cerna|mikina vino je laska|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damska dlouha|sukne z prijemne splyvave viskozy|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damske cerne|tricko miluju vino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damske naramky|z mineralu s vyznamem krasy a harmonie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damske tricko|little sicily cerne|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
X
W|damski rose|erzetic|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damsky strih|barva ci preliv i melir s vyzivnou maskou|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsky strih|barveni nebo melir vc hloubkove regenerace|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsky strih|i moznost trvale barveni ci meliru|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damso makgeolli|yuzu|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damson fruit|puree|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damson plum|plum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damson wine|wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pet|nat 2021|fr|s|??|??|??|2021|12|??|medio|aperitivos, frutos do mar|brut
W|damsteep pet|nat 2022|fr|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|brut
W|damsteep pet|nat 2024|fr|s|??|??|??|2024|12|??|medio|aperitivos, frutos do mar|brut
W|damsteep pet|nat 2025|fr|s|??|??|??|2025|12|??|medio|aperitivos, frutos do mar|brut
W|damsteep pinot|noir 2011|fr|r|pinot noir|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2012|fr|r|pinot noir|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2013|fr|r|pinot noir|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2014|fr|r|pinot noir|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2015|fr|r|pinot noir|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2016|fr|r|pinot noir|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2017|fr|r|pinot noir|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2019|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2020|fr|r|pinot noir|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2021|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep pinot|noir 2024|fr|r|pinot noir|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damsteep riesling|2010|fr|w|riesling|??|??|2010|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2011|fr|w|riesling|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2012|fr|w|riesling|??|??|2012|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2013|fr|w|riesling|??|??|2013|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2014|fr|w|riesling|??|??|2014|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2015|fr|w|riesling|??|??|2015|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2016|fr|w|riesling|??|??|2016|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2017|fr|w|riesling|??|??|2017|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2018|fr|w|riesling|??|??|2018|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2019|fr|w|riesling|??|??|2019|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2021|fr|w|riesling|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2023|fr|w|riesling|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep riesling|2024|fr|w|riesling|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damsteep rose|2020|fr|p|??|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco
W|damun black|black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damun white|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
