W|grissini|integral 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritos|estate malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritos|malbec doc|??|r|malbec|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gritsch|1000 eimerberg riesling federspiel|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|1000 eimerberg riesling federspiel|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|gritsch|1000 eimerberg riesling federspiel|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|gritsch|wachau mauritiushof 1000eimerberg riesling federspiel|at|w|riesling|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|axpoint gruner veltliner federspiel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|axpoint gruner veltliner federspiel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=101
W|gritsch|gruner veltliner asperge wijn|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|gruner veltliner cru setzberg|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|gruner veltliner federspiel kirchpoint|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|gruner veltliner federspiel kirchpoint|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=105
W|gritsch|gruner veltliner kalmuck federspiel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|gruner veltliner smaragd loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|kalmuck gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|kalmuck gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=109
W|gritsch|kalmuck gruner veltliner|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|mauritiushof kirchpoint federspiel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritsch|riesling 1000 eimerberg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|riesling 1000eimerberg federspiel|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|riesling federspiel 1000 eimerberg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritsch|riesling federspiel cru setzberg|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gritschenberg|gritschenberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritschenberg|gritschenberg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritschenberg|gritschenberg|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritschenberg|blaufrankisch|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritt|nicotine pouches crisp ice strong 16mg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritt|nicotine pouches frost bite strong 16mg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grittermatte|grittermatte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grittermatte|grittermatte|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gritul|riserv doc 20036|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gritul|riserv doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|clos blanc|grivault pommard|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grivelet|chambolle musigny les amoureuses|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivelet|les charmes|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivelet|pere fils cru les amoureuses chambollemusigny|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivo|grivo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivo|pinot grigio friuli doc volpe pasini|it|w|pinot grigio|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grivot|bourgogne chardonnay|fr|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grivot|bourgogne rouge|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|bourgogne rouge|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|clos de|grivot vougeot|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|grivot vougeot|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|coteaux bourguignons|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|echezeaux|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot aligote|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot chablis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot chablis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=141
W|grivot|goisot chablis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot cotes dauxerre pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot cotes dauxerre pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=144
W|grivot|goisot pinot noir bourgogne cotes dauxerre|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|goisot pinot noir bourgogne cotes dauxerre|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|grivot|jean vosne romanee cru les beaux monts|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|jean richebourg grand cru|??|r|??|??|??|2000|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|jean vosne romanee cru les beaux monts|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|jean vosne romanee cru les beaux monts|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuits saint georges aux boudots|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuits saint georges les pruliers|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuits saint georges les pruliers|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuits saint georges les charmois|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuits saint georges les charmois|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|nuitssaintgeorges cru boudots|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|prestige cremant de bourgogne|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grivot|vosne romanee|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivot|vosne romanee|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivotgoisot|aligote bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grivotgoisot|aligote bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=161
W|grivotgoisot|aligote bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=161
W|grivotgoisot|chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivotgoisot|chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|grivotgoisot|chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|grivotgoisot|cotes dauxerre chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grivotgoisot|cotes dauxerre pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivotgoisot|pinot noir cotes dauxerre|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grivotgoisot|pinot noir cotes dauxerre|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|grixa|monferrato rosso doc ferraris roberto|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grixa|nebbiolo monferrato rosso doc roberto ferraris|??|r|nebbiolo|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grixx|charger usbc en usba white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grixx|gevlochten kabel wit 1 meter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grixx|gevlochten usbc kabel zwart 1meter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grixx|lightning to usbc white 1 meter|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grixx|usbc to usbc white 1 meter|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grizly|pistacie prazene solene jumbo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizo|prasino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizo|prasino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=179
W|grizo|prasino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=179
W|grizzli|40gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzling|grizzling|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|grizzly|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|fine cut natural 12z5ct|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|grains its a journey mixed ferm barrel rye smoked saison 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|grains rhubarb farmhouse saison 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|grove|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|pils|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grizzly|rose france|fr|p|??|??|??|2014|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grizzly|snuff 12 oz premium natiral|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grjanc|9 uou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|kriz|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|grk|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|bartul|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|nuic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|pjenusac quinta essentia tradicionalna metoda proizvodnje|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grk|sur lie reventon|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grkar|appelsinmarmelade sequeirinha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|6 42|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|aften te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|aften the|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|baileys cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|ble fersken te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|brombrappelsin te 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|chai te kologisk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|chai te kologiskdementer obs bedst fr 04102025|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|chaplon fuldmane te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|cherry amarena the|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|citron yoghurt te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|dukkah mill mortar|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|engel tophng 42 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|fersken ingefr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|fruit cake the panforte di siena te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|gavekurv med forklelse til baby og mor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|gavekurv med forklelse til baby og mor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|grn|gaveske m paskeg cocoture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|gaveske m paskeg cocoture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|grn|gaveske xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|gaveske xocolatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=220
W|grn|godmorgen te|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|gunpowder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|havtorn the|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|hindbr mascarpone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|hvid hindbr cream the|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grn|hvid te med fersken grape 100 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
