1. W|christian bellang et fils|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
38. W|domaine philippe bouzereau|meursault blanc|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
39. W|domaine fabien coche|meursault blanc|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
40. W|clos saintfelix|meursault blanc|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
41. W|domaine des comtes lafon|meursault blanc clos de la barre|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
42. W|domaine des comtes lafon|meursault blanc clos de la barre|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
43. W|domaine henri germain et fils|meursault blanc chevalieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
44. W|domaine henri germain et fils|meursault blanc chevalieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
45. W|blanc bichot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
46. W|blanc bichot|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
47. W|louis latour|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
48. W|louis latour|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=47
49. W|louis latour|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=47
50. W|louis latour|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=47
51. W|louis latour|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=47
52. W|nudant|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
53. W|domaine alain et vincent creusefond|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
54. W|pierre morey|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
55. W|pierre morey|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=54
56. W|pierre morey|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=54
57. W|pierre morey|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=54
58. W|pascal marchand tawse bd nature|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
59. W|pascal marchand tawse bd nature|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=58
60. W|maison edouard delaunay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
61. W|maison edouard delaunay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
62. W|domaine michelot|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
63. W|maison edouard delaunay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
64. W|maison edouard delaunay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
65. W|domaine henri germain et fils|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
66. W|domaine francois mikulski|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
67. W|domaine henri germain et fils|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
68. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
69. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco|=68
70. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
71. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco|=70
72. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco
73. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco|=72
74. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2007|13.5|AOC|medio|peixe, frutos do mar|seco
75. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2007|13.5|AOC|medio|peixe, frutos do mar|seco|=74
76. W|domaine dauvenay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2006|13.5|AOC|medio|peixe, frutos do mar|seco
77. W|dauvenay|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2006|13.5|AOC|medio|peixe, frutos do mar|seco
78. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2005|13.5|AOC|medio|peixe, frutos do mar|seco
79. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2005|13.5|AOC|medio|peixe, frutos do mar|seco|=78
80. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2004|13.5|AOC|medio|peixe, frutos do mar|seco
81. W|coche dury|meursault blanc|fr|w|chardonnay|bourgogne|meursault|2004|13.5|AOC|medio|peixe, frutos do mar|seco|=80
82. W|cru santenots|meursault blanc 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
83. W|domaine henri germain et fils|meursault blanc 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
84. W|domaine henri germain et fils|meursault blanc 1er cru poruzots|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
85. W|domaine moreycoffinet|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
86. W|domaine michel bouzereau et fils|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
87. W|domaine michel bouzereau et fils|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
88. W|domaine henri germain et fils|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
89. W|domaine pierreyves colinmorey|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
90. W|domaine henri germain et fils|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
91. W|domaine heitzlochardet|meursault blanc 1er cru perrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
92. W|cru perrieres|meursault blanc 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
93. W|domaine francois mikulski|meursault blanc 1er cru les poruzots|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
94. W|domaine heitzlochardet|meursault blanc 1er cru les perrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
95. W|domaine francois mikulski|meursault blanc 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
96. W|aux moines|meursault blanc 1er cru les charmes clos du moulin|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
97. W|domaine francois mikulski|meursault blanc 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
98. W|les charmes|meursault blanc 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
99. W|domaine michel bouzereau et fils|meursault blanc 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
100. W|domaine des comtes lafon|meursault blanc 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
101. W|domaine des comtes lafon|meursault blanc 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
102. W|domaine des comtes lafon|meursault blanc 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
103. W|domaine bernardbonin|meursault blanc 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
104. W|cru genevrieres|meursault blanc 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
105. W|domaine roulot|meursault blanc 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
106. W|domaine bernardbonin|meursault blanc 1er cru charmesdessus|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
107. W|domaine michel bouzereau et fils|meursault blanc 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
108. W|domaine des comtes lafon|meursault blanc 1er cru charmes|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
109. W|david moret|meursault blanc 1er cru charmes|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
110. W|domaine des comtes lafon|meursault blanc 1er cru charmes|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
111. W|domaine des comtes lafon|meursault blanc 1er cru charmes|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
112. W|cru charmes|meursault blanc 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
113. W|domaine michel bouzereau et fils|meursault blanc 1er cru blagny|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
114. W|cru blagny|meursault blanc 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
115. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
116. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
117. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
118. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
119. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
120. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
121. W|blanc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=115
122. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
123. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=122
124. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
125. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=124
126. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
127. W|laurent ponsot|meursault blagny premier cru cuvee du myosotis|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=126
128. W|domaine michel bouzereau et fils|meursault blagny|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
129. W|domaine matrot|meursault blagny 1er cru|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
130. W|domaine matrot|meursault blagny 1er cru|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=129
131. W|bouzereau michel|meursault blagny 1er cru|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
132. W|antoine jobard|meursault blagny 1er cru|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
133. W|antoine jobard|meursault blagny 1er cru|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
134. W|1er cru|meursault blagny|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
135. W|velle blanc|meursault aop jeanluc eric burguet sous la|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
136. W|et trebuchet|meursault aop chartron|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
137. W|domaine laboureau|meursault aop|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
138. W|aop|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
139. W|domaine bellang|meursault aoc vieilles vignes|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
140. W|1er cru|meursault aoc ravelle|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
141. W|1er cru|meursault aoc ravelle|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=140
142. W|le limozin|meursault aoc|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
143. W|aoc drouhin|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
144. W|domaine deveneymars|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
145. W|maison champy|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
146. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
147. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=146
148. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=146
149. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=146
150. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=146
151. W|domaine armelle et bernard rion|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
152. W|chanson|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
153. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
154. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=153
155. W|arnaud baillot|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=153
156. W|meursault|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
157. W|leroy|meursault aoc|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
158. W|aoc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
159. W|aoc|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=158
160. W|antonin rodet|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
161. W|antoine jobard|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
162. W|ac remoissenet|meursault|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
163. W|meursault ac|meursault|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
164. W|meursault ac|meursault|fr|w|chardonnay|bourgogne|meursault|2013|13.5|AOC|medio|peixe, frutos do mar|seco
165. W|ac|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
166. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
167. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
168. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=166
169. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
170. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
171. W|domaine roulot|meursault a mon plaisir clos du haut tesson|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
172. W|domaine roux|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
173. W|domaine roux|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=172
174. W|domaine roux|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=172
175. W|domaine roux|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=172
176. W|domaine roux|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco|=172
177. W|domaine henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
178. W|domaine francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
179. W|meursault|meursault|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
180. W|virely rougeot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
181. W|virely rougeot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=180
182. W|sous la velle michelot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
183. W|maison philippe pacalet|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
184. W|les clous camille guillaume boillot frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
185. W|justin girardin|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
186. W|justin girardin|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=185
187. W|henri boillot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
188. W|domaine vincent bouzereau|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
189. W|domaine serrigny|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
190. W|domaine roulot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
191. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
192. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=191
193. W|domaine matrot|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=191
194. W|domaine henri germain et fils|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
195. W|domaine henri boillot meursault frankrig|meursault|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
