W|finca traversa|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca valdemacuco|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca valdemacuco|crianza 2015 do ribera|??|r|??|??|??|2015|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca valdemacuco|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdemacuco|roble 2018 do ribera|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdemoya|rosado castilla leon|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca valdemoya|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdemoya|tempranillocabernet sauvignon castilla leon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca valdeolmos|2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdeolmos|2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=51
W|finca valdeolomos|valdeolomos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|bodegas pujanza rioja doc 2019|es|r|??|??|??|2019|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|bodegas pujanza rioja doc 2020|es|r|??|??|??|2020|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|bodegas pujanza rioja doc 2021|es|r|??|??|??|2021|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|pujanza 2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valdepoleo|vinedos pujanza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|valinas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|2017 mar de frades mejor vino blanco del cmb 2022 gran medalla de oro|??|w|??|??|??|2017|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca valinas|2018 do rias baixas|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|2018 mar de frades val do salnes|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|mar de frades val do salnes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valinas|sobre lias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vallejo|roble 2023 ribera del duero vino tinto|es|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vallobera|vallobera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valonga|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca valonga|tinto joven igp 2023|??|r|??|??|??|2023|13.5|igp|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|2019 petra de valpiedra|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|2020 cantos de valpiedra|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra 13 abv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra rioja 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra rioja doca|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra tempranillo 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|cantos de valpiedra tempranillo 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca valpiedra|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca valpiedra|reserva 2012|??|r|??|??|??|2012|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=88
W|finca valpiedra|reserva 2018|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva 2018|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=90
W|finca valpiedra|reserva red|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva rioja|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva rioja|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=93
W|finca valpiedra|reserva rioja do 2015|es|r|??|??|??|2015|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva rioja doc|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|reserva white|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca valpiedra|rioja blanco reserva 2018|es|w|??|??|??|2018|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca valpiedra|rioja cantos de valpiedra 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|rioja reserva|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|rioja reserva 14 abv|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|rioja reserva 2012|es|r|??|??|??|2012|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca valpiedra|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=103
W|finca valpiedra|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=103
W|finca valpiedra|rioja reserva tinto 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca vega|real vinedo 1950 2021|??|r|??|??|??|1950|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vega|real vinedo 1950 2021|??|r|??|??|??|1950|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=107
W|finca velia|velia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vidales|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca vidales|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca vidales|rioja crianza spain|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca vidales|rioja reserva|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca vidales|rioja reserva|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=113
W|finca vidales|tinto 2023 rioja|es|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vides|torcidas chardonnay 2024 wine of argentina|ar|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vides|torcidas malbec 2024 wine of argentina|ar|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca vieja|airen 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vieja|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca vieja|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=119
W|finca vieja|tempernillo red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vieja|tempernillo reserva red wine|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca vieja|tempranillo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vieja|tempranillo spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|2005|??|r|??|??|??|2005|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|ld ancestral|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|xarello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca viladellops|xarello 2005|??|r|??|??|??|2005|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|villacreces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=131
W|finca villacreces|2003 tinto|??|r|??|??|??|2003|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2004|??|r|??|??|??|2004|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=142
W|finca villacreces|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2017 do ribera del duero|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2019 do ribera tempranillo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2019 ribera del duero|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|2019 ribera del duero|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=148
W|finca villacreces|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|25 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=152
W|finca villacreces|crianza 1999 tinto|??|r|??|??|??|1999|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|do ribera del duero rouge 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|do ribera del duero rouge 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=155
W|finca villacreces|do ribera del duero rouge 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=155
W|finca villacreces|do ribera del duero rouge 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=155
W|finca villacreces|estate winery ribera del duero 2016|es|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|finca villacreces ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro 2016 ribera del duero|es|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro ribera del duero 1999|es|r|??|??|??|1999|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro ribera del duero 2016|es|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|nebro ribera del duero 2016|es|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=166
W|finca villacreces|pruno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=168
W|finca villacreces|pruno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=168
W|finca villacreces|pruno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=168
W|finca villacreces|pruno 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=172
W|finca villacreces|pruno 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=174
W|finca villacreces|pruno 2019 do ribera del duero lata magnum 1|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2019 ribera del duero magnum 1|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=179
W|finca villacreces|pruno do ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno red blend ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=183
W|finca villacreces|pruno ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=183
W|finca villacreces|pruno ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=183
W|finca villacreces|pruno ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=183
W|finca villacreces|pruno ribera del duero 2018|es|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero doble magnum|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero magnum 2017|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero spain 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno ribera del duero tinto 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno tinto magnum 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno tinto ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|pruno tinto ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=198
W|finca villacreces|pruno vino tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|rd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribeira del duero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribera del duero 2017|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribera del duero 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribera del duero pruno 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=207
W|finca villacreces|specimen n1 edicion especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|specimen n2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|specimen n2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=210
W|finca villacreces|specimen n2 edicion especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|specimen n3 edicion especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|specimen no3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villacreces|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villalobillos|pie franco airen 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca villas|de arcilla 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinas|de arcilla 2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinas|de arcillas 2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|vinoa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|2022 do ribeiro|es|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vinoa|blanco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vinoa|blanco 2023 1 botella de|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca vinoa|embotellado tardio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|embotellado tardio 2021 1 botella de|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|embotellado tardio 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca vinoa|paraje penaboa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
