W|lecole no 41|cabernet sauvignon walla walla washington 750|us|r|cabernet sauvignon|walla walla|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole no 41|merlot seven hills vineyard walla walla valley|us|r|merlot|walla walla|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole no 41|merlot columbia valley washington|us|r|merlot|columbia valley|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole no 41|cabernet sauvignon columbia valley washington|us|r|cabernet sauvignon|columbia valley|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|merlot no 41 columbia valley|us|r|merlot|columbia valley|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|merlot columbia valley|us|r|merlot|columbia valley|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|merlot columbia valley|us|r|merlot|columbia valley|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|lecole|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=25
W|lecole|luminesce white seven hills estate walla walla|us|r|??|walla walla|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|luminesce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|frenchtown red columbia valley|us|r|??|columbia valley|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|frenchtown red columbia valley|us|r|??|columbia valley|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=30
W|lecole|frenchtown red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|frenchtown red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=32
W|lecole|frenchtown red|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|ferguson red ferguson vineyard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|ferguson red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|ferguson estate red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|columbia valley merlot|us|r|merlot|columbia valley|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|columbia valley cabernet sauvignon|us|r|cabernet sauvignon|columbia valley|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|chenin blanc yakima valley|us|w|chenin blanc|yakima valley|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chenin blanc columbia valley|us|w|chenin blanc|columbia valley|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chenin blanc|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=43
W|lecole|chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=43
W|lecole|chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=43
W|lecole|chardonnay columbia valley|us|w|chardonnay|columbia valley|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=48
W|lecole|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=50
W|lecole|cabernet sauvignon columbia valley|us|r|cabernet sauvignon|columbia valley|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=50
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=55
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=55
W|lecole|cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|apogee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|apogee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=59
W|lecole|anjou domaine andree|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 walla walla usa live 24th june 8pm then on demand|us|r|??|walla walla|??|2026|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 walla walla cabernet sauvignon|us|r|cabernet sauvignon|walla walla|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|41 syrah columbia valley washington|us|r|syrah|columbia valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|41 seven hills vineyard perigee|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 seven hills perigee columbia valley washington|us|r|??|columbia valley|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 seven hills perigee columbia valley washington|us|r|??|columbia valley|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 semillon columbia valley washington|us|w|semillon|columbia valley|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|41 perigee seven hills|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 merlot columbia valley washington|us|r|merlot|columbia valley|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 merlot columbia valley|us|r|merlot|columbia valley|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 frenchtown red blend columbia valley washington|us|r|??|columbia valley|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 frenchtown red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 frenchtown bordeaux blend columbia valley washington|us|r|??|columbia valley|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 columbia valley syrah|us|r|syrah|columbia valley|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|41 columbia valley merlot|us|r|merlot|columbia valley|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|41 chenin blanc yakima valley washington|us|w|chenin blanc|yakima valley|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|41 chenin blanc old vines|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|41 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|41 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=80
W|lecole|41 cabernet sauvignon columbia valley washington|us|r|cabernet sauvignon|columbia valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|41 merlot columbia valley|us|r|merlot|columbia valley|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=71
W|lecole|l ecole no 41 frenchtown sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|chenin blanc old vines|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|l ecole chardonnay columbia valley|us|w|chardonnay|columbia valley|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lecole|frenchtown red wine|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|l ecole merlot columbia valley|us|r|merlot|columbia valley|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|ferguson|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|estate merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon walla walla|us|r|cabernet sauvignon|walla walla|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=53
W|lecole|apogee|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|no 41 merlot walla walla|us|r|merlot|walla walla|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|no 41 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lecole|lecole|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lecole|columbia valley merlot|us|r|merlot|columbia valley|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leco|punk rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leco|punk organic rioja|es|r|??|rioja|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclub|forklde sort med logo 1 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclos|des abeilles domaine bellene|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclos|des abeilles coteaux bourguignons domaine de bellene|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclos|des abeilles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclisse|lambrusco di sorbara|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclisse|lambrusco di sorbara|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclisse|paltrinieri lambrusco di sorbara doc 075ltr|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclipse|x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclipse|jeff carrel nv frankrijk elders rood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclipse|ix|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclettico|vino bianco paglione|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclettico|leclettico|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclereminard la|trame noire|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclercbriant|rose de saignee extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclercbriant|reserve brut champagne france nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclercbriant|reserve brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclercbriant les|monts ferres premier cru brut zero|??|s|??|??|??|2019|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|leclercbriant le|mesnil sur oger grand cru les carelles|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|leclercbriant|extra brut rose champagne france nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclercbriant|chateau d avize blanc de blancs brut zero|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclercbriant|chateau d avize blanc de blancs brut zero|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut|=120
W|leclercbriant|champagne extra brut|fr|s|??|champagne|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclercbriant|brut reserve epernay fr nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclercbriant|blanc meuniers champagne|fr|s|??|champagne|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclercbriant|davize blanc de blancs brut zero grand cru|??|s|??|??|??|2013|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant vintage extra brut|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose extra brut epernay|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose extra brut champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=130
W|leclerc|briant rose de saignee extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant rose brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant reserve extra brut da 0|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant reserve extra brut champagne nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant reserve extra brut 37|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant reserve extra brut 37|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=137
W|leclerc|briant reserve extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant reserve brut nv in bond|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve brut nv base|??|s|??|??|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=142
W|leclerc|briant reserve brut bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant reserve brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=145
W|leclerc|briant reserve brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=145
W|leclerc|briant premier cru extra brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime extra brut bio|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime extra brut|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant millesime extra brut|??|s|??|??|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime extra brut champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime champagne extra brut tilbud|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant millesime champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant les monts ferres vertus premier cru brut zero|??|s|??|??|??|2018|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant les monts ferres brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant les basses prieres hautvillers premier cru zero dosage|??|r|??|??|??|2016|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant la croisette millesime|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant la croisette blanc de blancs brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant la croisette brut nature champagne|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|leclerc|briant la croisette|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant grand blanc millesime brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant grand blanc millesime|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant grand blanc de blancs brut zero|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant grand blanc brut zero|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant extra brut rose de saignee bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut rose bio|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut millesime|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut millesime 075|??|s|??|??|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut millesime|??|s|??|??|??|2016|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut millesime|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant extra brut champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant doos van 6 champagne glazen|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant doos van 6 champagne glazen|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=175
W|leclerc|briant cuvee divine solera extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant cuvee divine brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant cuvee abyss brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant cuvee 150eme anniversaire|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leclerc|briant clos trois clochers brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant chateau davize blanc de blancs brut zero|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant chateau davize blanc de blancs brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant chateau davize brut zero coffret cl75|??|s|??|??|??|2013|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champange blanc de meuniers brut zero|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne rose extra brut nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne rose extra brut bio|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne rose extra brut bio|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=187
W|leclerc|briant champagne rose extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne rose extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=189
W|leclerc|briant champagne rose brut bio magnum 1|fr|s|??|champagne|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne rose brut bio magnum 1|fr|s|??|champagne|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut|=191
W|leclerc|briant champagne reserve extra brut bio magnum 1|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne reserve extra brut bio magnum 1|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=193
W|leclerc|briant champagne reserve extra brut bio half 0|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne reserve extra brut bio half 0|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=195
W|leclerc|briant champagne reserve extra brut bio|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne reserve extra brut bio|fr|s|??|champagne|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=197
W|leclerc|briant champagne reserve brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne reserve brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=199
W|leclerc|briant champagne millesime extra brut bio|fr|s|??|champagne|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne millesime extra brut bio|fr|s|??|champagne|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=201
W|leclerc|briant champagne grand blanc millesime brut zero bio|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne grand blanc millesime brut zero bio|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut|=203
W|leclerc|briant champagne extra brut rose|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|leclerc|briant champagne extra brut rose|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=205
W|leclerc|briant champagne cuvee abyss|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant champagne cuvee 150eme anniversaire|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant champagne cuvee 150eme anniversaire|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=208
W|leclerc|briant champagne clos des trois clochers|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant champagne chateau davize|fr|s|??|champagne|??|2012|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|leclerc|briant champagne brut zero le clos des trois clochers|fr|s|??|champagne|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne brut rose|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne brut reserve|fr|s|??|champagne|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne brut reserve 20 base nv|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne brut reserve|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|leclerc|briant champagne brut reserve|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=216
