1. W|cara|sur field blend tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cara|sur pergolas criollas blancas vino sin filtrar sin clarificar|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
23. W|cara|sur pergolas criollas blancas vino sin filtrar sin clarificar|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=22
24. W|cara|sur pergolas criollas tintas 2022 125|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|cara|sur pergolas criollas tintas|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cara|sur pergolas criollas tintas 2023 wine nexus|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|cara|sur pergolas criollas tintas vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cara|sur pergolas criollas tintas vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=27
29. W|cara|sur pergolas criollas tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|cara|sur pergolas tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|cara|sur pergolas tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|cara|sur rosado calingasta valley argentina 2021 case|ar|p|??|??|??|2021|12|do|leve|carne vermelha, massas, queijos curados|seco
33. W|cara|sur tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cara|sur tinto 2019 calingasta valley argentina|ar|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|cara|sur tinto 2020 cara sur|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cara|sur tinto barreal argentina 2019 case|ar|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|cara|sur tinto bonarda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|cara|sur tinto moscatel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|cara|sur tinto paraje hilario vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|cara|sur tinto paraje hilario vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
41. W|cara|sur valle de calingasta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cara|terra bianco niefiltrowane|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
43. W|cara|terra rosso niefiltrowane|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|caraamber|caraamber|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|caraamber|malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|caraaroma|caraaroma|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|caraballas|caraballas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|caraballas|caraballas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=47
49. W|caraballas|chardonnay ecologico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
50. W|caraballas|equilibrio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|caraballas|sauvignon|??|r|sauvignon|??|??|2018|13.5|??|leve|carne vermelha, massas, queijos curados|seco
52. W|caraballas|sauvignon ecologico|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
53. W|caraballas|verdejo|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
54. W|caraballas|verdejo|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=53
55. W|caraballas|verdejo|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
56. W|caraballas|verdejo ecologico|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
57. W|caraballas|verdejo ecologico|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=56
58. W|caraballas|vino blanco verdejo ecologico|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
59. W|carabantes|syrah rosso cile do|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|carabantes|syrah von siebenthal|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|carabas|barbera colli piacentini bio doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
62. W|carabela|santa maria anos 70 caja madera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|carabella|pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
64. W|carabella|vineyard 2016 eve s garden pinot noir 750 ml|??|r|pinot noir|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|carabella|vineyard 2018 estate chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
66. W|carabella|vineyard 2021 pinot gris|??|w|pinot gris|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
67. W|carabella|vineyard 2022 plowbuster pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|carabella|vineyarde chehalem mountains estate pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
69. W|carabello|baum chassagne montrachet 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
70. W|carabello|baum chassagne montrachet|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. X
72. W|carabibas|640 noches cabernet sauvignon merlot y monastrell de bodega sierra de cabreras|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
73. W|carabibas|monastrell|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|carabibas|vs 2018 tinto va merlot monastrell y cabernet sauvignon de sierra cabreras|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
75. W|carabinera|rose wine of spain|es|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
76. W|carabinera|trempanillo granacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|carabinero|mediterranean wild prawn 8 to 10 pieces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|carabinero|red prawn frozen 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|carabineros|carabineros|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|carabiniers|lirac blanc rhone valley france|fr|w|??|rhone|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
81. W|carabirol|amoros|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|carabistouille|carabistouille|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|carabo|de confesionario|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|carabo|de confesionario blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
85. W|carabo|de confesionario tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|carabo|de confesionario tinto tempranillo viura crianza|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|carabo|viura blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
88. W|carabrown|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|carabus|carabus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|carabus|carabus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=89
91. W|carabus|igt puglia 2024 caiaffa|it|r|??|puglia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
92. W|carabus|rot reserve|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
93. W|carac|terre cahors malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
94. W|caracara|caracara|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|caracara|oranges pack 2kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|caracara|vintage reserve merlot|??|r|merlot|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
97. W|caracas|anejo 8yo40 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|caracas|club 8 anni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|caracas|club anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|caracas|club anejo 8 ani 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|caracas|club confezione 8 anni miniatures pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|caracas|club nectar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|caracas|club nectar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|caracas|club nectar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
105. X
106. X
107. W|caracas|club ron anejo 8 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|caracas|club ron anejo 8y 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|caracas|club savaje extra anejo|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
110. W|caracas|club venezuela rom 8 ars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|caracas|ron club anejo 8 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|caracas|ron club nectar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|caracatita|cu masline in ulei de floarea soarelui|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|caracatita|in otet 150 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|caracatita|in otet 750 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|caraccioli|brut 2018 santa lucia highlands california|us|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
117. W|caraccioli|brut cuvee sparkling white santa lucia highlands|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
118. W|caraccioli|brut rose santa lucia highlands|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
119. W|caraccioli cellars|cellars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|caraccioli cellars|blanc de blanc sparkling wine slh|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
121. W|caraccioli cellars|brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
122. W|caraccioli cellars|brut cuvee|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
123. W|caraccioli cellars|brut cuvee escolle vineyard|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
124. W|caraccioli cellars|brut cuvee escolle vineyard santa lucia highlands|??|s|??|??|??|2018|12|??|leve|frutos do mar, aperitivos, sushi|brut
125. W|caraccioli cellars|gamay noir santa lucia highlands usa|us|r|gamay|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|caraccioli|escolle vineyard brut cuvee|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
127. W|caraccioli|private property chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
128. W|caraccioli|private property pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|caraccioli|private property rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
130. W|caracepa|vino tinto do cadiz|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
131. W|caracois|caracois|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|caracois|cozidos pronto a comer chefe dias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|caracol|2un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|caracol|capricho fripan 40x100gr 60131|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|caracol|clos rocailleux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|caracol|de rosas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|caracol|de rosas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|caracol|dos profetas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|caracol|dos profetas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=138
140. W|caracol|dos profetas|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|caracol|dos profetas|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
142. W|caracol|dos profetas branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
143. W|caracol|dos profetas branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=142
144. W|caracol|dos profetas branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
145. W|caracol|dos profetas branco madeira|??|f|??|??|??|2022|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
146. W|caracol|dos profetas fazendas da areia|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|caracol|dos profetas fazendas da areia branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
148. W|caracol|dos profetas fazendas da areia branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
149. W|caracol|dos profetas fazendas da areia branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
150. W|caracol|dos profetas fazendas de areia branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
151. W|caracol|dos profetas fazendas de areia white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
152. W|caracol|dos profetas vinho do p santo|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
153. W|caracol|dos profetas white wine|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
154. W|caracol|fazendas da areia fazendas da areia|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|caracol|rey del mar 454gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|caracol|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|caracol|serrano 2009 jumilla|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|caracol|serrano jumilla tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|caracol|serrano red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|caracol|serrano red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|caracol|serrano red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
162. W|caracol|serrano red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
163. W|caracol|serrano red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
164. W|caracol|serrano red blend|??|r|red blend|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|caracol|tipo abulon ocean pearls 454gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|caracole|ambree 75|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|caracole|nostradam vp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|caracole|verre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|caracoles|al estilo de mi suegra 1 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|caracoles|al estilo de mi suegra racion 250grs aprox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|caracoles|al natural|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|caracoles|cantabria verde tarro de 2 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|caracoles|cocidos cantabria verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|caracoles|cocidos monte corona 900 grs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|caracoles|de borgona roger dutruy 4 docenas|??|d|??|??|??|NV|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
176. W|caracoles|de mar al natural galica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|caracoles|de mar espinaler canaillas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|caracoles|extra grandes 800g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|caracoles|hanseatik silvestre borgona 400 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|caracoles|monte corona tarro de 36 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|caracolete|white|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
182. W|caracoqueso|carozzi 296grs cyber cu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|caracter|cabernet malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
184. W|caracter|chardonnay chenin blanc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
185. W|caracter|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
186. W|caracter|propio syrak|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|caracter|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
188. W|caracter|tres cadires cooperativa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|caracter|vermut ecologic bianco spain 17|es|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
190. W|caractere|unique saint chinian blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
191. W|caracteristicas|gerais|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|caracterre|collioure ac|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|caracterre|premier cru brut nature|??|s|??|??|??|2020|12|premier cru|leve|frutos do mar, aperitivos, sushi|brut nature
194. W|caracterre|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
195. W|carae|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|carae|carignan vina bo wines|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|carafa|dehusked special type 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|carafa|special type 1 25kg 8001000 ebc weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|carafa|special type 1 8001000 ebc 100g weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|carafa|special type 2 11001200 ebc 100g weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|carafa|special type 2 25kg 11001200 ebc weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|carafa|special type 3 13001500 ebc 100g weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|carafa|special type 3 25kg 13001500 ebc weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|carafa|tuica cu fruct natural para|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|carafa|type 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|carafa|type 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|carafa|type 3 malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|carafe|carafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|carafe|carafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
210. W|carafe|carafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
211. X
212. X
213. W|carafe|53 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|carafe|57 0 85091057|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|carafe|a cocktail professionnel ypsilon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|carafe|a cocktail professionnel ypsilon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
217. X
218. X
219. X
220. X
221. X
222. X
223. W|carafe|a mojito personnalise ypsilon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|carafe|a mojito personnalise ypsilon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=223
225. W|carafe|a spiritueux aberdeen deru 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carafe|a vin ypsilon de bormioli rocco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|carafe|alenti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|carafe|alix soufflee bouche 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|carafe|allround deru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|carafe|amadeo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|carafe|amadeo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
232. W|carafe|apollo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|carafe|art du temps|??|r|??|??|??|1975|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|carafe|atlas goupillon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|carafe|avallon|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
236. W|carafe|avec bouchon en liege vacuvin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
