1. W|casa relvas|alicante bouschet tinto 2022 igp alentejo|pt|r|alicante bouschet|alentejo|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
65. W|casa relvas redondo|tinto 2021 075|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|casa relvas|rose alentejano pom pom 2024 075|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
67. W|casa relvas|rose montinho 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
68. W|casa relvas|rose pompom|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
69. W|casa relvas|rose pompom 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
70. W|casa relvas|sauvignon blanc 075 branco 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
71. W|casa relvas|sauvignon blanc 2024 075|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
72. W|casa relvas|sauvignon blanc alentejo branco 2023|pt|w|sauvignon blanc|alentejo|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
73. W|casa relvas|sauvignon blanc branco|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
74. W|casa relvas segredos de sao miguel|blanco bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|casa relvas segredos de sao miguel|reserva 2024|pt|r|??|??|??|2024|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
76. W|casa relvas segredos de sao miguel|reserva tinto bot|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
77. W|casa relvas segredos de sao miguel|tinto 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|casa relvas segredos de sao miguel|tinto bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casa relvas sommelier edition|075 tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|casa relvas sommelier edition alentejo|branco 2022|pt|w|??|alentejo|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
81. W|casa relvas sommelier edition alentejo|tinto 2021|pt|r|??|alentejo|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|casa relvas sommelier edition|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
83. W|casa relvas sommelier edition|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=82
84. W|casa relvas sommelier edition|branco 2022 075|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
85. W|casa relvas sommelier edition|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|casa relvas sommelier edition|tinto 2021 075|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|casa relvas sommelier edition|vinho branco 0 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
88. W|casa relvas sommelier edition|vinho tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casa relvas|syrah 2022|pt|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
90. W|casa relvas|syrah alentejo tinto 2022|pt|r|syrah|alentejo|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
91. W|casa relvas|syrah sem cor alentejo branco 2024|pt|w|syrah|alentejo|??|2024|12.5|??|encorpado|frutos do mar, peixes, saladas|seco
92. W|casa relvas|syrah sem cor branco|pt|w|syrah|??|??|NV|12.5|??|encorpado|frutos do mar, peixes, saladas|seco
93. W|casa relvas|syrah sem cor branco 2024|pt|w|syrah|??|??|2024|12.5|??|encorpado|frutos do mar, peixes, saladas|seco
94. W|casa relvas|syrah sem cor branco 2024 075|pt|w|syrah|??|??|2024|12.5|??|encorpado|frutos do mar, peixes, saladas|seco
95. W|casa relvas|syrah tinto|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
96. W|casa relvas|syrah tinto 2022 075|pt|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
97. W|casa relvas tinta miuda|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|casa relvas tinta miuda alentejo|tinto 2021|pt|r|??|alentejo|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casa relvas|touriga franca|pt|r|touriga franca, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
100. W|casa relvas|touriga franca alentejo tinto 2021|pt|r|touriga franca, touriga|alentejo|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
101. W|casa relvas|touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
102. W|casa relvas|touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=101
103. W|casa relvas vidigueira|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
104. W|casa relvas vidigueira|branco 2022 075|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
105. W|casa relvas|vinha da mina aragonez tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|casa relvas|vinho rose pom pom 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
107. W|casa relvas|vinho sauvignon blanc 0 branco|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
108. W|casa relvas|vinho tinto barricado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casa relvas xutos e pontapes|35 anos circo de feras tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|casa relvas xutos e pontapes|88 alentejo tinto 2022|pt|r|??|alentejo|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casa reus|carmenere medalla oro catad or|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
112. W|casa reus|late harvest syrah premium medalla de oro en catad or|pt|d|syrah|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
113. W|casa reus|merlot premium medalla de oro en catad or|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|casa|rinaldi|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casa rinaldi|015|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|casa rinaldi|025|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casa rinaldi|100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|casa rinaldi|130|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|casa rinaldi|170|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|casa rinaldi|175|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|casa rinaldi|180|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|casa rinaldi|190|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casa rinaldi|270|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|casa rinaldi|290|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|casa rinaldi|310|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|casa rinaldi|340|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|casa rinaldi|350|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|casa rinaldi|400|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|casa rinaldi|5 05|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|casa rinaldi|50|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|casa rinaldi|500|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|casa rinaldi almond 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|casa rinaldi almond cantuccini 150g new|shipment|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|casa rinaldi amarena cherry nougat 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|casa rinaldi artichokes grilled in oil|330gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|casa rinaldi baby gnocchi|plain|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casa rinaldi|balsamico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|casa rinaldi bottarga minced mullet roe 40gm shipment new|year|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casa rinaldi|breadsticks|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|casa rinaldi bucatini del|lazio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|casa rinaldi cannelloni|250g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|casa rinaldi capuccino nougat 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|casa rinaldi cherry tomatoes|400gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|casa rinaldi chopped tomatoes|400gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casa rinaldi cioccoarancia|130|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casa rinaldi ciocconocciloa 130g clearance dated september|25|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casa rinaldi coarse|polenta|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|casa rinaldi|conchiglioni|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa rinaldi cremes all nocciola hazelnut centred biscuits 140g clearance dated september|25|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa rinaldi cremoso limonlatte|140|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|casa rinaldi cuor di amarena|140|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|casa rinaldi cuor di amarena dark cherry biscuits 140g clearance dated september|25|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casa rinaldi cuor di fico|140|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|casa rinaldi cuor di rico fig centred biscuits 140g clearance dated september|25|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casa rinaldi cuttlefish squid ink 180gm new stock due|july|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|casa rinaldi cuttlefish squid ink sachets|2 x 4gm arriving october|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|casa rinaldi|dop 120|pt|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
158. W|casa rinaldi dried porcini|30gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|casa rinaldi dried porcini|mushrooms|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|casa rinaldi egg|lasagna|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casa rinaldi ferri di cavallo 150g clearance dated september|25|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|casa rinaldi fruiti di bosco nougat 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|casa rinaldi frutta nougat 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|casa rinaldi fusilli|bag|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|casa rinaldi grisparty chilli 100g|each|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|casa rinaldi grisparty garlic chilli 100g spicy|crunch|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|casa rinaldi grisparty oregano tomato|100g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|casa rinaldi grisparty rosemary 100g|each|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casa rinaldi grisparty tomato 100g each|24|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|casa rinaldi|igp 025|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
171. W|casa rinaldi|igp 05|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
172. W|casa rinaldi|igp 120|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
173. W|casa rinaldi krumi 150g clearance dated september|25|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|casa rinaldi maccheroni al|pettine|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|casa rinaldi mezze maniche|bag|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casa rinaldi milanese|risotto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casa rinaldi|orecchiette|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|casa rinaldi pandoro 750g now|available|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|casa rinaldi pandoro 80g now|available|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. X
181. W|casa rinaldi passata|basilico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|casa rinaldi passata|plain|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|casa rinaldi penne|rigate|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|casa rinaldi penne rigate|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|casa rinaldi penne rigate|bag|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|casa rinaldi pistachio 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|casa rinaldi pistachio nougat 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|casa rinaldi risotto milanese|175gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casa rinaldi risotto parmigiana|175gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|casa rinaldi savoiardi 200gm|15|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|casa rinaldi savoiardi 200gm dated still|crispy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|casa rinaldi savoiardi 500gm clearance dated feb|26 still yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casa rinaldi|taralli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|casa rinaldi traditional panettone 100g now|available|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|casa rinaldi|trofie|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|casa rinaldi truffle|oil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casa rinaldi truffle|risotto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|casa rinaldi walnut 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|casa rinaldi|white wine|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
200. W|casa rinaldi whole peeled tomatoes|400gm|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casa rinaldi zabione 100gm clearance dated but still|yummy|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casa|ritas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casa ritas patrimonio monastrell compra directa bodega virtudes caja|6 uds|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|casa rivas|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
205. W|casa rivas|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=204
206. W|casa rivas|merlot 2020|pt|r|merlot|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|casa rivas|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
208. W|casa rivas|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
209. W|casa rivas|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
210. W|casa roca|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
211. W|casa rodrigues suave|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|casa rodrigues suave|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
213. W|casa roja|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
214. W|casa roja|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
215. W|casa roja|tempranillo 2022|pt|r|tempranillo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
