1. W|carre|suino bisteca congelada pedaco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|carrement|a louest domaine badea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|carrement|brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
67. W|carrement|cabernet sauvignon igp atlantique|??|r|cabernet sauvignon|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
68. W|carrement|merlot igp atlantique|??|r|merlot|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
69. W|carrement|rouge 2018 domaine de ledre|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|carrement|sauvignon igp atlantique|??|r|sauvignon|??|??|NV|13.5|igp|leve|carne vermelha, massas, queijos curados|seco
71. W|carrement|vsop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|carrement|vsop carafe 40 tariquet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|carreno|ensamble 7 joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|carreno|tepeztate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|carrera|a la felicidad|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|carrera|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|carrera|anteojos carrera 1001s 8ru 629o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|carrera|anteojos carrera 1001s 8ru 629o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
79. W|carrera|anteojos carrera 1004s 2ik 57ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|carrera|anteojos carrera 1004s 2ik 57ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=79
81. W|carrera|anteojos carrera 1005s 2m2 66ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|carrera|anteojos carrera 1005s 2m2 66ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=81
83. W|carrera|anteojos carrera 1014s r60 ha64|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|carrera|anteojos carrera 1014s r60 ha64|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=83
85. W|carrera|anteojos carrera 1030s 807 62 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|carrera|anteojos carrera 1030s 807 62 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=85
87. W|carrera|anteojos carrera 1048s 807 ha58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|carrera|anteojos carrera 1048s 807 ha58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
89. W|carrera|anteojos carrera 1052s loj 9k65|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|carrera|anteojos carrera 1052s loj 9k65|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=89
91. W|carrera|anteojos carrera 1054s rhl 63 fq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|carrera|anteojos carrera 1054s rhl 63 fq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=91
93. W|carrera|anteojos carrera 1060s 08a 99 ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|carrera|anteojos carrera 1060s 08a 99 ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=93
95. W|carrera|anteojos carrera 1060s 0it 99 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|carrera|anteojos carrera 1060s 0it 99 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=95
97. W|carrera|anteojos carrera 1060s 2m2 99 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|carrera|anteojos carrera 1060s 2m2 99 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=97
99. W|carrera|anteojos carrera 1060s cbl9 9fq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|carrera|anteojos carrera 1060s cbl9 9fq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=99
101. W|carrera|anteojos carrera 1062s rzz 62 m9|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|carrera|anteojos carrera 1062s rzz 62 m9|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=101
103. W|carrera|anteojos carrera 1067s 2f7 ha62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|carrera|anteojos carrera 1067s 2f7 ha62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
105. W|carrera|anteojos carrera 1071s 2m2 9o61|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|carrera|anteojos carrera 1071s 2m2 9o61|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=105
107. W|carrera|anteojos carrera 1071s i46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|carrera|anteojos carrera 1071s i46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=107
109. W|carrera|anteojos carrera 1074s 06j63yk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|carrera|anteojos carrera 1074s 06j63yk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=109
111. W|carrera|anteojos carrera 1074s rhl639o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|carrera|anteojos carrera 1074s rhl639o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=111
113. W|carrera|anteojos carrera 295s 003 m958|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|carrera|anteojos carrera 295s 003 m958|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=113
115. W|carrera|anteojos carrera 298s 003 uc57|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|carrera|anteojos carrera 298s 003 uc57|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=115
117. W|carrera|anteojos carrera 299s 003 m957|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|carrera|anteojos carrera 299s 003 m957|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=117
119. W|carrera|anteojos carrera 3001s 6x4 54 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|carrera|anteojos carrera 3001s 6x4 54 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=119
121. W|carrera|anteojos carrera 3001s kb7 54 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|carrera|anteojos carrera 3001s kb7 54 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=121
123. W|carrera|anteojos carrera 3002s 807 55 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|carrera|anteojos carrera 3002s 807 55 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=123
125. W|carrera|anteojos carrera 300s m4p 9o 54|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|carrera|anteojos carrera 300s m4p 9o 54|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=125
127. W|carrera|anteojos carrera 301s 086 50 9k|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|carrera|anteojos carrera 301s 086 50 9k|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
129. W|carrera|anteojos carrera 3029s 807 9o53|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|carrera|anteojos carrera 3029s 807 9o53|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=129
131. W|carrera|anteojos carrera 304s w97 59 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|carrera|anteojos carrera 304s w97 59 9o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=131
133. W|carrera|anteojos carrera 314s 086 50 qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|carrera|anteojos carrera 314s 086 50 qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=133
135. W|carrera|anteojos carrera 316s 80752m9|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|carrera|anteojos carrera 316s 80752m9|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=135
137. W|carrera|anteojos carrera 316s m4p|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|carrera|anteojos carrera 316s m4p|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=137
139. W|carrera|anteojos carrera 324s 80759qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|carrera|anteojos carrera 324s 80759qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=139
141. W|carrera|anteojos carrera 328s wr753ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|carrera|anteojos carrera 328s wr753ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=141
143. W|carrera|anteojos carrera 342s ftt54qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|carrera|anteojos carrera 342s ftt54qt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=143
145. W|carrera|anteojos carrera 4018s blx 63 q3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|carrera|anteojos carrera 4018s blx 63 q3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=145
147. W|carrera|anteojos carrera 4018s d51 63 z0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|carrera|anteojos carrera 4018s d51 63 z0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=147
149. W|carrera|anteojos carrera 5020s lrv 58uz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|carrera|anteojos carrera 5020s lrv 58uz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
151. W|carrera|anteojos carrera 8064s 80s579o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|carrera|anteojos carrera 8064s 80s579o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=151
153. W|carrera|anteojos carrera 8064s fll57ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|carrera|anteojos carrera 8064s fll57ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=153
155. W|carrera|anteojos flaglab 13 086 ha62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|carrera|anteojos flaglab 13 086 ha62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|carrera|anteojos flaglab 14 0w m62a8|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|carrera|anteojos flaglab 14 0w m62a8|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=157
159. W|carrera|anteojos flaglab 14 uih2k 6211 145v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|carrera|anteojos flaglab 14 uih2k 6211 145v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|carrera|anteojos grand prix 3 2m2 ha64|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|carrera|anteojos grand prix 3 2m2 ha64|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=161
163. W|carrera|anteojos safari65n 807 9o62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|carrera|anteojos safari65n 807 9o62|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=163
165. W|carrera|anteojos sport 07s 10a5 9k2|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
166. W|carrera|anteojos sport 07s 10a5 9k2|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=165
167. W|carrera|anteojos topcar 1n 2m2 99 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|carrera|anteojos topcar 1n 2m2 99 ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=167
169. W|carrera|anteojos topcar 1n 80s 9o99|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|carrera|anteojos topcar 1n 80s 9o99|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=169
171. W|carrera|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
172. W|carrera|carrera 2009t 0j5g 00 goldclear demo lens|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|carrera|carrera 269 0807 00 blackclear demo lens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|carrera|carrera 273s 0086 9o havanagrey gradient|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
175. W|carrera|carrera 284 0ex4 00 brw hornclear demo lens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|carrera|carrera 3032 0086 00 hvnclear demo lens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|carrera|carrera 3032 0x8q 00 bw blue hvclear demo lens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|carrera|carrera 3035 0vvp 00 gold ivoryclear demo lens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|carrera|carrera 303s 0w97 9o gd strpbkdark grey sf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|carrera|carrera 304s 006j ha gold havanabrown gradient|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
181. W|carrera|carrera 316s 0ex4 00 brw horndark grey sf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|carrera|cristalino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|carrera|ducati anteojos carduc 001s 807ir 57|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|carrera|ducati anteojos carduc 001s 807ir 57|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=183
185. W|carrera|ducati anteojos carduc 002s 807ir 68|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|carrera|ducati anteojos carduc 002s 807ir 68|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=185
187. W|carrera|ducati anteojos carduc 017s oit uz99|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|carrera|ducati anteojos carduc 017s oit uz99|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=187
189. W|carrera|ducati anteojos carduc 021s 8079o 55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|carrera|ducati anteojos carduc 021s 8079o 55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=189
191. W|carrera|ducati anteojos carduc 021s oit uz55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|carrera|ducati anteojos carduc 021s oit uz55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=191
193. W|carrera|ducati anteojos carduc 033s tzq 99 xt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|carrera|ducati anteojos carduc 033s tzq 99 xt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=193
195. W|carrera|ducati anteojos carduc 035s 807 ir 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|carrera|ducati anteojos carduc 035s 807 ir 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=195
197. W|carrera|ducati anteojos carduc 042s 807 ir55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|carrera|ducati anteojos carduc 042s 807 ir55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
199. W|carrera|ducati anteojos carduc 043s 003 uc63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|carrera|ducati anteojos carduc 043s 003 uc63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=199
201. W|carrera|ducati anteojos carduc 043s 4cw ir63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|carrera|ducati anteojos carduc 043s 4cw ir63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=201
203. W|carrera|ducati anteojos carduc 043s r6s xt63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|carrera|ducati anteojos carduc 043s r6s xt63|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=203
205. W|carrera|ducati anteojos carduc 045s 807 ir56|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|carrera|ducati anteojos carduc 045s 807 ir56|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=205
207. W|carrera|ducati anteojos carduc 050s 80753ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|carrera|ducati anteojos carduc 050s 80753ir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=207
209. W|carrera|en tu mano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
