W|golan heights winery|gilgal cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=26
X
W|gilgal|sangiovese|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|sangiovese 14|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=31
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=31
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
W|gilgal|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|sauvignon blanc golan heights|il|w|sauvignon blanc|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|sauvignon blanc kosher for passover israeli wine wine|il|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=39
W|gilgal|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=39
W|gilgal|syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|syrah 23|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|winery cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|winery galilee cabernet sauvignon merlot kosher|il|r|cabernet sauvignon|galilee|galilee|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|winery galilee merlot|il|r|merlot|galilee|galilee|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgal|winery galilee sauvignon blanc|il|w|sauvignon blanc|galilee|galilee|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgal|winery galilee sauvignon blanc kosher|il|w|sauvignon blanc|galilee|galilee|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgraves|easy red|??|r|??|??|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgraves|malbec|??|r|malbec|??|graves|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgraves|rose|??|p|??|??|graves|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gilgraves|sangiovese|??|r|sangiovese|??|graves|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilgraves|shiraz viognier|??|w|shiraz|??|graves|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilgraves|viognier|??|w|viognier|??|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gili|villo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilia|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilia|pinot grigio delle venezie|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giligans|bestseller fiesta for 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giligulu|giligulu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilka|kaiser kummel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilka|kaiser kummel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=60
S
S
S
S
W|gilkons|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gill|athletics elastic krossband crossbar track field equipment foldable gymnastics bar pole vault training elastic jump bands for high jump practice track field gymnastic bars|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gill|estate gentle giant cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gill|estate gentle giant chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gill|estate gentle giant shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gill|estate rivah malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gill|estate rivah pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gill|estate rivah rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gill|estate rivah sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gill|estate rivah tempranillo|es|r|tempranillo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|french gillardeau oyster nr0 1pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|french gillardeau oyster nr0 1pc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|no2 500gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|oysters no2 48pc 000000000000122630|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|oysters no2 96pc 000000000000122633|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|oysters no3 12pc 000000000000122639|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|oysters no3 24pc 000000000000122626|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeau|oysters no3 48pc 000000000000122629|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardeauaustern|gillardeauaustern|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|barolo 75012|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|barolo del comune di la morra|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|barolo la morra|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|barolo vignane|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|dolcetto di dogliani cursalet|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gillardi|fiore di harys 75012|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|grane|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|harys 75012|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe harys|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe merlo|it|r|??|langhe|langhe|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe nebbiolo 75012|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso fiore di harys|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso harys|it|r|??|langhe|langhe|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso harys|it|r|??|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso harys|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso harys|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillardi|langhe rosso harys|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilleleje|bryg fiskepigens sang ko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilleleje|bryg porter fyrmester faber ko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilleleje|kaffebnner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilleleje|lbv portvin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilleleje|xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gillelejewine|gillelejewine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|ballorin marsannay coeur de rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gilles|barge condrieu la solarie|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|barge cote rotie cotebrune|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|barge coterotie cotebrune|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|barge coterotie cotebrune|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2016|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2016|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=113
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2016|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=113
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=116
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=116
W|gilles|berlioz aop savoie blanc|??|w|??|??|??|2017|12.5|aop|medio|peixes, frutos do mar, saladas|seco|=116
W|gilles|berlioz chez lodette jacquere|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz die strolche|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz el hem roussette|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz la deuse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz la deuse mondeuse|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz la deuse mondeuse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz le jaja|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz le jaja jacquere|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz les christine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz les christine roussanne|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz les friponnes|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz les friponnes roussanne|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz rousette de savoie el hem|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin bergeron les christines|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin bergeron les christines double|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin bergeron les christines|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin bergeron les dessous des filles|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin bergeron les dessous des filles|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|gilles|berlioz savoie chignin le jaja|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|berlioz savoie chignin le jaja|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=138
W|gilles|blanchet bois de malvaux selection du ptit pouillyfume|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|blanchet pouillyfuisse|??|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|blanchet pouillyfume|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|bonnefoy cotes du forez gamay sur granit migmatite|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|brisson grande champagne napoleon|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gilles|brisson pineau charentes blanc nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|brisson pineau de charentes aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|brisson pineau des charentes nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|brisson vsop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|coperet brouilly saburin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|coperet brouilly saburin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gilles|et catherine verge vireclesse coteaux des quarts|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|et romain collet brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gilles|et romain collet brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gilles|et romain collet cremant de bourgogne brut nv|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gilles|fevre chablis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|gaudron vouvray brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gilles|gaudron vouvray sec louis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|gelin brouilly|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|gelin maconvillages|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|goujon aop corbieres|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|goujon igp pays doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|goujon white chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|guillaume cornas|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|gilles|guillaume cornas|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=166
W|gilles|guillaume cornas|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas nouvelle r|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|gilles|guillaume cornas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cornas|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|gilles|guillaume cornas|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|guillaume cotes du rhone les peyrouses|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|jayer nuits st george les hautes poirets pinot noir|??|r|pinot noir|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|jourdan bourgogne cote dor vielles vignes|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|jourdan cote de nuits villages robignotte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|jourdan robignotte|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple chavignol sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple chavignol sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|gilles|lesimple chavignol sancerre|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple chavignol sancerre elegant hvidvin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple sancerre|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|lesimple sancerre blanc 6 fl a|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|lesimple sancerre loire france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouilly fuisse belemnites|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouilly fuisse belemnites|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouilly fuisse sur la roche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouilly fuisse sur la roche|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouilly fuisse terroirs de vergisson|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse belemnites|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse le haut de la roche|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse premier cru sur la roche|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse sur la roche|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse terres du menhir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse terres du menhir|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat pouillyfuisse terroirs de vergisson|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat saint veran roche mer|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat saintveran|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat saintveran la cote rotie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|morat saintveran roche mer|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|noblet la collonge maconfuisse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|noblet pouillyfuisse la collogne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|perrier apremont savoie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin cornas|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozes hermitage blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|robin crozes hermitage blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=211
W|gilles|robin crozes hermitage papill|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozes hermitage papillon|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage alberic bouvet|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage alberic organic|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage blanc les marelles|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gilles|robin crozeshermitage cuvee de papillon|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage cuvee papillon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage cuvee papillon|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage cuvee papillon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage cuvee papillon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|gilles|robin crozeshermitage georges reynaud|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage papillon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage papillon|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gilles|robin crozeshermitage papillon|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
