W|goat|geiss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|goats|do roam red|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red blend|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red blend|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|goats|do roam red blend|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red goats do roam coastal region south africa|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red sc|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red sc|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red south africa|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|goats|do roam rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=66
W|goats|do roam rose|??|p|??|??|??|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=69
W|goats|do roam rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose south africa|za|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goats|do roam rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=66
W|goats|do roam sweet red|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|goats|do roam sweet red case of 6|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|goats|do roam the goatfather south africa|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|do roam white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=79
W|goats|do roam white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=79
W|goats|do roam white|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
W|goats|do roam white blend|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white blend|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white goats do roam coastal region south africa|za|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|do roam white sc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goats|leap cheddar ales|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goats|red variety mix case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|rainbow trout caviar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|rainbow trout farm fish chowder 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|rainbow trout farm premium irish rainbow trout caviar 85g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|rainbow trout farm smoked rainbow trout 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|rainbow trout farm trout pate 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|smoked rainbow trout|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|smoked rainbow trout in spring water 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goatsbridge|trout pate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goaty|black cheeze v 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goaty|hill pinot noir tasmania|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goaty|hill riesling tasmania|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goaty|provence herb cheeze v 180g|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|apple and walnut spread 135 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|assorted bio seasonings 110 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|assorted sweet spreads 135 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|goba|bio fruit spreads 135 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|citro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|citro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|goba|citro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|goba|cola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|cola pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|cola zero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|flauder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|flauder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|goba|flauder pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|flauder sweet spread 135 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|goba|iisfee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|iisfee pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|orange mw|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goba|orange pet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobanilla|jumilla monastrell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobanilla|monastrell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobanilla|monastrell jumilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbi|mannocchi crosta dargilla pecorino senza solfiti aggiunti igp bio vegano|??|w|??|??|??|nv|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gobbi|mannocchi fiori di bosco rosato igp bio cl75|??|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|gobbi|mannocchi fiori di mandorlo passerina igp bio|??|w|??|??|??|nv|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gobbi|mannocchi fiori di pesco pecorino dop bio|??|w|??|??|??|nv|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|gobbi|mannocchi ibiscus rosso piceno dop bio|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbi|mannocchi sasso di corva sangiovese no solfiti aggiunti igp bio vegano|??|r|sangiovese|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbleright|almond wraps 175g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbleright|chickpea wraps 175g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbleright|overnight oats4you 65g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbo|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobbo|rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobekli|marul tohumu 100 adet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobekli|tepe ruhu etnik halhal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelet|en acier inoxydable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelet|reutilisable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelets|a cafe en papier valporto 50 unites|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gobelets|carton hotdrink|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelets|flute pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelets|longdrink pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelets|pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelets|pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|gobelets|pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|gobelets|pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|gobelets|vin pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelsburg|kamptal gruner veltliner ried lamm|at|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal gruner veltliner lamm|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal riesling zobing|at|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal riesling zobing|at|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|cistercien rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobelsburg|gruner veltliner|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|cistercien rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobelsburg|cistercien rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=159
W|gobelsburg|cistercien rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=157
W|gobelsburg|cistercien rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobelsburg|gaisberg kamptal riesling|at|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|gaisberg kamptal riesling|at|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=163
W|gobelsburg|gobelsburger kamptal gruner veltliner ried steinsetz|at|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|gruner veltliner|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|gruner veltliner ried lamm kamptal dac|at|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|gruner veltliner ried renner kamptal dac|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal gruner veltliner|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal gruner veltliner|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=170
W|gobelsburg|kamptal gruner veltliner|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=170
W|gobelsburg|kamptal gruner veltlinerthe|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|kamptal riesling gobelsburger|at|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|langenlois gruner veltliner kamptal|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|nv tradition 10yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelsburg|renner gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|ried gaisberg kamptal riesling|at|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|ried heiligenstein kamptal riesling|at|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|ried steinsetz gruner valtliner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelsburg|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|riesling gobelsburger|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|riesling ried gaisberg|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|riesling ried heiligenstein|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|riesling zobing|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobelsburg|schlosskellerei kamptal riesling|at|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburg|tradition 50 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelsburg|zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobelsburg|zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=189
W|gobelsburger|kamptal gruner veltliner|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobelsburger|lossterrasen|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|and freinbichler vineyard project 004 blaufrankisch|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichier blaufrankisch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichle vineyard project 004 blaufrankisch|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler blaufrankisch vineyard project 004 burgenland austria|at|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler blaufrankish horitschon|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler burgenland chill|at|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler chill|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler chill|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler chill|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=200
W|gober|freinbichler chill|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=200
W|gober|freinbichler chill burgenland austria|at|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler chill burgenland austria|at|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=203
W|gober|freinbichler chill red blend burgenland austria|at|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler vineyard project 004|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler vineyard project 004 blaufrankisch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler vineyard project blaufrankisch burgenland|at|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gober|freinbichler weninger blaufrankisch|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobernador|gobernador|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobernador|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobernador|oloroso|??|f|??|??|??|2020|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gobernador|oloroso seco|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gobernador|sherry oloroso emilio hidalgo|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gobetweens|cepillo interdental con estuche gum 3012|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobetweens|cepillo interdental gum 874|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobeum|eco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobeum|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobeum|bobal rosado|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobeum|bobal rosado|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobeum|red wine box 3 liters|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobeum|rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gobeum|tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobeum|tempranillo|es|r|tempranillo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gobeum|verdejo viura|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobeum|verdejo viura|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gobillard|blanc de blancs nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gobillard|brut authentique|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne brut baron de marck nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne brut grande reserve cru nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne brut grande reserve premier cru nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne brut rose nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne brut tradition nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gobillard|champagne cuvee prestige cuvee prestige millesimee|fr|s|??|champagne|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
