W|brancott|estate chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=70
W|brancott|estate marlborough sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=70
W|brancott|estate marlborough sauvignon blanc 2020|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=74
W|brancott|estate marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=74
W|brancott|estate marlborough sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=77
W|brancott|estate marlborough sauvignon blanc 2023 white dry 13 075|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough sauvignon blanc nv|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=81
W|brancott|estate merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=81
W|brancott|estate merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=81
W|brancott|estate new zealand chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate new zealand pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate new zealand riesling|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate nv brancott sauvignon blanc bsc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot grigio 2016|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot grigio 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot grigio east coast|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot grigio east coast|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=91
W|brancott|estate pinot grigio flight song new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=94
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=96
W|brancott|estate pinot noir 2017|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir east coast|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir marlborough|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate pinot noir marlborough|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=112
W|brancott|estate pinot noir new zealand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve chardonnay 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve hawkes bay chardonnay 2020|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve hawkes bay chardonnay 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve hawkes bay chardonnay 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve hawkes bay chardonnay 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve hawkes bay syrah 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough pinot gris 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough pinot gris 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough pinot gris 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough pinot gris 2025|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough pinot noir 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough pinot noir 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough pinot noir 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough pinot noir 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough pinot noir 2024|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve marlborough rose 2020|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate reserve marlborough rose 2021|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate reserve marlborough sauvignon blanc 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve marlborough sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve pinot gris 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve pinot noir 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve rose|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate reserve rose 2021|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate reserve sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate reserve syrah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate reserve syrah 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate riesling|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=146
W|brancott|estate sauvignon blanc 2019|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc b brancott letter series marlborough|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc brut nv|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut
W|brancott|estate sauvignon blanc flight song new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc flight song new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=165
W|brancott|estate sauvignon blanc marlborough|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc marlborough|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=167
W|brancott|estate sauvignon blanc new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc reserve weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc reserve weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=170
W|brancott|estate sauvignon blanc reserve weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=170
W|brancott|estate sauvignon blanc weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon blanc weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=173
W|brancott|estate sauvignon blanc weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=173
W|brancott|estate sauvignon blanc weiwein wein trocken neuseeland|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=173
W|brancott|estate sauvignon blanc white wine|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate sauvignon gris weiwein wein trocken neuseeland|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancott|estate sauvignon gris weiwein wein trocken neuseeland|??|??|??|??|??|NV|??|??|medio|??|seco|=178
W|brancott|estate sauvignon gris weiwein wein trocken neuseeland|??|??|??|??|??|NV|??|??|medio|??|seco|=178
W|brancott|estate south island pinot noir 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate sparkling brut cuvee|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut
W|brancott|estate sparkling rose nv|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut
W|brancott|estate sparkling sauvignon blanc brut|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut
W|brancott|estate terroir series marlborough pinot noir 2014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate terroir series pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate terroir series pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate terroir series pinot noir case of 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|brancott|fight song sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|fight song sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight sb|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancott|flight song marlborough sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight song pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight song pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=195
W|brancott|flight song pinot grigio 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight song pinot grigio new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight song sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|flight song sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=199
W|brancott|flight song sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=199
W|brancott|flight song sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=199
W|brancott|flight song sauvignon blanc new zealand|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|letter series b sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|letter series sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|malborough sauvignon blanc r|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=207
W|brancott|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=207
W|brancott|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=207
W|brancott|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=207
W|brancott|pinot noir reserve|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|reserve sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=214
W|brancott|sauvignon blanc 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|sauvignon blanc low cal|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|suvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|vineyards chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|vineyards sauv balnc reserve 07|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancott|vineyards sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancoveanu|brancoveanu|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars vs|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars vs 40|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars vs gift box 40|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars vsop|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars vsop 40|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars xo 2 pahare|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars xo carte|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars xo carte|??|??|??|??|??|NV|??|??|medio|??|seco|=238
W|brancoveanu|vinars xo cutie|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars xo cutie carte|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vinars xo gift box 40|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vs vinars|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vs vinars cutie|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vsop vinars|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vsop vinars cutie|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|vsop vinars sgr|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo 40|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo 40 2 pahare|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo 40 coniacvinars|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo cutie sgr|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo vinars cutie|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancoveanu|xo vinars cutie carte|??|??|??|??|??|NV|??|??|medio|??|seco
