W|glenallachie|8|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9 year oloroso sherry cask finish 48 07|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 years amontillado finish the wood collection|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 years fino finish the wood collection|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 years old cuvee vintage bottling 07|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9 years old rye wood finish 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9 years oloroso finish the wood collection|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 yo oloroso sherry cask series|??|f|??|??|??|2014|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 yo 48 amontillado sherry cask series|??|f|??|??|??|2014|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 yo amontillado sherry cask finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 yo fino sherry cask finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9 yo oloroso sherry cask finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9596 sv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo 20122022 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo 20152025 oloroso hogshead 622|??|f|??|??|??|2004|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9yo 20152025 the sinteis series ii 582|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo the wood collection 48|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo amontillado sherry cask finish 07 48|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9yo cuvee cask|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo douro valley 48|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo douro valley wine|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo douro valley wine cask finish single malt|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo douro valley wine cask finish single malt|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|glenallachie|9yo fino sherry cask finish 07 48|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9yo oloroso sherry cask finish 07 48|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|9yo rye finish 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo rye wood finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|9yo rye wood finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=88
W|glenallachie|advents calendar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|amontillado sherry cask finish 9 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|amontillado sherry cask finish 9 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=91
W|glenallachie|amontillado sherry finish 9 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|batch 1 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 10 10 years 586|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 10 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 11 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 11 cask strength 10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 12 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 2 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 2 denmark 7 flasker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 2 for denmark helt st 7 flasker samme flaske numre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 3 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 3 for danmark 5 flasker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 4 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 4 px sherry cask 13 ar cask no 804956 561 alc|??|f|??|??|??|2009|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|batch 4 ruby port 13 ar cask no 2583 552 alc|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 cask no 473 555|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 cask no 7822 535|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 cask no 800652 608 alk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 cask no 804957 564|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 5 exclusively bottled for denmark hele sttet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 6 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 6 europe komplet st med 4 flasker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 7 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 8 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch 9 cask strength 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|batch one 30 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|billy walker 16 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|billy walker 50th anniversary 16 jahre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|billy walker 50th anniversary future edition 4 years old 602|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|billy walker 50th anniversary present edition 16 years old 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|billy walker single cask|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 1054 premier cru classe 11 ani|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 1408 oloroso puncheon 16 ani|??|f|??|??|??|2006|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|cask 1841 ruby port pipe 15 ani|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 414 moscatel barrique 13 ani|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 4601 napa valley wine barrel 12 ani|us|r|??|california|napa valley|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 5585 px puncheon 32 ani|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 6897 chinquapin barrel 13 ani|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 7448 ruby port pipe 11 ani|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 800467 px puncheon 15 ani|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask 867 tawny port pipe 15 ani|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strenght 10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength 10 years old batch 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength 10yo batch8 572|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength 10yr single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength batch 3 10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cask strength batch 7 568|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|chinquapin barrel 11 year old cask 6886 cs 558 exclusively bottled for denmark|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|chinquapin oak 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|chinquapin oak finish 12 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|chinquapin oak finish 12 ani 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|chinqupan 10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee 48|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee 48|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|glenallachie|cuvee vintage bottling|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee 20122023 10 years old wine cask finish 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask 20122022 48 limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask 20122023 48 wine series|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask 20122023 549|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|glenallachie|cuvee cask finish|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask finish 20122023|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask finish 20122023 10 years old 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee cask finish bottled|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|cuvee wine finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|distillery edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|distillery edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=162
W|glenallachie|distillery edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=162
W|glenallachie|double sherry vintage|??|f|??|??|??|2013|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|douro valley wine cask 9 ani|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|douro valley wine cask finish 9 ani|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|douro valley wine cask finish 9 year old 48 07|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|douro valley wine cask finish 9 yo|pt|r|??|douro|douro|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|fassdeckel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|fino sherry cask finish 9 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|fino sherry finish 9 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|first cask speyside 22 year old 46 vol|??|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|french oak 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|french oak finish 12 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|future edition 4 ans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|gift pack 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|glenallachie|grattamacco finish 11 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|grattamacco wine cask 11 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|grattamacco wine cask finish 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|grattamacco wine cask finish 10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|glenallachie|grattamacco wine cask finish 10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|grattamacco wine finish 10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|hungarian oak 7 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|hungarian oak 7 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=185
W|glenallachie|hungarian oak finish 7yo 48 limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|koval rye quarter cask 8 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|koval rye quarter cask wood finish 8 years old 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs 12 ani 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek 10 years old batch 1 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek 10 years old batch 2 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek 10 yo cask strength batch 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek 12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek 12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|glenallachie|macnairs lum reek cask strength 10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek peated|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek peated|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|glenallachie|macnairs lum reek peated 12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|macnairs lum reek peated 12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|glenallachie|madeira finish 13 ani|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 10yr batch 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 10yr cask strength batch 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 10yr cask strength batch 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 10yr sauternes hogshead cask|??|d|??|??|sauternes|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|glenallachie|malt 11yr napa red wine cask|us|r|??|california|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 12yr madeira cask|??|f|??|??|??|2007|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 12yr chinquapin cask|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 12yr port wood finish 6 case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 13yr sauternes cask|??|d|??|??|sauternes|2009|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|glenallachie|malt 13yr madeira wood|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 15yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 17yr mizunara oloroso finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 14yr oloroso|??|f|??|??|??|2006|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 16yr oloroso puncheon cask|??|f|??|??|??|2006|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenallachie|malt 12yr px puncheon cask|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenallachie|malt 12yr oloroso hogshead cask|??|f|??|??|??|2011|20|??|encorpado|queijos, sobremesas, chocolate|doce
