W|vinho|tinto marques de murrieta reserva edicao especial com estojo laranja 2021 rioja espanha|es|r|??|rioja|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariposa reserva dao|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mario geisse blend reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mario costa barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mario costa barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=44
W|vinho|tinto marimbelo grande reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariflor pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariflor merlot 2019|??|r|merlot|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariflor malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marie clothilde 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marichal reserve collection tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marichal reserve collection pinot noirtannat|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariana red blend 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariana herdade do rocim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mariana 1 un rocim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria teresa quinta do crasto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria mora reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria mora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria maria syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria mansa garrafa magum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria mansa 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria mansa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel vinhas da princesa 2017 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel vinhas da princesa 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel sublime by dirk niepoort 2017 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel bastardo 2017 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria izabel 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria herminda triplo tinto syrah porto feliz sao paulo|pt|f|syrah|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto maria herminda syrah porto feliz sao paulo|pt|f|syrah|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto maria gins grande reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maria de lourdes carm 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margaux grand vin comte de dauzac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margaux dici bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margaux comte de dauzac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margaux chateau d issan gran cru classe 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margarita para los chanchos malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margarita para los chanchos cabernet savignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margarita para los chanchos 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto margarida monte dos cabacos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maresia 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marea pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcus james tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcus james cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcus james cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=84
W|vinho|tinto marcolino sebo coleccao de cavalos portugueses alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcolino sebo coleccao de caca alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchiori barraud corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchesi di terrezola montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchesi di terrezola montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=89
W|vinho|tinto marchesi antinori tignanello 2020 toscania igt|??|r|??|??|??|2020|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchesi antinori solaia 2020 toscana|it|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchesi antinori guado al tasso 2017 bolgheri superiore italia|it|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchese chianti classico riserva antinori|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marchese antinori chianti classico reserva 2021no pixno boletoem ate3xdesem juroscomprar|it|r|??|toscana|chianti|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcelo pelleriti red blend 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcado a ferros touriga nacional 2016|??|r|touriga|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marcado a ferros 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marc jambon morgon les charmes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marc jambon beaujolaisvillages|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maray gran reserva pinot noir 2016|??|r|pinot noir|??|??|2016|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges villages 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges premier cru la fussiere 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges premier cru la fussiere 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges premier cru la fussiere 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges premier cru la fussiere 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges premier cru la fussiere 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maranges en buliet rouge 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maragato tinto cuvee bebber|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mar de lisboa 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maquis y calcu calcu winemakers selection 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maquis y calcu calcu futa 2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maquis y calcu calcu fotem 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maquia 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mapu merlot 2020|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mapu carmenere 2020|??|r|carmenere|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mapu cabernet sauvignoncarmenere 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mapu cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mapa douro grande reserva 2018 douro|pt|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maos reserva 2019 douro|pt|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maos 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manz platonico 2018 lisboa|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manz contador de estorias reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manz 2015 douro|pt|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus virgo pinot noir 2024|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus virgo 7 castas 2024no pixem ate1xdesem juroscomprar|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus virgo 7 castas 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus virgo 7 castas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico touriga nacional 2023no pixem ate2xdesem juroscomprar|??|r|touriga|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico touriga nacional 2023|??|r|touriga|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico touriga nacional 2023|??|r|touriga|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=130
W|vinho|tinto manus classico touriga nacional 2022|??|r|touriga|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico teroldego 2022no pixem ate2xdesem juroscomprar|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico teroldego 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico teroldego 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=135
W|vinho|tinto manus classico teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=137
W|vinho|tinto manus classico pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico nebbiolo 2022no pixem ate3xdesem juroscomprar|??|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico nebbiolo 2022 no pix em ate 3x de sem juros comprar|??|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manus classico nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=143
W|vinho|tinto manus classico nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=143
W|vinho|tinto manus classico nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manto blanco cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manos negras malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manoella douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manoella 2023 douro doc|pt|r|??|??|??|2023|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manoella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manoella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=160
W|vinho|tinto mandus pietrapura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto manduria masseria settearchi primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mandriola de lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mandriola de lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=164
W|vinho|tinto mandriola de lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=164
W|vinho|tinto mamore sem amarras ta 39 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore sem amarras carignan 2020 alentejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba vinho de talha 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba talha vinhas velhas 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba talha syrah 2018 alentejo|??|r|syrah|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba talha moreto 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba talha alicante bouschet 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba syrah 2019 alentejo|??|r|syrah|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba reserva vinhas velhas 2017 alentejo|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba petroleiro 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba grande reserva edicao comemorativa 50 anos 2015 alentejo|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba grande reserva 2015 alentejo|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore de borba 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mamore da talha moreto 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malu arteviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malma patagonico family malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malma patagonico family cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malma gran reserva family wines malbec 2023|??|r|malbec|??|??|2023|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malidea nebbiolo 2018|??|r|nebbiolo|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malhadinha alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malhadinha 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malevo tinto syrah malbec|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malevo blend syrah malbec 2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malevo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maldito malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malcriado malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malcriado malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malcriado malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=193
W|vinho|tinto malbec yacochuya|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec winemakers grand reserve goulart|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec vintage don guerino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec vinicola cavalleri|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec varietal santa loreto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec varietal santa loreto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vinho|tinto malbec valle pedernal bemberg|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec uruguaio casco viejo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec this is not another lovely riccitelli|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec terrazas de los andes reserva 2013 adega bodegas chandon|??|r|malbec|??|??|2013|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec single don bonifacio|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec sexy fish|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec sexy fish|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=206
W|vinho|tinto malbec select saurus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto malbec select castellamare|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec secreto viu manent|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec secreto viu manent|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=211
W|vinho|tinto malbec saurus|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec saint felicien|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec rutini|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto malbec romelio reta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
