W|branco|kendalljackson vintners reserve chardonnay 2021 california eua|??|w|chardonnay|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|jurupinga dinall 975|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jura blanc gps domaine pignier|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jundiai|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jundiai|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=26
W|branco|juliette|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|julian reynolds arinto alentejo|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|julian reynolds arinto 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|julia kemper reserva 2015 dao|pt|w|??|dao|??|2015|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|julia kemper curiosity 2016 dao|pt|w|??|dao|??|2016|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|julia kemper 2017 dao|pt|w|??|dao|??|2017|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|julia florista kit 4 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|julia florista kit 4 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=34
W|branco|julia florista 3 und|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|julia florista|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|julia florista|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=37
W|branco|juan carrau reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|jpr marques de borba vinhas velhas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jpr marques de borba colheita|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jpr marques de borba colheita|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=41
W|branco|jpr loureiro vinho verde doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jpr loios|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jpr alvarinho vinho verde doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jp peninsula de setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
S
S|=47
W|branco|jp azeitao bacalhoa 2016|??|w|??|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jp azeitao bacalhoa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jovem mayos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joseph drouhin pulignymontrachet 2022 borgonha|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jose piteira vinho de talha 2018 alentejo|pt|w|??|alentejo|??|2018|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|jose maria da fonseca trevo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jose maria da fonseca jmf|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jose maria da fonseca jmf|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=55
W|branco|jose maria da fonseca hexagon 2017 peninsula de setubal|pt|w|??|setubal|??|2017|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|joel gott oregon pinot gris 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joao tavares de pina rufia branco 2022 dao|pt|w|??|dao|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|joao semana branco de curtimenta 2022 moncao|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joao portugal ramos loureiro 2022 vinhos verdes|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joao portugal ramos alvarinho 2023 vinhos verdes|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joao pires 2024 regional peninsula de setubal|pt|w|??|setubal|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|joao pires|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|joao pires|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=64
W|branco|joao pires|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=64
W|branco|joao pato aka duckman ducking pet nat 2021 ivv portugal|??|s|chardonnay, pinot noir|??|??|2021|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|joao pato aka duckman 2023 ivv portugal|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf trevo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf bse|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf artirsanal|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf albis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jmf|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=73
W|branco|jk elpenor blanc de noir 2020 dao|pt|w|??|dao|??|2020|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|jeanmarc roulot cortoncharlemagne grand cru 2020 borgonha|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin petit chablis borgonha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin chablis premier cru mont de milieu 2022 borgonha|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin chablis premier cru fourchaume 2022 borgonha|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin chablis grand cru valmur 2022 borgonha|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin chablis grand cru grenouille 2022 borgonha|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|jean paul benoit droin chablis borgonha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jean durup chateau de maligny petitchablis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jean bouchard haut de valent chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jacobs creek chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ja te disse 2020 alentejo|pt|w|??|alentejo|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|j p chenet chardonnay pays doc igp|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|j p chenet chardonnay pays doc igp|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=87
W|branco|j lohr cypress chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|izadi larrosadetalhes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|iter 2023 douro doc|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano wave bianco igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vulcanici pinot grigio puglia igt meio seco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano villa pani pecorino igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano villa pani|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano villa fabrizia lambrusco amabile|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano villa fabrizia frascati|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano villa fabrizia frascati|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=97
W|branco|italiano vigneti del vulture sensuale moscato basilicata|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vigneti del vulture pipoli grecofiano basilicata igt|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vigneti del vulture pipoli grecofiano basilicata igt|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=100
W|branco|italiano vesevo greco di tufo docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vesevo falanghina beneventano igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vermentino sardegna|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vermentino di sardenha|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano vermentino di sardegna|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
S|=47
S|=47
W|branco|italiano truffle hunter leda moscato dasti|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano trebbiano casal s rubicone|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano toscana bianco igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano tormaresca chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano topazyo pecorino gobbi e mannocchi montalto marche italia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano topazyo pecorino gobbi e mannocchi montalto marche italia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=113
W|branco|italiano terredora fiano de avelino|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano terredora falanghina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano terredora falanghina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=116
W|branco|italiano terre natuzzi bianco toscana igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano terre natuzzi bianco toscana igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=118
W|branco|italiano tenuta ca vescovo pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano tavernello ditalia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano tavernello|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano stemmari pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano stemmari dalila sicilia doc 2020|it|w|??|sicilia|??|2020|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano sta lucia toscana castellani|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano sogno italiano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano sogno italiano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=126
W|branco|italiano sito dei fossili roero arneis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano settesoli pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano settesoli pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=129
W|branco|italiano settesoli bio grillo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano san silvestro fossili gavi docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano san marco frascati superiore doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano san marco frascati|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano san cisalto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano romanese trentino doc bianco laetita 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano rocchetta roero arneis docg 2016|??|w|??|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano rivaleone gavi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano riesling oltrepo pavese il roccolo|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano poderi del paradiso vin santo doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pinot grigio vivolo di sasso|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pinot grigio vivolo di sasso|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=141
W|branco|italiano pinot grigio veneto kosher vegano|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pinot grigio mannara|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pinot grigio la nave|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pieve vecchia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano pietraforte pecorino|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano peter zemmer muller thurgau|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano nuragus di cagliari doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano natale verga pinotgrigio delle venezie|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano natale verga pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano musiolo vino bianco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano muller thurgau trentino concilio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano moscato dasti giancarlo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano montresor vidussi collio pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano michele chiarlo palas moscato dasti docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano michele chiarlo palas gavi docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano michele chiarlo le madri roero arneis docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano masciarelli villa gemma bianco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano marchesi migliorati trebbiano dabruzzo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano marchesi migliorati trebbiano d abruzzo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lovelli|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lombardo marsala fine ip 421 sweet|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|italiano leonardo da vinci pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano le casine pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano langhe ceretto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lambrusco villa giada|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lambrusco dellemilia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lambrusco dell emilia bianco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lambrusco campetto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano lambrusco anella andreani frisante|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
W|branco|italiano la mora maremma toscana vermentino|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano la guardiense fiano classica|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano la cacciatora trebbiano rubicone igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano la cacciatora castelli romani bianco doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano i giusti e zanza vigneti nemorino|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano i feudi di romans pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano greco classica|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano friulano friuli rauscedo doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano frescobaldi remole bianco toscana igt 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano frescobaldi pomino bianco doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano frescobaldi pomino benefizio riserva doc 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano frescobaldi pomino benefizio riserva doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano fratelli lambrusco cella|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano frascati vila fabrizia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano folonari cabreo la pietra chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano firriato chiaramonte inzolia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano firriato bordonaro inzolia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano fiano di avelino feudi di san gregorio|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano fantini edizione tre autoctoni|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano famiglia ricciadoro pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano famiglia ricciadoro pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=193
W|branco|italiano falanghina salento|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano falanghina del sannio doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano falanghina del sannio doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=196
W|branco|italiano esperanto pinot grigio di puglia|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano decordi lambrusco garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano corzetti gavi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano corbelli pinot grigio igt 6 und|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano codici puglia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano codici masserie fiano puglia|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cellaro luma grillo igt 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cellaro luma grillo igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cecchi vernaccia di san gimignano docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cecchi vermentino doc maremma|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cecchi orvieto classico doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano caviro antico trebbiano chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano caviro antico rosone pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano catarrato arpeggio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano castellani pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano castellani corbelli pinot grigio terre siciliane igt|it|w|pinot grigio|sicilia|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano casale del giglio satrico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano casale del giglio bellone|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano casale del giglio bellone|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=215
W|branco|italiano carrione|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano carranco etna bianco villa dei baroni doc|it|w|??|sicilia|etna|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano carranco etna bianco villa dei baroni doc|it|w|??|sicilia|etna|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=218
W|branco|italiano cantina di negrar pinot grigio garda doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cantina di negrar garganega garda doc|??|w|garganega|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cantina de negrar soave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cantina de negrar pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano cantina de negrar pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=223
W|branco|italiano caldora trebbiano dabruzzo doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano bric cenciurio sito dei fossili roero docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano borgotorre pecorino igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano borgogno derthona timorasso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|italiano berteletti castelia pinot grigio garrafa|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X|=173
W|branco|italiano bertani soave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
