W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru altenberg de bergheim gewurztraminer gustave lorentz|??|w|??|??|??|2019|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru altenberg de bergheim riesling gustave lorentz|??|w|riesling|??|??|2020|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru altenberg de bergheim marcel deiss|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru apalta|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru apalta carmenere colchagua valley|cl|r|carmenere|??|colchagua|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru banyuls ac|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru barrique ponos hrvatske|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru batard montrachet bachelet|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bienvenue batard montr bachelet|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru blanc de blancs brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru blanc de blancs chouilly|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru blanc de blancs millesime|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru blanc de blancs prestige|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru blanc de blancs signaturlada fran verzenay bouzy|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru blanchots|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru blend|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bordeaux 800 2 sw10432 sophienwald|fr|r|??|bordeaux|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru boy jealo|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru brand|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru brand paul buecher|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru brand gewurztraminer cave de turckheim|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru brand gewurztraminer cave de turckheim|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco|=39
W|grand|cru brand riesling turckheim|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru bruderthal|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruderthal henri kaes|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruocsella|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruocsella|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|grand|cru bruocsella|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|grand|cru bruocsella 24|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruocsella cantillon|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruocsella lambic bio saison 20202021 brasserie cantillon|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru bruocsella nv|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru brut|??|s|??|??|??|2012|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut champagne georges vesselle|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut champagne georges vesselle|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=52
W|grand|cru brut champagne georges vesselles|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut demi|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut millesime|??|s|??|??|??|2014|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut millesime prestige|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut rose champagne champagne pierre moncuit|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut rose champagne georges vesselle|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru brut rose nm champagne eglyouriet|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru burgogne 1000 2 sw10422 sophienwald|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru cabernet sauvignon maipo valley|cl|r|cabernet sauvignon|??|maipo|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru cabernet sauvignon nv|??|r|cabernet sauvignon|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru champagne|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru champagne 570 2 sw10402 sophienwald|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru champagne ac|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru champagne nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru chardonnay|??|w|chardonnay|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru chardonnay sicilia igt|it|w|chardonnay|sicily|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|chateau branaire ducru|grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau la fleurpetr|grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latourmartillac|grand cru 2018pessacleognan|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru chocolates cluizel|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe 1855 aoc sauternes|??|d|??|??|sauternes|2018|10|aoc|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|cru classe trotte vieille|??|r|??|??|??|1991|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe trotte vieille|??|r|??|??|??|1991|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|grand|cru classe trotte vieille|??|r|??|??|??|1991|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=76
W|grand|cru classe|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe cantemerle haut medoc|??|r|??|??|medoc|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=84
W|grand|cru classe|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau olivier|grand cru classe aoc|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe blanc|??|w|??|??|??|2017|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe blanc pessac leognan|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe blanc pessac leognan recommandation personnelle|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe blanc pessacleognan|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe blanc pessacleognan|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco|=91
W|grand|cru classe blanc pessacleognan personliche empfehlung|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe blanc pessacleognan personliche empfehlung|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco|=93
W|grand|cru classe blanc pessacleognan persoonlijke aanbeveling|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|chateau beychevelle|grand cru classe|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau loroque|grand cru classe 135|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau talbot|grand cru classe 2017bordeauxsantjulien|fr|r|??|bordeaux|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe de graves pessacleognan|es|r|??|bordeaux|graves|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe de graves pessacleognan|es|r|??|bordeaux|graves|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe de graves pessacleognan aoc|es|r|??|bordeaux|graves|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe de graves pessacleognan blanc|es|w|??|bordeaux|graves|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru classe de graves rouge|es|r|??|bordeaux|graves|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau corbin michotte|grand cru classe de saintemilion|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau corbin michotte|grand cru classe de saintemilion|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=104
W|chateau louis|grand cru classe de saintemilion|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau corbin michotte|grand cru classe de saintemilion|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau corbin michotte|grand cru classe de saintemilion|??|r|??|??|??|2010|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe margaux|??|r|??|??|margaux|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau desmiril|grand cru classe margaux ac|??|r|??|??|margaux|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe pessac leognan|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe pessacleognan|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe pessacleognan aoc|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau latour martillac|grand cru classe rouge|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe saintemilion aoc|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe saintemilion grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe saintemilion grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|grand|cru classe saintemilion grand cru personliche empfehlung|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classe saintemilion grand cru personliche empfehlung|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|grand|cru classe saintemilion grand cru persoonlijke aanbeveling|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru classics taste of elegance btl vintage|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos saint|grand cru denis louis jadot|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru curico|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru cuvee 170eme edition krug|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru deluxe millesime houten kist|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru demi sec|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru des carruades pauillac|??|r|??|??|pauillac|1964|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru eichberg riesling|??|w|riesling|??|??|2014|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru eichenberg pierre frick|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru engelberg riesling|??|w|riesling|??|??|2021|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cru extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut|=131
W|grand|cru extra brut la closerie jerome prevost champagner|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cru extra brut september|??|s|??|??|??|2022|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cru extra brut september|??|s|??|??|??|2023|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|cru extra brut vieille vigne du levant champagne ac|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|domaine de lenvol|grand cru florimont|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru frankstein florian beck hartweg|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru frankstein|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru frankstein gewurztraminer|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru frankstein pinot gris|??|w|pinot gris|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru free flow weekend 21 march|??|r|??|??|??|2026|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru free flow weekend 22 march|??|r|??|??|??|2026|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|grand|cru grande montagne|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru grande montagne|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru hatschbourg gewurztraminer|??|w|??|??|??|2023|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|chateau la lagune|grand cru hautmedoc|??|r|??|??|medoc|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru importadora ltd|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru jurassic 1824m lbs|fr|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf aop|??|r|??|??|??|2023|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf gewurztraminer|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru kaefferkopf la trilogie|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf oxydatif|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf oxydatif|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf pfulben|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf purberg|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf purberg maceration|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kaefferkopf riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru kaefferkopf riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco|=160
W|grand|cru kirchberg de barr|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru kirchberg pinot gris henry fuchs|??|w|pinot gris|??|??|2017|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru kirchberg riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru les clos|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru les clos|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=165
W|grand|cru les clos|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru les crayeres blanc de noirs vieilles vignes base 17 champagne ac|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru library pack|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru limari syrahdo valle de limari 20158|??|r|syrah|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru luigi moio taurasi riserva docg quintodecimo|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru luigi moio taurasi riserva docg quintodecimo cassa legno 6 bottiglie|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru luigi moio taurasi riserva docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru luigi moio taurasi riserva docg in cassetta legno|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru luigi moio taurasi riserva docg quintodecimo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru maipo|cl|r|??|??|maipo|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru mambourg|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru mambourg|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|grand|cru melodie c|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru merlot|??|r|merlot|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru millesimato brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru millesime nm champagne eglyouriet|fr|s|??|champagne|??|2007|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru millesime blanc de blancs|??|s|??|??|??|2015|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grand|cru millesime blanc de noirs|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru millesime ambonnay|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru moenchberg riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|domaine ostertag|grand cru muenchberg a 360p|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine ostertag|grand cru muenchberg a 360p|??|r|??|??|??|2014|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru olio evo monocultivar coratina bio orto|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru olio evo monocultivar ogliarola bio orto|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru olio evo monocultivar peranzana bio orto|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru ollwiller pinot gris ginglinger en ligne|??|w|pinot gris|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru pack|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pack 2 knotted vine margaret river cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pack 3 pepper hills barossa shiraz|??|r|shiraz|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pack 4 the knotted vine single vineyard chardonnay|??|w|chardonnay|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru pack 5 cape ridge margaret river rose|za|p|??|??|??|nv|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|grand|cru pack 6 hand select great southern pinot noir|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru package|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pfersigberg h|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pinot noir|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pinot noir|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|grand|cru pinot noir|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|grand|cru pinot noir de salquenen aoc valais fernand cina sa salgesch|??|r|pinot noir|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru pinot noir nv|??|r|pinot noir|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru plavac mali goes urban top vrhunski poklon paket oaski sir dostupan od travnja g|??|r|??|??|??|2024|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru proeverij uitverkocht|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru puntje|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru reserve blanc de blancs brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru riesling pfersigberg comtes deguisheim|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru rosacker riesling|??|w|riesling|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru rosacker riesling|??|w|riesling|??|??|2021|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|grand|cru rose brut mini|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grand|cru sagrada familia|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|grand cru saint emilion la cure 145|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru schlossberg binner christian vn|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|cru stable margaux|??|r|??|??|margaux|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
