W|hacienda|lopez de haro blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro reserva blanco|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro reserva blanco|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=77
W|hacienda|lopez de haro reserva blanco|??|w|??|??|??|2018|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro reserva out of stock|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva rioja|es|r|??|rioja|rioja|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva rioja|es|r|??|rioja|rioja|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro reserva rioja|es|r|??|rioja|rioja|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja red dry 135 075|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja blanco 125vol|es|w|??|rioja|rioja|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja blanco 125vol|es|w|??|rioja|rioja|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=87
W|hacienda|lopez de haro rioja blanco|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja blanco reserva|es|w|??|rioja|rioja|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja blanco spain|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja crianza|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja crianza rioja spain|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja reserva|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja reserva spain|es|r|??|rioja|rioja|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja reserva|es|r|??|rioja|rioja|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja rose|es|p|??|rioja|rioja|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rioja rose|es|p|??|rioja|rioja|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=98
W|hacienda|lopez de haro rioja tempranillo 135vol|es|r|tempranillo|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rioja tempranillo 135vol|es|r|tempranillo|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|hacienda|lopez de haro roble bodegas classica rioja 130|es|r|??|rioja|rioja|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=103
W|hacienda|lopez de haro rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=103
W|hacienda|lopez de haro rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=103
W|hacienda|lopez de haro rosado|??|p|??|??|??|2019|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado 125 ck|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado doca|??|p|??|??|??|2024|12.5|doca|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rosado vino rosado fresco y equilibrado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro rose rioja|es|p|??|rioja|rioja|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|hacienda|lopez de haro san vicente de la sonsierra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro san vicente de la sonsierra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=115
W|hacienda|lopez de haro tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|hacienda|lopez de haro tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|hacienda|lopez de haro tempranillo|es|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|hacienda|lopez de haro tempranillo iloilo|es|r|tempranillo|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro tempranillo 13 sc|es|r|tempranillo|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro twin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez de haro viura|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|lopez haro crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=126
W|hacienda|lopez haro reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|los presidentes blend colchagua|cl|r|??|??|colchagua|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|hacienda|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|hacienda|molleda carinena|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|molleda finca la matea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|molleda garnacha|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio ribera del duero|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|hacienda|monasterio|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva especial|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|hacienda|monasterio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|hacienda|monasterio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|hacienda|monasterio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|hacienda|monasterio kologisk vin fra ribera del duero|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio cosecha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|hacienda|monasterio crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|hacienda|monasterio crianza|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza hacienda monasterio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza ribera del duero|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza biologisch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|hacienda|monasterio do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio do|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio do bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio do wein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|hacienda|monasterio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio reserva|??|r|??|??|??|1996|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|hacienda|monasterio reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|hacienda|monasterio reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|hacienda|monasterio reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|hacienda|monasterio reserva|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|hacienda|monasterio reserva|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|hacienda|monasterio reserva|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|hacienda|monasterio reserva|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|hacienda|monasterio reserva hacienda monasterio|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva udsalg pa vin|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=209
W|hacienda|monasterio reserva especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=209
W|hacienda|monasterio reserva especial|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva especial|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|hacienda|monasterio reserva especial|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva ribera del duero|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva ribera del duero|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|hacienda|monasterio ribera del duero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|hacienda|monasterio ribera del duero|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hacienda|monasterio ribera del duero|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
