W|georges|laval cumieres brut nature jeroboam|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres blanc de noirs brut nature champagne|fr|s|??|champagne|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres blanc de noirs brut nature champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres blanc de noirs brut nature champagne|fr|s|??|champagne|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres brut nature|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres brut nature|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres brut nature|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres champagne blanc de noirs brut nature|fr|s|??|champagne|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les hautes chevres cumieres cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les hauts chevres|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes cru brut nature|??|s|??|??|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes box|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes astucciato|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes box|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes box|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval les longues violes brut nature|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes brut nature|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|brut nature|=86
W|georges|laval les longues violes brut nature|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes brut nature champagne|fr|s|??|champagne|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes brut nature champagne|fr|s|??|champagne|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes champagne brut nature|fr|s|??|champagne|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les longues violes champagne brut nature|fr|s|??|champagne|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|laval les vignes de mon oncle nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|laval longues violes brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|georges|lavel brut cumieres|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|georges|lelektsoglou cote rotie brocarde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lelektsoglou cote rotie la brocarde|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lelektsoglou crozes hermitage vieilles vignes de gervans|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lelektsoglou lieu dit pignan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lelektsoglou saint joseph hector adrien charalambos|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bonnes mares grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bonnes mares grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bonnesmares grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bonnesmares grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=104
W|georges|lignier bourgogne passetoutgrain|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bourgogne passetoutgrain|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier bourgogne rouge champs de la vigne|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier chambolle musigny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier chambolle musigny|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|1985|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos de la roche grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saint denis grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saint denis grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saint denis grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|georges|lignier clos saint denis grand cru|??|r|??|??|??|1988|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|georges|lignier clos saint denis grand cru|??|r|??|??|??|2001|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saintdenis grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saintdenis grand cru|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos saintdenis grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos st denis|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos st denis grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clos st denis grand cru|??|r|??|??|??|2001|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clossaintdenis grand cru|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clossaintdenis grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clossaintdenis grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clossaintdenis grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier clossaintdenis grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils bonnes mares|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils bonnesmares grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils bourgogne pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils charmes chambertin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos de la roche|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos de la roche grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos des ormes premier cru moreysaintdenis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos roche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos saint denis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils clos saintdenis grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils gevrey chambertin aux combottes|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils gevrey chambertin combottes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils marsannay blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier et fils marsannay rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils morey saint denis cru clos des ormes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils morey saint denis clos ormes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils morey saint denis premier cru clos des ormes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils morey st denis cru clos des ormes|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils moreysaintdenis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils moreysaintdenis blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier et fils moreysaintdenis rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils passetoutgrain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils pinot noir geverychambertain|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier et fils pinot noir moreysaintdenis|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier fils|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier fils moreysaintdenis cru clos des ormes 130 abv|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier gevrey chambertin domaine georges lignier et fils|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier gevreychambertin cru les combottes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier gevreychambertin cru les combottes|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier gevreychambertin|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier gevreychambertin premier cru les combottes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier marsannay blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier marsannay blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier marsannay blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier morey saint denis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier morey saint denis blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier morey st denis clos des ormes|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|georges|lignier moreysaintdenis blanc|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|lignier moreysaintdenis premier cru|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis premier cru clos des ormes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreysaintdenis rouge|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|lignier moreystdenis premier cru clos des ormes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|limouzy blanquette de limoux brut 12 075|??|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|georges|limouzy cremant de limoux blanc nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|georges|meurgey vouvray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|michel golden mile sau blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|michel golden mile sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|michel golden mile sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|michel legend pinot noir|??|r|pinot noir|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|michel legend pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|michel reserve chardonnay|??|w|chardonnay|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|michel reserve pinot noir|??|r|pinot noir|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|millerioux sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|millerioux sancerre|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mingret bourgogne chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|georges|mingret bourgogne pinot noir|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mingret chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mingret cotes du rhone recolte|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret chambolle musigny les feusselottes cru|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret clos vougeot grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret clos vougeot grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=207
W|georges|mugneret echezeaux grand cru|??|r|??|??|??|1986|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret echezeaux grand cru|??|r|??|??|??|1990|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret echezeaux grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret echezeaux grand cru|??|r|??|??|??|2000|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret echezeaux grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gevrey chambertin cru|fr|r|??|bourgogne|gevrey chambertin|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny feusselottes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|georges|mugneret gibourg chambolle musigny les feusselottes cru|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
