W|latour|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1898|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1898|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|latour|pauillac 1892 reconditioned|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1892 reconditioned|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=33
W|latour|pauillac 1881 recorked relabled in|??|r|??|??|??|1993|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1881 recorked relabled in|??|r|??|??|??|1993|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=35
W|latour|pauillac 1881 exchateau|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1881 exchateau|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=37
W|latour|pauillac 1881|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1881|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=39
W|latour|pauillac 1878 whitwhams label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac 1878 whitwhams label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=41
W|latour|nuits st george|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|netofa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|mid shoulder fill|??|r|??|??|??|1959|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|mid shoulder|??|r|??|??|??|1967|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|mid shoulder|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|meursault|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac rouge 3 pack|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac rouge|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac cru classe de graves pessacleognan|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac blanc pessac leognan|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac blanc|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=63
W|latour|martillac|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|martillac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|marsannay pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|marsannay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|maconlugny les genievres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|maconlugny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|low shoulder fill|??|r|??|??|??|1964|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|low shoulder|??|r|??|??|??|1962|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|low shoulder|??|r|??|??|??|1937|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|latour|louis chambertin cuvee heritiers latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|louis corton charlemagne grand cru|??|r|??|??|??|1986|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour les|forts de latour pauillac|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour les|forts de latour pauillac|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|hollerbrause|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|high shoulder or better|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|high shoulder fill|??|r|??|??|??|1955|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|high shoulder|??|r|??|??|??|1961|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|high mid shoulder|??|r|??|??|??|1981|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|haut brion|??|r|??|??|??|1979|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|grand cru corton charle|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|grand ardeche chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|grand ardeche chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|gran ardeche chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|giraud meursault les genevrieres 1er cru|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|giraud meursault genevrieres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|giraud meursault cuvee charles maxime|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|giraud la refene pommard 1er cru|??|r|??|??|??|1949|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|gevrey chambertain|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|domaine de valmoissine pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour de|france irresistiiible|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour de|france|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cuvee latour bourgone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|corton charlemagne|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|corton charlemagne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|chardonnay ardeche|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|chardonnay ardeche|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|chambert cahors malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|latour|chablis la chanfleure blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|chablis 1er cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|carnet|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|carnet|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=106
W|latour|brouilly|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|blanche|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|beaujolais villages chameroy|fr|r|??|beaujolais|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|ardeche chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|latour|a pomerol very low fill|fr|r|??|pomerol|??|1962|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=122
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|1947|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|1947|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=124
W|latour|a pomerol high shoulder or better|fr|r|??|pomerol|??|1982|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=131
W|latour|a pomerol|fr|r|??|pomerol|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=131
W|latour|a pomerol|fr|r|??|pomerol|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=134
W|latour|a pomerol|fr|r|??|pomerol|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=141
W|latour|a pomerol|fr|r|??|pomerol|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=141
W|latour|a pomerol pomerol|fr|r|??|pomerol|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|1994|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|1985|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|latour|a pomerol|fr|r|??|pomerol|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|latour|a civitella mottura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a civitella 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|a civitella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cb6 pomerol|fr|r|??|pomerol|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cb6 pomerol|fr|r|??|pomerol|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cb6 pomerol|fr|r|??|pomerol|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cb6 pomerol|fr|r|??|pomerol|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=162
W|latour|pauillac cb3|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|cb6 pomerol|fr|r|??|pomerol|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cb3|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cb1|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|mag|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cb1|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=172
W|latour|latour|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=172
W|latour|in case of 1 btl|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=176
W|latour|in case of 1 btl|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=179
W|latour|latour|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cb1|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|exchateau|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=184
W|latour|latour|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=184
W|latour|latour|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=187
W|latour|latour|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=187
W|latour|latour|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=190
W|latour|latour|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=192
W|latour|latour|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=192
W|latour|latour|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|pauillac cb1|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=197
W|latour|latour|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=197
W|latour|latour|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=200
W|latour|latour|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=202
W|latour|latour|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=202
W|latour|latour|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=205
W|latour|latour|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=207
W|latour|mag|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=210
W|latour|latour|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=210
W|latour|1er grand cru classe pauillac magnum 1|??|r|??|??|??|2002|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac magnum 1|??|r|??|??|??|2002|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=213
W|latour|1er grand cru classe pauillac magnum 1|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac magnum 1|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=215
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=217
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=219
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2010|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2010|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=221
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2004|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2002|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|1998|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|1993|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|1er grand cru classe pauillac|??|r|??|??|??|1993|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=227
W|latour|1er grand cru classe pauillac|??|r|??|??|??|1987|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|latour|latour|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|latour|latour|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|latour|pauillac|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|latour|latour|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|latour|latour|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|latour|latour|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|latour|original wood case|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=241
W|latour|pauillac|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
W|latour|latour|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=244
