W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=19
W|lapostolle|grand selection cabernet sauvignon valle del rapel|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=30
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=32
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=34
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=39
W|lapostolle|grand selection cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=49
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=34
W|lapostolle|grand selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=54
W|lapostolle|grand sel cab sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|gran selection carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|gran selection caberbet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=59
W|lapostolle|cuvee syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=59
W|lapostolle|cuvee premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=63
W|lapostolle|cuvee merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=65
W|lapostolle|cuvee carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre syrah apalta vineyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=71
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=71
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=74
W|lapostolle|cuvee alexandre syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=74
W|lapostolle|cuvee alexandre pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot colchagua valley chile|cl|r|merlot|colchagua|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot apalta|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot 750m|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=84
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=87
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=89
W|lapostolle|cuvee alexandre chardonnay atalayas vineyard|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre chardonnay 116 z|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco|=98
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=100
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=100
W|lapostolle|cuvee alexandre chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=100
W|lapostolle|cuvee alexandre carmenere750m|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere colchagua valley chile|cl|r|carmenere|colchagua|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere chile tinto|??|r|carmenere|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere apalta colchagua valley chile|cl|r|carmenere|colchagua|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere 6cs|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=118
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=120
W|lapostolle|cuvee alexandre cabernet sauvignon x liquidacion|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=134
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=134
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=134
W|lapostolle|cuvee alexandre cabernet sauvignon 116 z|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=139
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=139
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=145
W|lapostolle|cuvee alexandre cabernet sauvig|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=158
W|lapostolle|cuvee alexandre cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=158
W|lapostolle|cuvee alexandre cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=158
W|lapostolle|cuvee alexandre cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre cab|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandre atalayas vineyard chardonnay|??|w|chardonnay|??|??|2008|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexandre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexandra cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexander chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|cuvee alexander chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=168
W|lapostolle|cuvee alexander carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexander carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=170
W|lapostolle|cuvee alexander carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=170
W|lapostolle|cuvee alexander cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexander cab sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuvee alexander cab sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=174
W|lapostolle|cuvee alex carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|cuve alexandre carmenere 116 z|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|collection semillon torontel 13|??|w|semillon|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|collection petit verdot unfiltered valle de colchagua|cl|r|petit verdot|colchagua|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|collection mourvedre unfiltered colchagua valley|cl|r|mourvedre|colchagua|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos du lican het nieuwe meesterwerk van lapostolle|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos de apalta icono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos de apalta icono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=182
W|lapostolle|clos de apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta vinotheque|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta vinotheque|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=185
W|lapostolle|clos apalta red rapel valley chile|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red rapel valley chile|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=187
W|lapostolle|clos apalta red blend in wood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend in wood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=189
W|lapostolle|clos apalta red blend 6 cs in wood|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend 1 cs in wood|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend 1 cs in wood|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=196
W|lapostolle|clos apalta red|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta premium blend apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta parcelle 8|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta malbec|??|r|malbec|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle|clos apalta malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
