W|branco|von winning weisser burgunder imperial 2021 alemanha|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villaggio conti ribolla gialla|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa wolf wachenheimer blez riesling 2014 pfalz alemanha|??|w|riesling|??|??|2014|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa wolf riesling seco 2023 pfalz alemanha|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa wolf riesling seco 2019 1 pfalz alemanha|??|w|riesling|??|??|2019|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa wolf pinot blanc seco 2022 pfalz alemanha|??|w|pinot blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa wolf gewurztraminer 2023 pfalz alemanha|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa travignoli gavignano toscana igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa seara 2022 ig minho|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa pozzi grillo sicilia|it|w|??|sicilia|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|villa pozzi grillo sicilia|it|w|??|sicilia|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=103
W|branco|villa oliveira encruzado 2022 dao|pt|w|??|dao|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|villa nogueira harvest 2022 doc obidos|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria sauvignon blanc taylors pass 2021 marlborough nova zelandia|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria sauvignon blanc private bin 2024 marlborough nova zelandia|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria sauvignon blanc cellar selection organic 2019 marlborough nova zelandia|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria riesling private bin 2019 marlborough nova zelandia|??|w|riesling|??|??|2019|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria reserve sauvignon blanc wairau valley 2024 marlborough nova zelandia|??|w|sauvignon blanc|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|villa maria lighter sauvignon blanc private bin 2018 marlborough nova zelandia|??|w|sauvignon blanc|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria chardonnay private bin 2018 marlborough nova zelandia|??|w|chardonnay|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa maria chardonnay cellar selection 2018 marlborough nova zelandia|??|w|chardonnay|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa francioni fino seco sauvignon blanc|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|villa francioni fino seco sauvignon blanc|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=115
W|branco|villa francioni fino seco chardonnay|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|villa cardeto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villa bianchi umani ronchi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila santa white blend 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila santa reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vila santa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila ruiva doc alentejano antao vaz|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila real reserva 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vila real reserva 2024|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vila real grande reserva 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vila real colheita 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vila nova loureiro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila nova alvarinho 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila nova alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila flor 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila dos gamas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vila della piana fiano|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viggiano tannat albarino 2024|??|w|tannat|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viggiano albarino 2024|??|w|albarino|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viejo vinedo argentina|ar|w|??|mendoza|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|vieilles vignes marsannay laurent|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira vinho de talha 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira premium doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira escolha dos socios antao vaz|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira doc reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vidigueira doc grande escolha|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|vidigueira doc antao vaz|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigueira antao vaz|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigal bailado chardonnay arinto 2021 lisboa|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vidigal bailado chardonnay 2021 lisboa|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vida nova|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vicious reserva alvarinho magnun 2021 1 vinhos verdes|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vicentino sauvignon blanc 2023 alentejo|pt|w|sauvignon blanc|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|vicentino sauvignon blanc 2019|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vicentino reserva 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|vicentino alvarinho 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|vicentino 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|vg alvarinho garibaldi caixa 6|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vg alvarinho garibaldi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vesevo greco di tufo docg|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vesevo falanghina igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|versante nord bianco terre siciliane igt 2020|it|w|??|sicilia|??|2020|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|veroni sauvi sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|veroni bianco chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vernaccia gattavecchi|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vermentino paul mas|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vermentino il bargaglino provveditore doc 2023|??|w|vermentino|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vermentino abreu garcia|??|w|vermentino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vermentino 2022|??|w|vermentino|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vermentino 2022|??|w|vermentino|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=166
W|branco|verdelho tiago cabaco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verdelho ponte mouchao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verdelho dsf jose maria da fonseca|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verdelho da malhadinha vinha da peceguina 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|verdelho comenda grande|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|verdelho 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verdejo rueda marques de riscal|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verdejo marques de toledo lozano|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde vilacetinho avesso grande reserva 2017|??|w|??|??|??|2017|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|verde vicentino alvarinho 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
S
W|branco|verde vale dos ares borras finas 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde rheingau riesling qba 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde relevo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde quinta de melgaco alvarinho 2022no pixno boletoem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde quinta da calcada reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|verde quinta da calcada alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde portugues vilacetinho avesso reserva 2020|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|verde portugues superior vilacetinho 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
S|=178
W|branco|verde portugues casa de vilacetinho 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde portugal quinta de bons ventos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde portugal mito|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
X|=191
W|branco|verde pescada alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde mar salgadono pixem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde mar salgado loureiro alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde mar salgado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde contacto anselmo mendes alvarinho 2023no pixno boletoem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde conserva|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde casal garcia tradicional white blend 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde casal garcia 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde calamares|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde bco aveleda casal garcia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde aveleda loureiro alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde aveleda fonte|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde aveleda casal garcia sweet|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde aveleda casal garcia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde aveleda casal garcia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=206
W|branco|verde amote|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde ameal solo unico 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|verde ameal reserva 2020|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|verde alvarinho deu la deu reserva doc 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vercoop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|veranza|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ventisquero reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|ventisquero reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=214
W|branco|venta la vega adaras lluvia blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|venta la vega adaras lluvia blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=216
W|branco|vendetta blend 2016|??|w|??|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vendaval reserva 2024|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vendaval reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vendaval 2025|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vendaval|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano un mundo chiquito corte de blancas 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano tomero sauvignon blanc 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano tomero chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano tierra telteca chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano organico gaia white blend 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vegano montgras de vine reserva sauvignon blanc 2022|??|w|sauvignon blanc|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
