1. W|wente|vineyards 1883 cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
52. W|wente|sandstone merlot 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
53. W|wente|sandstone merlot 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
54. W|wente|sandstone merlot 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
55. W|wente|sandstone merlot 075|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
56. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
57. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
58. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
59. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
60. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
61. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
62. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
63. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
64. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
65. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
66. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
67. W|wente|sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
68. X
69. X
70. W|wente|riverbank riesling arroyo seco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
71. W|wente|riverbank riesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
72. W|wente|riverbank riesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
73. W|wente|riverbank riesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
74. W|wente|riverbank riesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
75. W|wente|riverbank riesling 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
76. W|wente|riverbank riesling 2021 vin alb|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
77. W|wente|riverbank riesling 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
78. W|wente|riverbank riesling 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
79. W|wente|riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
80. W|wente|riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
81. W|wente|riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
82. W|wente|riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
83. W|wente|riverbank riesling|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
84. W|wente|riva ranch vineyard pinot noir 2020 vin rosu|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
85. W|wente|riva ranch vineyard chardonnay 2022 vin alb|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
86. W|wente|riva ranch single vineyard pinot noir 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
87. W|wente|riva ranch reserve chardonnay 2023|??|w|??|??|??|2023|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
88. W|wente|riva ranch reserve chardonnay|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
89. W|wente|riva ranch reserve chardonnay|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=N
90. W|wente|riva ranch reserve chardonnay|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=N
91. X
92. W|wente|riva ranch pinot noir single vineyard|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
93. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
94. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
95. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
96. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
97. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
98. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
99. W|wente|riva ranch pinot noir 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
100. W|wente|riva ranch pinot noir 2021 single vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
101. W|wente|riva ranch pinot noir 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
102. W|wente|riva ranch pinot noir 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
103. W|wente|riva ranch pinot noir 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
104. W|wente|riva ranch pinot noir 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
105. W|wente|riva ranch pinot noir 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
106. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
107. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
108. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
109. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
110. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
111. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
112. W|wente|riva ranch pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
113. X
114. W|wente|riva ranch chardonnay telluride sleighs wagons|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
115. W|wente|riva ranch chardonnay single vineyard|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
116. W|wente|riva ranch chardonnay reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
117. W|wente|riva ranch chardonnay reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=N
118. W|wente|riva ranch chardonnay arroyo seco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
119. W|wente|riva ranch chardonnay 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
120. W|wente|riva ranch chardonnay 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
121. W|wente|riva ranch chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
122. W|wente|riva ranch chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
123. W|wente|riva ranch chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
124. W|wente|riva ranch chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
125. W|wente|riva ranch chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
126. W|wente|riva ranch chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
127. W|wente|riva ranch chardonnay 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
128. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
129. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
130. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
131. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
132. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
133. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
134. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
135. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
136. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
137. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
138. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
139. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
140. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
141. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
142. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
143. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
144. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
145. W|wente|riva ranch chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
146. W|wente|riesling riverbank 075|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
147. W|wente|riesling riverbank|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
148. W|wente|riesling riverbank|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
149. W|wente|riesling riverbank|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
150. W|wente|reliz creek pinot noir|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
151. W|wente|pinot noir riva ranch single vineyard|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
152. W|wente|pinot noir riva ranch|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
153. W|wente|pinot noir riva ranch|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
154. W|wente|pinot grigio pacific mist central coast 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
155. X
156. W|wente|pacific mist pinot grigio|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
157. X
158. W|wente|nth degree syrah 2009|??|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, massas, queijo|seco
159. W|wente|nth degree chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
160. W|wente|nth degree cabernet sauvignon 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco
161. W|wente|nth degree cabernet sauvignon 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
162. W|wente|nth degree cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
163. X
164. X
165. X
166. X
167. X
168. W|wente|morning fog chardonnay livermore valley usa 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
169. W|wente|morning fog chardonnay livermore valley 2023 wit|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
170. W|wente|morning fog chardonnay livermore valley|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
171. W|wente|morning fog chardonnay california usa|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
172. X
173. X
174. X
175. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
176. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
177. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
178. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
179. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
180. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
181. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
182. W|wente|morning fog chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
183. W|wente|morning fog chardonnay 20222023|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
184. W|wente|morning fog chardonnay 2022 vin alb|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
185. W|wente|morning fog chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
186. W|wente|morning fog chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
187. W|wente|morning fog chardonnay 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
188. W|wente|morning fog chardonnay 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
189. W|wente|morning fog chardonnay 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
190. W|wente|morning fog chardonnay 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
191. W|wente|morning fog chardonnay 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
192. W|wente|morning fog chardonnay 075 ltr|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
193. W|wente|morning fog chardonnay 075|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
194. W|wente|morning fog chardonnay 0|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
195. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
196. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
197. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
198. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
199. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
200. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
201. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
202. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
203. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
204. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
205. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
206. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
207. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
208. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
209. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
210. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
211. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
212. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
213. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
214. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
215. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
216. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
217. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
218. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
219. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
220. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
221. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
222. W|wente|morning fog chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
223. W|wente|morning fog 2021 chardonnay|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
224. X
225. X
226. W|wente|morning chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
227. W|wente|merlot sandstone|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
228. W|wente|merlot sandstone|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
229. W|wente|merlot 750 mlt 135|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
230. W|wente|merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
231. W|wente|merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
232. W|wente|merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
233. X
234. X
235. W|wente|louis mel sauvignon blanc livermore valley|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
236. X
237. X
238. X
239. W|wente|louis mel sauvignon blanc 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
240. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
241. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
242. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
243. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
244. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
245. W|wente|louis mel sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
246. W|wente|livermore valley 2018 cabernet sauvignon|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijo|seco
247. W|wente|limited release retro chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
248. W|wente|limited release chardonnay 2022 vin alb|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
249. W|wente|hayes ranch chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
250. W|wente|family vineyards nth degree merlot 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
251. W|wente|estate sandstone merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
