W|langhe|doc freisa lice adriano marco e vittorio|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bompe borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco sto fuori virna borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco sfusobuono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco sfusobuono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=72
W|langhe|doc bianco ribote|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco rebelle agricola brandini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco le nature pelissero|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco le coccinelle biologico agricola brandini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco dragon vajra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bianco bio giribaldi|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc bartome biologico borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc barbera luigi einaudi|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|doc barbera iris ribote|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|doc barbera dominik weigand|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=84
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=84
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=84
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=84
W|langhe|doc baccanera barbera dalba doc sucule nebbiolo dalba doc nubie lo zoccolaio cassetta di legno 3 bottiglie|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=84
W|langhe|doc baccanera barbera dalba doc sucule barolo docg lo zoccolaio lo zoccolaio lo zoccolaio cassetta di legno 3 bottiglie|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|doc baccanera barbera dalba doc sucule barolo docg lo zoccolaio lo zoccolaio lo zoccolaio cassetta di legno 3 bottiglie|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco|=90
W|langhe|doc baccanera barbera dalba doc sucule barolo docg lo zoccolaio lo zoccolaio lo zoccolaio cassetta di legno 3 bottiglie|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco|=90
W|langhe|doc baccanera barbera dalba doc sucule barolo docg lo zoccolaio lo zoccolaio lo zoccolaio cassetta di legno 3 bottiglie|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco|=90
W|langhe|doc baccanera barbera dalba doc sucule barolo docg lo zoccolaio lo zoccolaio lo zoccolaio cassetta di legno 3 bottiglie|??|r|barbera|??|??|2022|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco|=90
W|langhe|doc arveja prunotto|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc arneis teresa soria|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis rocche costamagna|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis montebertotto castello di neive|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis montebertotto|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis luigi bosca bosca|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis langhet|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis langhet|??|w|arneis|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis langhet|??|w|arneis|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis langhet|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis il falchetto|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis damilano|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis bricco cappellina|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis blange magnum ceretto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis blange ceretto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis blange ceretto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=109
W|langhe|doc arneis blange box da 6 bottiglie|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis blange magnum ceretto|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis blange ceretto|??|w|arneis|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis bio giribaldi|??|w|arneis|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis bataja|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis arveja prunotto|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis sylla sebaste|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis rusel|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis la trava|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis|??|w|arneis|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis kologisk hvidvin pa tilbud|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis cascina albano|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis cascina albano|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco|=122
W|langhe|doc arneis|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc arneis ugo lequio|??|w|arneis|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|doc ancum biologico borgogno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc produttori del barbaresco|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc favorita|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|doc arneis|??|w|arneis|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco|=124
W|langhe|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe da|custodire|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|d o c nebbiolo biologico|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|corte enrichetta pelassa piedmont italy|it|r|??|piedmont|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|chiara doc 145vol|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|chardonnay silver|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay sermine doc ca del baio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay sermine doc ca del baio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=136
W|langhe|chardonnay scapulin|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay rorea doc|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay prinsipi biologico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay prasue saracco|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay prasue saracco|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco|=141
W|langhe|chardonnay prasue saracco|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay prasue saracco|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=143
W|langhe|chardonnay prasue saracco|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=143
W|langhe|chardonnay pertinace|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay passato doc organico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay moscone|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay moscone|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=148
W|langhe|chardonnay morra gabriele macellai di pocapagli cn|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay massolino|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay maestro pecchenino|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay maestro pecchenino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay maestro pecchenino|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay luna dagosto doc ca del baio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay luna dagosto doc ca del baio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=156
W|langhe|chardonnay livrot doc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay elioro doc biologico|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay elioro bio cordero di montezemolo|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay educato elio grasso italie piemonte wit|it|w|chardonnay|piemonte|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay educato|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay dop rossj bass gaja|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc suasi deltetto|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc strange piazzo comm armando|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc rorea giacosa fratelli|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc ronchi|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc rinato viberti|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc rinato viberti|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco|=168
W|langhe|chardonnay doc rinato viberti|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco|=168
W|langhe|chardonnay doc prinsipi conterno fantino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc prinsipi conterno fantino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=171
W|langhe|chardonnay doc prinsipi conterno fantino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=171
W|langhe|chardonnay doc principl 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc piodilei pio cesare|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc lorens walter lodali|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc le filere vallebelbo|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc le filere vallebelbo|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=177
W|langhe|chardonnay doc langelica rocche dei manzoni|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc langelica rocche dei manzoni|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc laltro pio cesare|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc la ganghija enzo rapalino|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc gresy marchesi di gresy|it|w|chardonnay|marche|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc gaia rey gaja|??|w|chardonnay|??|??|2010|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc fletcher|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc educato elio grasso|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc educato elio grasso|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=186
W|langhe|chardonnay doc educato elio grasso|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=186
W|langhe|chardonnay doc educato elio grasso|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=186
W|langhe|chardonnay doc educato elio grasso|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=186
W|langhe|chardonnay doc de la bosio|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc buschet moccagatta|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc bujet|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc brigata|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc brigata|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=194
W|langhe|chardonnay doc biologico bastia conterno fantino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc bastia 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc asso di fiori braida|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc ampelio fontanafredda|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc walter lodali|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=201
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=201
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=201
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=201
W|langhe|chardonnay doc villa lanata|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=201
W|langhe|chardonnay doc morra gabriele|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc marco capra|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc clavesana|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc clavesana|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=209
W|langhe|chardonnay doc clavesana|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=209
W|langhe|chardonnay doc walter lodali|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|chardonnay doc massolino|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=213
