W|gewurztraminer|hospices|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kefferberg vendanges tardives lucien brand|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kellerei bozen ceslar|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kellerei tramin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kessler grand cru schlumberger|??|w|??|??|??|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kettmeir doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kettmeir doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=37
W|gewurztraminer|klaus lentsch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kloch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kloch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
W|gewurztraminer|kloch|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kolbenhoff hoffstatter|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kosher galil mountain winery|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kossler|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kossler|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=45
W|gewurztraminer|kritt vendanges tardives|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|la foa colterenzio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|la foa colterenzio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=48
W|gewurztraminer|la grappe des oiseaux|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|la jovem|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|la jovem|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=51
W|gewurztraminer|la vigne en rose bio|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gewurztraminer|la vis|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|la vis|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=54
W|gewurztraminer|lacher prise|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lafoa colterenzio|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lafoa sudtirol alto adige|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lafoa alto adige doc colterenzio|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lafoa doc alto adige|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lageder|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lageder|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=61
W|gewurztraminer|lavis|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|le bild bildstoeckle hertzog|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|le petitlullier geneve domaine chateau leveque|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|le tre venezie ponte|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|le tre venezie ponte|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
W|gewurztraminer|lechburg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|legado sais|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leipp leininger alsasko francie polosladke|??|w|??|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leipp leininger alsasko francie polosladke|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leipp leininger grand cru alsasko francie polosladke|??|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leiten|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leiten alto adige doc nals margreid|it|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|leiten sudtirol doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les authentiques domaine hering|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les elements|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les elements|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les elements|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
W|gewurztraminer|les elements|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les folastries|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les folastries domaine josmeyer blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les folastries artist series|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les funambules|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les katz noisette clement klur alsace france|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les princes abbes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les princes abbes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=86
W|gewurztraminer|les princes abbes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=86
W|gewurztraminer|les princes abbes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=86
W|gewurztraminer|les princes abbes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=86
W|gewurztraminer|les princes abbes|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les princes abbes domaines schlumberger|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les pucelles julien meyer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les pucelles|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les pucelles meyer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les roches|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les roches gruss|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les roches aac|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les roches aoc gruss fils|??|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les roches domaine grussfils|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les terres blanches|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les terres de gres|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les traditions|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les treilles du loup domaine weinbach|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lexception vendanges tardives bio|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieblich|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieblich|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=106
W|gewurztraminer|lieblich|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=106
W|gewurztraminer|lieblich|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieblich|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieblich deutscher qualitatswein|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieblich deutscher qualitatswein|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=111
W|gewurztraminer|lieu dit pfoeller gewurztraminer|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieudit graffengritt sec bio vincent stoeffler|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieudit oberberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieudit reifenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|line|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|linea classic famille hugel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|linea classica cantina di caldaro|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|linea estate famille hugel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|linea grossi laue famille hugel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lisbona casa santos lima|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|losslehm fritz walter|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lotterbrunnen doc|??|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare cantina terlano|??|w|??|??|??|2004|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare cantina terlano|??|w|??|??|??|2005|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare cantina terlano|??|w|??|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare cantina terlano|??|w|??|??|??|2007|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare terlan|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare alto adige doc|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare alto adige doc|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare alto adige doc terlan|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lunare terlan|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lune rousse domaine camille braun|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|maceration|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|maceration|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=137
W|gewurztraminer|maceration|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|maceration pierre frick|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|maceration pur vin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mambourg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mambourg grand cru|??|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mambourg grand cru|??|w|??|??|??|2020|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|marcel deiss|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|marckrain|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|marckrain grand cru ribeauville|??|w|??|??|??|2016|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|marlborough sustainable veganfriendly|nz|w|??|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|maso warth moser|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|matraj tramisse ungheria|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|medaille dor colmar 37 cave de beblenheim|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|medaille dor lyon|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|merus alto|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|merus doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|merus doc|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|merus doc|??|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|messnerhof|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mezzacorona|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mezzacorona|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=158
W|gewurztraminer|midelberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mild|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mitterberg igt pacher hof|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|moelleux|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|moelleux orange domaine haegelin|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|monfort doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mont mes mitterberg igt|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|monterey county|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mor a macon|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mor a macon|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|gewurztraminer|movado cantina andrian|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|movado alto adige doc|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|movado alto adige doc|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|muri gries|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|muriel gueth originalsace|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|muschelkalk|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|mycelium|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nals margreid leiten|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nals margreid leiten|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|gewurztraminer|naranjo indigena|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|natur|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nonnengarten trocken pfalz|de|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nos belles rangees|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nuances de neroli paul kubler|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer tramin|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer tramin|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=185
W|gewurztraminer|nussbaumer tramin|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer alto adige tramin|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer cantina tramin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer doc kellerei tramin|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer doc kellerei tramin|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer tramin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|nussbaumer tramin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=192
W|gewurztraminer|orange|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|orange|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|orange kaleidoscope doc cantina valle isarco|??|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|orange wine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|orchidees sauvages alsace blanc bio domaine mure|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|orchidees sauvages domaine mure alsace france|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|origin blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|origin blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|origin blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|oro rosso san matiot trentino doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|ostenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|osterberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|oxydatif grand cru kaefferkopf domaine geschickt|??|w|??|??|??|2016|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|palladium|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pannon tuzko bataapati antinori|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|passito sonus ritterhof|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|pays doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pet nat|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|peter mertes|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pfitscher stoass|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pietramontis|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pige make this your 6th bottle see description|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|praeposit novacella alto adige valle isarco doc 075ltr|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|praeposit novacella alto adige valle isarco doc 075ltr|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=216
W|gewurztraminer|praepositus abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|praepositus abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=218
W|gewurztraminer|praepositus alto adige doc|it|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|praepositus doc kloster neustift|??|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|preiss zimmer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|premium|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|premium|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=223
W|gewurztraminer|premium|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=223
W|gewurztraminer|premium|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|premium|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|premium|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=227
W|gewurztraminer|premium villa vinea|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|princes 075|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|private collection|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pure origin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
