W|camino de|chile limited edition|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet prestige cotes du rhone|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=55
W|calvet prestige cotes du rhone|rhone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet prestige cotes du rhone|rhone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=57
W|calvet prestige|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet prestige|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet prestige|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco|=60
W|calvet prestige|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco|=60
W|calvet grande|metal bordeaux superieur aop 2020|fr|r|??|bordeaux|??|2020|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calvet grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calvet cotes de provence|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet chateauneufdupape aop|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet chateauneuf du pape|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet chateau des jouans|saint emilion|fr|r|??|bordeaux|saint-emilion|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet chateau d jouans st|emilion tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet chablis|branco gran reserve|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|calvet chablis|chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet|bordeaux superior metal tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet|bordeaux prestige 2022 tinto franca|fr|r|??|bordeaux|??|2022|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet|bordeaux grande reserva|fr|r|??|bordeaux|??|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calvet 1818|1818|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia torrontes|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia torrontes|2025 branco argentina|ar|w|??|mendoza|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia torrontes|2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=79
W|callia tardio dulce argentino|argentino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia tardio|blanco dulce 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia syrahmalbec|2025|??|r|malbec|??|??|2025|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrahbonarda|2025|??|r|syrah|??|??|2025|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|callia syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=85
W|callia syrah malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah e cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah bonarda|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah bonarda|bonarda|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah bonarda|bonarda|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=90
W|callia syrah bonarda|bonarda|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=90
W|callia syrah bonarda|bonarda|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=90
W|callia syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=94
W|callia syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=94
W|callia syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=94
W|callia shiraz cabernet|tinto|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia shiraz bonarda|tinto|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia|rose syrah argentino|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|callia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|callia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=101
W|callia pinot grigio|branco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia pinot grigio|branco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=103
W|callia pinot grigio|branco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=103
W|callia pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=107
W|callia malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=107
W|callia malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=107
W|callia malbec|2025|??|r|malbec|??|??|2025|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|2024 tinto argentina|ar|r|malbec|mendoza|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=116
W|callia dulce|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia chardonnay|2024 branco argentina|ar|w|chardonnay|mendoza|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia cabernet sauvignon|2024 tinto argentina|ar|r|cabernet sauvignon|mendoza|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=123
W|callia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=123
W|callia cabernet sauvignom|sauvignom|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta torrontes 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta syrah|rose 1x|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|callia alta syrah e bonarda|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta shiraz tto 1x|1x|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callia alta malbec1x|malbec1x|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callia alta chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|callejon del crimen unico|unico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callejon del crimen chardonnay|branco 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calle|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callabriga|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callabriga|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=138
W|callabriga|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callabriga|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|callabriga|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|callabriga casa ferreirinha|ferreirinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|caliterra tributo|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|caliterra tributo|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra tributo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra|syrah rose|??|p|syrah|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|caliterra|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|caliterra|merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=156
W|caliterra|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caliterra|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=158
W|caliterra petreo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra petreo carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra edicion limitada|limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caliterra cenit|cenit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=164
W|califortune tres uvas|uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=167
W|califortune moscato|branco doce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|califortune merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|califortune cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=171
W|californiano|tinto woodbridge zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|californiano|tinto woodbridge zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=173
W|californiano punto maximo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|californiano members mark zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|californiano locatour cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|californiano halstead vineyards pinot noir|2014|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calicanto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calibre|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calibre|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caleo|tinto salento primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo|tinto nero d avola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo|tinto negroamaro di salento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo|tinto montepulciano dabruzzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo sicilia nero d avola|avola|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo salento|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo di|manduria tto 1x|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo di|manduria tinto italiano grf|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco|=191
W|caleo primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco|=191
W|caleo pinot grigio delle venezie italiano garrafa|garrafa|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caleo pinot grigio bco 1x|1x|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caleo pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caleo pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=196
W|caleo pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=196
W|caleo nero davola|davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo nero d avola italiano sicilia|igt garrafa|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo nero d avola|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo nero d avola|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=201
W|caleo negroamaro salento|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo montepulciano d abruzzo|doc italiano grf|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo montepulciano d abruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo montepulciano d abruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=205
W|caleo italiano primitivo|manduria tinto|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|caleo d abruzzo montepulciano|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calem vintage|2020 0|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calem vintage|2019 0|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calem|tawny 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|calem lbv|2015 0|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calem 20 anos 0 com 2 calices|calices|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calem 20 anos 0 caixa individual|individual|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora yume tre autoctoni|autoctoni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora yume montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora yume montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=216
W|caldora trebbiano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora sangiovese|tinto|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora sangiovese|igt|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora sangiovese|igt|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=220
W|caldora sangiovese|igt|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=220
W|caldora sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora montepulciano dabruzzo|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora montepulciano dabruzzo|doc 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caldora montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
