1. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco
41. W|aurelia visinescu|artisan feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=37
42. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
43. W|aurelia visinescu|artisan tamaioasa romaneasca|ro|w|tamaioasa romaneasca|??|??|NV|12.5|??|leve|aperitivos, queijos, sobremesas leves|seco
44. W|aurelia visinescu|artisan tamaioasa romaneasca|ro|w|tamaioasa romaneasca|??|??|NV|12.5|??|leve|aperitivos, queijos, sobremesas leves|seco|=43
45. W|aurelia visinescu|artisan tamaioasa romaneasca|ro|w|tamaioasa romaneasca|??|??|NV|12.5|??|leve|aperitivos, queijos, sobremesas leves|seco|=43
46. W|aurelia visinescu|artisan white|ro|w|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco
47. W|aurelia visinescu|karakter cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
48. W|aurelia visinescu|karakter cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=47
49. W|aurelia visinescu|karakter cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=47
50. W|aurelia visinescu|karakter chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco
51. W|aurelia visinescu|karakter chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco|=50
52. W|aurelia visinescu|karakter rose|ro|p|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco
53. W|aurelia visinescu|karakter rose|ro|p|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=52
54. W|aurelia visinescu|karakter rose|ro|p|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=52
55. W|aurelia visinescu|karakter sauvignon blanc|ro|w|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco
56. W|aurelia visinescu|karakter sauvignon blanc|ro|w|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco|=55
57. W|aurelia visinescu|karakter sauvignon blanc|ro|w|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco|=55
58. W|aurelia visinescu|nomad cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
59. W|aurelia visinescu|nomad cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=58
60. W|aurelia visinescu|nomad feteasca alba|ro|w|feteasca alba|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco
61. W|aurelia visinescu|nomad feteasca alba|ro|w|feteasca alba|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=60
62. W|aurelia visinescu|nomad feteasca alba|ro|w|feteasca alba|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=60
63. W|aurelia visinescu|nomad feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
64. W|aurelia visinescu|nomad feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=63
65. W|aurelia visinescu|nomad feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=63
66. W|aurelia visinescu|nomad feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=63
67. W|aurelia visinescu|nomad feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=63
68. W|aurelia visinescu|nomad feteasca regala|ro|w|feteasca regala|??|??|NV|12.5|??|leve|saladas, peixes, queijos|demi-sec
69. W|aurelia visinescu|nomad feteasca regala|ro|w|feteasca regala|??|??|NV|12.5|??|leve|saladas, peixes, queijos|demi-sec|=68
70. W|aurelia visinescu|nomad merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
71. W|aurelia visinescu|nomad merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=70
72. W|aurelia visinescu|nomad merlot|ro|r|merlot|??|??|2018|13.5|??|medio|carne vermelha, massas, queijo|seco
73. W|aurelia visinescu|nomad pinot grigio|ro|w|pinot grigio|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco
74. W|aurelia visinescu|nomad pinot grigio|ro|w|pinot grigio|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco|=73
75. W|aurelia visinescu|nomad pinot noir|ro|r|pinot noir|??|??|NV|13.5|??|medio|aves, carne branca, queijo|seco
76. W|aurelia visinescu|nomad pinot noir|ro|r|pinot noir|??|??|NV|13.5|??|medio|aves, carne branca, queijo|seco|=75
77. W|aurelia visinescu|nomad rose|ro|p|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco
78. W|aurelia visinescu|nomad rose|ro|p|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=77
79. W|aurelia visinescu|nomad sauvignon blanc|ro|w|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco
80. W|aurelia visinescu|nomad sauvignon blanc|ro|w|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, frutos do mar, queijos|seco|=79
81. W|aurelia visinescu|nomad syrah rose|ro|p|syrah|??|??|NV|13|??|medio|saladas, carne branca, queijo|seco
82. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=42
83. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=42
84. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=42
85. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=42
86. W|aurelia visinescu|artisan red|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=42
87. W|aurelia visinescu|signature|ro|r|feteasca neagra|??|??|2016|14|doc|encorpado|carne vermelha, cordeiro, queijo|seco
88. W|aurelia visinescu|signature feteasca neagra|ro|r|feteasca neagra|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco|=87
89. W|aurelia visinescu|signature feteasca neagra|ro|r|feteasca neagra|??|??|2016|14|doc|encorpado|carne vermelha, cordeiro, queijo|seco|=87
90. W|aurelia visinescu|signature feteasca neagra|ro|r|feteasca neagra|??|??|2016|14|doc|encorpado|carne vermelha, cordeiro, queijo|seco|=87
91. W|aurelia visinescu|signature feteasca neagra|ro|r|feteasca neagra|??|??|2016|14|doc|encorpado|carne vermelha, cordeiro, queijo|seco|=87
92. W|aurelia visinescu|artisan white|ro|w|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=46
93. W|aurelia visinescu|artisan white|ro|w|??|??|??|2020|12.5|??|leve|saladas, peixes, queijos|seco
94. W|aurelia visinescu|artisan white|ro|w|??|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco|=46
95. W|aurelie|aurelie|??|??|??|??|??|NV|??|??|??|??|??
96. W|aurelie berthod|beaune 1er cru belissand|fr|r|pinot noir|burgundy|beaune|2022|13|1er cru|medio|aves, carne branca, queijo|seco
97. W|aurelie berthod|bourgogne aligote|fr|w|aligote|burgundy|??|2021|12.5|aoc|leve|saladas, frutos do mar, queijos|seco
98. W|aurelie berthod|chorey les beaune|fr|r|pinot noir|burgundy|chorey les beaune|2021|13|aoc|medio|aves, carne branca, queijo|seco
99. W|aurelie berthod|hautes cotes de beaune rouge|fr|r|pinot noir|burgundy|hautes cotes de beaune|2021|13|aoc|medio|aves, carne branca, queijo|seco
100. W|aurelie berthod|pernand vergelesses 1er cru creux de la net blanc|fr|w|chardonnay|burgundy|pernand vergelesses|2022|13|1er cru|medio|frutos do mar, aves, queijo|seco
101. W|aurelie berthod|pernand vergelesses 1er cru les fichots|fr|r|pinot noir|burgundy|pernand vergelesses|2021|13|1er cru|medio|aves, carne branca, queijo|seco
102. W|aurelie berthod|pernand vergelesses blanc|fr|w|chardonnay|burgundy|pernand vergelesses|2022|13|aoc|medio|frutos do mar, aves, queijo|seco
103. W|aurelie berthod|pernand vergelesses sous les cloux|fr|r|pinot noir|burgundy|pernand vergelesses|2022|13|aoc|medio|aves, carne branca, queijo|seco
104. W|aurelie et fabien romany|beaujolais|fr|r|gamay|beaujolais|beaujolais|2022|13|aop|medio|charcutaria, aves, queijo|seco
105. W|aurelie et fabien romany|beaujolais|fr|r|gamay|beaujolais|beaujolais|2022|13|aop|medio|charcutaria, aves, queijo|seco|=104
106. W|aurelie et fabien romany|beaujolais|fr|r|gamay|beaujolais|beaujolais|2022|13|aop|medio|charcutaria, aves, queijo|seco|=104
107. W|aurelie et fabien romany|beaujolais|fr|r|gamay|beaujolais|beaujolais|2022|13|aop|medio|charcutaria, aves, queijo|seco|=104
108. W|dornach|aurelie macerato 52|it|w|??|trentino-alto adige|vigneti delle dolomiti|2022|13|??|medio|queijos, aves, frutos do mar|seco
109. W|dornach|aurelie macerato gewurztraminer|it|w|gewurztraminer|trentino-alto adige|vigneti delle dolomiti|NV|13|??|medio|queijos, aves, frutos do mar|seco
110. W|dornach|aurelie pinot nero sedimento|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2022|13|??|medio|aves, carne branca, queijo|seco
111. W|dornach|aurelie pinot nero sedimento|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2022|13|??|medio|aves, carne branca, queijo|seco|=110
112. W|dornach|aurelie pinot nero sedimento|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2022|13|igt|medio|aves, carne branca, queijo|seco|=110
113. W|dornach|aurelie pinot nero vulcano|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2021|13|??|medio|carne vermelha, aves, queijo|seco
114. W|dornach|aurelie pinot nero vulcano|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2021|13|??|medio|carne vermelha, aves, queijo|seco|=113
115. W|dornach|aurelie pinot nero vulcano|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2022|13|igt|medio|carne vermelha, aves, queijo|seco
116. W|aurelie et fabien romany|beaujolais|fr|r|gamay|beaujolais|beaujolais|2022|13|aop|medio|charcutaria, aves, queijo|seco|=104
117. X
118. W|aurelie vic|la balade minervois|fr|r|??|languedoc|minervois|2023|13.5|aoc|medio|carne vermelha, massas, queijo|seco
119. W|aurelie vic|la balade montpeyroux|fr|r|??|languedoc|minervois|2016|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
120. W|aurelie vic|le long chemin chardonnay|fr|w|chardonnay|languedoc|limoux|2023|13|aoc|medio|frutos do mar, aves, queijo|seco
121. W|aurelie vic|le long chemin limoux|fr|r|??|languedoc|limoux|2018|13.5|aoc|medio|carne vermelha, massas, queijo|seco
122. W|aurelie vic|picpoul de pinet la decouverte|fr|w|picpoul|languedoc|picpoul de pinet|NV|12.5|aoc|leve|frutos do mar, saladas, queijos|seco
123. W|aurelie vic|picpoul de pinet la decouverte|fr|w|picpoul|languedoc|picpoul de pinet|NV|12.5|aoc|leve|frutos do mar, saladas, queijos|seco|=122
124. W|aurelie vic|terrasses du larzac|fr|r|??|languedoc|terrasses du larzac|2020|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
125. W|dornach|aurelie vulcano 51|it|r|pinot nero|trentino-alto adige|vigneti delle dolomiti|2022|13|??|medio|aves, carne branca, queijo|seco
126. W|aurelie|zero dosage|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, queijos|brut nature
127. W|aurelien burgaud|grignette beaujolais villages|fr|r|gamay|beaujolais|beaujolais villages|2022|13|aoc|medio|charcutaria, aves, queijo|seco
128. W|aurelien chatagnier|le cret louison|fr|r|syrah|rhone|collines rhodaniennes|2015|13.5|igp|medio|carne vermelha, massas, queijo|seco
129. W|aurelien chatagnier|le cret louison|fr|r|syrah|rhone|collines rhodaniennes|2016|13.5|igp|medio|carne vermelha, massas, queijo|seco
130. W|aurelien chatagnier|les mortars|fr|r|syrah|rhone|collines rhodaniennes|2017|13.5|igp|medio|carne vermelha, massas, queijo|seco
131. W|aurelien chatagnier|le guilleret|fr|r|syrah|rhone|collines rhodaniennes|2022|13.5|igp|medio|carne vermelha, massas, queijo|seco
132. W|aurelien chatagnier|syrah|fr|r|syrah|rhone|collines rhodaniennes|2018|13.5|igp|medio|carne vermelha, massas, queijo|seco
133. W|aurelien chatagnier|syrah|fr|r|syrah|rhone|collines rhodaniennes|2019|13.5|igp|medio|carne vermelha, massas, queijo|seco
134. W|aurelien chatagnier|condrieu|fr|w|viognier|rhone|condrieu|2017|14|aoc|medio|frutos do mar, aves, queijo|seco
135. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2015|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
136. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2015|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=135
137. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2016|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
138. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2016|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=137
139. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2017|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
140. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2018|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
141. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2019|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
142. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2021|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
143. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|2022|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
144. W|aurelien chatagnier|cote rotie|fr|r|syrah|rhone|cote rotie|2016|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
145. W|aurelien chatagnier|cote rotie|fr|r|syrah|rhone|cote rotie|2018|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
146. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2021|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
147. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2018|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
148. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2021|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=146
149. W|aurelien chatagnier|le cret louison|fr|r|syrah|rhone|collines rhodaniennes|2021|13.5|igp|medio|carne vermelha, massas, queijo|seco
150. W|aurelien chatagnier|le cret louison|fr|r|syrah|rhone|collines rhodaniennes|2018|13.5|igp|medio|carne vermelha, massas, queijo|seco
151. W|aurelien chatagnier|le guilleret|fr|r|syrah|rhone|collines rhodaniennes|2022|13.5|igp|medio|carne vermelha, massas, queijo|seco|=131
152. W|aurelien chatagnier|saint joseph blanc|fr|w|marsanne, roussanne|rhone|saint joseph|NV|13|aoc|medio|frutos do mar, aves, queijo|seco
153. W|aurelien chatagnier|saint joseph|fr|r|syrah|rhone|saint joseph|2015|13.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
154. W|aurelien chatagnier|saint joseph|fr|r|syrah|rhone|saint joseph|2017|13.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
155. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2021|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=146
156. W|aurelien chatagnier|saint joseph rouge|fr|r|syrah|rhone|saint joseph|2017|13.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
157. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2018|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=147
158. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2020|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
159. W|aurelien chatagnier|saint joseph blanc|fr|w|marsanne, roussanne|rhone|saint joseph|2022|13|aoc|medio|frutos do mar, aves, queijo|seco
160. W|aurelien chatagnier|saint joseph la sybarite|fr|r|syrah|rhone|saint joseph|2021|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco|=146
161. W|aurelien chatagnier|syrah|fr|r|syrah|rhone|collines rhodaniennes|NV|13.5|igp|medio|carne vermelha, massas, queijo|seco
162. W|aurelien chatagnier|syrah|fr|r|syrah|rhone|collines rhodaniennes|NV|13.5|igp|medio|carne vermelha, massas, queijo|seco|=161
163. W|aurelien chatagnier|cornas|fr|r|syrah|rhone|cornas|NV|14.5|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
164. W|aurelien chirat|chays doeuvre|fr|w|roussanne, marsanne|rhone|saint joseph|2023|13.5|aoc|medio|frutos do mar, aves, queijo|seco
165. W|aurelien chirat|la rose brune|fr|r|syrah|rhone|cote rotie|2021|14|aoc|encorpado|carne vermelha, cordeiro, queijo|seco
166. W|aurelien clement|les ombelles|fr|s|??|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
167. W|aurelien et charlotte houillon|cinsault|fr|r|cinsault|??|??|2022|12.5|??|leve|charcutaria, aves, queijo|seco
168. W|aurelien lemaire|la guiguette|fr|s|??|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
169. W|aurelien lemaire|la guinguette|fr|s|??|champagne|??|2022|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
170. W|aurelien lemaire|la guinguette|fr|s|??|champagne|??|2022|12|aoc|medio|aperitivos, frutos do mar, queijos|brut|=169
171. W|aurelien lemaire|la guinguette|fr|s|??|champagne|??|2022|12|aoc|medio|aperitivos, frutos do mar, queijos|brut|=169
172. W|aurelien lemaire|la trempette|fr|s|??|champagne|??|2019|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
173. W|aurelien lemaire|la trempette|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
174. W|aurelien lemaire|les terres jaunes|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
175. W|aurelien lemaire|les terres jaunes|fr|s|??|champagne|??|2021|12|aoc|medio|aperitivos, frutos do mar, queijos|brut
176. W|aurelien lurquin|crayeres du levant|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut nature
177. W|aurelien lurquin|forcieres|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut nature
178. W|aurelien lurquin|les taverses|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut nature
179. W|aurelien lurquin|les traverses|fr|w|chardonnay|champagne|??|2019|12.5|??|medio|frutos do mar, aves, queijo|seco
180. W|aurelien lurquin|les crayeres du levant|fr|s|pinot meunier|champagne|??|2015|12|aoc|medio|aperitivos, frutos do mar, queijos|brut nature
181. W|aurelien lurquin|les crayeres du levant a letat pur|fr|s|??|champagne|??|2020|12|aoc|medio|aperitivos, frutos do mar, queijos|brut nature
182. W|aurelien petit|blossom steward|za|??|??|??|??|2024|??|??|??|??|??
183. W|aurelien petit|oosterland 1688|za|??|??|??|??|2024|??|??|??|??|??
184. W|aurelien petit|reisende siel|za|??|??|??|??|2024|??|??|??|??|??
185. W|aurelien petit|renosterblom|za|??|??|??|??|2024|??|??|??|??|??
186. W|aurelien revillot|bourgueil grand mont|fr|r|cabernet franc|loire|bourgueil|2017|13|aoc|medio|carne vermelha, charcutaria, queijo|seco
187. W|aurelien revillot|bourgueil les aubuis|fr|r|cabernet franc|loire|bourgueil|2020|13|aoc|medio|carne vermelha, charcutaria, queijo|seco
188. W|aurelien revillot|bourgueil sur les hauts|fr|r|cabernet franc|loire|bourgueil|2020|13|aoc|medio|carne vermelha, charcutaria, queijo|seco
189. W|aurelien revillot|bourgueil sur les hauts|fr|r|cabernet franc|loire|bourgueil|2021|13|aoc|medio|carne vermelha, charcutaria, queijo|seco
190. W|aurelien revillot|grand mont|fr|r|cabernet franc|loire|bourgueil|NV|13|??|medio|carne vermelha, charcutaria, queijo|seco
191. W|aurelien revillot|le clos|fr|r|cabernet franc|loire|bourgueil|NV|13|??|medio|carne vermelha, charcutaria, queijo|seco
192. W|aurelien revillot|les aubuis|fr|r|cabernet franc|loire|bourgueil|NV|13|??|medio|carne vermelha, charcutaria, queijo|seco
193. W|aurelien revillot|bourgueil sur les hauts|fr|r|cabernet franc|loire|bourgueil|2020|13|aoc|medio|carne vermelha, charcutaria, queijo|seco|=188
194. W|aurelien suenen|cc grand cru blanc de blancs|fr|s|chardonnay|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
195. W|aurelien suenen|cc grand cru blanc de blancs|fr|s|chardonnay|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut|=194
196. W|aurelien suenen|cc grand cru|fr|s|chardonnay|champagne|??|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut|=194
197. W|aurelien suenen|la grande vigne|fr|s|chardonnay|champagne|??|2018|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
198. W|aurelien suenen|oiry grand cru|fr|s|chardonnay|champagne|oiry|NV|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
199. W|aurelien suenen|les robarts|fr|s|chardonnay|champagne|cramant|2018|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
200. W|aurelien suenen|les robarts|fr|s|chardonnay|champagne|cramant|2017|12|aoc|medio|aperitivos, frutos do mar, queijos|extra brut
