W|grove selections|pomegranate red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grower|champagne eglyouriet brut grand cru millesime|fr|s|??|champagne|??|2006|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne eglyouriet brut grand cru millesime|fr|s|??|champagne|??|2006|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=112
W|grower|champagne eglyouriet brut tradition grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne eglyouriet premier cru brut les vignes de vrigny|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne eglyouriet premier cru les vignes de vrigny|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne eglyouriet vp extra brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grower|champagne eric rodez cuvee de crayeres ambonnay grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne experience|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne experience|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=119
W|grower|champagne franck bonville nv grand cru blanc de blancs brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne franck bonville nv grand cru rose brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne francois lecompte brut millesime|fr|s|??|champagne|??|2008|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne francois lecompte brut millesime|fr|s|??|champagne|??|2009|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne francois lecompte brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne francoise bedel cuvee dis vin secret brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
X
X
W|grower|champagne guiborat tradition grand cru extra brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grower|champagne guiborat tradition grand cru extra brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut|=129
W|grower|champagne guy brunot grand reserve brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne h goutorbe nv prestige premier cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne hubert paulet premier cru brut tradition|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne jeaunauxrobin grande tradition extra brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grower|champagne lelargepugeot quintessence brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne lombard nv premier cru rose extra brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grower|champagne louis dousset original|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne master selection from artisan producers|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne pascal lallement premier cru brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne pascal ponson brut prestige premier cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne paul dethune grand cru blanc de noirs brut nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne paul dethune grand cru blanc de noirs extra brut nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|grower|champagne paul dethune grand cru brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne paul dethune grand cru brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=143
W|grower|champagne paul dethune nv grand cru brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne pierre paillard grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne rh coutier grand cru brut millesime|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne robert moncuit grand cru blanc de blancs|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne ruellepertois duo emotion premier cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne serge mathieu brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne smagekasse|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne soutiran nv signature grand cru brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne tasting pack|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne testulat nv carte dor blanc de noirs brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|champagne two pack|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grower|champagne two pack|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=155
W|grower|champagne veuve fourny fils nv blanc de blancs extrabrut premier cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grower|project the source sangiovese texas usa|us|r|sangiovese|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grower|you should know jerome blin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grower|you should know pehu simonet 3pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|blend cabernet franc tawse winery|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|blend cabernet franc tawse winery|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=161
W|growers|blend pinot noir tawse winery|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|blend pinot noir tawse winery|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|growers|club sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|garlic peanut 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|garlic peanut 8g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|growers|gate brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=168
W|growers|gate brut cuvee crown nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|growers|gate brut cuvee nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|growers|gate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|growers|gate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|growers|gate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=176
W|growers|gate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=176
W|growers|gate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=176
W|growers|gate chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|growers|gate moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|growers|gate moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|growers|gate moscato|??|r|moscato|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate nv brut cuvee|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|growers|gate pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=187
W|growers|gate pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|growers|gate rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=190
W|growers|gate rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=190
W|growers|gate rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=190
W|growers|gate rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|growers|gate sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=195
W|growers|gate sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=195
W|growers|gate sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|gate shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|growers|gate shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|growers|gate shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate south australia cabernet sauvignon australia|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|gate south australia shiraz australia|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild cabernet sauvignon columbia valley|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild red blend columbia valley|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild sharecropper pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild syrah columbia valley|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild wine cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|guild wine co pinot noir or|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|hickory smoked barbeque almonds 80g 282oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|mark bone dry riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|mark sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard gisborne chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard gisborne chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard gisborne chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard gisborne pinot noir rose|??|p|pinot noir|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|growers|mark single vineyard gisborne pinot rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|growers|mark single vineyard marlborough pinot gris|nz|w|pinot gris|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard marlborough pinot gris|nz|w|pinot gris|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|growers|mark single vineyard marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|mark single vineyard marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|mark single vineyard marlborough pinot noir|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|growers|mark single vineyard marlborough pinot noir|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
