W|larousse|gastronomique en espanol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larose de|trintaudon rouge|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|6 pack|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|6 pack|??|p|??|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larose|6 pack|??|p|??|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larosalacapitana|carmenere gran reserva|??|r|carmenere|??|??|2023|13.5|gran reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|saintemilion grand cru classe|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroque|saintemilion grand cru classe|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroque|saintemilion|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|pinot noir red wine|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|pinot noir cite de caracassonne|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=32
W|laroque|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=32
W|laroque|half|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|dantan nigrine2022|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|dantan nigrine|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|dantan nigrine|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|dantan nephele|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|dantan nephele|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|cite de carcassonne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|cite de carcassonne france cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|cite de carcassonne chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroque|cite de carcassonne chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=43
W|laroque|cite de carcassonne cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|chardonnay cite de carcassonne|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroque|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroque|carcassonne rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|carcassonne cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|cabernet franc carcassonne|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|cabernet franc carcassonne|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroque|cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=52
W|laroque|laroque|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|cb6 stemilion|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|laroque|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|cb6 stemilion|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|cb6 mag stemilion|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|st emilion|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|st emilion|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|laroque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroque|laroque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=61
W|laroque|laroque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=61
W|larome|antique bois de vigne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|syrahgrenache de la chevaliere 075|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroche|syrah grenache de la chevaliere bor|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroche|st martin chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|saint martin chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|saint martin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|rose la chevaliere|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laroche|rose de la chevaliere bor|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laroche|rose de la chevaliere 075|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laroche|reserve pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|reserve chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|reserve chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco|=74
W|laroche|reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|laroche|reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|laroche|pinot noir la chevaliere pays doc red dry 125 075|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|pinot noir la chevaliere|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|pinot noir de la chevaliere bor|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|petite chablis|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|petit chablis screw cap 12 bottles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|petit chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|mas la chevaliere rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laroche|mas la chevaliere chardonnay 23|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|mas la chevaliere cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|mas la chevaliere|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|mas la cheval cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroche les|fourchaume vielles vignes chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche les|chanoines chablis|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche le|petit chardonnay pays doc white dry 95 075|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche le|petit chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche la|chevaliere viognier|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche la|chevaliere rose|??|p|??|??|??|2019|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laroche la|chevaliere pinot noir igp pays doc|??|r|pinot noir|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|laroche la|chevaliere chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche la|chevaliere chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche la|chevaliere chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=99
W|laroche la|chevalerie pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chardonnay la chevaliere 075|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay la chevaliere|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay l languedoc igp dry white bag in box|fr|w|chardonnay|languedoc|??|NV|12.5|igp|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay de la chevaliere bor|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay branco|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay 6 bottles|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chablis vaudevey premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis vaucoupins premier cru 6 bottles|??|r|??|??|??|2022|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis st martin screw cap 6 bottles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis st martin 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis saint martin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis saint martin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis saint martin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|laroche|chablis premier cru lessence des climats|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis premier cru les fourchaumes 075|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis lessence des climats premier cru screw cap 6 bottles|??|r|??|??|??|2024|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les vaudevey premier cru 6 bottles|??|r|??|??|??|2022|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les clos grand cru 1mag|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les chanoines 6 bottles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les chanoines|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les chanoines|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les chanoines|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les chanoines|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=125
W|laroche|chablis les bougerots gran cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis les blanchots grand cru reserve de lobedience|??|r|??|??|??|2014|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis grand cru les clos|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis grand cru les blanchots|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis fourchaume old vignes premier cru 6 bottles|??|r|??|??|??|2021|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis chablis saint martin|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis beauroys premier cru 6 bottles|??|r|??|??|??|2021|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis 1er cru mont de milieu|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis 1er cru les beauroys|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis 1er cru la chantrerie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|cabernet sauvignon mas la chevaliere|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laroche|bourgogne reserve|fr|r|??|bourgogne|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|boraszat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|biologique pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laroche|biologique le petit chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|biologique le petit chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|biologique chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laroche|chablis grand cru les blanchots|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis grand cru les blanchots reserve de lobedience|??|r|??|??|??|1998|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laroche|chablis grand cru bouguerots|??|r|??|??|??|1986|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|laro|placemats and coasters red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnot|negre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnot|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnook|blewitt springs grenache|??|r|grenache|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnook|blewitt springs grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larner|vineyard transverse santa barbara syrah organic|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larner|vineyard syrah reserve|??|r|syrah|??|??|2010|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larner|vineyard syrah larner vineyard|??|r|syrah|??|??|2011|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larner|vineyard syrah larner vineyard|??|r|syrah|??|??|2010|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larner|vineyard syrah larner vineyard|??|r|syrah|??|??|2009|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larnaudie|hirault coteaux champenois|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnaudie|hirault coteaux champenois|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=158
W|larnaudie|goose foie gras jar jurancon|fr|r|??|jura|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnaudie|goose bloc foie gras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larnaude|mediterranee rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmoni|rose igp atlantique|??|p|??|??|??|2024|12.5|igp|leve|saladas; peixes grelhados; massas leves|seco
W|larmoni|blanc moelleux|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmoni|larmoni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|dupeyrou|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|dupeyrou|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=166
W|larmes|dhestia vin moelleux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|des fees|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|des fees|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=169
W|larmes de|sangliers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes de|licorne vin doux assemblage blanc aoc vaud|??|r|??|??|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|larmes de|licorne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes de|divona rose brut nature amaury beaufort|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmes|dautomne 22 domaine du peyrou|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|dautomne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmes|celestes pacherenc du vic bilh doux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larme|pourpre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmatore|bio docg durio adriano|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|vino rosato vizio di famiglia|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmangia|vendemmia tardiva mesicaseu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|trevlig kombobox|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|titon nizza docg|??|r|??|??|??|2019|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|titon nizza docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|spaccavento moscato dasti|??|w|moscato|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|spaccavento moscato|??|w|moscato|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|sopra berruti barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|sopra berruti|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|piemonte doc chardonnay robi robi|it|w|chardonnay|piemonte|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|piemonte doc chardonnay non|it|w|chardonnay|piemonte|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|piemonte doc albarossa macchiaferro|it|r|??|piemonte|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|nizza barbera asti superiore titon|??|r|barbera|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|moscato dasti docg canelli|??|w|moscato|??|??|NV|12.5|docg|medio|peixes; frutos do mar; aves|seco
W|larmangia|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|medio|peixes; frutos do mar; aves|seco
W|larmangia|moscato dasti|??|w|moscato|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|monferrato doc bianco enneenne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|enne enne monferrato bianco doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmangia|chardonnay legno robirobi|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larmangia|barbera nizza docg titon|??|r|barbera|??|??|NV|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|barbera nizza docg riserva vignali|??|r|barbera|??|??|NV|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|barbera dasti docg sopra berruti|??|r|barbera|??|??|NV|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|encorpado|carnes vermelhas; massas; queijos|seco
W|larmangia|alta langa doc bianco brut lorenzomariasole metodo classico|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandierbernier|vieilles vignes du levant grand cru extra brut|??|s|??|??|??|2010|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|vieille vigne du levant grand cru extra brut|??|s|??|??|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|vieille vigne du levant grand cru extra brut|??|s|??|??|??|2014|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut|=205
W|larmandierbernier|vieille vigne du levant grand cru extra brut|??|s|??|??|??|2011|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|vieille vigne du levant grand cru|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|vieille vigne du levant grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|vieille vigne du levant extra brut millesime|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|vieille vigne du levant|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|vieille vigne du levant|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vertus premier cru non dose blanc de blancs|??|r|??|??|??|2017|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vertus premier cru brut nature millesime|??|s|??|??|??|2017|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandierbernier|terre de vertus premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vertus blanc de blancs premier cru nondose champagne|fr|s|??|champagne|??|2015|12|premier cru|leve|aperitivos; frutos do mar; canapes|seco
W|larmandierbernier|terre de vertus blanc de blancs premier cru nondose|??|r|??|??|??|2017|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vertus blanc de blancs premier cru nondose 1|??|r|??|??|??|2009|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vertier cru|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de verter cru blanc de blancs non dose|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandierbernier|terre de vert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=221
W|larmandierbernier|rose de saignee premier cru extra brut wa96v95js93|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee premier cru extra brut|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee extra brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee extra brut 1er cru|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandierbernier|rose de saignee champagne 1er cru extra brut|fr|s|??|champagne|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
