W|gevrey|chambertin domaine robert philippe|fr|r|??|bourgogne|gevrey chambertin|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bio|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bio la justice domaine leymariececi|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bossieres cru domaine harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bouchard p f burgundy france|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin bourgogne ids|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin brunelle domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin burgund|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cazetiers cru lucien le moine|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cazetiers premier crucote de nuits|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin champerrier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin champerrier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|gevrey|chambertin champs chenys domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin chateau laborde|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin chazieres|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin chazieres|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gevrey|chambertin clos de meixvelle pierre gelin|fr|r|??|bourgogne|gevrey chambertin|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos de meixvelle monopole domaine pierre gelin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos des meix des ouches domaine des varoilles|fr|r|??|bourgogne|gevrey chambertin|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos du chateau armand rousseau|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos du fonteny domaine bruno clair|fr|r|??|bourgogne|gevrey chambertin|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur aoc drouhin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur bas domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos prieur bas domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos st jacques cru|fr|r|??|bourgogne|gevrey chambertin|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos st jacques cru|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos village domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin clos village domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin combe du dessus domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin combotts mags george lignier|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cote de nuits|fr|r|??|bourgogne|gevrey chambertin|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cote de nuits|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cote de nuits|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin creux brouillard|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin creux brouillard belleville|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee alexandrine|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee alexandrine|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee alexis|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee bertin domaine lignier michelot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee bertin domaine lignier michelot|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee bertin domaine lignier michelot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee bertin domaine lignier michelot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|gevrey|chambertin cuvee de champs chenys domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee de champs chenys domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee de clos prieur bas domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee de la brunelle domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee de tres vieilles vignes arnaud mortet|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee ostrea|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee ostrea domaine trapet burgundy france|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin cuvee pere galland|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin de la brunelle domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin deree chateau laborde|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin dix climats|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin dom lucien boillot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine chanson|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine chanson|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|gevrey|chambertin domaine chanson|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|gevrey|chambertin domaine coillot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine gallois burgundy france|fr|r|??|bourgogne|gevrey chambertin|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine geantet pansiot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine geantet pansiot|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gevrey|chambertin domaine harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine joseph roty frankrijk bourgogne rood|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine joseph roty burgundy france|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine michel magnien les seuvrees vv|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine rebourseau henri|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine rebourseau henri|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine taupenot merme|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine taupenotmerme|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine thierry mortet vigne belle bio|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine vougeraie|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine vougeraie 1|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin domaine vougeraie 1|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en billard|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en billard domaine jerome galeyrand|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champ domaine maxime cheurlin noellat|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs domaine aymon|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs domaine livera domaine des tilleuls|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs domaine livera domaine des tilleuls|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en champs philippe livera|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en creot thibault liger bel air|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en jouise domaine harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en pallud|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en vosne domaine derain|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin en vosne domaine derain|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|gevrey|chambertin en vosne domaine derain|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|gevrey|chambertin en vosne domaine derain saint aubin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin evocelles domaine livera domaine des tilleuls|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin evocelles domaine livera domaine des tilleuls|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin evocelles domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin evocelles domaine livera domaine des tilleuls 1|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin frederic leprince|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin georges lignier et fils|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin georges ligniers|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin goulots 1 cru chateau laborde|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin guillot vigneron|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ier cru ac aux combottes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin jecris ton nom|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin jecris ton nom|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|gevrey|chambertin justice des seuvrees perrot minot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin kei shiogai|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin ko domaine huguenot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la brunelle domaine rebourseau henri|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice domaine jerome galeyrand|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=152
W|gevrey|chambertin la justice selection nouvelle cave|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice charlopin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la justice domaine gerard seguin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la platiere michel gros|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin la platiere michel gros|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|gevrey|chambertin lavaux saint jacques cru domaine harmandgeoffroy|fr|r|??|bourgogne|gevrey chambertin|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin lavaux st jaques|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin lavaux st jaques|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|gevrey|chambertin leon amiot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin leon amiot elegant bourgogne rdvin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les champeaux cru|fr|r|??|bourgogne|gevrey chambertin|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les champeaux domaine denis mortet|fr|r|??|bourgogne|gevrey chambertin|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les champeaux domaine tortochot|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les combottes cru|fr|r|??|bourgogne|gevrey chambertin|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les combottes cru|fr|r|??|bourgogne|gevrey chambertin|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les combottes cru|fr|r|??|bourgogne|gevrey chambertin|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les corvees|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les corvees domaine tortochot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les corvees domaine tortochot|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=171
W|gevrey|chambertin les crais|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les crais jm guillon|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les crais domaine huguenot|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gevrey|chambertin les evocelles|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
