1. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco
64. W|gaja|brunello di montalcino rennina|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=63
65. W|gaja|brunello di montalcino rennina|it|r|sangiovese|toscana|montalcino|2013|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
66. W|gaja|brunello di montalcino rennina|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
67. W|gaja|brunello di montalcino psr sugarille|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
68. W|gaja|brunello di montalcino psr sugarille|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=67
69. W|gaja|brunello di montalcino psr rennina|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
70. W|gaja|brunello di montalcino pieve santa restituta sugarille|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
71. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
72. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=71
73. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=71
74. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=71
75. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
76. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2018|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=75
77. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2017|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
78. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2017|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=77
79. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
80. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2014|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
81. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2010|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
82. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
83. W|gaja|brunello di montalcino pieve|it|r|sangiovese|toscana|montalcino|2017|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
84. W|gaja|brunello di montalcino pieve santa restituta|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=71
85. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
86. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=85
87. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
88. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|2016|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=87
89. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
90. W|gaja|brunello di montalcino|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco|=89
91. W|gaja|brunello di mont santa restituta|it|r|sangiovese|toscana|montalcino|NV|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
92. W|gaja|bolgheri camarcanda magari|it|r|??|toscana|bolgheri|2022|14.5|doc|encorpado|carne vermelha, cordeiro, queijo curado|seco
93. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
94. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1991|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
95. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=93
96. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
97. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
98. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=97
99. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
100. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
101. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=100
102. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=100
103. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=100
104. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=100
105. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=93
106. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=93
107. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
108. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
109. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
110. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2013|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
111. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2011|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
112. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2009|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
113. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2008|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
114. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2008|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=113
115. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2001|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
116. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2000|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
117. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|2000|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=116
118. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1998|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
119. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1997|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
120. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1994|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
121. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1993|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
122. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1990|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
123. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1989|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
124. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1989|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=123
125. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|1988|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
126. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
127. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=126
128. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=126
129. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=126
130. W|gaja|barolo sperss|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=126
131. W|gaja|barolo gromis conteisa cerequio|it|r|nebbiolo|piemonte|barolo|1993|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
132. W|gaja|barolo gromis conteisa cerequio|it|r|nebbiolo|piemonte|barolo|1990|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
133. W|gaja|barolo gromis conteisa cerequio|it|r|nebbiolo|piemonte|barolo|1989|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
134. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
135. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=134
136. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
137. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
138. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
139. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
140. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
141. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
142. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=138
143. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=138
144. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=138
145. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=138
146. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=138
147. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
148. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
149. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
150. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
151. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
152. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=136
153. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=137
154. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=137
155. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=137
156. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
157. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=139
158. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=139
159. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=139
160. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=139
161. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2016|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=139
162. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|2007|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
163. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=134
164. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=163
165. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=163
166. W|gaja|barolo dagromis|it|r|nebbiolo|piemonte|barolo|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=134
167. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
168. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
169. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
170. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=169
171. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
172. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=171
173. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=171
174. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=171
175. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=171
176. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
177. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
178. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
179. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
180. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
181. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
182. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
183. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2019|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=168
184. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2018|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=167
185. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
186. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=185
187. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2017|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=185
188. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
189. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=188
190. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2015|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=188
191. W|gaja|barolo conteisa|it|r|nebbiolo|piemonte|barolo|2014|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
