1. W|casio reloj|a168wem2df|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|casio reloj|ae1000wd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casio reloj|ae1000wd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
32. W|casio reloj ae1100w|1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casio reloj ae1100w|1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|casio reloj|ae1100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casio reloj|ae1100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=34
36. W|casio reloj|ae1100w1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casio reloj|ae1100w1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=36
38. W|casio reloj ae1100wd|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|casio reloj ae1100wd|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=38
40. W|casio reloj|ae1300wh1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casio reloj|ae1300wh1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=40
42. W|casio reloj|ae1300wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casio reloj|ae1300wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=42
44. W|casio reloj|ae1400wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|casio reloj|ae1400wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=44
46. W|casio reloj|ae1400whd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|casio reloj|ae1400whd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=46
48. W|casio reloj ae1500wh|8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|casio reloj ae1500wh|8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=48
50. W|casio reloj|ae1500wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|casio reloj|ae1500wh1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=50
52. W|casio reloj|ae1500wh8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|casio reloj|ae1500wh8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=52
54. W|casio reloj|ae1500whx1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casio reloj|ae1500whx1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=54
56. W|casio reloj|ae1600h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|casio reloj|ae1600h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=56
58. W|casio reloj|ae1600h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casio reloj|ae1600h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=58
60. W|casio reloj|ae1600h8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casio reloj|ae1600h8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=60
62. W|casio reloj|ae2000w1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casio reloj|ae2000w1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=62
64. W|casio reloj|ae2000w9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|casio reloj|ae2000w9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=64
66. W|casio reloj|ae2100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|casio reloj|ae2100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=66
68. W|casio reloj|ae2100w4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|casio reloj|ae2100w4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=68
70. W|casio reloj|ae2100wd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|casio reloj|ae2100wd1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
72. W|casio reloj|ae3000w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|casio reloj|ae3000w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=72
74. W|casio reloj|aeq100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|casio reloj|aeq100w1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=74
76. W|casio reloj|aeq100w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|casio reloj|aeq100w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=76
78. W|casio reloj|aeq110w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casio reloj|aeq110w2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=78
80. W|casio reloj|aeq110w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casio reloj|aeq110w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
82. W|casio reloj|aeq200w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|casio reloj|aeq200w3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=82
84. W|casio reloj|aeq200w9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casio reloj|aeq200w9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=84
86. W|casio reloj aq163w|1b1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|casio reloj aq163w|1b1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=86
88. W|casio reloj|aq230a1dmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casio reloj|aq230a1dmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=88
90. W|casio reloj|aq230a3amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|casio reloj|aq230a3amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=90
92. W|casio reloj|aq230a4amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|casio reloj|aq230a4amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|casio reloj|aq230a9amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|casio reloj|aq230a9amqydf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
96. W|casio reloj|aq230ga9bmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|casio reloj|aq230ga9bmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=96
98. W|casio reloj|aq230ga9dmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casio reloj|aq230ga9dmq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|casio reloj|aqs810w1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casio reloj|aqs810w1a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=100
102. W|casio reloj|aw48he7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casio reloj|aw48he7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|casio reloj|aw48he9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|casio reloj|aw48he9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
106. W|casio reloj|aw49h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|casio reloj|aw49h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
108. W|casio reloj|aw807avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casio reloj|aw807avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=108
110. W|casio reloj|ba110fl7adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casio reloj|ba110fl7adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=110
112. W|casio reloj|ba1121adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|casio reloj|ba1121adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|casio reloj|ba1122adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casio reloj|ba1122adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=114
116. W|casio reloj baby g|bg169g4bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casio reloj baby g|bg169g4bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=116
118. W|casio reloj baby g|bg169g7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|casio reloj baby g|bg169g7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=118
120. W|casio reloj baby g|bg169m1dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|casio reloj baby g|bg169m1dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=120
122. W|casio reloj baby g|bg169m4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casio reloj baby g|bg169m4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
124. W|casio reloj baby g|bg169r1bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|casio reloj baby g|bg169r1bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=124
126. W|casio reloj baby g|bg169r1dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|casio reloj baby g|bg169r1dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=126
128. W|casio reloj baby g|bg169r2bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|casio reloj baby g|bg169r2bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|casio reloj baby g|bg169r3dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|casio reloj baby g|bg169r3dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=130
132. W|casio reloj baby g|bg169r4cdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|casio reloj baby g|bg169r4cdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
134. W|casio reloj baby g|bg169r4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|casio reloj baby g|bg169r4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=134
136. W|casio reloj baby g|bg169r4edr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casio reloj baby g|bg169r4edr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|casio reloj baby g|bg169r8bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casio reloj baby g|bg169r8bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=138
140. W|casio reloj baby g|bg69032bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|casio reloj baby g|bg69032bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
142. W|casio reloj baby g|bg69034bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|casio reloj baby g|bg69034bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
144. W|casio reloj baby g|bga130tr7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casio reloj baby g|bga130tr7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=144
146. W|casio reloj baby g|bga1709bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casio reloj baby g|bga1709bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|casio reloj baby g|bga2019edr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casio reloj baby g|bga2019edr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
150. W|casio reloj baby g bgd560|4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|casio reloj baby g bgd560|4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
152. W|casio reloj baby g bgd560bc|7dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casio reloj baby g bgd560bc|7dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
154. W|casio reloj baby g|bgd565gs6dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casio reloj baby g|bgd565gs6dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=154
156. W|casio reloj baby g|bgd565rp4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|casio reloj baby g|bgd565rp4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=156
158. W|casio reloj baby g bgd570|7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|casio reloj baby g bgd570|7bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=158
160. W|casio reloj baby g|bgd5701dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casio reloj baby g|bgd5701dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
162. W|casio reloj baby g|bgd5704dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|casio reloj baby g|bgd5704dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=162
164. W|casio reloj baby g|bgd5707dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|casio reloj baby g|bgd5707dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=164
166. W|casio reloj baby g|blx5704dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|casio reloj baby g|blx5704dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=166
168. W|casio reloj babyg|bsab100cs7adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casio reloj babyg|bsab100cs7adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=168
170. W|casio reloj|bg169u4bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|casio reloj|bg169u4bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=170
172. W|casio reloj|bga280sw6adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|casio reloj|bga280sw6adr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
174. W|casio reloj|bgd10k4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|casio reloj|bgd10k4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=174
176. W|casio reloj|bgd10l2dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casio reloj|bgd10l2dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=176
178. W|casio reloj|bgd10l4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|casio reloj|bgd10l4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=178
180. W|casio reloj|bgd10l7dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casio reloj|bgd10l7dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|casio reloj|blx5602sdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|casio reloj|blx5602sdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=182
184. W|casio reloj|blx565s4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|casio reloj|blx565s4dr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=184
186. W|casio reloj|ca53wb1bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|casio reloj|ca53wb1bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
188. W|casio reloj|ca53wb3bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casio reloj|ca53wb3bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=188
190. W|casio reloj|ca53wb8bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|casio reloj|ca53wb8bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=190
192. W|casio reloj|dw291h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casio reloj|dw291h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=192
194. W|casio reloj|dw291h9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|casio reloj|dw291h9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=194
196. W|casio reloj|ef3051avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casio reloj|ef3051avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=196
198. W|casio reloj ef550d|7avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|casio reloj ef550d|7avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=198
200. W|casio reloj|ef550d1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casio reloj|ef550d1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
202. W|casio reloj|efr101d7avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casio reloj|efr101d7avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
204. W|casio reloj|efr1021a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|casio reloj|efr1021a3vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
206. W|casio reloj|efr1021a5vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|casio reloj|efr1021a5vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=206
208. W|casio reloj|efr103l1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|casio reloj|efr103l1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
210. W|casio reloj|efr104bk1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|casio reloj|efr104bk1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=210
212. W|casio reloj|efr106d8avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|casio reloj|efr106d8avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=212
214. W|casio reloj|efr304bl1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|casio reloj|efr304bl1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=214
216. W|casio reloj|efr501d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|casio reloj|efr501d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=216
218. W|casio reloj|efr516d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|casio reloj|efr516d1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=218
220. W|casio reloj|efr526d1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|casio reloj|efr526d1avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|casio reloj|efr526d2avudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
