W|grand|soir rollon elixir set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|terroir radebeuler johannisberg blanc de blancs extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grand|tetras genepi blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|theatre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre bib|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre blanc moelleux|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|theatre bordeaux blanc|fr|w|??|bordeaux|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|theatre bordeaux merlot|fr|r|merlot|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre bordeaux moelleux aop|fr|r|??|bordeaux|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre bordeaux rose|fr|p|??|bordeaux|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|theatre bordeaux rouge|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre bordeaux sauvignon|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre kosher bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre merlot bordeaux|fr|r|merlot|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre merlot bordeaux|fr|r|merlot|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|grand|theatre premium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre premium bordeaux|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre premium bordeaux rouge|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|theatre sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|theodul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tinel blanc chateauneuf du pape|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tinel chateauneuf du pape blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji cuvee|hu|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji harslevelu late harvest|hu|d|??|??|??|2022|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj 5 puttonyos tokaji aszu|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu edes feher 05|hu|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 5 puttonyos|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 5 puttonyos|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|grand|tokaj aszu 5 puttonyos edes dd drs|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 5 puttonyos edes drs|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 6 putt 2 db 20132014 dd|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 6 puttonyos|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|grand|tokaj aszu 6 puttonyos edes drs|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj aszu 6 puttonyos szarvas 9|hu|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj classic aszu 5 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj classic szamorodni edes|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj edes szamorodni|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj edes szamorodni|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj edes szamorodni|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|grand|tokaj edes szamorodni|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|grand|tokaj edes szamorodni|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|grand|tokaj furmint|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint dry|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint dry szaraz|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint feledes bor|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint peto szaraz feher 075 drs|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint szaraz drs|hu|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint szaraz bor|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj furmint szarvas szaraz feher 075 drs|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj harslevelu v|hu|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj harslevelu bor|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj harslevelu szaraz feher 075 drs|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj kesoi szuret furmint bor|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj kesoi szuret harslevelu bor|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj kovago furmint|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj kovago furmint v|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj kovago furmint szaraz feherbor 075|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj late harvest|hu|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj late harvest|hu|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=125
W|grand|tokaj late harvest|hu|d|??|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj late harvest|hu|d|??|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=127
W|grand|tokaj late harvest v|hu|d|??|??|??|2023|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj late harvest edes drs|hu|d|??|??|??|2022|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj late harvest edes feherbor 05 drs|hu|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj meszes furmint v|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj meszes furmint szaraz drs|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj muscat blanc|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj muscat blanc szaraz drs|hu|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj muscat blanc szaraz v|hu|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj museum collection tokaji aszu 5 puttonyos|hu|r|??|??|??|1956|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj museum collection tokaji aszu 5 puttonyos|hu|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj museum collection tokaji aszu 5 puttonyos|hu|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj museum collection tokaji aszu 6 puttonyos|hu|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj museum collection tokaji aszu 6 puttonyos|hu|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj museum collection tokaji szamorodni edes|hu|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj n8 szaraz feherbor 075|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj peto furmint|hu|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj pillanat cuvee gyongy drs|hu|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj pinceszet|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj pinceszet 6 puttonyos aszu|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj sargamuskotaly bor|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj special selection tokaji aszu 5 puttonyos|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szamorodni|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szamorodni bor|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szamorodni edes|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szamorodni edes|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szarvas aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj szarvas furmint|hu|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj szarvas furmint szaraz drs|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection furmint valogatas diszdobozban|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection kovago tokaji furmint|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection meszes tokaji furmint|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection peto tokaji furmint|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection szarvas tokaji aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection szarvas tokaji aszu 6 puttonyos|hu|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection szarvas tokaji furmint|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection tokaji aszu 5 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji aszu 5 puttonyos|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji eszencia|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji eszencia aged in amphora|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji furmint|hu|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection tokaji furmint valogatas 4es diszdoboz|hu|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection tokaji harslevelu|hu|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj terroir selection tokaji late harvest edes|hu|d|??|??|??|2023|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|tokaj terroir selection tokaji muscat blanc|hu|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj terroir selection tokaji szamorodni edes|hu|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji 5 puttonyos aszu v|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji aszu|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji aszu 5 puttonyos|hu|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji aszu 5 puttonyos bor|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji aszu 6 puttonyos v|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji eszencia|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji eszencia|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|grand|tokaj tokaji eszencia amfora v|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji furmint v|hu|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaj tokaji szarvas aszu 6 puttonyos|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj tokaji szarvas aszu 6 puttonyos v|hu|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaj valogatas 4 db dd|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaji aszu 5 put|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaji aszu 6 put|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaji dry furmint|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaji furmint szaraz feherbor 075 drs|hu|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|tokaji szamorodni|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tokaji szarvas aszu 6 putt single vineyard|hu|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tomachon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|toque rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|toque rot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|toque wei|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|tower|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|traverse bib ole geore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau late harvest riesling|grand traverse|??|d|riesling|??|??|2023|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grand|traverse distillery isles o rye bottled in bond|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|traverse select pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|traverse select riesling semi dry|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|traverse select riesling sweet harvest|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|grand|traverse select sweet red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|grand|trianon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grand|uf de paques grave fauchon au chocolat au lait|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|uf de paques grave fauchon au chocolat noir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|union|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|val merlot 13|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine de valensac|grand valensac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vallon blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vallon syrahmerlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|vau anjou blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|vau anjou blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
W|grand|velours grande reserve igp fonjaya delta wines languedoc frankrig|fr|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|velours grande reserve igp|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape les origines|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape les origines|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneuf du pape vieilles vignes|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|veneur chateauneufdupape les origines|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
