W|branco|seco louis latour bourgogne chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco fino moscato altivos 1un de|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino moscato|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino gewurztraminer cx c 6 unidades|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino gewurztraminer cx c 6 unidades|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=65
W|branco|seco fino chardonnay dom lauro|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino chardonnay casta noble|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino chardonnay casta noble|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=68
W|branco|seco fino chardonay don giusepp|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco fino chardonay don giusepp|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=70
W|branco|seco fino barbatoni chardonnay|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|seco finca la daniela torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco feudo maccari olli grillo doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco felino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco fausto chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco fausto alvarinho pizzato|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco faces do brasil chardonnay 187|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco ezimit temjanika doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco evolucao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco eugene muller charisma riesling trockenano 2021 pode haver variacao de safraem001aou em ate12xno cartao de creditoa vista5 desconto|??|w|riesling|??|??|2021|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco esporao reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco esporao private selection|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco esporao colheita organico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco esperanto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco especial chardonnay juju arteviva|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco esencial naranjo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco eruptio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco empirico biancapinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco emiliana adobe gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco emiliana adobe gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=90
W|branco|seco elogiu limited edition chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|seco el picoteo 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco el enemigo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco echo bay sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco ea cartuxa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco durbanville hills chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco duo chardonnayarneis garbo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco dunamis reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco douro doc zip|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|seco don luciano airen|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco don guerino sinais sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco dom de minas sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco dom adamo torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco dinamo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco de mesa 1936|??|w|??|??|??|1936|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco d emilia garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco crux chardonay|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco crios susana balbo torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco crasto superior douro doc|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|seco crasto douro doc|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cousinomacul isidora sauvignon gris|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cousinomacul isidora riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cousinomacul don luis chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cousinomacul antiguas reservas chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco cousino macul don luis sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco country wine|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cortes de cima lourinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cordero con piel de lobo torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cordero con piel de lobo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco corbelli pinot grigio igt|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco coragem chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco condesa de leganza sauvignon blanc faustino|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|seco concha y toro gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco columbia crest chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco collina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cloudy bay sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco claude val|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco classico chardonnay manus|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chateau purcari 1827 pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chateau la rose saintgermain bordeaux|fr|p|??|bordeaux|??|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|branco|seco charly nicolle chablis premier cru|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco charly nicolle chablis per aspera|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnayviognier reser esp larentis|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay zanotto campestre|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay vaz|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay tilia|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay terroir selection don guerino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay terroir casa valduga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay sem alcool oak vinoh|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay rutini|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay reserva don laurindo|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay reserva don guerino|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay quero quero don abel|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay plume perico|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay pinto bandeira aurora|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay parte 2 almaunica|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay paradoxo salton|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay paradoxo salton|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=148
W|branco|seco chardonnay oaked capoani|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay oak barrel amitie|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay mascara de ferro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay luar do pampa guatambu|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay legno pizzato|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay la cave luiz argenta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay iridium cave antiga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay hermandad|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay hectare don abel|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay greda terragnolo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay gran casa valduga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay fausto pizzato|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay fausto|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay faces do brasil lidio carraro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay double terroir valmarino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay doracy don laurindo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay cx 6|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay cx 6|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=166
W|branco|seco chardonnay cuvee giuseppe miolo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay collezione rar|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay classico salvattore|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay cepas campos de cima|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay catena|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay castellamare caixa 6|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay castellamare|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay capoani|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay biografia maximo boschi|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay barricas castellamare sao joao|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay arcangelo gran reserva larentis|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay aracuri|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay aprochego campos de cima|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay allume pizzato|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay alfa crux|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chardonnay alamos|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chac chac sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco chac chac reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco cerro del toro albarino atlantico|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cave antiga taffarel chardonnay de|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cave antiga taffarel chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cava negra torrontes|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|seco castello del terriccio con vento igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco castellamare|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casillero del diablo devils collection|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casas del toqui single estate sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casas del toqui reserva semillon|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casas del toqui reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casas del bosque reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casa valduga terroir exclusivo gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa valduga terroir chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa valduga origem chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa valduga gran chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa valduga era chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa silva reserva viognier|??|w|viognier|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casa silva reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casa silva gran terroir angostura chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco casa silva gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|seco casa silva coleccion chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|seco cartuxa colheita evora|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco carmen frida kahlo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco carlevana raritet orange|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cancao serra gaucha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco campo largo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco cabriz c selec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco ca montebello pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco braunewell riesling dry|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco braunewell pinot gris dry|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco brasileiro salton chalise garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco brasileiro country wine|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco braccobosca ombu moscatel|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco bouchard aine fils chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco blend aracuri|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco belle glos chardonnay glasir holt|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco avelium puglia igp|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco assemblage don guerino bag in box|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|seco artesano de argento malbec organico|??|w|malbec|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
