1. W|casa coste|piane valdobbiadene prosecco docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
20. W|casa cubista|dipped column vase white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
21. X
22. W|casa cubista|dipped large plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|casa cubista|dipped mini bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casa cubista|dipped mini plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casa cubista|dipped regular bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|casa cubista|dipped shots|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casa cubista|dipped small plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|casa cubista|extra large platter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|casa cubista|flores|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|casa cubista|horizontal striped vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casa cubista|horizontal stripes with handle vessel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|casa cubista|large cabana tapered bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casa cubista|large gourd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|casa cubista|large plate bold stripe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casa cubista|large plate dash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|casa cubista|large plate ray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casa cubista|large plate segment|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|casa cubista|large plate stripe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|casa cubista|large striped stepped vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|casa cubista|large tapered bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casa cubista|misto bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|casa cubista|misto garafe vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casa cubista|misto jug|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|casa cubista|misto pitcher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|casa cubista|misto plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|casa cubista|misto platter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|casa cubista|misto tapered bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|casa cubista|pentagon dipped mini plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|casa cubista|pentagon dipped small plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|casa cubista|small plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|casa cubista|square dipped large bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casa cubista|square dipped large plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|casa cubista|square dipped medium bowl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|casa cubista|square dipped mini plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casa cubista|square dipped small plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. X
57. W|casa cubista|tercos jug|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|casa cubista|tercos vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casa cubista|triangle dipped mini plate white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
60. X
61. X
62. W|casa cuervo|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casa cuervo|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|casa d|ambra ischia bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
65. W|casa d|ambra ischia bianco leninfe|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
66. W|casa d|ambra ischia biancolella frassitelli|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
67. W|casa d|ambra ischia forastera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|casa d|arca branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
69. W|casa d|arca douro branco|it|w|??|douro|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
70. W|casa d|arca douro reserva tinto|it|r|??|douro|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
71. W|casa d|arca douro tinto|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|casa d|arca reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
73. W|casa d|arca tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|casa d|arrochela grandes quintas reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
75. W|casa d|arrochela grandes quintas superior tinto|??|r|??|??|??|2021|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
76. W|casa d|arrochela grandes quintas tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|casa d|arrochela grandes quintas vinhas altas branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
78. W|casa d|arrochela reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
79. W|casa d|arrochela special reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
80. W|casa d|arrochela vila flor reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
81. W|casa d|arrochela vila flor vinha das trigueiras branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
82. W|casa d|arrochela vinha do cerval tinto|??|r|??|??|??|2015|13.5|do|medio|carne vermelha, massas, queijos curados|seco
83. W|casa da|arvore|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|casa da|atela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casa da|atela anabela grande reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
86. W|casa da|atela anabela grande reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
87. W|casa da|atela arinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|casa da|atela arinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casa da|atela castelao rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
90. W|casa da|atela castelao rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=89
91. W|casa da|atela castelao rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
92. W|casa da|atela castelao vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|casa da|atela castelao vinhas velhas|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|casa da|atela castelao vinhas velhas tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|casa da|atela chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
96. W|casa da|atela chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
97. W|casa da|atela chardonnay branco|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
98. W|casa da|atela chardonnay branco tejo|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
99. W|casa da|atela espumante chardonnay reserva branco|??|s|chardonnay|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
100. W|casa da|atela espumante chardonnay reserva branco|??|s|chardonnay|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut|=99
101. W|casa da|atela espumante pinot noir reserva rose|??|s|pinot noir|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
102. W|casa da|atela espumante pinot noir rose reserva|??|s|pinot noir|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
103. W|casa da|atela fernao pires|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|casa da|atela fernao pires curtimenta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
105. W|casa da|atela gewurztraminer|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
106. W|casa da|atela gewurztraminer|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=105
107. W|casa da|atela gewurztraminer branco|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
108. W|casa da|atela gewurztraminer branco|??|w|gewurztraminer|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
109. W|casa da|atela gewzrtraminer|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|casa da|atela grande reserva anabela|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
111. W|casa da|atela petit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|casa da|atela petit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=111
113. W|casa da|atela petit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=111
114. W|casa da|atela petit verdot tinto|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casa da|atela petit verdot tinto tejo|??|r|petit verdot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|casa da|atela pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casa da|atela pinot noir rose|??|p|pinot noir|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
118. W|casa da|atela pinot noir rose|??|p|pinot noir|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
119. W|casa da|atela sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
120. W|casa da|atela sauvignon blanc branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
121. W|casa da|atela sauvignon blanc branco|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
122. W|casa da|atela syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
123. W|casa da|atela syrah tinto|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
124. W|casa da|atela touriga nacional rose|??|p|touriga nacional|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
125. W|casa da|atela touriga nacional rose|??|p|touriga nacional|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=124
126. W|casa da|atela vinhas velhas castelao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|casa da|atela vinhas velhas castelao tinto tejo|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|casa da|baleia deborah rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
129. W|casa da|baleia pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|casa da|baleia sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
131. W|casa da|baleia vinho rochas red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|casa da|bouca blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|casa da|bouca blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
134. W|casa da|bouca blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
135. W|casa da|bouca blend branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
136. W|casa da|bouca espadeiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casa da|bouca espadeiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|casa da|bouca espadeiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
139. W|casa da|bouca espadeiro rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
140. W|casa da|bouca espadeiro rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco|=139
141. W|casa da|bouca loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|casa da|bouca loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=141
143. W|casa da|bouca loureiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=141
144. W|casa da|bouca loureiro branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
145. W|casa da|bouca vinho verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casa da|bouca vinho verde espadeiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casa da|bouca vinho verde espadeiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|casa da|capela 1996 tinto|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa da|capela 1997 tinto|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa da|capela 1999 reserva tinto|??|r|??|??|??|1999|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
151. W|casa da|carvalha jaen|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|casa da|carvalha jaen tinto|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casa da|carvalha red|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|casa da|carvalha reserva tinto|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
155. W|casa da|carvalha tinto|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|casa da|carvalha tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|casa da|esteira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|casa da|esteira reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
159. W|casa da|lousa tawny porto|us|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
160. W|casa da|lousa white porto|us|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
161. W|casa da|lousa white porto wit|us|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
162. W|casa da|palmeira douro branco|it|w|??|douro|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
163. W|casa da|palmeira reserva douro tinto|it|r|??|douro|??|2012|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
164. W|casa da|palmeira reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
165. W|casa da|palmeira tinto|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|casa da|palmeira tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|casa da|passarela a descoberta colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
168. W|casa da|passarela a descoberta colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casa da|passarela abanico reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
170. W|casa da|passarela abanico reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
171. W|casa da|passarela abanico reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
172. W|casa da|passarela bastardo tinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
173. W|casa da|passarela enologo tinto vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|casa da|passarela fugitivo tinta amarela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|casa da|passarela fugitivo tinto cao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casa da|passarela o fugitivo vinhas centenarias red|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casa da|passarela o oenologo encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|casa da|passarela o oenologo encruzado branco|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
179. W|casa da|passarela o oenologo tinto vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|casa da|passarela o oenologo vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casa da|passarela oenologo encruzado branco|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
182. W|casa da|passarela uva cao branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|casa da|passarela vindima tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|casa da|passarella|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|casa da|passarella a descoberta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|casa da|passarella a descoberta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
187. W|casa da|passarella a descoberta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
188. W|casa da|passarella a descoberta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
189. W|casa da|passarella a descoberta branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
190. W|casa da|passarella a descoberta colheita branco dao portugal|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
191. W|casa da|passarella a descoberta colheita tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|casa da|passarella a descoberta colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casa da|passarella a descoberta dao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|casa da|passarella a descoberta dao|pt|r|??|dao|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|casa da|passarella a descoberta encruzadomalvasia finaverdelho|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|casa da|passarella a descoberta rosado|??|p|??|??|??|2022|12|do|leve|carne vermelha, massas, queijos curados|seco
197. W|casa da|passarella a descoberta rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
198. W|casa da|passarella a descoberta rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
199. W|casa da|passarella a descoberta rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
200. W|casa da|passarella a descoberta rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
201. W|casa da|passarella a descoberta rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco|=200
202. W|casa da|passarella a descoberta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casa da|passarella a descoberta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
204. W|casa da|passarella a descoberta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
205. W|casa da|passarella a descoberta tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
206. W|casa da|passarella a descoberta tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|casa da|passarella a descoberta touriga nacional rosado|??|p|touriga nacional|??|??|2022|12|do|leve|carne vermelha, massas, queijos curados|seco
208. W|casa da|passarella a desoberta dao tinto|pt|r|??|dao|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|casa da|passarella abanico reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
210. W|casa da|passarella abanico reserva 3x tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
211. W|casa da|passarella abanico reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
212. W|casa da|passarella abanico reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=211
213. W|casa da|passarella abanico reserva branco|??|w|??|??|??|2020|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
214. W|casa da|passarella abanico reserva branco|??|w|??|??|??|2020|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=213
215. W|casa da|passarella abanico reserva branco|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
216. W|casa da|passarella abanico reserva branco|??|w|??|??|??|2022|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
217. W|casa da|passarella abanico reserva branco dao|pt|w|??|dao|??|2022|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
218. W|casa da|passarella abanico reserva magnum branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
219. W|casa da|passarella abanico reserva magnum tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
220. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
221. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
223. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
224. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=223
225. W|casa da|passarella abanico reserva tinto 2018 075|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
226. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
227. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
228. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=227
229. W|casa da|passarella abanico reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=227
