W|girlan|chardonnay riserva curlan|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|fass nr 9 vernatsch|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|fass nr 9 vernatsch|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora chardonnay alto adige doc|it|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora chardonnay doc|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=26
W|girlan|flora gewurztraminer doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora pinot bianco riserva|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora pinot bianco riserva|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora pinot bianco riserva|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora pinot bianco riserva|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=31
W|girlan|flora pinot bianco riserva doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora pinot nero riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora pinot noir riserva alto adige doc|it|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora pinot noir riserva doc|??|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora riserva pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora riserva pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora riserva pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora sauvignon|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora sauvignon|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora sauvignon|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|flora sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|flora sauvignon doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gewuerztraminer doc aime|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gewuerztraminer doc aime|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gewuerztraminer doc aime|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|girlan|gewuerztraminer doc flora|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gewuerztraminer spaetlese doc pasithea oro|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer tappo vite cl75|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer 75|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer aime|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer aime|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer aime|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer aime|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=57
W|girlan|gewurztraminer aime|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=57
W|girlan|gewurztraminer alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer doc|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer flora doc|??|w|??|??|??|2018|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer flora|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gewurztraminer flora|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=64
W|girlan|gewurztraminer flora|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=64
W|girlan|gewurztraminer flora|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|gschleier alte reben vernatsch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gschleier alte reben vernatsch|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gschleier alte reben vernatsch|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=69
W|girlan|gschleier alte reben vernatsch|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gschleier alte reben vernatsch doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gschleier schiava alte reben doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|gschleier vernatsch alte reben|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|igt 448 bianco vigneti d dolomiti|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|girlan|igt 448 rosso vigneti d dolomiti|??|r|??|??|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|igt 448 rosso vigneti d dolomiti|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|igt 448 rosso vigneti delle dolomiti|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|igt 448 rosso vigneti delle dolomiti|??|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|igt vigneti delle dolomiti 448 bianco|??|w|??|??|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|girlan|igt vigneti delle dolomiti 448 bianco|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|girlan|igt vigneti delle dolomiti 448 rosso|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|indra sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|indra sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|girlan|indra sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|girlan|indra sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=83
W|girlan|indra sauvignon|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|indra sauvignon|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|indra sauvignon|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=88
W|girlan|indra sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|indra sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=90
W|girlan|indra sauvignon blanc doc|??|w|sauvignon blanc|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|lagrein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|lagrein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|girlan|lagrein|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|lagrein|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|lagrein|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|lagrein|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|girlan|lagrein|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|girlan|lagrein doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|lagrein doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|marna chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|marna chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|marna chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|mueller thurgau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|muller thurgau tappo vite cl75|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|muller thurgau tappo vite cl75|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=106
W|girlan|muller thurgau doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|muller thurgau sudtirol alto adige doc|it|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pasithea oro alto adige doc vino dolce|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|girlan|pasithea rosa alto adige doc vino dolce|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|girlan|pasithea rosa moscato rosa alto adige doc|it|r|moscato|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pasithea rosa moscato rosa passito doc cl375|??|d|moscato|??|??|nv|10|doc|encorpado|sobremesas, queijos, frutas secas|doce
W|girlan|patricia pinot grigio alto adige|it|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|patricia pinot nero alto adige doc|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot nero alto adige doc|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot nero doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=118
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=127
W|girlan|patricia pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir alto adige|it|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir alto adige|it|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|patricia pinot noir doc|??|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=133
W|girlan|pinot bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=136
W|girlan|pinot bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=138
W|girlan|pinot bianco alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco platt riegel|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco platt riegl|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco platt riegl|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco plattriegl doc|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot bianco sudtirol alto adige white dry135 075|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot blanc flora|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot gri v25|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=149
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=164
W|girlan|pinot grigio|??|w|pinot grigio|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=164
W|girlan|pinot grigio alto adige|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio doc|??|w|pinot grigio|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio doc dv|??|w|pinot grigio|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio doc dv|??|w|pinot grigio|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot grigio sudtirol alto adige italy|it|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|pinot nero alto adige doc vino rosso|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot nero alto adige doc vino rosso|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot nero patricia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot nero patricia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|girlan|pinot nero patricia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|girlan|pinot nero patricia|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|girlan|pinot nero riserva curlan|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot noir patricia alto adige|it|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot noir patricia alto adige doc|it|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot noir riserva flora|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot noir riserva flora|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|girlan|pinot noir riserva flora|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=181
W|girlan|pinot noir riserva trattmann mazon|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|pinot noir split|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|platt riegl pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|platt riegl pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
W|girlan|platt riegl pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
W|girlan|platt riegl pinot bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
W|girlan|platt riegl pinot bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|platt riegl pinot bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|platt riegl pinot bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|platt riegl pinot bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=192
W|girlan|plattriegl pinot bianco doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|rosenmuskateller doc pasithea rosa|??|p|??|??|??|2023|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|girlan|sauvignon blanc flora|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|sauvignon blanc indra|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|sauvignon doc flora|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon doc indra|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon doc indra|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon flora|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon flora|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|girlan|sauvignon flora|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|girlan|sauvignon flora|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon indra doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sauvignon indra trentinoalto adige italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|schiava fass no9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|selezione flora pinot bianco riserva doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girlan|selezione flora sauvignon doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|sudtirol alto adige chardonnay marna|it|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|sudtirol alto adige pinot grigio|it|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girlan|trattman pinot nero riserva alto adige doc vino rosso|it|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattman pinot nero riserva doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattman pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattmann pinot nero riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattmann pinot nero riserva|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattmann pinot nero riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|girlan|trattmann pinot noir riserva|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|trattmann pinot noir riserva doc|??|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girlan|vernatsch doc fass nr 9|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
