W|greystone|organic waipara pinot gris|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=96
W|greywacke|chardonnay archive release|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=113
W|greywacke|chardonnay 14|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|greywacke|chardonnay marlborough new zealand|nz|w|chardonnay|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay archive release|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay marlborough|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay marlborough 202223|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay marlborough 202223|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=135
W|greywacke|chardonnay marlborough new zealand|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay marlborough new zealand|nz|w|chardonnay|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay rating trr95|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|chardonnay screw cap|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|kevin judd pinot noir marlborough|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|late harvest riesling|??|d|riesling|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|greywacke|sauvignon blanc 135 1|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=144
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=151
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=151
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=151
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=151
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=156
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=156
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=156
W|greywacke|marlborough chardonnay|nz|w|chardonnay|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough late harvest riesling|nz|d|riesling|??|marlborough|2011|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|greywacke|marlborough new zealand chardonnay|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough pinot gris|nz|w|pinot gris|??|marlborough|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough pinot gris|nz|w|pinot gris|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough pinot gris|nz|w|pinot gris|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=164
W|greywacke|marlborough pinot gris|nz|w|pinot gris|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=167
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=173
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=173
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=173
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=173
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=182
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|greywacke|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|greywacke|marlborough riesling|nz|w|riesling|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough riesling|nz|w|riesling|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough riesling|nz|w|riesling|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=199
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=213
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
W|greywacke|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
