1. W|carys|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
39. W|casa agria|del norte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|casa agria|for flowers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casa agria|leo the crab|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|casa agria|mega citronic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casa agria|specialty ales mega citronic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|casa agria|sunday sun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|casa agricola|aguia de moura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|casa agricola|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
47. W|casa agricola|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
48. W|casa agricola|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=46
49. W|casa agricola|blanco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
50. W|casa agricola|blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
51. W|casa agricola|blanco pepe mendoza|ar|w|??|mendoza|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
52. W|casa agricola|de compostela 2024 vinho verde espigueiro lima portugal|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|casa agricola|el veneno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|casa agricola|giro de abargues|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casa agricola|gironet nat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|casa agricola|pepe mendoza|ar|r|??|mendoza|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|casa agricola|pepe mendoza blanco|ar|w|??|mendoza|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
58. W|casa agricola|pepe mendoza el veneno monastrell|ar|r|??|mendoza|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casa agricola|pepe mendoza fierroca giro|ar|r|??|mendoza|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|casa agricola|pepe mendoza giro de abargues|ar|r|??|mendoza|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casa agricola|pepe mendoza giro de abargues alicante|ar|r|??|mendoza|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|casa agricola|pepe mendoza mersegueraviogner|ar|r|??|mendoza|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casa agricola|pepe mendoza paisaje mediterraneo blanco alicante|ar|w|??|mendoza|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
64. W|casa agricola|pepe mendoza paisaje mediterraneo tinto alicante|ar|r|??|mendoza|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|casa agricola|pepe mendoza pureza moscatel|ar|r|??|mendoza|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|casa agricola|pepe mendoza tinto|ar|r|??|mendoza|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|casa agricola|pepe mendoza tinto|ar|r|??|mendoza|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|casa agricola|portugal cabernet sauvignon reserva|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
69. W|casa agricola|portugal fernao pires branco|pt|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
70. W|casa agricola|portugal gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
71. W|casa agricola|portugal ipsis verbis rose|pt|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
72. W|casa agricola|portugal riesling|pt|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
73. W|casa agricola|portugal touriga nacional reserva|pt|r|touriga nacional|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
74. W|casa agricola|portugal vinho verde loureiro grande escolha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|casa agricola|pureza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|casa agricola|pureza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
77. W|casa agricola|pureza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|casa agricola|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casa agricola|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=78
80. W|casa agricola|tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casa agricola|tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
82. W|casa al|piano bolgheri rosso doc pietranova|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
83. W|casa al|pruno lugana|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|casa al|vento aria chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
85. W|casa al|vento aria chianti classico docg|it|r|??|chianti classico|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
86. W|casa al|vento aria chianti classico docg italy|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
87. W|casa al|vento foho chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
88. W|casa al|vento tamo rosso toscana igt tuscany italy|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
89. W|casa al|vento tamo toscana rosso|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|casa al|vento tamo toscana rosso igt|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
91. W|casa albali|airen verdejo sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
92. W|casa albali|airen verdejo sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
93. W|casa albali|crianza do valdepenas|??|r|??|??|??|2015|13.5|do|medio|carne vermelha, massas, queijos curados|seco
94. W|casa albali|sauvignon blanc verdejo|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
95. W|casa albali|tinto joven shiraz tempranillo|??|r|shiraz|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
96. W|casa albuquerque|encruzado|??|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
97. W|casa albuquerque|touriga nacional|??|r|touriga nacional|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|casa alcancia|alcancia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casa alle|vacche 2015 vin santo del chianti halfbottle|it|d|??|chianti|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
100. W|casa alle|vacche 2023 vernaccia di san gimignano|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casa alle|vacche acantho cabernet ciliegiolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|casa alle|vacche aglieno toscana rosso igt|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
103. W|casa alle|vacche canaiolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|casa alle|vacche chianti colli senesi cinabro docg riserva|it|r|??|chianti|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
105. W|casa alle|vacche cinabro chianti riserva|it|r|??|chianti|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
106. W|casa alle|vacche crocus riserva vernaccia|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
107. W|casa alle|vacche i macchione cru vernaccia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|casa alle|vacche sangiovese b|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
109. W|casa alle|vacche sangiovese b igt|??|r|sangiovese|??|??|2023|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
110. W|casa alle|vacche vermentino igt|??|r|vermentino|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
111. W|casa alle|vacche vernaccia di san gimignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|casa alle|vacche vernaccia di san gimignano crocus docg riserva|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
113. W|casa alle|vacche vernaccia di san gimignano docg|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
114. W|casa alle|vacche vernaccia di san gimignano i macchioni cru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casa alle|vacche vernaccia di san gimignano i macchioni docg|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
116. W|casa alle|vacche vin santo|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
117. W|casa alle|vacche vin santo|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=116
118. W|casa alle|vacche vin santo del chianti 16|it|d|??|chianti|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
119. W|casa alta|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
120. W|casa alta|white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
121. W|casa althay|caldera tinasoria|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|casa althay|listan negro|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casa althay|viticoltures blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
124. W|casa alvares|reserva|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
125. W|casa alvares|douro doc|it|r|??|douro|??|2016|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
126. W|casa alvares|douro reserva doc|it|r|??|douro|??|2015|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
127. W|casa amada|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
128. W|casa amada|cabernet sauvignon carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
129. W|casa amada|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
130. W|casa amada|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
131. W|casa amada|chardonnay semillon|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
132. W|casa amada|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
133. W|casa amada|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
134. W|casa amada|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
135. W|casa amarela|10 anos tawny porto|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
136. W|casa amarela|amarela|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casa amarela|colheita rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
138. W|casa amarela|colheita tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casa amarela|doc douro red|it|r|??|douro|??|2014|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
140. W|casa amarela|elisio grande reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
141. W|casa amarela|elisio tinto|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|casa amarela|grande reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
143. W|casa amarela|grande reserva branco|??|w|??|??|??|2019|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
144. W|casa amarela|grande reserva branco|??|w|??|??|??|2020|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
145. W|casa amarela|grande reserva branco|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
146. W|casa amarela|grande reserva branco|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=145
147. W|casa amarela|grande reserva branco|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=145
148. W|casa amarela|km 17 tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa amarela|km 18|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa amarela|laura|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|casa amarela|laura tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|casa amarela|laura tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casa amarela|reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
154. W|casa amarela|reserva branco|??|w|??|??|??|2022|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
155. W|casa amarela|reserva branco|??|w|??|??|??|2022|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=154
156. W|casa amarela|reserva branco|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
157. W|casa amarela|reserva branco|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=156
158. W|casa amarela|reserva tinto|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
159. W|casa amarela|reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
160. W|casa amarela|reserva tinto|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
161. W|casa amarela|reserva white|??|w|??|??|??|2015|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
162. W|casa amarela|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
163. W|casa amarela|rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
164. W|casa amarela|rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
165. W|casa amarela|selection km 21 tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|casa amarela|selection km18 tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|casa amarela|terroir branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
168. W|casa amarela|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casa amarela|tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|casa ambrosia|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
171. W|casa america|jaen tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|casa americo|americo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|casa americo|americo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
174. W|casa americo|17 graus tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|casa americo|17 tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casa americo|625 mts branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
177. W|casa americo|625 mts branco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
178. W|casa americo|625 mts branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
179. W|casa americo|625 mts tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|casa americo|625 mts tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=179
181. W|casa americo|625 mts tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|casa americo|625 mts tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|casa americo|625 mts tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=182
184. W|casa americo|alfrocheiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|casa americo|alfrocheiro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=184
186. W|casa americo|alfrocheiro doc douro red|it|r|??|douro|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
187. W|casa americo|alfrocheiro tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|casa americo|alfrocheiro tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casa americo|alfrocheiro tinto dao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|casa americo|alfrochiero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. X
192. W|casa americo|branco 2022 cx 3uni|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
193. W|casa americo|branco de uvas tintas|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
194. W|casa americo|branco de uvas tintas|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=193
195. W|casa americo|branco de uvas tintas branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
196. W|casa americo|branco pelicular|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
197. W|casa americo|branco pelicular|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
198. W|casa americo|cav dop dao|pt|r|??|dao|??|2014|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
199. W|casa americo|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
200. W|casa americo|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casa americo|colheita tinto 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casa americo|encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casa americo|encruzado branco|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
204. W|casa americo|encruzado branco|??|w|??|??|??|2017|12.5|do|medio|peixes, frutos do mar, saladas|seco
205. W|casa americo|encruzado branco|??|w|??|??|??|2022|12.5|do|medio|peixes, frutos do mar, saladas|seco
206. W|casa americo|encruzado branco magnum 1|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
207. W|casa americo|encruzado white|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
208. W|casa americo|homenagem tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|casa americo|jaen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|casa americo|jaen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=209
211. W|casa americo|jaen|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|casa americo|jaen dao dop|pt|r|??|dao|??|2015|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
213. W|casa americo|jaen red|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|casa americo|jaen tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|casa americo|limited edition branco de uvas tintas|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
216. W|casa americo|monte da estrela branco portugues|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
217. W|casa americo|pelicular branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
218. W|casa americo|red dao dop|pt|r|??|dao|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
219. W|casa americo|reserva|??|r|??|??|??|2011|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
220. W|casa americo|reserva branco 075|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
221. W|casa americo|reserva branco|??|w|??|??|??|2020|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
222. W|casa americo|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
223. W|casa americo|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=222
224. W|casa americo|reserva tinto 2015 075|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
225. W|casa americo|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
226. W|casa americo|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
227. W|casa americo|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=226
228. W|casa americo|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=226
229. W|casa americo|rose 2023 cx 3uni|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
230. W|casa americo|tinto 2021 cx 3uni|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|casa americo|tinto 625 mts|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
