1. W|casteddu|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|castel bordeaux|burdeos|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|castel borgo|blanc de blancs brut set x6|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
31. W|castel borgo|blanc de blancs vino spumante brut millesimato 11|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
32. W|castel borgo|prosecco extradry|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
33. W|castel c|blanc du castel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|castel c|blanc du castel 23 james suckling rated 94|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|castel c|blanc du castel damaged label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|castel|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
37. W|castel|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=36
38. W|castel|cabernet suavignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
39. W|castel|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
40. W|castel chateau de lhyvernier muscadet de sevre et maine loire sur lie|aoc|fr|r|??|loire|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
41. W|castel chiuro nino negri|valtellina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|castel chiuro valtellina superiore riserva|docg 2011|??|r|??|??|??|2011|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
43. W|castel cotes de|provence|fr|r|??|provence|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|castel cotes de provence|750 mlt 13|fr|r|??|provence|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|castel cotes du rhone|750 mlt 14|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|castel cotes du rhone|grenachesyrah|fr|r|syrah, grenache|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|castel cuvee blanche|ice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|castel daille|2023 rose var|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
49. W|castel de|fornos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|castel de fornos|albarino|??|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
51. W|castel de fornos|albarino 2022|??|w|albarino|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
52. W|castel de fornos|albarino 2024|??|w|albarino|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
53. W|castel de fornos|albarino mejillones|??|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
54. W|castel de fronjac|cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
55. W|castel de fronjac|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
56. W|castel de fronjac|merlot reserve|??|r|merlot|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
57. W|castel de paolis campo vecchio bianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|castel de paolis campo vecchio bianco lazio|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|castel de paolis campo vecchio|rosso 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|castel de paolis campo vecchio|rosso lazio 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|castel de paolis frascati superiore|2022|??|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
62. W|castel de paolis frascati superiore|2022|??|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco|=61
63. W|castel de paolis frascati superiore|2023|??|r|??|??|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
64. W|castel de paolis frascati superiore|2023|??|r|??|??|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco|=63
65. W|castel de santueri|negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|castel del lago|lugana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|castel del lupo della ginestra|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
68. W|castel del lupo della quercia|pinot nero oltrepo pavese 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|castel del lupo|organic pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
70. W|castel del lupo|pinot grigio della ginestra|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
71. W|castel del lupo|pinot grigio della ginestra|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=70
72. W|castel del lupo|pinot grigio della ginestra|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=70
73. W|castel del lupo|pinot grigio organic|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
74. W|castel del lupo|pinot grigio organic 2025|??|w|pinot grigio|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
75. W|castel del lupo|pinot grigio rose oltrepo pavese dop organic 6 bottle case|??|p|pinot grigio|??|??|NV|12.5|dop|leve|saladas, aves, queijos leves|seco
76. W|castel del lupo|pinot nero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|castel del lupo|pinot nero della quercia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|castel del lupo|pinot nero della quercia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
79. W|castel del lupo|pinot noir brut|??|s|pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
80. W|castel del lupo|pinot noir brut nv|??|s|pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
81. W|castel del monte aglianico|doc bocca di lupo 2018 antinori|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
82. W|castel del monte aglianico|doc bocca di lupo 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
83. W|castel del monte aglianico|doc bocca di lupo 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=82
84. W|castel del monte aglianico|doc bocca di lupo 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=82
85. W|castel del monte bianco|pezzapiana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|castel del monte|bolonero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|castel del monte bombino|nero rosato docg primaluce 2023 cantine carpentiere wine outlet|??|p|??|??|??|2023|12.5|docg|leve|saladas, aves, queijos leves|seco
88. W|castel del monte bombino|nero rosato docg primaluce 2023 cantine carpentiere wine outlet|??|p|??|??|??|2023|12.5|docg|leve|saladas, aves, queijos leves|seco|=87
89. W|castel del monte bombino|nero rosato docg primaluce 2023 cantine carpentiere wine outlet|??|p|??|??|??|2023|12.5|docg|leve|saladas, aves, queijos leves|seco|=87
90. W|castel del monte bombino|nero rosato docg primaluce 2023 cantine carpentiere wine outlet|??|p|??|??|??|2023|12.5|docg|leve|saladas, aves, queijos leves|seco|=87
91. W|castel del monte bombino|nero rosato docg primaluce 2023 cantine carpentiere wine outlet|??|p|??|??|??|2023|12.5|docg|leve|saladas, aves, queijos leves|seco|=87
92. W|castel del monte bombino|nero rosato docg primaluce 2024 cantine carpentiere|??|p|??|??|??|2024|12.5|docg|leve|saladas, aves, queijos leves|seco
93. W|castel del monte bombino|nero rosato docg primaluce 2024 cantine carpentiere|??|p|??|??|??|2024|12.5|docg|leve|saladas, aves, queijos leves|seco|=92
94. W|castel del monte bombino|nero rosato docg primaluce 2024 cantine carpentiere|??|p|??|??|??|2024|12.5|docg|leve|saladas, aves, queijos leves|seco|=92
95. W|castel del monte|chardonnay doc pietrabianca 2019 tormaresca|??|w|chardonnay|??|??|2019|12.5|doc|leve|frutos do mar, peixes, saladas|seco
96. W|castel del monte|chardonnay doc pietrabianca 2024 bio tormaresca|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
97. W|castel del monte|chardonnay doc pietrabianca 2024 bocca di lupo|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
98. W|castel del monte|chardonnay doc pietrabianca 2024 bocca di lupo|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=97
99. W|castel del monte|chardonnay doc pietrabianca 2024 bocca di lupo|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=97
100. W|castel del monte|doc 1973|??|r|??|??|??|1973|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
101. W|castel del monte|doc bolonero 2019|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
102. W|castel del monte|doc bolonero torrevento|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
103. W|castel del monte|doc bolonero torrevento|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|castel del monte|doc chardonnay pietrabianca 2023 tenuta bocca di lupotormaresca|??|w|chardonnay|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
105. W|castel del monte|doc chardonnay pietrabianca 2024 tenuta bocca di lupotormaresca|??|w|chardonnay|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
106. W|castel del monte|doc pietrabianca 2023 tenuta bocca di lupo|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
107. W|castel del monte|nero di troia doc pietra dei lupi 2021 cantine carpentiere|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
108. W|castel del monte|nero di troia doc pietra dei lupi 2021 cantine carpentiere|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=107
109. W|castel del monte|nero di troia doc pietra dei lupi 2021 cantine carpentiere|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=107
110. W|castel del monte|nero di troia doc pietra dei lupi 2021 cantine carpentiere|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=107
111. W|castel del monte|nero di troia doc pietra dei lupi 2021 cantine carpentiere|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=107
112. W|castel del monte|nero di troia riserva docg ottagono 2018 torrevento|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
113. W|castel del monte|nero di troia riserva docg ottagono 2018 torrevento|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|castel del monte|nero di troia riserva docg ottagono 2018 torrevento|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=112
115. W|castel del monte|nero di troia riserva docg ottagono 2018 torrevento|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=112
116. W|castel del monte|nero di troia riserva docg ottagono 2018 torrevento|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=112
117. W|castel del monte|nero di troia riserva docg ottagono torrevento|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
118. W|castel del monte|nero di troia riserva docg ottagono torrevento|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=117
119. W|castel del monte rivera|1979|??|r|??|??|??|1979|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|castel del monte|rosato doc primaronda torrevento|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
121. W|castel del monte|rosato doc primaronda torrevento|??|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco|=120
122. W|castel del monte|rosato extra dry|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
123. W|castel del monte|rosato primaronda 2025 torrevento|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco
124. W|castel del monte|rosato primaronda 2025 torrevento|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco|=123
125. W|castel del monte|rosato primaronda 2025 torrevento|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco|=123
126. W|castel del monte|rosato primaronda 2025 torrevento|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco|=123
127. W|castel del monte|rosato primaronda 2025 torrevento|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco|=123
128. W|castel del monte|rosso doc bolonero 2020 torrevento wine outlet|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
129. W|castel del monte|rosso doc bolonero 2020 torrevento wine outlet|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|castel del monte|rosso doc bolonero 2020 torrevento wine outlet|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=128
131. W|castel del monte|rosso doc bolonero 2020 torrevento wine outlet|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=128
132. W|castel del monte|rosso doc bolonero 2020 torrevento wine outlet|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=128
133. W|castel del monte|rosso doc bolonero 2022 torrevento|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
134. W|castel del monte|rosso doc bolonero 2022 torrevento|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=133
135. W|castel del monte|rosso doc bolonero 2022 torrevento|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=133
136. W|castel del monte|rosso doc bolonero 2022 torrevento|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=133
137. W|castel del monte|rosso doc bolonero 2022 torrevento|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=133
138. W|castel del monte|rosso doc trentangeli 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
139. W|castel del monte|rosso doc trentangeli 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=138
140. W|castel del monte|rosso doc trentangeli 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=138
141. W|castel del monte|rosso doc trentangeli 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=138
142. W|castel del monte|rosso doc trentangeli 2021 bocca di lupo|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=138
143. W|castel del monte|rosso dop il melograno 2017 santa lucia|??|r|??|??|??|2017|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
144. W|castel del monte|rosso terre del crifo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|castel del monte|rosso trentangeli tormaresca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|castel del monte tormaresca pietrabianca|doc bio|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
147. W|castel del monte tormaresca pietrabianca|doc bio|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|castel del monte tormaresca pietrabianca|doc bio|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=146
149. W|castel del piano luna lies|rosato toscana igt|it|p|??|toscana|??|NV|12.5|igt|leve|saladas, aves, queijos leves|seco
150. W|castel del piano mattagna toscana|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
151. W|castel del piano melampo|pinot nero toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
152. W|castel del piano pepe|nero vermentino nero toscana igt|it|w|vermentino|toscana|??|NV|12.5|igt|leve|frutos do mar, peixes, saladas|seco
153. W|castel del piano pian piano toscana bianco|igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
154. W|castel del sole|pinot grigio valdadige|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
155. W|castel des maures|rose french rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
156. W|castel di bolgheri|flocco|it|r|??|bolgheri|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|castel di parano|zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
158. W|castel di parano|zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=157
159. W|castel di serranova|igp vallone|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
160. W|castel di serranova|igp vallone|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|castel di serranova|rosso igp salento agricole vallone|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
162. W|castel faglia cuvee monogram|saten|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|castel faglia franciacorta|docg brut 125|??|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
164. W|castel faglia monogram cuvee|blanc de blanc brut franciacorta docg italian sparkling wine|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
165. W|castel faglia monogram cuvee franciacorta|blanc de blancs docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
166. W|castel faglia monogram cuvee franciacorta|blanc de blancs docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=165
167. W|castel faglia monogram cuvee franciacorta millesimato|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
168. W|castel faglia monogram cuvee franciacorta|rose docg|??|p|??|??|??|NV|12.5|docg|leve|saladas, aves, queijos leves|seco
169. W|castel faglia monogram cuvee franciacorta saten|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
170. W|castel firmian|cabernet sauvignon italy|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
171. W|castel firmian|cabernet sauvignon trentino doc rotwein wein trocken italien 1 x 0|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
172. W|castel firmian|cabernet sauvignon trentino doc rotwein wein trocken italien 12 x 0|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
173. W|castel firmian|cabernet sauvignon trentino doc rotwein wein trocken italien 3 x 0|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
174. W|castel firmian|cabernet sauvignon trentino doc rotwein wein trocken italien 6 x 0|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
175. W|castel firmian|cabernet sauvignon trentino doc wochy 0|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
176. W|castel firmian|chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
177. W|castel firmian|chardonnay riserva 2023|??|w|chardonnay|??|??|2023|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
178. W|castel firmian|chardonnay riserva 2024|??|w|chardonnay|??|??|2024|12.5|riserva|leve|frutos do mar, peixes, saladas|seco
179. W|castel firmian|chardonnay riserva 2024|??|w|chardonnay|??|??|2024|12.5|riserva|leve|frutos do mar, peixes, saladas|seco|=178
180. W|castel firmian|chardonnay trentino doc 2019|??|w|chardonnay|??|??|2019|12.5|doc|leve|frutos do mar, peixes, saladas|seco
181. W|castel firmian|chardonnay trentino doc weiwein wein trocken italien 1 x 0|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
182. W|castel firmian|chardonnay trentino doc weiwein wein trocken italien 12 x 0|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
183. W|castel firmian|chardonnay trentino doc weiwein wein trocken italien 3 x 0|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
184. W|castel firmian|chardonnay trentino doc weiwein wein trocken italien 6 x 0|??|w|chardonnay|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
185. W|castel firmian|chardonnay trentino reserva 2023|??|w|chardonnay|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
186. W|castel firmian clasico|pinot grigio trentinoalto adige italia|it|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
187. W|castel firmian daben|moscato rosa|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
188. W|castel firmian daben|moscato rosa|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=187
189. W|castel firmian daben|moscato rosa|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=187
190. W|castel firmian daben|moscato rosa 2017 6 bottles|??|w|moscato|??|??|2017|12.5|??|leve|frutos do mar, peixes, saladas|seco
191. W|castel firmian daben|moscato rosa 37 in geschenkdoos 2020|??|w|moscato|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
192. W|castel firmian daben|moscato rosa in geschenkdoos|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
193. W|castel firmian daben|moscato rosa trentino doc 2020 vino dolce|??|w|moscato|??|??|2020|12.5|doc|leve|frutos do mar, peixes, saladas|seco
194. W|castel firmian|fildirose|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|castel firmian fildirose|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|castel firmian fildirose|pinot grigio doc wochy 0|??|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
197. W|castel firmian fildirose|pinot grigio rose|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
198. W|castel firmian fildirose|pinot grigio rose|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=197
199. W|castel firmian fildirose|pinot grigio rose|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=197
200. W|castel firmian fildirose|pinot grigio rose|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=197
201. W|castel firmian fildirose|pinot grigio rose|??|p|pinot grigio|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=197
