W|vinho|tinto seco pinot noir gradevole dom bernardo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco penfolds koonunga hill shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco penfolds koonunga hill shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco penfolds bin 28 shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco pedra cancela selecao do enologo vinho portugues elegante aromas de frutas e toque de cacau macio e equilibrado ideal para massas pizza e momentos especiais|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paulo laureano tinta grossa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paulo laureano eleicao do enologo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paulo laureano classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paulo laureano caricatura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paul mas reserve carignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco pater familiae filius red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paso de los andes syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco parrales pinot noir reserva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco parrales cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco paraduxx|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco papa figos douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco pangea apalta vineyard syrah|cl|r|syrah|colchagua valley|apalta|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco palavrar reserva douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco p lesec chateauneufdupape galets blonds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco othello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco origem merlot casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco origem casa valduga cabernet sauvignon desconto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco opus one 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco omn tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco omikron agiorgitiko|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco old bean truck shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco old bean truck cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ola po merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ola po carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ola po cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco okeanos cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco o imigrante merlottannat don abel|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco numanthia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nuitonbeaunoy pommard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nuitonbeaunoy bourgogne pinot noir reserva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nuestro roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nuestro 20 meses ribera del duero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nove ilhas capella dos campos f lemos de almeida|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nossa calcario bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco norton select malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco norton altura malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nobodys hero pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nobile rubin logodaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nebbiolo d alba doc terredavino|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco narracion syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco narracion carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco narracion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nacional sem alcool la dorni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco nacional cabernet sauvignon merlot vivant pack 4 latas cada|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco murua reserva rioja doc|es|r|??|rioja|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco muga selecao especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco muga reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mount hermon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mouchao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mosquita muerta blend de tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco morvalley douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco morso di lupo tannat dom bernardo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco morande selected blocks pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco morande selected blocks cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes classic reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes classic reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha syrahano 2021vm003ou em ate12xno cartao de creditoa vista5 desconto|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=105
W|vinho|tinto seco montes alpha special cuvee pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha special cuvee chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vinho|tinto seco montes alpha pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha carmenereano 2021vm002ou em ate12xno cartao de creditoa vista5 desconto|??|r|carmenere|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha cabernet sauvignon 750 mlano 2021 pode haver variacao de safravm001ou em ate12xno cartao de creditoa vista5 desconto|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco montes alpha cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monteleone qubba etna rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monte velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monte meao vinha da cantina douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monte meao casa das maquinas douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monte do pintor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monte bernardi saetta chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monsieur nicolas messenicola red pdo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco monsaraz reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mob lote 3 doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo wild gamay nouveau|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo vinhas velhas tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo touriga nacional single vineyard|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo single vineyard pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo selecao cabernet sauvignon e merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto seco miolo reserva tempranillo|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco miolo quinta do seival castas portuguesas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco milla cala|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mil demonios pirata cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mil demonios malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mil demonios lucifer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mil demonios gitano blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mil demonios assemblage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco microlote syrah uvva|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco michelli villa francioni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco michele chiarlo la court nizza riserva docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco michele chiarlo barolo cerequio 2015 docg|??|r|??|??|??|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco michele chiarlo barolo cannubi 2019 docg|??|r|??|??|??|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco michele chiarlo barbaresco asili 2020 docg|??|r|??|??|??|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlotcabernet lote 43 miolo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot zanotto campestre|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot vistamontes|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot varanda|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot tres dons don laurindo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot terroir miolo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot terroir casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot temisto vezzi maximo boschi|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot storia casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot sta lucia larentis|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot sinais don guerino|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot reserva pizzato|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot reserva garibaldi|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot reserva dunamis|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot reserva don laurindo|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot reserva almaunica|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot rastros do pampa guatambu|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot passaro da lua cardenas|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot paradoxo salton|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot nova morada campestre|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot inovum vistamontes|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot hectare don abel|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot gran reserva loma negra|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot gioia aurora|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot fausto pizzato|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot familia lemos de almeida|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot faces do brasil lidio carraro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot emersao cardenas|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot don giusepp|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot don giusepp|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=175
W|vinho|tinto seco merlot dna 99 single vineyard dovv pizzato|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot desejo salton|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot de merlots reserva pizzato|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot collezione rar|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot classico salvattore|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot classico luiz argenta|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot chucaro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot castellamare sao joao|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot capoani|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot calhaus terragnolo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot biografia maximo boschi|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot bacalhoa|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot avvento rar|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot arbo casa perini 1|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot arbo casa perini|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot almejo familia bebber|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco merlot agnus lidio carraro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco memoravel don laurindo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco melnik 55 logodaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco melnik 55 logodaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=195
W|vinho|tinto seco melnik 55 logodaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=195
W|vinho|tinto seco meandro do vale meao douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco maximinus thrax mavrud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mastrojanni vigna schiena d asino brunello di montalcino docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco mastrojanni vigna loreto brunello di montalcino docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco maso alto san michele|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselanmalbec clarete larentis|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan terroir exclusivo casa valduga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan terragnolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan tannat campanha salton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan reserva familia bebber|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan racconto maximo boschi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan double terroir valmarino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan cepas larentis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan cave antiga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan campanha salton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco marselan boulder terragnolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
