W|cantina mesa|giunco|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|doc|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2025|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|NV|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|cantina nuraghe crabioni|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|cantina del mandrolisai|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|audarya|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|contini|mamaioa bio|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|argiolas|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|santa maria la palma|aragosta frizzante|it|s|vermentino|sardegna|??|NV|12|igt|medio|peixes; frutos do mar; saladas|seco
W|santa maria la palma|aragosta|it|w|vermentino|sardegna|??|2024|13|doc|medio|peixes; frutos do mar; saladas|seco
W|antonella corda|vermentino di sardegna|it|w|vermentino|sardegna|??|2023|13|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta lariosa|albalena|it|w|vermentino|sardegna|??|2024|13|??|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|vermentino di sardegna 2025|it|w|vermentino|sardegna|??|2025|13|??|medio|peixes; frutos do mar; saladas|seco
W|argiolas|costamolino|it|w|vermentino|sardegna|??|2024|13|??|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|vermentino di sardegna 2024|it|w|vermentino|sardegna|??|2024|13|??|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|vermentino di sardegna|vermentino di sardegna|it|w|vermentino|sardegna|??|NV|13|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta monteverro|vermentino di monteverro|it|w|vermentino|toscana|??|2021|13|igt|medio|peixes; frutos do mar; saladas|seco
W|capichera|vignangena|it|w|vermentino|sardegna|gallura|2021|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vigna ngena|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|petra bianca|sonnai vendemmia tardiva|it|d|vermentino|sardegna|gallura|2022|11|docg|medio|sobremesas; queijos azuis; frutas|doce
W|ugone iii|vermentino di gallura docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li signori|tandu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tandu|vermentino di gallura docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|vignangena|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|aghiloja|oro superiore|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenuta muscazega|nughes|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li seddi|li pastini|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li seddi|lagrimedda|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute faladas|kenalia|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|jankara|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute pische|greuli|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|fiore del sasso|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li signori|emmu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li signori|emmu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|emmu|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|emmu|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina tani|taerra|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li duni|renabianca|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li duni|nozzinna|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|2022|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|maia|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|maia|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|maia|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|bacchjera|li muri|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kintari|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina tondini|katala|it|w|vermentino|sardegna|gallura|2021|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|piero mancini|cucaione|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|piero mancini|cucaione|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|masone mannu|costarenas|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|masone mannu|costarenas|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|biancosmeraldo|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|biancosmeraldo|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|biancosmeraldo|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|beru|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|beru|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|beru|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kramori|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kramori|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kramori|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kramori|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|kramori|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute satta|massaieddhu|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|piero mancini|cucaione|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|piero mancini|cucaione|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|clos atlantis|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|canayli|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute campianatu|campianatu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina sassu vini|bianco sassu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute s abbaidolza|altore di galluras|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino di monti|aghiloja|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|vermentino di gallura|superiore|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cucaione|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sienda|vermentino di gallura docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino di monti|seleme oro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino di monti|seleme oro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino|seleme|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino|seleme|it|w|vermentino|sardegna|gallura|2022|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|piras|vermentino di gallura|it|w|vermentino|sardegna|gallura|2022|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|montidimola vendemmia tardiva|it|d|vermentino|sardegna|gallura|NV|11|docg|medio|sobremesas; queijos azuis; frutas|doce
W|surrau|monti di mola|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|sella mosca|monteoro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina depperu|luris|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute olbios|lupus in fabula|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute olbios|lupus in fabula|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino di monti|funtanaliras oro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino di monti|balari frizzante|it|s|vermentino|sardegna|gallura|NV|12|docg|medio|peixes; frutos do mar; saladas|seco
W|contini|elibaria|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|contini|elibaria|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|contini|elibaria|it|w|vermentino|sardegna|gallura|2016|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|contini|elibaria|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|zanatta|vermentino di gallura docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vignangena|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vignangena|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vignangena|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vigna ngena|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|capichera|vigna ngena|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|terra e mare|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|terra e mare|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|unmaredivino gioacchino sini|terra e mare|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|saraja|tarra noa|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|superbia|vermentino di gallura superiore docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute gregu|selenu|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|la contralta|fiore del sasso|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|carasole|vermentino di gallura docg|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina gallura|canayli|it|w|vermentino|sardegna|gallura|2022|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|nozzinna|vermentino di gallura amabile|it|w|vermentino|sardegna|gallura|NV|13|docg|medio|peixes; frutos do mar; saladas|demi-sec
W|porphyrio|vermentino di gallura superiore|it|w|vermentino|sardegna|gallura|2023|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|spera|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|spera|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|siddura|spera|it|w|vermentino|sardegna|gallura|2024|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantina del vermentino monti|seleme oro|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|cantine monti|seleme oro|it|w|vermentino|sardegna|gallura|2025|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|surrau|sciala|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|mancini|sa raina|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|tenute gregu|rias|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|masone mannu|petrizza|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|masone mannu|petrizza|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
W|li duni|nou|it|w|vermentino|sardegna|gallura|NV|13.5|docg|medio|peixes; frutos do mar; saladas|seco
