W|rose|cabriz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bucaco rosado reservado 2020|??|p|??|??|??|2020|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|bucaco rosado reservado 2018|??|p|??|??|??|2018|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|bucaco rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brisas del valle carmenere|??|p|carmenere|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brisas del este tannat uruguai 2020|??|p|tannat|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brisas del este rose uruguai 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bridao classico doc tejo|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|brejinho da costa selection 2020 peninsula de setubal|pt|p|??|setubal|??|2020|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro vinicola fin merlot maragato|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro tradicao licoroso|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro terroir xxvii|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro terras altas cava do bosque|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|brasileiro terras altas cava do bosque|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=38
W|rose|brasileiro sauv lata|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro sauv lata|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=40
W|rose|brasileiro quinta da neve rosa da neve|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro movin lata|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro monte paschoal pinot noir rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro maria maria|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro lovin pack com 4 unidades de cada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro leve frutado naturelle casa valduga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro frisante lunae|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro fausto merlot pizzato|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro don guerino sinais|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro dal pizzol rose de franc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro aurora marcus james reservado|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro aurora marcus james reservado|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=52
W|rose|brasileiro almaden vintage blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|brasileiro allegro lorena demisec|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bottiglia rosata|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|botas douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|bossa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bossa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=58
W|rose|bossa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=58
W|rose|bordo selecao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bordo de mesa seco don giusepp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bordo de mesa seco don giusepp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=62
W|rose|bordeaux rose 2020|fr|p|??|bordeaux|??|2020|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|rose|bordeaux mouton cadet|fr|p|??|bordeaux|??|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|rose|bons ventos fresh kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bons ventos fresh 3 und|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bons ventos fresh|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bons ventos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bliv organico rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bliv organico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bliv organico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=71
W|rose|bliv organico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=71
W|rose|blend calamares|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|binivista 358o massanella 2021 sencelles maiorca espanha|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bicicleta pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beyra tempranillo 2023 beira interior|??|p|tempranillo|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beyra quartz 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beyra cuvee especial 2022 doc beira interior|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beyra 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bertoletti|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bersaglio rosato villa olimpia martoccia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|benjamin nieto senetiner syrah merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bella sutil|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bella rose de pinot noir 2022|??|p|pinot noir|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bella elegance pinot noir 2022 ivv portugal|??|p|pinot noir|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beijo de mulher touriga nacional pinot|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beijo de mulher touriga nacional pinot|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=87
W|rose|beaujolais villages rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beaujolais villages rose 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beaujolais villages rose 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco|=90
W|rose|beaujolais rose le petit ami 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|beaujolais rose la galoche 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bastardo 2020 regional tejo|pt|p|??|tejo|??|2020|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|baron philippe de rothschild reserva chile|cl|p|??|valle central|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|baron de funes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|baron darignac|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|baron darignac|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=97
W|rose|baron darignac|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=97
W|rose|bardolino chiaretto doc veneto corte noa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|barcos wines vinho verde fvine meio seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|barcos wines verde conserva|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|badoxa douro colheita doc|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|bacalhoa touriga franca 2018 peninsula de setubal|pt|p|??|setubal|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|bacalhoa roxo 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|bacalhoa moscatel roxo 2023 peninsula de setubal|pt|p|moscatel|setubal|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|bacala|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|avidagos 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|aveleda casal garcia sweet|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|autocarro no13 2023 regional peninsula de setubal|pt|p|??|setubal|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|author superior merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|audrey seco la jovem luiz argenta|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|audrey la jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|atlantis tinta negra madeira 2023|??|f|palomino|??|??|2023|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|assobio 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arvad colheita 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arteviva especial juju rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|artefacto 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|artefacto|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arte viva sinonimos pinot marselan 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arte 04 blend gewurztraminer e malbec casa valduga|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|art de vivre languedoc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arrojo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arrogant frog|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arrogant frog|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=124
W|rose|arrogant frog|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=124
W|rose|arrivo 31|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arrivo 31|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=127
W|rose|arribas do douro 2022 doc douro portugal seco refrescante e aromatico ideal para dias quentes|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|argento rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino viejo isaias malbec rosado|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino trivento malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino the grill master|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
X
W|rose|argentino susana balbo signature|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino susana balbo crios malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino susana balbo crios malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=136
W|rose|argentino susana balbo crios malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=136
W|rose|argentino sottano malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino siempre tengo un plan b pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino san telmo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino san telmo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino perro callejero|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino perro callejero|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=143
W|rose|argentino pascual toso estate|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino orange nature brut alma negra|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|argentino norton sexy fish rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino norton porteno|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino nieto senetiner benjamin|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino nieto senetiner believe in rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino mosquita muerta garrafa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino mosquita muerta cordero com piel de lobo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino minimalista|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino minimalista|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=153
W|rose|argentino marques del sur|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino malbec trivento|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino malbec catena|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino latitud 33 malbec garrafa|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino latitud 33|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino las perdices malbec chac chac|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino las invernadas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino las estancas blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino las estancas blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=162
W|rose|argentino la mascota|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino humberto canale blush merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino hereford leve 3 pague 2|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino hereford|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino finca los primos malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino finca la linda|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino dona paula malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino crotta|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino cordero malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino cordero con piel de lobo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino cordero con piel de lobo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=173
W|rose|argentino club de playa suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|argentino clos de argentine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino catena de la provincia de mendoza|ar|p|??|mendoza|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino callia rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino bodega san telmo 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino blend talacasto|it|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino bianchi sonador blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino bianchi soador blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino bianchi malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino antonieta pinot noir rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino antigal uno|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino andeluna edicao limitada malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino amalaya|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino altos del condor rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino alfredo roca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|argentino alfredo roca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=189
W|rose|argentina the grill master blend|ar|p|??|mendoza|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aresti cabina 56 mandala|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|arca nova 2024 vinhos verdes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aradon rioja garnacha|es|p|garnacha|rioja|??|NV|12.5|DOCa|medio|saladas, sushi, petiscos|seco
W|rose|aphros phaunus pet nat 2023 vinhos verdes|??|s|chardonnay, pinot noir|??|??|2023|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
X|=134
X|=134
W|rose|aop cotes daix en provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aop cotes daix en provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=198
W|rose|aop cotes daix en provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=198
W|rose|anubis malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|anubis malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=201
W|rose|anubis|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|antonio saramago|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|antonio marinha reserva|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|anna habitat don bonifacio|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|anna barricado don bonifacio|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aneto 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|ana grazi syrah malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ana grazi caetano vicentino 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|amour de tropez aoc cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ammiraglia alie frescobaldi|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|amitie merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|amitie colheitas tempranillo|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|americano white zinfandel california gallo family|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|americano sutter home zinfandel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|americano sutter home white zinfandel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|americano sutter home white zinfandel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=217
W|rose|amalaya|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alturas de chile selection blend 2023|cl|p|??|valle central|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|altos los romeros cabernetmerlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|altas quintas 600 2024 075|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alpes de haute provence soleil des alpes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alpes de haute provence soleil des alpes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=223
W|rose|alpes de haute provence perle de valensole|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alpaca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alpaca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=226
W|rose|almotriga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|almejo tannat merlot familia bebber|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|almejo classico tannat merlot 2025 bebber|??|p|merlot|??|??|2025|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|almejo classico tannat merlot 2025|??|p|merlot|??|??|2025|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alias outrora 2019 bairrada|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alfredo roca fincas merlot seco|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alfredo roca fincas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alento alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|alentejano terras de estremoz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alentejano artterra curtimenta|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alemao blue nun pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|albert bichot cest la vie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|albert bichot cest la vie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=239
W|rose|albert bichot cest la vie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=239
W|rose|alamos catena zapata malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|alambrado etiqueta negra malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|al lince 2016|??|p|??|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ajuda 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|aire de protos rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aire de protos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|aire de protos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=247
W|rose|aire de protos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=247
W|rose|aguia moura 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
