W|portugues quinta da lixa aromas das castas|castas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues putos carmim|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues putos carmim|alentejo tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues putos|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues prunus|doc dao|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues prunus|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues prophecia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues prophecia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues procura|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues procura|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=34
W|portugues primoroso|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X
X|=37
X|=37
X|=37
X|=37
W|portugues post scriptum prats symington|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porttable arribas|do douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues|porto valdouro tamny port tinto|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto valdouro ruby port tinto|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto taylors 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto statement white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto seguro ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto ruby ceremony tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto royal palace fine white port|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto royal palace fine tawny port|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto royal palace fine ruby port|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto reccua tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto pocas tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto pocas tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto pocas tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=55
W|portugues|porto messias tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto messias ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto intermares tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto intermares ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto fine croft tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto ferreira dona antonia reserva tawny tinto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto dom jose tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto dom jose ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto croft vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto croft tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto croft ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto club des sommeliers tawny gfa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto club des sommeliers ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto ceremony white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=71
W|portugues|porto calem velhotes ruby porto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|porto 10 anos dom manuel|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues portas|do sol tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues portas|do sol tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=75
W|portugues portas|do sol branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues portas de s pedro|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portas de s pedro|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues portas da luz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues portas da luz|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portas da luz algarve|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues portada winemakers selection|rose premiado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portada|tinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues portada|tinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=84
W|portugues portada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues portada|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portada|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=87
W|portugues portada lote dfj|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portada lote dfj|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=89
W|portugues portada lote dfj|dfj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues portada dfj|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues portada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues portada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=93
W|portugues porta nova vinho verde|classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta nova vinho verde|classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=95
W|portugues porta nova vinho verde|classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=95
W|portugues porta|do monte alentejano tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta|do monte alentejano rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues porta|do monte alentejano branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues porta da tapada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta da tapada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues porta da ravessa|alentejo tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta da ravessa alen|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues porta 6 verde|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta 6 verde|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=105
W|portugues porta 6 verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta 6|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues porta 6|rose vidigal wines|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues porta 6|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=110
W|portugues porrais|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues porca de murca|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ponte mouchao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ponte da barca|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ponte da barca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues poento tt|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues poento|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues poento|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pocas|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues pocas|porto ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues planalto|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues piteira vinhas velhas|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pitch casa santos lima|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pitch algarve|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pitch algarve|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pintus|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pintus adega de borba seco bland|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pintus adega de borba seco bland|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pintus adega de borba seco bland|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pinta negra|rose adegamae rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues periquita|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues periquita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues periquita|rose meio seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues periquita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues periquita|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues periquita|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues periquita|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=137
W|portugues periquita|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=137
W|portugues periquita|branco meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues periquita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues periquita|periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues perereca|do monte tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues perereca|do monte tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=143
W|portugues perereca|do monte tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=143
W|portugues perereca|do monte rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues perereca|do monte rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=146
W|portugues perereca|do monte branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues peramanca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues peramanca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=149
W|portugues peramanca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=149
W|portugues pera manca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pera manca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=152
W|portugues pequeno pintor|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pegoes|setubal moscatel rose|pt|p|moscatel|setubal|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues pedras negras abafado|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pedra cavada|touriga nacional touriga franca tinta roriz tinto cao e tinta francisca douro|pt|s|chardonnay, pinot noir|douro|??|NV|12|DOC|medio|aperitivos, frutos do mar, canapes|brut
W|portugues pedra cancela|tinto dao caixa c6un|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pedra cancela selecao enologo|dao branco|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues pedra cancela|dao tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues paulo laureano escolha bacalhau|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pauliteiros|rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pateo das cantigas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues paredes meias|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues paredes meias|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pardalito sweet|sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pardalito|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pardalito|doc verde branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pardalito|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pardal montes|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues parcelas|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues parcelas|dao casa santos lima tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues parcelas|dao casa santo branco|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues papa figos|tinto casa ferreirinha douro seco 13 vol frutado encorpado e elegante com notas de frutas vermelhas e toque de baunilha|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues papa figos|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues papa figos|douro casa ferreirinha|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues papa figo|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues palacio dos tavoras|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues palacio dos tavoras|gold edition tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues palacio dos tavoras alicante bouschet|bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pais das uvas|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pais das uvas|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues pacos de borba bland|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pacheca terroir|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pacheca terroir|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=185
W|portugues pacheca pink|pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues pacheca pink|pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=187
W|portugues pacheca lagrima|lagrima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pacheca lagrima|lagrima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=189
W|portugues pacheca grande|douro branco|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|portugues pacheca grande|douro branco|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco|=191
W|portugues pacheca|douro premium tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pacheca|douro premium tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=193
W|portugues pacheca|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues pacheca|doc douro rose seco|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues origens|regional alentejano|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues olaria|tinto bag in box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues olaria|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues olaria|suave rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|portugues olaria|suave branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|portugues olaria|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|portugues olaria|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues olaria|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues nieport|dao tinto|pt|f|palomino|dao|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues nbnc|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues muralhas de moncao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues moxo real|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues moscatel|douro favaios|pt|w|moscatel|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues moscatel de|setubal cadeado|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues mosaico|tinto opaco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico|tinto colheita selecao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues mosaico|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues mosaico|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico|premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico de portugal verde|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues mosaico de portugal verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico de portugal|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico de portugal|premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico de portugal grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico de portugal alvarinho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues mosaico coleita selecao|selecao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues mosaico|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues mosaico algarve|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues mosaico algarve|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=226
W|portugues morabitino|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues montes de la|branco alentejo 2020|pt|w|??|alentejo|??|2020|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|portugues montes de la reconhecimento|tinto alentejo 2019|pt|r|??|alentejo|??|2019|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues montes claros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues montes claros|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues montes claros|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues monteiro torres|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues monteiro torres|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=234
W|portugues monteiro torres|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues monteiro torres|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=236
W|portugues monteiro torres|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues monteiro torres|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=238
W|portugues monte velho|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
