W|gitton|pere et fils sancerre lamiral|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|ojaleshi|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|rkatsiteli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|saperavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|saperavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|giuaani|saperavi barrel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|saperavi barrel|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|saperavi qvevri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|saperavi rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giuaani|tvishi|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|tvishi white semisweet|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|giuaani|winery khvanchkara red semisweet|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuaani|winery kindzmarauli semisweet saperavi|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuaani|winery kisimtsvane qvevri|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|winery manavi dry white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuaani|winery ojaleshi dry red|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|winery saperavi barrel|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|winery saperavi qvevri|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuaani|winery tvishi semisweet white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|giuale|famiglia demelas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuale|mandrolsai doc famiglia demelas|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giuan|giuan|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giubilo|giubilo|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giudalberto|igt|??|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giudicelli|blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giudicelli|rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giudicelli|rouge terra rossa|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuffa|domaine de lagramante|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuffa|domaine de lagramante|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=85
W|giuilianos|hot banana wax peppers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giul|serata prosecco nv 110 abv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giulani|rosati rosso toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulano|tartufi 100|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulano|tartufi 250|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulano|tartufi 350|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulano|tartufi 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulano|tartufi 90|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|giulia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|barbera d asti ferro carlo|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|distillerie berta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|monteleone etna bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|monteleone etna rosso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|monteleone qubba|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|monteleone rumex|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|monteleone rumex|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|monteleone vino anthemis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|murola marche igt wochy|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri nebbiolo pian delle mole langhe|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera d alba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|giulia|negri barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|giulia|negri barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|giulia|negri barbera dalba doc serradenari|??|r|barbera|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo docg la tartufaia|it|r|??|barolo|barolo|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo docg marassio|it|r|??|barolo|barolo|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo docg serradenari|it|r|??|barolo|barolo|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|giulia|negri barolo la tartufaia vivino 41|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=132
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|giulia|negri barolo la tartufaia|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo la tartufaia docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=143
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio piedmont italy|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=152
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=152
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=152
W|giulia|negri barolo marassio case only|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo marassio rouge|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=162
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=166
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=166
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giulia|negri barolo serradenari piedmont italy|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|giulia|negri barolo serradenari|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serradenari docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|giulia|negri barolo serradenari piedmont|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo serrandenari|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|giulia|negri barolo tartufaia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri barolo tartufaia piedmont|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri chardonnay langhe doc la tartufaia|it|w|chardonnay|langhe|langhe|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giulia|negri doc barbera dalba rouge|??|r|barbera|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri doc barbera dalba rouge|??|r|barbera|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giulia|negri doc barbera dalba rouge|??|r|barbera|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giulia|negri doc barbera dalba rouge|??|r|barbera|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giulia|negri doc langhe rouge|it|r|??|langhe|langhe|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri doc langhe rouge|it|r|??|langhe|langhe|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|giulia|negri doc langhe rouge|it|r|??|langhe|langhe|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|giulia|negri doc langhe rouge|it|r|??|langhe|langhe|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=199
W|giulia|negri la tartufaia barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri la tartufaia barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri lange chardonnay la tartufaia|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|negri langhe chardonnay la tartufaia|it|w|chardonnay|langhe|langhe|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|negri langhe chardonnay la tartufaia case only|it|w|chardonnay|langhe|langhe|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulia|negri langhe doc nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo doc pian delle mole|it|r|nebbiolo|langhe|langhe|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo pian delle mole|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo pian delle mole|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo pian delle mole|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe nebbiolo pian delle mole|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|giulia|negri langhe nebbiolo pian delle mole|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|giulia|negri langhe nebbiolo pian delle mole case only|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulia|negri langhe pinot nero la tartufaia|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
