W|dalva|10 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 year tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 years 37|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 years dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|20 years tawny port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|20 yo dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva 20yr|white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|30 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|30 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce|=30
W|dalva|30 anos porto engarrafado em 1973|pt|f|??|??|??|1973|20|??|encorpado|sobremesas, queijos|doce
W|dalva|30 anos porto engarrafado em 1980|pt|f|??|??|??|1980|20|??|encorpado|sobremesas, queijos|doce
W|dalva|30 anos tawny porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|30 ar|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars 12 fl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars tawny portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 ars tawny portvin eksklusiv smagsoplevelse|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 years 37|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|30 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 anos dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|40 anos porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|40 anos porto engarrafado em 1972|pt|f|??|??|??|1972|20|??|encorpado|sobremesas, queijos|doce
W|dalva|40 anos tawny porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|40 anos white porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva|40 ar|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 ars|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 ars 12 fl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 ars portvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|40 ars tawny porto 2022|pt|f|??|??|??|2022|20|??|encorpado|sobremesas, queijos|doce
W|dalva|40 years dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|40 yo dry white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva|5 estrelas reserve porto|pt|f|??|??|??|NV|20|RESERVE|encorpado|sobremesas, queijos|doce
W|dalva|50 years old tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva|50 years very old tawny port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva biologico|biologico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva biologico|branco 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva branco|branco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva branco|biologico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva branco|porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalva branco|seco porto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|dalva bruto|branco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva bruto|branco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=67
W|dalva bruto|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva bruto|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=69
W|dalva c|da silva dry white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva c|da silva rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva c|da silva ruby port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva c|da silva tawny port|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1934|fr|r|??|??|??|1934|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1934|fr|r|??|??|??|1934|13.5|??|encorpado|carne vermelha, queijo|seco|=75
W|dalva colheita|1937|fr|r|??|??|??|1937|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1950|fr|r|??|??|??|1950|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1950|fr|r|??|??|??|1950|13.5|??|encorpado|carne vermelha, queijo|seco|=78
W|dalva colheita|1968|fr|r|??|??|??|1968|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1968|fr|r|??|??|??|1968|13.5|??|encorpado|carne vermelha, queijo|seco|=80
W|dalva colheita|1968 dry white|fr|w|??|??|??|1968|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|1975|fr|r|??|??|??|1975|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1975|fr|r|??|??|??|1975|13.5|??|encorpado|carne vermelha, queijo|seco|=83
W|dalva colheita|1982|fr|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1982|fr|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco|=85
W|dalva colheita|1982|fr|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco|=85
W|dalva colheita|1982 porto|pt|f|??|??|??|1982|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1982 porto|pt|f|??|??|??|1982|20|??|encorpado|sobremesas, queijos|doce|=88
W|dalva colheita|1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco|=90
W|dalva colheita|1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco|=90
W|dalva colheita|1985 20|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1985 porto|pt|f|??|??|??|1985|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1985 porto|pt|f|??|??|??|1985|20|??|encorpado|sobremesas, queijos|doce|=94
W|dalva colheita|1985 portvin|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1989 golden white port|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|1989 golden white port 0|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco|=99
W|dalva colheita|1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco|=99
W|dalva colheita|1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco|=99
W|dalva colheita|1990 port wine portugal 20|pt|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1990 porto|pt|f|??|??|??|1990|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1990 porto|pt|f|??|??|??|1990|20|??|encorpado|sobremesas, queijos|doce|=104
W|dalva colheita|1990 portvin|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco|=107
W|dalva colheita|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco|=107
W|dalva colheita|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco|=107
W|dalva colheita|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco|=107
W|dalva colheita|1991 porto|pt|f|??|??|??|1991|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1991 porto|pt|f|??|??|??|1991|20|??|encorpado|sobremesas, queijos|doce|=112
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=114
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=114
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=114
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=114
W|dalva colheita|1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=114
W|dalva colheita|1992 porto|pt|f|??|??|??|1992|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco|=121
W|dalva colheita|1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco|=121
W|dalva colheita|1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco|=121
W|dalva colheita|1994 porto|pt|f|??|??|??|1994|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1994 porto|pt|f|??|??|??|1994|20|??|encorpado|sobremesas, queijos|doce|=125
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dalva colheita|1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=127
W|dalva colheita|1995 eksklusiv portvin til 449 dkk|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1995 porto|pt|f|??|??|??|1995|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1995 portvin|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1997 porto|pt|f|??|??|??|1997|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco|=137
W|dalva colheita|1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco|=137
W|dalva colheita|1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco|=137
W|dalva colheita|1999 elegant portvin fra 1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|1999 porto|pt|f|??|??|??|1999|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|1999 porto|pt|f|??|??|??|1999|20|??|encorpado|sobremesas, queijos|doce|=142
W|dalva colheita|2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco|=144
W|dalva colheita|2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco|=144
W|dalva colheita|2000 porto|pt|f|??|??|??|2000|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|2001|fr|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2001|fr|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco|=148
W|dalva colheita|2002|fr|r|??|??|??|2002|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2002 porto|pt|f|??|??|??|2002|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco|=152
W|dalva colheita|2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco|=152
W|dalva colheita|2004 port|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2004 porto|pt|f|??|??|??|2004|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco|=157
W|dalva colheita|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco|=159
W|dalva colheita|2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco|=159
W|dalva colheita|2007 white|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|2007 white|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco|=162
W|dalva colheita|2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco|=164
W|dalva colheita|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=166
W|dalva colheita|2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco|=166
W|dalva colheita|2011 porto|pt|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|2011 white|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|2011 white|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco|=170
W|dalva colheita|2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|2014 port|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|branco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|douro world heritage 2001|pt|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|douro world heritage 2001|pt|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco|=175
W|dalva colheita|golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco|=177
W|dalva colheita|golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco|=177
W|dalva colheita|golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco|=177
W|dalva colheita|golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco|=177
W|dalva colheita|golden white 1963 eksklusiv portvin|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco|=183
W|dalva colheita|golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco|=183
W|dalva colheita|golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco|=183
W|dalva colheita|golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco|=183
W|dalva colheita|golden white 1971 eksklusiv portvin|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white 1971 porto|pt|f|??|??|??|1971|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|golden white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco|=190
W|dalva colheita|golden white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco|=190
W|dalva colheita|golden white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco|=190
W|dalva colheita|golden white 1989|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco|=190
W|dalva colheita|golden white 1989 hvid portvin kvalitet|fr|w|??|??|??|1989|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|golden white port 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|hvid 2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|hvid tawny 2007 udsalg til 349 dkk|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|limited edition 1934|fr|r|??|??|??|1934|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|magnum 2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1934|fr|r|??|??|??|1934|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1967|fr|r|??|??|??|1967|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1975|fr|r|??|??|??|1975|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1982|fr|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1982|fr|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco|=204
W|dalva colheita|port 1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco|=206
W|dalva colheita|port 1985|fr|r|??|??|??|1985|13.5|??|encorpado|carne vermelha, queijo|seco|=206
W|dalva colheita|port 1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco|=209
W|dalva colheita|port 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=211
W|dalva colheita|port 2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|port golden white 1963|fr|w|??|??|??|1963|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|port golden white 1971|fr|w|??|??|??|1971|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|porto 1997|pt|f|??|??|??|1997|20|??|encorpado|sobremesas, queijos|doce
W|dalva colheita|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalva colheita|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=219
W|dalva colheita|tardia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tardia 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tardia 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tardia 2015 37|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tawny 1950|fr|r|??|??|??|1950|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tawny 1992 eksklusiv portvin fra 90erne|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tawny 1992 portvin|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tinto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tinto douro doc 2022|pt|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|dalva colheita|tinto douro doc 2022|pt|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco|=229
W|dalva colheita|white 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco|=231
W|dalva colheita|white 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco|=231
W|dalva colheita|white 2011|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white 2011|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco|=234
W|dalva colheita|white 2011|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco|=234
W|dalva colheita|white 2015|fr|w|??|??|??|2015|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white port 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white port 2011|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheita|white tawny 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva colheito|douro branco doc 2024|pt|r|??|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|dalva colheito|douro branco doc 2024|pt|r|??|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco|=242
W|dalva dalva|very old white tawny 50 ars nv|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva douro|doc tinto 2022|pt|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|dalva douro|reserva doc 2021|pt|r|??|??|??|2021|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva douro|reserva tinto|pt|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalva dry|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=248
W|dalva dry|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=248
W|dalva dry|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=248
W|dalva dry|white 10 anos|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white 10 ars|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white 20 anos|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white 20 ars|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white 40 ar|ar|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white 40 ars|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white colheita 1968|fr|w|??|??|??|1968|12.5|??|medio|peixe, frutos do mar|seco
W|dalva dry|white port nv|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
