W|large|leather purse black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dried fruit and nut platter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dreidel stand noahs ark|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dreidel stand jerusalem sham|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|double jigger|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|double float stinson|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|door bell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|doodle cotton shopper|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dog bones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|diecast james aeg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|diecast engine kenji|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|diecast engine gordon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|diecast edward|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|diecast carly aeg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dessert tray|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|deli box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|deep bin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dark green ceramic vase|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|dancing with music nightlight peter rabbit strawberries|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|daisy mumluk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|large|crosby pippa true linen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|crosby pippa light gold pearl metallic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|cranberry orange pecan baked brie egift|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|cranberry orange pecan baked brie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|coteaux bourguignons|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|corrugated kit tray large box for sandwiches|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|collapsible laundry baskets|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|clear satinfinished knights set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic menorah multicolor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic menorah blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic menorah black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic hanukkah menorah natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic hanukkah menorah multicolor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|classic hanukkah menorah blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|church pillar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|cholla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|chilopites 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|chickpeas suntat 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|chick peas in vacuum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|charcuterie board|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|chantaco pique leather billfold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|large|capacity folding bike basket frontrear heavy duty bicycle basket with removable liner bag deformation resistant and easy to install|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|butchers box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|butchers box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=107
W|large|burgundy snails x48 frozen|fr|r|??|burgundy|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|burgundy snails x12 chilled|fr|r|??|burgundy|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|brown cholla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|british porchetta roasting joint 33kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|briefcase|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|boxed lunch|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|large|box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|large|bow slingback shoes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|bottles of champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|large|blue bunny 30cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|black ripe pitted olives|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|black mezonot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|black faced sheep with hair|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|black african basket|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|bite plate large bite plate fig violet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|biogreco 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|bear|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|beaded rooster|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|basket holds 56 bottles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|banana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|baking cups fsc mix 240 cups|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|baking cups fsc mix|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|bags|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|bag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|auto bottom shipping box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|astor hobo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|and medium zipper bag combo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|aluminium pomegranatered|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|aluminium pomegranate open natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|alpaca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|almond pear crostata di pere tart 14 slices frozen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|acornfed iberian black pork ham gran reserva pata negra 7kg|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|large|60100|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|35cm sitting christmas bear with hat and bow|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|28|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|large|18pieces nodamage elastics bright colored|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
X
W|largas de|januca en caja de regalo 10cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larga valley|by novak saperavi rosu sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larga|historia organic garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larga|historia garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larga|historia garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=153
W|larga|historia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larford|larford|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larete de|thau piquepoul terret languedoc france|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larete de|thau piquepoul terret cotes de thau|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larete de|thau piquepoul terret|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lares|wicked liquid oregon white|us|r|??|oregon|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lares|tymora red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lares|chimera pet nat|??|s|??|??|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lares|babel rose willamette valley usa|us|p|??|willamette|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larentis|vinho tinto reserva tannat|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|vinho tinto reserva malbec|??|r|malbec|??|??|2021|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|vinho tinto reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|vinho tinto cofermentado tannat viognier|??|w|viognier|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|vinho tinto cepas selecionadas marselan|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|vinho tinto cepas selecionadas ancellotta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|vigna doro merlot bag in box|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|vigna doro merlot bag in box|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=170
W|larentis|vigna doro chardonnay e resling bag in box|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|vigna doro chardonnay e resling bag in box|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=172
W|larentis|vigna doro cabernet sauvignon bag in box|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|vigna doro cabernet sauvignon bag in box|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=174
W|larentis|vigna doro bag in box merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|vigna doro bag in box chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|vigna doro bag in box cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|teroldego cepas selecionadas|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|tannat viognier|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|tannat reserva|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|stellare espumante moscatel|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larentis|stellare espumante brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larentis|sta lucia merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=185
W|larentis|reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=185
W|larentis|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=188
W|larentis|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=188
W|larentis|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco|=188
W|larentis|reserva malbec|??|r|malbec|??|??|2022|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco|=193
W|larentis|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco|=193
W|larentis|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco|=193
W|larentis|reserva lola rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas; peixes grelhados; massas leves|seco
W|larentis|reserva flos chardonnayviognier|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|larentis|reserva chardonnay e viognier|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|larentis|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco|=201
W|larentis|personagens malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larentis|merlot santa lucia do|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|merito gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|marselan cepas selecionadas|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|marselan cepas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|lola rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larentis|lola reserva rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas; peixes grelhados; massas leves|seco
W|larentis|icone lavoro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva viognier|??|w|viognier|??|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco
W|larentis|gran reserva viognier|??|w|viognier|??|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco|=211
W|larentis|gran reserva tannat e viognier|??|w|viognier|??|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco
W|larentis|gran reserva sta lucia merlot do|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva merlot sta lucia dovv|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva merito blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva merito|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva merito|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco|=217
W|larentis|gran reserva lavoro icone|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva icone lavoro|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran reserva chardonnay arcangelo do|??|w|chardonnay|??|??|NV|12.5|gran reserva|medio|peixes; frutos do mar; aves|seco
W|larentis|gran reserva cab 500 safra|??|r|??|??|??|2022|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran cabernet 500|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|gran cab 500|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|flos chardonnayviognier|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|espumante rose cuvee speciale brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larentis|espumante branco cuvee speciale nature|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larentis|edicao especial viognier|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|domo albus riesling italico|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larentis|domo albus riesling italico|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=229
W|larentis|cuvee speciale nature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cuvee speciale espumante nature|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|larentis|cuvee speciale espumante brut rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larentis|cuvee speciale brut rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larentis|clarete de verano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|clarete de verano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|larentis|clarete de verano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=235
W|larentis|cepas teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas teroldego|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas teroldego|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=239
W|larentis|cepas selecionadas teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=241
W|larentis|cepas selecionadas teroldego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=241
W|larentis|cepas selecionadas marselan|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=245
W|larentis|cepas selecionadas ancellotta|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas ancellotta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas selecionadas ancellotta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=248
W|larentis|cepas marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larentis|cepas ancellotta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
