W|langlois|cremant de loire vintage|fr|s|??|loire|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire brut nv sparkling wine|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut nv jeroboam in wood|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=50
W|langlois|cremant de loire brut 075 ltr|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=53
W|langlois|cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=53
W|langlois|cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=53
W|langlois|cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=53
W|langlois|cremant de loire blanc de blancs|fr|s|??|loire|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant de loire|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant carmin dry c6 stop|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|cremant cadence extra brut|??|s|??|??|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|langlois|cremant brut rose mg c6|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut rose c6|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut reserve magn|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut reserve 12|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut reserve|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut c6 stop|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant brut 12 c12|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|cremant blanc de blancs bio c6|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|coteaux du giennois sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langlois|chateau saumur red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlois|chateau saumur cremant de loire 12|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau sancerre chateau de thauvenay 75|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlois|chateau sancerre chateau de fontaine audon 75|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlois|chateau sancerre|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlois|chateau lc cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau lc cremant de loire rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=76
W|langlois|chateau lc cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau cremant rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau cremant rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=79
W|langlois|chateau cremant de loire rose nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau cremant de loire rose 1|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau cremant de loire nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau cremant de loire lextra|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau cremant de loire brut rose nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau cremant de loire brut rose|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau cremant de loire brut nv|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau cremant de loire brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau cremant brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau crem de loire rose 075|fr|p|??|loire|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|langlois|chateau brut rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|chateau aop cremant de loire blanc|fr|s|??|loire|??|NV|12|aop|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|chateau aop cremant de loire blanc|fr|s|??|loire|??|NV|12|aop|leve|aperitivos; frutos do mar; canapes|seco|=92
W|langlois|chateau aop cremant de loire blanc|fr|s|??|loire|??|NV|12|aop|leve|aperitivos; frutos do mar; canapes|seco|=92
W|langlois|chateau|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlois|brut rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|brut reserve chenin blanc cremant de loire|fr|s|chenin blanc|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|brut cremant de loire|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|brut blanc|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|langlois|blanc de blancs cremant de loire|fr|s|??|loire|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|blanc de blancs cremant de loire|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langlois|bl de bl cremant de loire|fr|s|??|loire|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langleys|old tom|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys|no8|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys no 8|m4 daser folkington s indian tonic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys no 8|distilled|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys no 8|8|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys|london dry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys|london dry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=109
W|langleys|first chapter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langleys|first chapter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=111
W|langleys|first chapter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=111
X
W|langlet|lv15|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langlaise|langlaise|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn vimpel 8m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn vimpel 6m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn vimpel 10m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn tillykke ranke|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn store pynteflag 3 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stofserviet slvstjerne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stofserviet hjerte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stofserviet garder|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stofflag pa pind 3 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stander 910m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stander 8m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn stander 56m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn rd julebordlber 300cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn pynteflag 5 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn mini bordflag 3 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn luksus flagstang i egetr 180cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn lille flagranke|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn lagkageflag i stof 5 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn lagkageflag 1 stk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri vimple til 8m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri vimpel til 6m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri vimpel til 12m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri vimpel til 10m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri stander til 89m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri stander til 67m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn knudefri stander 1011m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn julesok|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet trompet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet tromme|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet sukkerstok|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet snemand|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet rdt krmmehus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet rd julekugle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet peberkagemand|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet nddeknkkeren|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet mistelten|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet med musekonge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet med mrkerd sljfe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet med kringle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet med juleklokker|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet med hjort|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet julehjerte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet julegris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet halmbuk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet gyngehest|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet guldstjerne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet engel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet dannebrog|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet ble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn juleserviet ballarina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn julebordlber med julemotiv 300cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn julebordlber med julemotiv 175cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn god jul ranke|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn flora bordlber med vilde blomster motiv 300cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn flora bordlber med vilde blomster 175cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn flagstang med dannebrogsflag 180cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn flagranke med dannebrogsflag stor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn fdselsdagsserviet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn fdselsdagsflag pa pind|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn fdselsdags dug 340cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn fdselsdags dug 240cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn dannebrog til 8m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn dannebrog til 6m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn dannebrog til 10m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn cirkusservietter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn bordlber med slvstjerner 175cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn bordlber med dannebrogsflag 300cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn bordlber med dannebrog 175cm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn bordflagstang i egetr med dannebrog|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn adventskalender|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn 6 stk juleservietter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn 6 stk flora servietter med forskellige motiver|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|sn 1 stk pynteflag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|serviet med mistenten|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langkilde|serviet med engel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langka|slice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langka|gulay 400500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhorne creek|shiraz crooked mick|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhorne creek|shiraz cabernet cleanskin|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhorne creek|shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhorne creek|set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhorne creek|crooked mick cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhorne creek|chardonnay crooked mick|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhorne creek|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langherino|langherino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|treuve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|supper club|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sorriso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sorriso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=205
W|langhe|sito moresco dop gaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sito moresco dop gaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=207
W|langhe|sito moresco gaja|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon rovella parusso|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc poderi la collina piemonte|it|r|??|piemonte|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc neta ada nada|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc dives burlotto|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc bric amel marchesi di barolo|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc bric amel marchesi di barolo|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=214
W|langhe|sauvignon doc bric amel marchesi di barolo|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=214
W|langhe|sauvignon doc bric amel marchesi di barolo|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=214
W|langhe|sauvignon doc bric amel marchesi di barolo|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=214
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=219
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=219
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=219
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=219
W|langhe|sauvignon doc magnum marchesi di gresy|it|r|??|marche|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc magnum marchesi di gresy|it|r|??|marche|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc marchesi di gresy|it|r|??|marche|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langhe|sauvignon doc magnum marchesi di gresy|it|r|??|marche|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
