1. W|casa madero|chardonnay mexico|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
31. W|casa madero|malbec gran reserva|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
32. W|casa madero|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casa madero|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|casa madero|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
35. W|casa madero|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
36. W|casa madero|merlot 750 mlt 139|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casa madero|merlot varios tamanos|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|casa madero|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
39. W|casa madero|rosado mexico|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
40. W|casa madero|rosado v|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
41. W|casa madero|rose wine rosado v valle de parras|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
42. W|casa madero|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
43. W|casa madero|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=42
44. W|casa madero|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=42
45. W|casa madero|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=42
46. W|casa madero|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=42
47. W|casa madero|shiraz 750 mlt 139|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
48. W|casa madero|shiraz gran reserva|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
49. W|casa madero|shiraz gran reserva magnum|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
50. W|casa madero|shiraz varios tamanos|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
51. W|casa madero|v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casa madero|v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=51
53. W|casa madero|v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=51
54. W|casa madero|v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=51
55. W|casa madero v|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
56. W|casa madero v|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=55
57. W|casa madero v|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=55
58. W|casa madero v|rosado 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
59. W|casa madero v|rosado 750 mlt 139|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
60. W|casa madero v|rosado cabernet s|pt|p|??|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
61. W|casa madero v|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
62. W|casa madero vino|tinto shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|casa maestri|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|casa maestri|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=63
65. W|casa maestri|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=63
66. W|casa maestri anejo anniversary|extra anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|casa maestri|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|casa maestri|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=67
69. W|casa maestri|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=67
70. W|casa maestri|blanco flask|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|casa maestri|blanco flask|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
72. W|casa maestri|blanco red ceramic|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|casa maestri|blanco reserva de mfm blanco|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
74. W|casa maestri|collection|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. S
76. W|casa maestri|extra anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|casa maestri|extra anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=76
78. W|casa maestri|extra anejo 10th anniversary|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. S
80. W|casa maestri|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casa maestri|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
82. W|casa maestri|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
83. W|casa maestri|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
84. W|casa maestri|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
85. W|casa maestri|reserva de mfm anejo|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
86. W|casa maestri|reserva de mfm extra anejo limited edition|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
87. W|casa|magdalena|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|casa magdalena|rhum|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casa magna colorado|corona|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|casa magna colorado|gran toro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|casa magna colorado|robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|casa magna colorado|torito|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|casa magoni|cabernet sauvignon reserva 2018|pt|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
94. W|casa magoni|chardonnay vermentino|pt|w|chardonnay, vermentino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
95. W|casa magoni|chardonnay vermentino|pt|w|chardonnay, vermentino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=94
96. W|casa magoni|chardonnay vermentino 2024 7|pt|w|chardonnay, vermentino|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
97. W|casa magoni chardonnayvermentino valle de|guadalupe|pt|r|chardonnay, vermentino|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|casa magoni manaz|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casa magoni manaz|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|casa magoni manaz viognierfiano valle de|guadalupe|pt|r|viognier, fiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casa magoni|merlot malbec 2022|pt|r|malbec, merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
102. W|casa magoni merlotmalbec valle de|guadalupe|pt|r|malbec, merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casa magoni|nebbiolo 2019|pt|r|nebbiolo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
104. W|casa magoni|nebbiolo 2020|pt|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
105. W|casa magoni|nebbiolo 2020|pt|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=104
106. W|casa magoni|nebbiolo reserva 2020|pt|r|nebbiolo|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
107. W|casa magoni|nebbiolo valle de guadalupe|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
108. W|casa magoni origen|43|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casa magoni origen|43 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|casa magoni origen|43 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casa magoni origen|43 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=110
112. W|casa magoni origen|43 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=110
113. W|casa magoni origen|43 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=110
114. W|casa magoni origen|43 valle de guadalupe|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casa magoni|reserva cabernet sauvignon valle de guadalupe|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
116. W|casa magoni|reserva nebbiolo valle de guadalupe|pt|r|nebbiolo|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
117. W|casa magoni|reserva sauvignon blanc valle de guadalupe|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
118. W|casa magoni|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
119. W|casa magoni|rose valle de guadalupe|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
120. W|casa magoni|sangiovese cabernet|pt|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
121. W|casa magoni|sangiovese cabernet 2023 750|pt|r|sangiovese|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
122. W|casa magoni sangiovesecabernet valle de|guadalupe|pt|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casa magoni sangiovesecabernet valle de guadalupe baja mexico|2022|pt|r|sangiovese|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|casa magoni sangiovesecabernet valle de guadalupe baja mexico|2022|pt|r|sangiovese|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=123
125. W|casa magoni|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
126. W|casa magoni|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=125
127. W|casa magoni|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
128. W|casa magoni|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=127
129. W|casa magoni|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=127
130. W|casa magoni|sauvignon blanc reserva 2022|pt|w|sauvignon blanc|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
131. W|casa magoni|syrah reserva 2022|pt|r|syrah|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
132. W|casa magrez|gran reserva|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
133. W|casa magrez|serenidad|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|casa|malbec 15ltr|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
135. W|casa malka|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|casa malka|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=135
137. W|casa malka|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. X
139. W|casa marco|zinfandel|pt|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
140. W|casa marco|zinfandel|pt|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=139
141. W|casa marco|zinfandel|pt|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=139
142. W|casa marco|zinfandel puglia igt 2023 13|pt|r|zinfandel|??|??|2023|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
143. W|casa margot|110|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|casa margot|120|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casa margot|15 100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casa margot|150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casa margot|20 100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|casa margot|20 150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa margot|200|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa margot|45 100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|casa margot|45 125|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|casa margot|45 150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casa margot|45 200|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|casa margot|484 125|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casa margot|484 150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|casa margot|49 100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|casa margot|50|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|casa margot|50 150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|casa margot|50 200|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|casa margot|70|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casa margot|75|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|casa margot|90|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|casa maria|tempranillo 2015|pt|r|tempranillo|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
164. W|casa maria|verdejo|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
165. W|casa maria|verdejo|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=164
166. W|casa maria|verdejo|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=164
167. W|casa maria|verdejo|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=164
168. W|casa maria|verdejo blanco|pt|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
169. W|casa|marin|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|casa marin caja|12 cartagena coastal premium red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|casa marin caja|12 cartagena premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
172. W|casa marin caja|12 cartagena premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|casa marin caja|12 cartagena premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
174. W|casa marin caja|12 cartagena premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
175. W|casa marin caja|12 casa marin premium rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
176. W|casa marin caja|12 casona premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
177. W|casa marin caja|12 cipreses premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
178. W|casa marin caja|12 estero premium sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|casa marin caja|12 litoral premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|casa marin caja|12 lo abarca hills super premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casa marin caja|12 miramar icono syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
182. W|casa marin caja|12 miramar premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
183. W|casa marin caja|6 cartagena coastal premium red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|casa marin caja|6 cartagena premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
185. W|casa marin caja|6 cartagena premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|casa marin caja|6 cartagena premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
187. W|casa marin caja|6 cartagena premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
188. W|casa marin caja|6 casa marin premium rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
189. W|casa marin caja|6 casona premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
190. W|casa marin caja|6 cipreses premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
191. W|casa marin caja|6 estero premium sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|casa marin caja|6 litoral premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casa marin caja|6 lo abarca hills super premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|casa marin caja|6 miramar icono syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
195. W|casa marin caja|6 miramar premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
196. W|casa marin cartagena coastal|premium red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casa marin cartagena coastal|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|casa marin cartagena coastal|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
199. W|casa marin cartagena coastal|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=197
200. W|casa marin cartagena coastal|red 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casa marin cartagena|gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
202. W|casa marin cartagena|gewurztraminer 2019|pt|w|gewurztraminer|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
203. W|casa marin cartagena|gewurztraminer branco|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
204. W|casa marin cartagena|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|casa marin cartagena|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
206. W|casa marin cartagena|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
207. W|casa marin cartagena|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
208. W|casa marin cartagena|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
209. W|casa marin cartagena|pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|casa marin cartagena|pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=209
211. W|casa marin cartagena|pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|casa marin cartagena|pinot noir san antonio valley 2023 red dry 135 075|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|casa marin cartagena|pinot noir tinto|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|casa marin cartagena|premium gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
215. W|casa marin cartagena|premium pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|casa marin cartagena|premium riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
217. W|casa marin cartagena|premium sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
218. W|casa marin cartagena|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
